,userId,itemId,rating
314,658202,4306,4
367,2051630,313,4
482,1098387,1092,3
495,1426230,443,4
552,1479946,3427,3
693,951522,4056,4
704,1949454,175,4
733,1495940,2319,5
773,2630513,1561,2
861,1447766,2796,4
863,2387409,1394,1
1401,2634807,1289,1
1406,12119,56,5
1503,1759822,2456,5
1523,1811436,3151,5
1526,2484009,1819,3
1816,1447018,1180,4
1845,1069639,3624,2
2047,246874,3522,5
2204,1501281,4109,4
2256,2350735,2371,5
2265,1151980,1865,5
2351,1619854,3999,5
2718,237802,3138,5
2751,2331082,551,3
2768,1757505,1305,3
2966,2159458,607,4
3069,1102490,2112,4
3128,272515,1180,5
3389,511460,3290,5
3423,1692112,3463,4
3460,2577168,1974,4
3564,2428743,3385,3
3632,243228,4345,4
3667,817104,4144,3
3718,2568038,1800,2
3739,716138,313,3
3751,2558779,3936,3
3754,531551,2782,5
3823,872778,3860,4
3864,2376407,2470,4
3900,210539,3612,5
3948,911788,191,3
4061,2368032,3254,3
4410,2233586,1140,4
4456,889642,1865,5
4458,98572,708,4
4509,128085,4266,2
4571,1910240,2372,4
4615,371358,846,1
4737,641435,3860,3
4855,2529101,1021,4
5107,1959764,2782,4
5342,2215551,4100,4
5362,574814,3787,3
5378,998607,2617,3
5447,1267662,3942,3
5505,91272,2782,5
5563,2394063,313,5
5564,422352,4262,5
5610,1368244,3106,5
5627,570118,4420,3
5629,535641,4364,5
5802,950188,1905,2
6102,507168,2580,3
6137,405266,4123,5
6244,128085,3320,3
6252,636506,1905,5
6280,2241185,571,5
6300,969362,571,1
6326,1007877,550,4
6378,2455458,2965,5
6549,2187964,3962,5
6562,659478,329,3
6566,920311,4330,5
6604,1959764,4145,4
6670,2411998,468,4
6708,2605904,1466,4
6745,768366,705,4
6764,1429579,886,4
6871,1463168,3917,5
6982,2184168,1799,5
7016,268966,2680,5
7042,1561921,3798,5
7197,2130321,1020,5
7263,132644,2329,5
7271,1267250,241,4
7439,1614345,3489,3
7507,1480659,3254,3
7530,653377,4216,4
7534,204280,1307,3
7603,1496523,1145,4
7702,648952,1615,5
7816,578731,3730,5
7826,1440454,4149,1
7836,1131305,1865,4
7974,2031953,313,4
8000,2383221,1066,5
8313,2153538,406,3
8322,2276209,1704,4
8327,1513433,111,3
8511,1631741,692,2
8531,1775518,3371,4
8533,910180,175,5
8658,1448712,2395,4
8659,2435001,4043,5
8668,2171344,4141,3
8823,755300,2922,4
8948,1212850,4214,2
9083,248058,2391,3
9167,1061026,1406,5
9215,1103812,167,5
9228,1451246,2015,5
9269,690332,2012,4
9327,845729,3368,5
9347,44458,3538,4
9387,2557787,2112,1
9536,1205123,2782,4
9614,2215551,1744,5
9628,62874,1650,5
9654,2184257,329,2
9800,2320154,2732,4
9844,718101,2178,4
9854,813079,357,5
9925,269062,3611,1
10029,192069,199,5
10099,502916,564,4
10192,2131954,2922,4
10358,2432801,1703,2
10479,1735761,2152,1
10573,568800,3962,5
10682,1511156,3487,2
10723,1476386,758,3
10791,2030320,2890,4
10882,1863703,2783,3
11100,1104594,4356,5
11242,1684053,3864,5
11317,908725,2122,5
11333,2166702,4306,5
11418,2121133,4364,4
11420,1573483,2452,3
11429,307598,2269,2
11686,2210044,3624,4
11693,1321090,4384,4
12022,1278637,2499,3
12069,2204941,3290,5
12170,448721,4262,3
12186,2640059,1905,5
12210,1828887,720,4
12258,951881,331,3
12267,495477,3905,4
12290,1574840,2519,4
12383,1674600,2874,3
12391,550401,2457,5
12731,2410407,4355,3
