userId,itemIds,top-50 scores
1,"[2571, 2959, 260, 593, 296, 318, 356, 480, 608, 858, 1196, 527, 780, 648, 110, 457, 2858, 150, 47, 1198, 1197, 32, 50, 1210, 1270, 2628, 2762, 1214, 588, 3578, 1, 364, 590, 2028, 10, 589, 377, 367, 592, 1580, 380, 1200, 1240, 4993, 1089, 316, 1136, 736, 924, 5952]","[4.6527147, 4.638679, 4.6241474, 4.596857, 4.5210323, 4.5167403, 4.4860725, 4.4763246, 4.4711947, 4.4572835, 4.436963, 4.427915, 4.419048, 4.414711, 4.3160105, 4.283264, 4.2750926, 4.2574625, 4.25146, 4.234523, 4.2121167, 4.189887, 4.174845, 4.1737256, 4.1586895, 4.137963, 4.1089015, 4.1047106, 4.0987053, 4.09641, 4.0936747, 4.0814695, 4.0491347, 4.038275, 4.0267563, 4.0262456, 4.0256433, 3.9680812, 3.9595325, 3.9592254, 3.9497187, 3.9181006, 3.9167538, 3.9164255, 3.9117506, 3.9058013, 3.9056327, 3.8605824, 3.8567677, 3.8535242]"
2,"[2959, 2571, 318, 356, 79132, 7153, 58559, 4993, 260, 1196, 3578, 593, 527, 858, 296, 5952, 1198, 1270, 1580, 4306, 364, 110, 6539, 4226, 4886, 47, 8961, 7361, 6377, 4963, 50, 2858, 480, 150, 7438, 91529, 608, 648, 4896, 33794, 1, 2762, 2028, 6874, 2329, 780, 1704, 5418, 60069, 1291]","[3.6874857, 3.660108, 3.6179492, 3.5311964, 3.4364629, 3.4139974, 3.412599, 3.3435972, 3.331287, 3.3257902, 3.3186107, 3.3014278, 3.2628314, 3.2574623, 3.2522724, 3.2320056, 3.2102988, 3.2000723, 3.197429, 3.1938345, 3.191518, 3.1728542, 3.14333, 3.136958, 3.1326878, 3.1268442, 3.125477, 3.1175506, 3.1162379, 3.097859, 3.0955827, 3.0951746, 3.0923944, 3.0637083, 3.0635161, 3.0494125, 3.0295584, 3.0272498, 3.0103004, 2.9997194, 2.998976, 2.9925213, 2.989506, 2.9777217, 2.9736557, 2.9581442, 2.958062, 2.9197094, 2.9123073, 2.9042573]"
3,"[2571, 2959, 356, 260, 593, 1196, 318, 296, 1198, 527, 1270, 1580, 2858, 858, 110, 480, 47, 608, 150, 364, 3578, 1210, 7153, 79132, 2762, 780, 5952, 4993, 50, 457, 1, 648, 588, 32, 2028, 1214, 1291, 4306, 377, 2628, 1089, 10, 6539, 589, 1200, 1197, 541, 7361, 2329, 58559]","[2.7595842, 2.751421, 2.6816084, 2.660162, 2.6467757, 2.6255867, 2.6105797, 2.579984, 2.549659, 2.5315287, 2.499353, 2.4903166, 2.4878366, 2.4872363, 2.475417, 2.475325, 2.4664156, 2.464018, 2.4468992, 2.441821, 2.438475, 2.4127686, 2.407672, 2.3915882, 2.3837957, 2.374523, 2.3623817, 2.3577924, 2.3499916, 2.342079, 2.34016, 2.3389573, 2.3310812, 2.3233082, 2.3152997, 2.313694, 2.309811, 2.3094094, 2.3003676, 2.3002975, 2.2830853, 2.2726676, 2.27144, 2.2704399, 2.2691329, 2.259864, 2.2590044, 2.2552605, 2.2514274, 2.24724]"
4,"[608, 593, 260, 2571, 296, 527, 480, 318, 2858, 2959, 1197, 356, 780, 457, 150, 858, 904, 648, 1196, 32, 590, 110, 1210, 47, 1270, 597, 588, 1214, 380, 2628, 50, 367, 924, 1, 377, 589, 2762, 1198, 2028, 1089, 1500, 1704, 357, 912, 592, 111, 316, 539, 2115, 364]","[3.7121565, 3.6640499, 3.6362586, 3.5808878, 3.5657349, 3.5582287, 3.5409608, 3.5063133, 3.4939709, 3.4870615, 3.4757416, 3.468427, 3.4651086, 3.462238, 3.4536064, 3.43579, 3.400591, 3.3879802, 3.373219, 3.3576245, 3.3559706, 3.3375938, 3.3253071, 3.2964292, 3.2649221, 3.2620642, 3.2590108, 3.2476196, 3.2194295, 3.2099285, 3.2059793, 3.2043934, 3.1996288, 3.197438, 3.1865296, 3.185988, 3.1784236, 3.1771724, 3.1685596, 3.1628458, 3.1469443, 3.1272557, 3.1166925, 3.1157455, 3.1150262, 3.1123784, 3.0925548, 3.0917573, 3.0900955, 3.083323]"
5,"[318, 356, 150, 480, 593, 296, 110, 588, 527, 2571, 260, 590, 457, 47, 32, 592, 364, 780, 2959, 380, 648, 608, 367, 10, 1, 377, 589, 208, 165, 858, 316, 597, 50, 253, 1196, 153, 231, 344, 1270, 2858, 539, 1210, 1198, 292, 500, 410, 1197, 34, 595, 3578]","[4.371622, 4.3526287, 4.2813163, 4.2738094, 4.2700186, 4.2498055, 4.2051287, 4.1686745, 4.155991, 4.154961, 4.137828, 4.1100206, 4.086745, 4.085694, 4.061764, 4.0616508, 4.0326185, 4.024399, 4.002849, 3.9988558, 3.9799101, 3.9566185, 3.9394865, 3.9287617, 3.8970177, 3.894525, 3.8868687, 3.877319, 3.8571792, 3.8480368, 3.844963, 3.8256423, 3.804078, 3.7865314, 3.782119, 3.758239, 3.749812, 3.7430117, 3.7055886, 3.6895487, 3.676401, 3.6637683, 3.6537771, 3.6440742, 3.6440406, 3.6427178, 3.6380968, 3.6328235, 3.6222062, 3.6023636]"
6,"[349, 329, 380, 434, 292, 454, 592, 161, 253, 350, 590, 208, 165, 300, 410, 316, 153, 236, 539, 185, 10, 150, 432, 588, 266, 95, 225, 457, 21, 474, 440, 367, 32, 344, 141, 252, 357, 282, 480, 110, 339, 553, 36, 34, 62, 224, 587, 168, 204, 315]","[3.9353566, 3.8165762, 3.8135767, 3.795496, 3.7859862, 3.7731097, 3.7399938, 3.7036679, 3.6921606, 3.6699011, 3.6676486, 3.666472, 3.6641226, 3.6595583, 3.5883532, 3.5576925, 3.5454023, 3.5404584, 3.4915807, 3.477046, 3.459333, 3.4502103, 3.4409492, 3.430142, 3.3927102, 3.3822289, 3.3798966, 3.36533, 3.3523004, 3.3429387, 3.341232, 3.329178, 3.3198416, 3.3021603, 3.2917721, 3.2706845, 3.2679636, 3.2378955, 3.2172985, 3.189795, 3.1875541, 3.1821232, 3.179695, 3.1558075, 3.1461642, 3.1442957, 3.1439736, 3.1399121, 3.1376016, 3.1322603]"
7,"[318, 2571, 356, 2959, 593, 260, 527, 296, 110, 858, 1196, 364, 7153, 3578, 150, 480, 47, 4993, 1198, 1270, 648, 5952, 588, 608, 780, 2858, 50, 4886, 1, 58559, 7361, 2028, 4226, 589, 32, 1210, 4306, 6539, 1580, 1704, 2762, 7438, 457, 79132, 8961, 367, 377, 4963, 6377, 231]","[5.255299, 5.2127733, 5.1642566, 5.1338058, 4.9258, 4.8991723, 4.871724, 4.8601894, 4.7516565, 4.7408185, 4.724159, 4.7008314, 4.690713, 4.670088, 4.6667604, 4.666672, 4.6450863, 4.6210527, 4.5925884, 4.5704393, 4.5081763, 4.5074134, 4.4920893, 4.4892077, 4.486408, 4.479052, 4.476152, 4.429788, 4.4258304, 4.4222794, 4.4209294, 4.416453, 4.4133744, 4.407815, 4.383554, 4.3808374, 4.3612576, 4.3491983, 4.338768, 4.324298, 4.3174734, 4.3164554, 4.3132715, 4.3031774, 4.285627, 4.2691317, 4.260621, 4.260025, 4.2427397, 4.2423706]"
8,"[318, 356, 296, 593, 150, 480, 527, 2571, 110, 588, 260, 47, 590, 364, 2959, 32, 457, 592, 780, 608, 648, 10, 380, 589, 858, 1, 367, 377, 208, 165, 1196, 50, 316, 231, 253, 344, 1270, 153, 1198, 597, 2858, 1210, 3578, 500, 595, 1197, 539, 410, 292, 2762]","[4.5327687, 4.513883, 4.4219513, 4.4058805, 4.400895, 4.3593926, 4.3296566, 4.3062496, 4.303669, 4.2609425, 4.2598352, 4.2222733, 4.195857, 4.1790805, 4.15897, 4.1553745, 4.1543617, 4.1306953, 4.067932, 4.055678, 4.036986, 4.0352287, 4.0278244, 4.0243845, 4.011135, 3.9978178, 3.9947314, 3.9907618, 3.9737012, 3.958025, 3.9427702, 3.926289, 3.8901992, 3.8778434, 3.8584905, 3.8406956, 3.8336253, 3.8331406, 3.827239, 3.8155212, 3.7942603, 3.78173, 3.7353127, 3.7270124, 3.7232513, 3.7132397, 3.7129765, 3.6894667, 3.6768887, 3.6733236]"
9,"[593, 2959, 2571, 608, 2858, 356, 260, 1196, 296, 318, 527, 858, 1270, 1197, 480, 150, 2762, 110, 47, 589, 457, 1214, 32, 1089, 2329, 1198, 2628, 588, 1580, 924, 778, 1210, 4993, 1, 3578, 1221, 364, 780, 111, 904, 2028, 1704, 5952, 50, 4306, 1200, 1291, 1193, 1136, 1206]","[2.4384563, 2.4296234, 2.4142032, 2.375705, 2.3725274, 2.360716, 2.3560183, 2.3221147, 2.3206675, 2.3185458, 2.2681298, 2.2613022, 2.257723, 2.2483659, 2.2429068, 2.172798, 2.1429083, 2.1260662, 2.1213472, 2.1046724, 2.0940888, 2.0895405, 2.0853992, 2.0842147, 2.0775588, 2.0629804, 2.0559194, 2.0557554, 2.0524035, 2.0480542, 2.0467296, 2.0418518, 2.0397985, 2.035935, 2.0324066, 2.0322232, 2.0313601, 2.029165, 2.0287905, 2.0199454, 2.0150094, 2.0096703, 2.0047941, 2.0042753, 1.9952576, 1.9931628, 1.9892801, 1.9881812, 1.9765729, 1.9745529]"
10,"[58559, 356, 7153, 2571, 79132, 318, 91529, 2959, 364, 8961, 4963, 3578, 68954, 60069, 4886, 59315, 4896, 6377, 5952, 527, 6539, 4993, 72998, 7438, 50872, 33794, 4306, 296, 89745, 7361, 4226, 150, 110, 5418, 4995, 1270, 5218, 588, 858, 593, 49272, 1, 1580, 68358, 260, 6874, 68157, 1198, 47, 70286]","[3.3751886, 3.3630333, 3.323531, 3.3231344, 3.3081977, 3.287708, 3.2574055, 3.2500541, 3.1779208, 3.1556823, 3.1373615, 3.1273885, 3.12316, 3.113797, 3.0989454, 3.0964108, 3.090851, 3.0686479, 3.04356, 3.032504, 3.0313725, 3.028606, 3.0279238, 3.017354, 3.0173492, 3.006507, 3.005654, 2.9729357, 2.9709096, 2.9684613, 2.9536283, 2.9514177, 2.94864, 2.9468246, 2.9414663, 2.9157965, 2.9140756, 2.896945, 2.8958461, 2.8921204, 2.888354, 2.887553, 2.8821628, 2.8732588, 2.8650885, 2.8647337, 2.8605568, 2.847112, 2.8349137, 2.8192828]"
