,itemIds
1,"[260, 480, 593, 296, 356, 150, 780, 2571, 2959, 318, 648, 1196, 32, 527, 110, 608, 457, 588, 1, 1270, 47, 858, 1198, 590, 364, 1197, 589, 10, 3578, 380, 2858, 1210, 592, 2628, 1580, 316, 377, 2762, 165, 367, 2028, 1214, 50, 736, 1200, 253, 1136, 924, 153, 2716, 1240, 733, 1089, 231, 597, 595, 1291, 34, 1073, 2115, 500, 1527, 1036, 586, 2683, 1265, 1097, 185, 912, 541, 4993, 2987, 344, 208, 4886, 919, 2791, 1206, 7153, 587, 3793, 357, 329, 1704, 2916, 223, 39, 1258, 4226, 1208, 2985, 3897, 2000, 3175, 2174, 1961, 141, 778, 1356, 161]"
10,"[58559, 79132, 2571, 91529, 7153, 2959, 4963, 356, 50872, 4993, 6539, 60069, 68954, 8961, 6377, 4896, 72998, 59315, 4306, 4886, 68157, 5952, 33794, 318, 3578, 7361, 106782, 109487, 5418, 54286, 89745, 6874, 527, 109374, 116797, 4226, 1270, 4995, 7438, 49272, 364, 68358, 119145, 54001, 1580, 296, 858, 31685, 1198, 44191, 70286, 74458, 5989, 81845, 112852, 8360, 91500, 260, 5218, 59784, 48780, 593, 122904, 2329, 45722, 1196, 99114, 112556, 56367, 48516, 51662, 6365, 50, 32587, 2762, 34162, 47, 63082, 3948, 33493, 1210, 64969, 1682, 73017, 45447, 69122, 4973, 96079, 56174, 81591, 6942, 1704, 45499, 8368, 48394, 6373, 54503, 8644, 2858, 3717]"
100,"[296, 593, 356, 480, 150, 260, 318, 780, 527, 2571, 110, 32, 588, 2959, 47, 648, 380, 457, 608, 1196, 590, 858, 316, 10, 1270, 592, 1, 364, 1197, 597, 3578, 50, 165, 377, 1580, 589, 2762, 2858, 367, 253, 1198, 2628, 153, 1210, 2028, 2716, 231, 1136, 586, 500, 1089, 736, 912, 1704, 357, 2683, 39, 34, 1200, 2115, 185, 595, 1036, 539, 924, 1214, 1265, 111, 4886, 161, 1240, 778, 344, 337, 733, 454, 541, 1291, 208, 587, 1097, 329, 904, 349, 223, 1073, 919, 1193, 1208, 292, 4226, 1101, 4993, 2987, 1968, 16, 1784, 4306, 1527, 1682]"
101,"[2959, 593, 2571, 260, 318, 296, 780, 527, 356, 480, 1196, 648, 150, 858, 608, 110, 32, 47, 2858, 2762, 457, 1, 3578, 2628, 2028, 1270, 1197, 589, 1198, 380, 50, 1580, 1210, 2716, 588, 1089, 778, 1136, 10, 924, 1036, 377, 111, 590, 364, 592, 316, 1214, 1704, 541, 367, 1200, 2115, 153, 2683, 4993, 1240, 1291, 253, 165, 2329, 231, 223, 1097, 1213, 4226, 1784, 912, 1221, 7153, 1265, 1206, 1208, 5952, 1193, 4886, 736, 904, 3897, 4306, 1222, 750, 16, 1682, 597, 500, 1527, 1258, 1617, 6539, 1732, 3996, 1721, 1961, 733, 5378, 1387, 586, 3793, 1625]"
102,"[150, 480, 356, 590, 588, 110, 593, 318, 296, 380, 260, 592, 457, 10, 780, 32, 364, 316, 527, 165, 648, 47, 1, 253, 367, 589, 2571, 608, 208, 153, 161, 2959, 292, 329, 1196, 377, 231, 185, 349, 1270, 344, 597, 50, 736, 500, 595, 34, 539, 586, 858, 454, 1198, 357, 434, 733, 39, 410, 1197, 3578, 141, 1580, 587, 1210, 21, 62, 440, 2028, 2858, 2628, 223, 339, 95, 19, 337, 1036, 2762, 300, 1136, 1073, 474, 1200, 1214, 1089, 317, 1265, 104, 288, 1240, 924, 2716, 6, 788, 7153, 551, 1356, 4993, 1527, 778, 442, 293]"
103,"[2571, 2959, 356, 7153, 318, 527, 4993, 58559, 79132, 858, 6539, 260, 296, 3578, 593, 4226, 6377, 8961, 4306, 5952, 4886, 4963, 1198, 1196, 1270, 7438, 6874, 7361, 364, 1580, 2028, 2858, 47, 50, 2329, 2762, 4896, 1210, 33794, 60069, 480, 608, 5418, 150, 1, 4995, 91529, 648, 1704, 54286, 110, 1291, 50872, 5378, 4878, 68954, 68157, 72998, 1136, 4973, 2628, 48780, 1682, 2716, 1089, 44191, 8360, 589, 48516, 59315, 1036, 32, 5989, 780, 48394, 3949, 1961, 6365, 5445, 1221, 4022, 1197, 541, 1732, 1214, 5218, 5349, 588, 3793, 1721, 5816, 5618, 1200, 1527, 2683, 778, 3147, 1193, 4011, 70286]"
104,"[356, 318, 527, 2571, 260, 2959, 593, 296, 364, 480, 110, 150, 1270, 588, 47, 1, 3578, 7153, 858, 590, 608, 1196, 780, 1580, 50, 6377, 4993, 4306, 4886, 6539, 4963, 367, 457, 2028, 7361, 8961, 648, 1198, 589, 32, 586, 10, 5952, 597, 595, 592, 1210, 58559, 377, 500, 4226, 2858, 4896, 231, 1704, 2762, 208, 1197, 8360, 344, 79132, 2628, 380, 2716, 3948, 104, 1265, 1089, 1682, 7438, 1136, 6874, 316, 4973, 1036, 2683, 1193, 5418, 1291, 253, 165, 2329, 539, 788, 4022, 39, 1527, 5618, 1214, 4995, 19, 778, 185, 1221, 1200, 2115, 5445, 33794, 34, 541]"
105,"[79132, 7153, 58559, 91529, 109487, 116797, 89745, 4993, 112556, 112552, 60069, 72998, 70286, 92259, 2959, 48394, 50872, 48780, 106782, 6874, 6539, 106920, 109374, 5952, 44191, 4306, 68157, 74458, 7361, 30793, 48385, 81845, 64614, 4963, 2571, 57669, 104841, 81591, 55247, 4226, 31685, 59315, 66097, 79702, 32587, 80463, 48516, 45722, 99114, 30812, 71535, 78499, 112852, 33794, 85414, 4973, 76251, 2329, 108932, 46578, 88129, 4878, 68237, 36529, 27773, 8644, 4896, 134853, 69122, 4011, 34048, 59784, 54286, 318, 55820, 7438, 49530, 68954, 119145, 8665, 45499, 7147, 51662, 7445, 91658, 55765, 69757, 4995, 122904, 122886, 67255, 94959, 6863, 3949, 54503, 97921, 6377, 2324, 44665, 49272]"
106,"[2571, 2959, 356, 7153, 318, 58559, 79132, 4993, 6539, 527, 260, 593, 296, 4963, 8961, 3578, 4306, 858, 5952, 6377, 7361, 364, 1270, 1198, 4896, 4886, 1196, 1580, 60069, 4226, 6874, 7438, 33794, 480, 1210, 2858, 50, 91529, 50872, 68954, 47, 2028, 5418, 110, 150, 72998, 4995, 1, 2762, 608, 59315, 54286, 68157, 2329, 648, 1291, 1704, 44191, 2628, 6365, 8360, 589, 588, 5445, 1136, 48780, 5989, 1036, 1682, 89745, 4973, 780, 2716, 3793, 5378, 32, 5218, 4022, 45722, 4878, 54001, 3948, 3147, 48516, 5816, 109487, 1265, 541, 1732, 1089, 1200, 33493, 3949, 8368, 70286, 1527, 231, 48394, 5349, 1721]"
107,"[480, 150, 356, 110, 593, 318, 296, 590, 588, 380, 780, 260, 592, 32, 10, 316, 457, 47, 648, 1, 527, 364, 367, 165, 253, 2959, 2571, 153, 208, 608, 589, 292, 1196, 161, 231, 377, 50, 329, 597, 185, 1270, 344, 349, 858, 500, 595, 736, 539, 454, 34, 1198, 1197, 586, 3578, 733, 1580, 357, 39, 141, 434, 1210, 2858, 587, 2028, 410, 21, 2762, 223, 2628, 1136, 440, 62, 95, 1036, 337, 300, 104, 1073, 2716, 1265, 1089, 19, 339, 317, 6, 778, 1214, 7153, 1704, 288, 1240, 551, 1200, 4993, 924, 1291, 474, 541, 912, 442]"
