,userId,itemIds,scores
0,1,"[1377, 1022, 671, 1097, 3418, 2081, 1206, 2628, 2770, 1200, 1387, 1909, 2005, 457, 480, 2294, 2641, 592, 2761, 1876, 316, 2985, 2087, 2571, 2987, 593, 1196, 2174, 2858, 2054, 1954, 1291, 2502, 1222, 1923, 380, 1617, 1573, 1562, 2406, 2028, 1210, 2968, 2890, 2947, 1527, 1304, 2115, 551, 3176]","[1.1543123722076416, 1.154186487197876, 1.0852242708206177, 1.0795854330062866, 1.0784157514572144, 1.0687705278396606, 1.0674858093261719, 1.066096544265747, 1.06327486038208, 1.0598911046981812, 1.059163212776184, 1.0565462112426758, 1.0552332401275635, 1.0528831481933594, 1.0502821207046509, 1.0386744737625122, 1.0386258363723755, 1.0337885618209839, 1.0325032472610474, 1.0285104513168335, 1.0270174741744995, 1.026705026626587, 1.026410698890686, 1.025901198387146, 1.0258090496063232, 1.0255041122436523, 1.0249967575073242, 1.0246942043304443, 1.0237852334976196, 1.0210318565368652, 1.0200142860412598, 1.0175312757492065, 1.0172520875930786, 1.0163090229034424, 1.015833854675293, 1.0137783288955688, 1.0134177207946777, 1.0132232904434204, 1.0120704174041748, 1.0119987726211548, 1.0117391347885132, 1.0111393928527832, 1.0088777542114258, 1.008864164352417, 1.0088419914245605, 1.008519172668457, 1.0065326690673828, 1.0064290761947632, 1.005981683731079, 1.0056378841400146]"
1,2,"[79132, 109487, 91529, 356, 68157, 106782, 68954, 89745, 58559, 74458, 2959, 48780, 59315, 318, 527, 48516, 1704, 122904, 593, 47, 122882, 296, 7153, 115713, 112552, 3578, 4226, 54286, 71535, 3147, 115617, 72998, 109374, 110, 260, 2762, 2571, 116797, 68358, 60069, 50, 56174, 134130, 44191, 99114, 293, 91500, 91658, 7361, 1198]","[1.0014042854309082, 0.9238892793655396, 0.9133856296539307, 0.9055228233337402, 0.9011713862419128, 0.8976163268089294, 0.8874656558036804, 0.8862613439559937, 0.8594951033592224, 0.8577162027359009, 0.8516483902931213, 0.8505622148513794, 0.8468841314315796, 0.8386362195014954, 0.8363143801689148, 0.8306092619895935, 0.8295010328292847, 0.8211035132408142, 0.8017246723175049, 0.7932716012001038, 0.7883744835853577, 0.7671979069709778, 0.7663687467575073, 0.7645533680915833, 0.7587797045707703, 0.7560071349143982, 0.7556009292602539, 0.7528002858161926, 0.7505233287811279, 0.7428142428398132, 0.7329376339912415, 0.7318866848945618, 0.7316030859947205, 0.729051947593689, 0.727901041507721, 0.7245079874992371, 0.7208839654922485, 0.7200725674629211, 0.7173435091972351, 0.7132573127746582, 0.7123606204986572, 0.7071675658226013, 0.706811249256134, 0.7067283987998962, 0.7041338682174683, 0.7041149139404297, 0.6987810730934143, 0.697523295879364, 0.6950897574424744, 0.6897711157798767]"
2,3,"[1371, 1093, 969, 1275, 3703, 1375, 31, 849, 1272, 1214, 2641, 3210, 2080, 1215, 2288, 2858, 1231, 1019, 1345, 720, 647, 2105, 2424, 1587, 914, 1302, 1242, 1197, 1263, 3024, 1213, 1127, 356, 1387, 1203, 1282, 3499, 1270, 1198, 1136, 2018, 1035, 327, 1207, 2100, 1947, 1278, 5060, 260, 1079]","[0.9134426712989807, 0.9026843905448914, 0.8442235589027405, 0.8375254273414612, 0.8165786266326904, 0.8096847534179688, 0.7937447428703308, 0.7902406454086304, 0.7813212275505066, 0.7773009538650513, 0.7755128741264343, 0.7654421329498291, 0.7557373046875, 0.7550108432769775, 0.7412974834442139, 0.7387542724609375, 0.7293663024902344, 0.7206183075904846, 0.7188326120376587, 0.7181938886642456, 0.7176399230957031, 0.7147620916366577, 0.7146256566047668, 0.7105599045753479, 0.70915687084198, 0.7089816927909851, 0.7036268711090088, 0.6972298622131348, 0.6871721148490906, 0.6866821646690369, 0.6865720748901367, 0.682429850101471, 0.6818789839744568, 0.6779116988182068, 0.6724953651428223, 0.6687614321708679, 0.6685967445373535, 0.6685707569122314, 0.6615976095199585, 0.6605895757675171, 0.6540302634239197, 0.6434005498886108, 0.6424219012260437, 0.6422009468078613, 0.6388919949531555, 0.6366392970085144, 0.6361842751502991, 0.6335386633872986, 0.6335034966468811, 0.6329089999198914]"
3,4,"[903, 1199, 527, 1276, 910, 1285, 1247, 1148, 1207, 1028, 1172, 1077, 235, 1, 1747, 356, 50, 1073, 1230, 2918, 2321, 3108, 357, 296, 597, 223, 838, 29, 2395, 2858, 1079, 1080, 593, 750, 2997, 1197, 3114, 3751, 912, 497, 1244, 708, 265, 47, 342, 608, 509, 345, 1188, 1206]","[1.1975504159927368, 1.1270411014556885, 1.11311674118042, 1.0911097526550293, 1.0818575620651245, 1.0789587497711182, 1.068640112876892, 1.056850790977478, 1.054402470588684, 1.0517468452453613, 1.0490857362747192, 1.0435987710952759, 1.0428260564804077, 1.04282546043396, 1.0343654155731201, 1.0327038764953613, 1.0324262380599976, 1.0299659967422485, 1.0259190797805786, 1.025363564491272, 1.024186372756958, 1.0237641334533691, 1.023634433746338, 1.022064447402954, 1.021802544593811, 1.0216866731643677, 1.020858645439148, 1.0180119276046753, 1.0176492929458618, 1.0175237655639648, 1.0148546695709229, 1.0138130187988281, 1.01326584815979, 1.0096379518508911, 1.0094857215881348, 1.0085606575012207, 1.007463812828064, 1.0064748525619507, 1.005513310432434, 1.0050053596496582, 1.0049210786819458, 1.0030306577682495, 1.001632571220398, 1.001530647277832, 1.0014724731445312, 0.999270498752594, 0.9989954233169556, 0.9970155358314514, 0.9968106746673584, 0.996726930141449]"
4,5,"[356, 47, 296, 590, 150, 480, 593, 588, 349, 595, 318, 300, 110, 367, 364, 527, 457, 344, 589, 161, 592, 153, 380, 34, 288, 597, 208, 454, 50, 39, 231, 10, 253, 165, 509, 292, 339, 500, 32, 316, 266, 377, 21, 410, 434, 235, 185, 539, 1, 587]","[1.0279145240783691, 1.0122134685516357, 0.9971697330474854, 0.9966027736663818, 0.9880725145339966, 0.9855642914772034, 0.9838747978210449, 0.9788162112236023, 0.9751182198524475, 0.9746766686439514, 0.9741011261940002, 0.9721972942352295, 0.9670295119285583, 0.9665024280548096, 0.9630321860313416, 0.9629684686660767, 0.9620281457901001, 0.9607082605361938, 0.9600623846054077, 0.9600210785865784, 0.9560401439666748, 0.9543069005012512, 0.9525322914123535, 0.9523577690124512, 0.9492876529693604, 0.9492504596710205, 0.9405061602592468, 0.9397057890892029, 0.9373303651809692, 0.9370321035385132, 0.9369932413101196, 0.9357382655143738, 0.9319161176681519, 0.9317821860313416, 0.9315122365951538, 0.926689624786377, 0.924643337726593, 0.9177252650260925, 0.9170932173728943, 0.9134119749069214, 0.9102635383605957, 0.9053927063941956, 0.9040915369987488, 0.8999453783035278, 0.8878770470619202, 0.8876463770866394, 0.8875224590301514, 0.886969804763794, 0.8818576335906982, 0.8817811012268066]"
5,6,"[280, 383, 338, 14, 86, 107, 276, 415, 707, 135, 225, 616, 227, 610, 376, 5, 362, 540, 62, 218, 203, 327, 8, 524, 52, 371, 315, 515, 252, 637, 73, 519, 281, 647, 230, 21, 79, 9, 661, 491, 516, 464, 314, 100, 3, 181, 248, 76, 15, 141]","[1.226320743560791, 1.2061079740524292, 1.1890136003494263, 1.172321081161499, 1.1461355686187744, 1.145613670349121, 1.1428203582763672, 1.1394294500350952, 1.1377965211868286, 1.1244921684265137, 1.1223214864730835, 1.119124412536621, 1.1158684492111206, 1.1157790422439575, 1.1072134971618652, 1.1010602712631226, 1.0994551181793213, 1.0976423025131226, 1.095062017440796, 1.0946314334869385, 1.0938148498535156, 1.0932506322860718, 1.091948390007019, 1.0899958610534668, 1.088454246520996, 1.084101915359497, 1.0767316818237305, 1.0759100914001465, 1.074533462524414, 1.0740591287612915, 1.0727287530899048, 1.067286491394043, 1.0652142763137817, 1.0647598505020142, 1.0645650625228882, 1.0639022588729858, 1.062638282775879, 1.0621479749679565, 1.0617282390594482, 1.0603957176208496, 1.0587023496627808, 1.0585697889328003, 1.05829656124115, 1.0580261945724487, 1.0576472282409668, 1.0573991537094116, 1.056891918182373, 1.0530571937561035, 1.0529459714889526, 1.052864670753479]"
6,7,"[780, 1721, 6934, 6365, 1961, 5378, 8529, 5502, 4963, 150, 8636, 3623, 6333, 260, 3996, 2012, 3948, 4995, 1584, 858, 2762, 1917, 1682, 6218, 33493, 4025, 1240, 1193, 1210, 4370, 5445, 6539, 2571, 4447, 2683, 356, 2324, 3717, 4306, 2006, 2028, 3793, 1653, 5349, 5218, 1, 750, 1580, 8665, 1704]","[1.080644130706787, 1.0529630184173584, 1.0514090061187744, 1.0495754480361938, 1.0342541933059692, 1.032841682434082, 1.0275589227676392, 1.0223488807678223, 1.0140269994735718, 1.0117677450180054, 1.0110450983047485, 1.0093679428100586, 1.0066457986831665, 1.0045514106750488, 1.0043654441833496, 1.0039396286010742, 1.0037654638290405, 1.0022841691970825, 1.0012516975402832, 0.999180793762207, 0.9979347586631775, 0.9979339241981506, 0.9972387552261353, 0.9959747195243835, 0.9929080605506897, 0.9926581978797913, 0.9920984506607056, 0.9919307231903076, 0.9917532205581665, 0.9902482628822327, 0.9901555180549622, 0.9887813329696655, 0.988670289516449, 0.9878241419792175, 0.9869976043701172, 0.9866567254066467, 0.9852005243301392, 0.9839227795600891, 0.9833266735076904, 0.9829223155975342, 0.9826264381408691, 0.9820213913917542, 0.9807369709014893, 0.9798783659934998, 0.976305365562439, 0.9737208485603333, 0.9722933769226074, 0.9720041155815125, 0.9697937369346619, 0.9691786766052246]"
7,8,"[150, 588, 380, 590, 231, 344, 356, 153, 592, 480, 349, 165, 457, 595, 292, 208, 296, 10, 597, 161, 593, 47, 185, 367, 110, 339, 318, 316, 34, 377, 329, 500, 364, 589, 39, 434, 288, 253, 454, 300, 539, 587, 32, 410, 527, 317, 50, 1, 586, 225]","[1.0151485204696655, 1.0035042762756348, 0.9996813535690308, 0.9996166825294495, 0.9976229667663574, 0.9920040965080261, 0.9915860891342163, 0.9902739524841309, 0.9874942302703857, 0.9862210154533386, 0.9842542409896851, 0.9840921759605408, 0.9821152091026306, 0.9811307191848755, 0.972476065158844, 0.9705989360809326, 0.9687113761901855, 0.9659547805786133, 0.9659000635147095, 0.9656246304512024, 0.9649844765663147, 0.9636133909225464, 0.9612040519714355, 0.9604809880256653, 0.9593868255615234, 0.958225667476654, 0.9573007225990295, 0.9527348875999451, 0.9508568048477173, 0.9491448998451233, 0.9471349120140076, 0.9452229142189026, 0.9447306990623474, 0.9433807730674744, 0.9432153701782227, 0.9415650963783264, 0.9354060292243958, 0.9318907856941223, 0.9313370585441589, 0.9225078225135803, 0.9088655710220337, 0.90230393409729, 0.8991870880126953, 0.8967880606651306, 0.8965235352516174, 0.8942765593528748, 0.8915168046951294, 0.8836600184440613, 0.8811792135238647, 0.8793198466300964]"
8,9,"[5902, 5378, 922, 1674, 1270, 3173, 5218, 2300, 5952, 1095, 1037, 5956, 2011, 923, 5872, 2023, 3363, 41, 5481, 5445, 1210, 3735, 627, 1231, 5349, 5507, 858, 5451, 5891, 3996, 1094, 2901, 371, 4558, 1214, 5988, 4993, 1196, 1265, 5890, 3897, 4973, 6001, 5893, 5447, 6044, 260, 8961, 1198, 1320]","[0.8747560977935791, 0.8079696297645569, 0.8063112497329712, 0.80459064245224, 0.7723702788352966, 0.7609808444976807, 0.7562760710716248, 0.7557802796363831, 0.7557318210601807, 0.75416100025177, 0.7493807673454285, 0.749271035194397, 0.7458137273788452, 0.7331559062004089, 0.7323140501976013, 0.7239140272140503, 0.7206932306289673, 0.7148149609565735, 0.7117392420768738, 0.7043845653533936, 0.6983724236488342, 0.6973099708557129, 0.695227861404419, 0.691580593585968, 0.6897568702697754, 0.6865741014480591, 0.6845827102661133, 0.6798644065856934, 0.6723719239234924, 0.6688806414604187, 0.6576895117759705, 0.653755784034729, 0.6508868932723999, 0.6399486660957336, 0.6394423246383667, 0.6393119692802429, 0.6337165236473083, 0.6322296261787415, 0.6275808811187744, 0.6236867904663086, 0.6225209832191467, 0.6219500303268433, 0.6193061470985413, 0.6171033382415771, 0.6168718338012695, 0.615500807762146, 0.6139843463897705, 0.6109252572059631, 0.6097509264945984, 0.6042397022247314]"
9,10,"[54001, 97921, 6942, 81845, 63082, 6377, 8533, 68954, 69844, 58559, 4963, 68157, 106782, 60069, 4018, 88163, 8368, 50872, 64969, 4306, 76093, 7153, 31685, 56367, 80549, 69122, 47099, 79132, 4896, 8961, 92259, 6539, 49286, 91500, 5989, 2424, 96821, 40815, 72998, 134853, 81834, 4447, 64957, 69757, 65230, 356, 1704, 84374, 106696, 78499]","[1.1180459260940552, 1.105378270149231, 1.0935159921646118, 1.0881267786026, 1.0767847299575806, 1.0754519701004028, 1.0706619024276733, 1.0685027837753296, 1.0661640167236328, 1.0471603870391846, 1.0467250347137451, 1.0395275354385376, 1.0366055965423584, 1.0363905429840088, 1.0332847833633423, 1.0297569036483765, 1.0272564888000488, 1.0270757675170898, 1.0202577114105225, 1.0192848443984985, 1.019172191619873, 1.015085220336914, 1.0130246877670288, 1.0114538669586182, 1.0064626932144165, 1.0060288906097412, 1.0057306289672852, 1.0046316385269165, 1.002303957939148, 1.0003687143325806, 0.9981844425201416, 0.9969695806503296, 0.9968835711479187, 0.9964647889137268, 0.9962884187698364, 0.99590003490448, 0.9948461055755615, 0.9912935495376587, 0.9900897741317749, 0.9877724051475525, 0.986482560634613, 0.98321932554245, 0.9827170372009277, 0.9787546396255493, 0.9736971259117126, 0.9720340967178345, 0.9699104428291321, 0.9694218635559082, 0.9678142666816711, 0.9676711559295654]"
