,userId,itemIds,scores
0,1,"[1377, 1022, 2858, 2174, 3418, 2628, 2968, 2081, 480, 2947, 1387, 2641, 592, 2054, 2406, 671, 2005, 551, 1206, 648, 47, 1213, 1222, 1196, 733, 457, 2657, 1210, 2028, 2087, 1097, 593, 1580, 608, 2355, 2080, 1573, 2115, 1200, 1029, 1954, 1214, 3176, 1562, 1291, 2770, 260, 2761, 527, 1220]","[1.0928248167037964, 1.0904284715652466, 1.0708587169647217, 1.067578673362732, 1.0588464736938477, 1.0578948259353638, 1.0566155910491943, 1.0488677024841309, 1.0450608730316162, 1.0422823429107666, 1.0421632528305054, 1.0293198823928833, 1.0270051956176758, 1.0235506296157837, 1.0223679542541504, 1.0219188928604126, 1.0207691192626953, 1.0205538272857666, 1.0201454162597656, 1.0196952819824219, 1.0162421464920044, 1.0146106481552124, 1.0120010375976562, 1.0119925737380981, 1.0103139877319336, 1.0094910860061646, 1.0090762376785278, 1.0088423490524292, 1.0073214769363403, 1.00655996799469, 1.005231499671936, 1.0047879219055176, 1.003183126449585, 1.0017725229263306, 1.0015432834625244, 1.001489281654358, 1.001399040222168, 0.999740719795227, 0.997649073600769, 0.9971883296966553, 0.9967692494392395, 0.9959676861763, 0.9951375126838684, 0.9941880702972412, 0.9939500093460083, 0.9934909343719482, 0.9917557835578918, 0.990411639213562, 0.9903773665428162, 0.9894900321960449]"
1,2,"[79132, 91529, 58559, 109487, 318, 68157, 74458, 106782, 89745, 593, 68954, 527, 59315, 2959, 356, 99114, 48516, 80463, 48780, 296, 1704, 7153, 2571, 122904, 71535, 116797, 122886, 50, 112552, 91500, 60069, 122882, 68358, 47, 4993, 4226, 115713, 110, 5952, 63082, 115617, 78499, 2028, 134130, 70286, 260, 3578, 81845, 112852, 91658]","[0.9619709849357605, 0.8967207074165344, 0.8946021795272827, 0.8561654090881348, 0.8489581346511841, 0.8477192521095276, 0.837014377117157, 0.8336559534072876, 0.8261092901229858, 0.8210033774375916, 0.8163862824440002, 0.815335214138031, 0.8135892152786255, 0.8130353093147278, 0.8106105923652649, 0.8072808384895325, 0.7965192794799805, 0.7944602370262146, 0.7920137047767639, 0.7899495363235474, 0.7671959400177002, 0.7621124386787415, 0.7619866728782654, 0.7584076523780823, 0.7574664354324341, 0.757112443447113, 0.7402226328849792, 0.7358663082122803, 0.7300676107406616, 0.7261059880256653, 0.7252523899078369, 0.7235247492790222, 0.7234035134315491, 0.7177395224571228, 0.7169392108917236, 0.7133419513702393, 0.7116822004318237, 0.711611270904541, 0.7114353775978088, 0.7078973054885864, 0.7075847387313843, 0.7038930654525757, 0.701133668422699, 0.6966633200645447, 0.6951540112495422, 0.6915347576141357, 0.6908190846443176, 0.6854115128517151, 0.6807577610015869, 0.6788480281829834]"
2,3,"[1371, 1093, 849, 1275, 2641, 31, 3703, 1302, 2080, 2288, 1242, 1272, 969, 1375, 2105, 1215, 1197, 3210, 720, 1587, 1345, 2018, 327, 914, 647, 1263, 2424, 1022, 1276, 616, 1231, 527, 5060, 1214, 2090, 2021, 1019, 924, 1213, 1387, 2427, 3024, 1947, 610, 1321, 1373, 1304, 1293, 2407, 1207]","[0.8555829524993896, 0.8508604764938354, 0.8468237519264221, 0.7898843884468079, 0.7732521891593933, 0.767235279083252, 0.762559711933136, 0.7436845302581787, 0.740422785282135, 0.7268357872962952, 0.7262271642684937, 0.7246044874191284, 0.7230830788612366, 0.7184404730796814, 0.7055478692054749, 0.6956864595413208, 0.6954450011253357, 0.6864579916000366, 0.6858386397361755, 0.6815388202667236, 0.676652193069458, 0.6745029091835022, 0.6688476204872131, 0.6683342456817627, 0.6639452576637268, 0.6583453416824341, 0.6582680344581604, 0.6558980941772461, 0.6540793180465698, 0.6495534777641296, 0.6486822962760925, 0.6418689489364624, 0.6334909200668335, 0.6326033473014832, 0.630466878414154, 0.6260411739349365, 0.6200001835823059, 0.6166678071022034, 0.6152576804161072, 0.6130852103233337, 0.6086568236351013, 0.6076974272727966, 0.6076738834381104, 0.6019510626792908, 0.6007665395736694, 0.600140392780304, 0.594928503036499, 0.5942984819412231, 0.590769350528717, 0.5902867317199707]"
3,4,"[903, 527, 1276, 1148, 910, 223, 1247, 2918, 1093, 1028, 1, 1206, 1207, 912, 2321, 357, 3114, 597, 1199, 235, 838, 593, 1073, 318, 608, 2289, 50, 3751, 1079, 1197, 1747, 1265, 2396, 2858, 2692, 1077, 296, 2324, 1304, 34, 1968, 342, 2395, 111, 1172, 3052, 750, 1285, 265, 29]","[1.1682498455047607, 1.096836805343628, 1.0798702239990234, 1.0731515884399414, 1.0632513761520386, 1.0594769716262817, 1.0525728464126587, 1.0435007810592651, 1.0425370931625366, 1.0417838096618652, 1.03664231300354, 1.0365129709243774, 1.0341876745224, 1.033957839012146, 1.0325344800949097, 1.0320297479629517, 1.0316601991653442, 1.031424641609192, 1.0294573307037354, 1.0273804664611816, 1.0262833833694458, 1.0254087448120117, 1.024856448173523, 1.024704098701477, 1.0217492580413818, 1.0151256322860718, 1.0121291875839233, 1.0118881464004517, 1.0111470222473145, 1.0087602138519287, 1.0053317546844482, 1.0047661066055298, 1.0034165382385254, 1.0031218528747559, 1.001537799835205, 1.0014617443084717, 0.9996799826622009, 0.9973888397216797, 0.9945052266120911, 0.9920423626899719, 0.9918971657752991, 0.9891895651817322, 0.9878917336463928, 0.9878493547439575, 0.9858494400978088, 0.9855137467384338, 0.9849912524223328, 0.984396755695343, 0.9838542938232422, 0.9830525517463684]"
4,5,"[296, 356, 593, 480, 588, 150, 590, 318, 344, 110, 595, 457, 47, 592, 380, 454, 253, 527, 161, 589, 364, 288, 300, 597, 153, 50, 349, 34, 367, 231, 32, 316, 410, 339, 500, 10, 292, 208, 39, 165, 377, 185, 539, 21, 329, 434, 1, 509, 587, 266]","[1.001099705696106, 0.9962840676307678, 0.9883387088775635, 0.9842032194137573, 0.9763020873069763, 0.9743722081184387, 0.9712979197502136, 0.9679089784622192, 0.9635921120643616, 0.9635443091392517, 0.9605669975280762, 0.9590978026390076, 0.9580033421516418, 0.9579074382781982, 0.9494101405143738, 0.947796642780304, 0.9456939101219177, 0.9401898384094238, 0.937195360660553, 0.9363505244255066, 0.9351634383201599, 0.9326082468032837, 0.9319301843643188, 0.9312770366668701, 0.9308528304100037, 0.9288357496261597, 0.9257699251174927, 0.9224773049354553, 0.9197455644607544, 0.9156558513641357, 0.9134027361869812, 0.9115968942642212, 0.9104062914848328, 0.9100596308708191, 0.9088373780250549, 0.906416654586792, 0.906208336353302, 0.9050273299217224, 0.9032981991767883, 0.901892364025116, 0.8984382748603821, 0.8944050669670105, 0.8876686692237854, 0.8873130679130554, 0.8847028613090515, 0.8845999240875244, 0.8778759837150574, 0.8757731914520264, 0.8717026710510254, 0.8711470365524292]"
5,6,"[383, 280, 86, 338, 276, 14, 540, 376, 5, 227, 135, 707, 362, 610, 637, 62, 616, 218, 21, 112, 339, 519, 371, 100, 225, 15, 640, 8, 204, 252, 314, 203, 181, 415, 237, 315, 491, 524, 95, 236, 277, 52, 230, 234, 292, 39, 165, 515, 7, 224]","[1.1866713762283325, 1.1775257587432861, 1.1713902950286865, 1.149292230606079, 1.1386384963989258, 1.1195482015609741, 1.1154038906097412, 1.1115530729293823, 1.1061757802963257, 1.1030387878417969, 1.1026349067687988, 1.1013095378875732, 1.1008220911026, 1.099687933921814, 1.0943423509597778, 1.0939304828643799, 1.0887147188186646, 1.0885071754455566, 1.0856040716171265, 1.084105134010315, 1.0822635889053345, 1.081634759902954, 1.0801211595535278, 1.0765647888183594, 1.0741289854049683, 1.07406485080719, 1.0728145837783813, 1.0718903541564941, 1.0687607526779175, 1.065106749534607, 1.057784914970398, 1.0566023588180542, 1.0562810897827148, 1.0524410009384155, 1.0522702932357788, 1.049315333366394, 1.0462970733642578, 1.045029878616333, 1.0442771911621094, 1.043886661529541, 1.0437753200531006, 1.04301118850708, 1.0411592721939087, 1.040902853012085, 1.0405752658843994, 1.0388962030410767, 1.0382726192474365, 1.0378955602645874, 1.0359848737716675, 1.035819411277771]"
6,7,"[780, 5378, 6365, 5445, 150, 3996, 2617, 8529, 5502, 1917, 6934, 2762, 2324, 6333, 6539, 4306, 5952, 4995, 5349, 1721, 3623, 480, 2028, 5218, 33493, 3793, 1961, 2571, 858, 110, 2683, 1210, 1682, 4963, 30707, 41566, 1653, 4886, 1584, 1, 648, 4022, 8636, 1246, 3717, 1580, 3948, 2012, 5459, 356]","[1.0823501348495483, 1.042698621749878, 1.0399432182312012, 1.0281862020492554, 1.0177630186080933, 1.0151060819625854, 1.0135419368743896, 1.011430025100708, 1.0076404809951782, 1.0047454833984375, 1.003495216369629, 1.0034284591674805, 1.003319501876831, 1.0000231266021729, 0.9992377758026123, 0.9965545535087585, 0.9949140548706055, 0.9948723912239075, 0.9945740103721619, 0.9925534129142761, 0.9920845627784729, 0.9901279211044312, 0.98995041847229, 0.9897699356079102, 0.9876742362976074, 0.9874211549758911, 0.9867284297943115, 0.9862073063850403, 0.9859620928764343, 0.9846103191375732, 0.9830268621444702, 0.9796521663665771, 0.9783933758735657, 0.9769537448883057, 0.9760494232177734, 0.9751855731010437, 0.9736071825027466, 0.971110999584198, 0.971095085144043, 0.9704757928848267, 0.9704753160476685, 0.9697571396827698, 0.9691189527511597, 0.9687539935112, 0.9634416699409485, 0.9606167674064636, 0.9593119621276855, 0.9578399062156677, 0.957656741142273, 0.9554261565208435]"
7,8,"[150, 380, 344, 592, 588, 590, 457, 153, 356, 480, 593, 231, 296, 316, 165, 292, 595, 349, 185, 161, 110, 329, 208, 318, 10, 339, 434, 367, 377, 47, 597, 364, 454, 253, 500, 39, 589, 288, 34, 300, 539, 410, 32, 587, 50, 1, 586, 527, 21, 225]","[0.998607873916626, 0.9889377355575562, 0.986943781375885, 0.9866275191307068, 0.985023558139801, 0.9825114011764526, 0.9762330651283264, 0.9745477437973022, 0.9739903807640076, 0.970625102519989, 0.9698243737220764, 0.9671214818954468, 0.9669263958930969, 0.9635308980941772, 0.9617180228233337, 0.9604294896125793, 0.9592140913009644, 0.9591077566146851, 0.9571052193641663, 0.9568001627922058, 0.9524596333503723, 0.9471017718315125, 0.9466262459754944, 0.9452687501907349, 0.9447733759880066, 0.9439305067062378, 0.9420475363731384, 0.9395799040794373, 0.9382418990135193, 0.9370796084403992, 0.9361412525177002, 0.9299564957618713, 0.9295932054519653, 0.9289425015449524, 0.9271498322486877, 0.9226707220077515, 0.9197888970375061, 0.9194802045822144, 0.9158468842506409, 0.9123319387435913, 0.9064440131187439, 0.8962726593017578, 0.8949195146560669, 0.8887143135070801, 0.8855823278427124, 0.8835187554359436, 0.8780640959739685, 0.8756359219551086, 0.8745947480201721, 0.8730191588401794]"
8,9,"[5902, 2300, 1674, 1270, 5218, 2011, 2023, 1037, 5952, 923, 5378, 5956, 1214, 1095, 1196, 922, 5872, 5445, 3363, 5481, 3173, 5507, 41, 1320, 1233, 3735, 627, 5451, 4558, 3996, 5349, 1987, 371, 1210, 6001, 2901, 5893, 1200, 1625, 5891, 1036, 5988, 4886, 5843, 1094, 908, 5965, 6377, 1198, 2877]","[0.8457410931587219, 0.7814010381698608, 0.780513346195221, 0.7694623470306396, 0.7661331295967102, 0.7495351433753967, 0.7492418885231018, 0.7431338429450989, 0.7409142851829529, 0.7402019500732422, 0.7354258894920349, 0.7244082689285278, 0.722897469997406, 0.7128260731697083, 0.7069330215454102, 0.7032039165496826, 0.7017440795898438, 0.7014603018760681, 0.699221134185791, 0.6877285838127136, 0.6807417869567871, 0.6775429248809814, 0.6615873575210571, 0.6569725871086121, 0.6563650369644165, 0.6445860862731934, 0.642305850982666, 0.6413301229476929, 0.6288518309593201, 0.6284556984901428, 0.6271066069602966, 0.6135358214378357, 0.606060266494751, 0.6051136255264282, 0.6043730974197388, 0.6038941144943237, 0.6028550863265991, 0.6007091403007507, 0.5972784757614136, 0.5937824249267578, 0.5881800055503845, 0.5871981382369995, 0.5749459862709045, 0.5700870752334595, 0.5699192881584167, 0.5666797757148743, 0.5653706192970276, 0.562113881111145, 0.5618361830711365, 0.559994637966156]"
9,10,"[63082, 6377, 6942, 81845, 97921, 54001, 60069, 69844, 31685, 68954, 88163, 58559, 8368, 6539, 8961, 50872, 79132, 47099, 69757, 106782, 6155, 92259, 356, 8533, 49286, 68157, 56367, 7153, 6373, 76093, 4306, 64969, 91500, 80549, 109487, 72998, 4447, 45720, 78499, 5299, 4018, 106696, 4963, 5952, 81834, 81591, 69122, 4896, 2671, 4246]","[1.1010925769805908, 1.0990703105926514, 1.0862963199615479, 1.0787519216537476, 1.0663695335388184, 1.0567864179611206, 1.0489490032196045, 1.0429540872573853, 1.0337154865264893, 1.0317021608352661, 1.026806116104126, 1.022507667541504, 1.0185456275939941, 1.0154482126235962, 1.0089963674545288, 1.0086023807525635, 1.001793384552002, 1.0001598596572876, 0.999612033367157, 0.9965324997901917, 0.9946271777153015, 0.9921637773513794, 0.9887487888336182, 0.9875066876411438, 0.9870991110801697, 0.9861367344856262, 0.9853931069374084, 0.9850152134895325, 0.9824063181877136, 0.9815436601638794, 0.9814608097076416, 0.9773998856544495, 0.9771334528923035, 0.9754221439361572, 0.9753122329711914, 0.9752311110496521, 0.973071813583374, 0.9702782034873962, 0.9678097367286682, 0.9627280831336975, 0.9588918685913086, 0.9578073620796204, 0.9552122950553894, 0.9544513821601868, 0.9541045427322388, 0.9512042999267578, 0.9511350989341736, 0.9491649866104126, 0.9484883546829224, 0.9463971853256226]"
