userId,itemIds,scores
0,"[884, 1188, 1852, 2240, 1761, 2436, 2248, 1198, 1028, 458, 2899, 613, 2515, 1018, 1691, 1044, 556, 1737, 2049, 1032, 596, 1374, 1344, 46, 438, 951, 1714, 930, 1795, 659, 1605, 2533, 1342, 2552, 526, 1035, 1999, 1036, 1412, 247, 1760, 2262, 2354, 2191, 502, 1104, 557, 1698, 2363, 1331]","[1.0846904516220093, 1.073773980140686, 1.0508360862731934, 1.049601674079895, 1.0493510961532593, 1.0445895195007324, 1.0377172231674194, 1.0348261594772339, 1.0339205265045166, 1.0335222482681274, 1.0332573652267456, 1.032434344291687, 1.0302708148956299, 1.0265518426895142, 1.0264205932617188, 1.020076036453247, 1.0199874639511108, 1.0195568799972534, 1.0153719186782837, 1.0130354166030884, 1.0119547843933105, 1.011950969696045, 1.0100295543670654, 1.0096198320388794, 1.0072009563446045, 1.005171298980713, 1.004876971244812, 1.0043140649795532, 1.0029637813568115, 1.0026987791061401, 1.0019973516464233, 1.0019423961639404, 1.0008894205093384, 1.000853180885315, 1.0003153085708618, 0.999983012676239, 0.9998728036880493, 0.9967709183692932, 0.996523916721344, 0.9950019717216492, 0.9949169158935547, 0.9946155548095703, 0.9942458271980286, 0.9923533797264099, 0.9917851090431213, 0.99112868309021, 0.9909956455230713, 0.990645170211792, 0.9903746247291565, 0.9900639653205872]"
1,"[7043, 8493, 8536, 6726, 303, 2233, 6182, 6390, 2526, 502, 2898, 8301, 557, 8701, 341, 715, 7355, 7315, 282, 8339, 2191, 5630, 1459, 7200, 7635, 4865, 7128, 8330, 8877, 49, 4182, 8328, 8534, 46, 4829, 107, 2412, 9352, 7523, 2617, 247, 7511, 1714, 3577, 6976, 7157, 3985, 7399, 3032, 6705]","[0.9517470598220825, 0.8980776071548462, 0.8834757208824158, 0.8673641085624695, 0.8465979695320129, 0.8405359387397766, 0.830078661441803, 0.8244542479515076, 0.8112353682518005, 0.8110678791999817, 0.8091816902160645, 0.8084960579872131, 0.8060988783836365, 0.8045417070388794, 0.8024255633354187, 0.7985883951187134, 0.7933728694915771, 0.7860603928565979, 0.7777664661407471, 0.7702597975730896, 0.7679088711738586, 0.7674327492713928, 0.7650996446609497, 0.7629138231277466, 0.7597571611404419, 0.7399104237556458, 0.7395384907722473, 0.7384815812110901, 0.728291928768158, 0.7243273854255676, 0.7188945412635803, 0.7186827063560486, 0.7171685099601746, 0.7145586013793945, 0.70985347032547, 0.7089282870292664, 0.7089179754257202, 0.7088715434074402, 0.7072991132736206, 0.7050219774246216, 0.7039213180541992, 0.7034631967544556, 0.6992766261100769, 0.6992214918136597, 0.6990066170692444, 0.6951043605804443, 0.6917256712913513, 0.6906821131706238, 0.6859525442123413, 0.682013213634491]"
2,"[1182, 947, 744, 1097, 3134, 2248, 30, 843, 1094, 1760, 1939, 1064, 1124, 1186, 1037, 1785, 2745, 1019, 1036, 648, 1351, 1704, 1098, 575, 1159, 4224, 1198, 595, 795, 1086, 884, 1707, 2067, 502, 805, 1035, 1126, 2899, 2050, 1770, 1135, 1022, 1053, 2585, 1100, 1029, 973, 4275, 2049, 1088]","[0.8329392075538635, 0.831824779510498, 0.8217549324035645, 0.7877465486526489, 0.7778002619743347, 0.7709179520606995, 0.7642293572425842, 0.7570640444755554, 0.7348436117172241, 0.7347145080566406, 0.7299509048461914, 0.7275316715240479, 0.7225043773651123, 0.7185379862785339, 0.7039390802383423, 0.7025858759880066, 0.7003400325775146, 0.6986790895462036, 0.6897358894348145, 0.680785059928894, 0.6753248572349548, 0.6719822883605957, 0.6687297821044922, 0.6675863265991211, 0.6624476909637451, 0.6615676879882812, 0.6574240326881409, 0.6524739265441895, 0.6493192315101624, 0.6458026170730591, 0.6391674876213074, 0.6385570764541626, 0.6352621912956238, 0.6318846940994263, 0.6314237117767334, 0.6271560788154602, 0.6261575818061829, 0.6253057718276978, 0.6186655759811401, 0.6143304705619812, 0.613542914390564, 0.6121625304222107, 0.6109368205070496, 0.6087018251419067, 0.6080332398414612, 0.6077157855033875, 0.6075668334960938, 0.6071652770042419, 0.6061294674873352, 0.6042859554290771]"
3,"[784, 502, 561, 1069, 791, 1098, 1021, 1968, 890, 1029, 557, 947, 0, 49, 282, 2039, 930, 793, 303, 342, 734, 222, 568, 2490, 1052, 341, 1019, 1107, 211, 933, 1654, 931, 1028, 1940, 988, 1110, 998, 33, 2288, 1487, 251, 327, 1129, 2038, 1126, 108, 2436, 1971, 1066, 2957]","[1.17331063747406, 1.0878126621246338, 1.0682449340820312, 1.0678542852401733, 1.0622999668121338, 1.0594799518585205, 1.047996163368225, 1.0379680395126343, 1.0346413850784302, 1.031401515007019, 1.0305109024047852, 1.029988408088684, 1.0268476009368896, 1.0219688415527344, 1.021233081817627, 1.0207587480545044, 1.0203015804290771, 1.0200713872909546, 1.0185153484344482, 1.0182125568389893, 1.015939712524414, 1.0158919095993042, 1.0154013633728027, 1.0134234428405762, 1.012528896331787, 1.0123127698898315, 1.0121233463287354, 1.009131908416748, 1.0083930492401123, 1.0028114318847656, 1.0010687112808228, 1.0002690553665161, 0.9996487498283386, 0.9983571171760559, 0.9970393776893616, 0.9946037530899048, 0.9912887215614319, 0.9895174503326416, 0.9895123839378357, 0.9891643524169922, 0.9889345169067383, 0.9887048602104187, 0.9869506359100342, 0.9856204390525818, 0.9847638607025146, 0.9840561747550964, 0.9829864501953125, 0.9814885258674622, 0.9794816970825195, 0.9775285720825195]"
4,"[282, 557, 341, 139, 458, 555, 553, 46, 107, 329, 556, 438, 303, 559, 365, 435, 502, 150, 142, 240, 349, 554, 285, 49, 561, 334, 33, 274, 352, 301, 324, 196, 218, 9, 154, 391, 477, 31, 278, 38, 362, 173, 514, 314, 0, 415, 20, 552, 252, 342]","[1.0013275146484375, 0.9912054538726807, 0.9864100217819214, 0.9799684286117554, 0.9790727496147156, 0.9769997000694275, 0.9727253317832947, 0.9646318554878235, 0.9645611047744751, 0.9630966782569885, 0.9603970050811768, 0.9588906764984131, 0.9586150050163269, 0.954890251159668, 0.94596266746521, 0.9455293416976929, 0.9389548301696777, 0.9348078966140747, 0.9323287010192871, 0.9320294857025146, 0.9313256740570068, 0.929624617099762, 0.9293169379234314, 0.9290661811828613, 0.9266380667686462, 0.9244398474693298, 0.9196960926055908, 0.9169325828552246, 0.914070188999176, 0.9122312664985657, 0.9119323492050171, 0.9104130864143372, 0.9098870754241943, 0.9075925946235657, 0.9055219888687134, 0.9026596546173096, 0.9025481343269348, 0.9024254679679871, 0.9020254015922546, 0.9009174704551697, 0.8972954750061035, 0.891300618648529, 0.8888998627662659, 0.8838985562324524, 0.8832508325576782, 0.8831416964530945, 0.881837785243988, 0.872906506061554, 0.8722866177558899, 0.8682377934455872]"
5,"[368, 266, 84, 262, 323, 13, 515, 214, 347, 570, 127, 61, 361, 495, 4, 588, 638, 206, 575, 97, 324, 109, 14, 239, 591, 356, 7, 192, 20, 213, 170, 217, 468, 300, 604, 224, 92, 154, 396, 223, 312, 263, 299, 676, 221, 191, 267, 243, 78, 259]","[1.1854678392410278, 1.1835042238235474, 1.1761345863342285, 1.147953748703003, 1.1432087421417236, 1.1383509635925293, 1.1221401691436768, 1.121713399887085, 1.1050304174423218, 1.1050152778625488, 1.1049036979675293, 1.1045068502426147, 1.1014459133148193, 1.0984619855880737, 1.0981471538543701, 1.0954025983810425, 1.095260739326477, 1.0926872491836548, 1.087502360343933, 1.0838890075683594, 1.0816965103149414, 1.081560492515564, 1.078348159790039, 1.0771965980529785, 1.0742835998535156, 1.0729962587356567, 1.0711146593093872, 1.0674493312835693, 1.0666773319244385, 1.06608247756958, 1.0632691383361816, 1.0614725351333618, 1.057433009147644, 1.0567655563354492, 1.056042194366455, 1.0556986331939697, 1.0555695295333862, 1.0549558401107788, 1.0518214702606201, 1.0498470067977905, 1.0491122007369995, 1.046750545501709, 1.0428780317306519, 1.041481375694275, 1.0412181615829468, 1.0412074327468872, 1.0403568744659424, 1.037018060684204, 1.0364362001419067, 1.0361076593399048]"
6,"[688, 4427, 5084, 1470, 4410, 139, 5441, 4480, 4184, 2355, 2191, 3065, 2229, 2281, 4531, 1647, 651, 3635, 5177, 1605, 3222, 4154, 1971, 5063, 1714, 458, 4829, 4093, 1348, 3392, 6206, 6327, 1032, 1344, 3348, 107, 1440, 1412, 1517, 0, 4318, 6260, 247, 3749, 341, 6265, 1459, 596, 4494, 748]","[1.0551904439926147, 1.0524811744689941, 1.0475152730941772, 1.0283225774765015, 1.0186165571212769, 1.016188144683838, 1.0148131847381592, 1.0060405731201172, 1.001461148262024, 0.9996950030326843, 0.9970331788063049, 0.9961594343185425, 0.9957191944122314, 0.9955324530601501, 0.9951019287109375, 0.9945263862609863, 0.9942549467086792, 0.9923678636550903, 0.9922521114349365, 0.992234468460083, 0.9914320111274719, 0.991051971912384, 0.9888060688972473, 0.9887179136276245, 0.9877094030380249, 0.9863404631614685, 0.9861850142478943, 0.9859802722930908, 0.9853655695915222, 0.9849925637245178, 0.9845150113105774, 0.9820990562438965, 0.9815874099731445, 0.9799922108650208, 0.9796947836875916, 0.9782825112342834, 0.9771478176116943, 0.9765392541885376, 0.9743548035621643, 0.9728730320930481, 0.972737729549408, 0.9720099568367004, 0.9660915732383728, 0.9657025933265686, 0.9649165272712708, 0.9633724689483643, 0.9621169567108154, 0.9608535170555115, 0.960508406162262, 0.9602794647216797]"
7,"[139, 556, 553, 329, 365, 555, 341, 438, 458, 142, 557, 282, 218, 154, 559, 301, 334, 278, 173, 107, 150, 303, 314, 196, 9, 324, 415, 352, 362, 46, 561, 349, 435, 240, 554, 477, 38, 33, 285, 274, 514, 31, 391, 552, 49, 0, 551, 502, 20, 213]","[1.0019270181655884, 0.9880552291870117, 0.9873912334442139, 0.9866379499435425, 0.9860467910766602, 0.9790441393852234, 0.9787001609802246, 0.9749549031257629, 0.9730767011642456, 0.9723544120788574, 0.9706632494926453, 0.9679105281829834, 0.9658286571502686, 0.9596877694129944, 0.9579147696495056, 0.9575985074043274, 0.9568390846252441, 0.9550382494926453, 0.9538507461547852, 0.9537310004234314, 0.9504386782646179, 0.9482382535934448, 0.9442287087440491, 0.9438843131065369, 0.9420700669288635, 0.9407293796539307, 0.9374974370002747, 0.9363924860954285, 0.9355358481407166, 0.9355284571647644, 0.9351716041564941, 0.9286266565322876, 0.9277348518371582, 0.9258110523223877, 0.9235221743583679, 0.921146810054779, 0.918691098690033, 0.9158814549446106, 0.908875584602356, 0.9058850407600403, 0.9035232067108154, 0.8939752578735352, 0.8920055031776428, 0.8893500566482544, 0.8877351880073547, 0.88646399974823, 0.8750025033950806, 0.8741540908813477, 0.8708758354187012, 0.86857008934021]"
8,"[4797, 1432, 4427, 1950, 1092, 4318, 1709, 1697, 899, 804, 2857, 4833, 4480, 4829, 949, 4774, 803, 4515, 2715, 1036, 1018, 4536, 40, 748, 1055, 1134, 1032, 4486, 3166, 5453, 5094, 580, 3392, 3836, 356, 4410, 4165, 2478, 4790, 1673, 4791, 4867, 948, 789, 28, 4856, 1020, 4823, 1022, 4184]","[0.8343867063522339, 0.773670494556427, 0.756205677986145, 0.754202127456665, 0.7530023455619812, 0.7462873458862305, 0.7366281747817993, 0.732532799243927, 0.7306605577468872, 0.7303359508514404, 0.725333034992218, 0.72492516040802, 0.7219225168228149, 0.715488076210022, 0.7031974196434021, 0.697506844997406, 0.6955238580703735, 0.6811985373497009, 0.6744388937950134, 0.6673910021781921, 0.6644209623336792, 0.6559886932373047, 0.6498350501060486, 0.6325631141662598, 0.6310800313949585, 0.6292694807052612, 0.6291006803512573, 0.6274212598800659, 0.6271324753761292, 0.6254616975784302, 0.6173394918441772, 0.6146243810653687, 0.6110484004020691, 0.6079973578453064, 0.6053622364997864, 0.5976641178131104, 0.5962544083595276, 0.5950736999511719, 0.5928228497505188, 0.5902004241943359, 0.5893205404281616, 0.5874318480491638, 0.5802615880966187, 0.5802448987960815, 0.5708832740783691, 0.5704665780067444, 0.5688557028770447, 0.567889392375946, 0.5664289593696594, 0.5613767504692078]"
9,"[9352, 5094, 5447, 7996, 7399, 8877, 9659, 3638, 2898, 8493, 9550, 6210, 8155, 6418, 6137, 7043, 5177, 5630, 3635, 8252, 6635, 7590, 6182, 8756, 7393, 7136, 3572, 5810, 4154, 7434, 341, 7215, 4947, 4099, 6726, 2233, 3749, 8534, 9620, 4373, 6971, 6155, 5090, 3413, 6976, 6705, 3211, 3038, 4182, 1470]","[1.0944068431854248, 1.0911307334899902, 1.0907249450683594, 1.0728182792663574, 1.0711910724639893, 1.0551104545593262, 1.0540087223052979, 1.0496259927749634, 1.0332891941070557, 1.030117392539978, 1.024497628211975, 1.0191624164581299, 1.011088490486145, 1.010159969329834, 1.0100693702697754, 1.0077286958694458, 1.0060374736785889, 1.0049618482589722, 1.0022889375686646, 1.0020856857299805, 0.9990309476852417, 0.9961147308349609, 0.9953597187995911, 0.990074634552002, 0.988699197769165, 0.9884759187698364, 0.9881216883659363, 0.9832980632781982, 0.9821314215660095, 0.9790101647377014, 0.9780548810958862, 0.9779483675956726, 0.9775634407997131, 0.9757755398750305, 0.9755363464355469, 0.9728866219520569, 0.9722951650619507, 0.9717583060264587, 0.9705050587654114, 0.9628262519836426, 0.9585481286048889, 0.9569270014762878, 0.9545742273330688, 0.9543473720550537, 0.9533227682113647, 0.9495084285736084, 0.9476478099822998, 0.9467655420303345, 0.9432724118232727, 0.9420299530029297]"
