userId,itemIds,top-50 scores
1,"[1036, 1210, 260, 1198, 2628, 1291, 1270, 2916, 1196, 2571, 2115, 1089, 296, 1580, 608, 318, 1, 2716, 47, 2858, 2985, 2762, 1573, 2028, 858, 1676, 1240, 527, 2011, 1200, 2005, 589, 1197, 780, 2683, 648, 3793, 1214, 2000, 2012, 2161, 3578, 1265, 1097, 2174, 1213, 924, 356, 1222, 2193]","[5.221703, 5.178655, 5.094717, 4.891104, 4.8861175, 4.7902865, 4.667903, 4.638808, 4.587468, 4.464375, 4.446975, 4.303468, 4.2735925, 4.1917267, 4.1729264, 4.1563425, 4.154935, 4.1246843, 4.0587425, 3.9782116, 3.939395, 3.9299912, 3.9088783, 3.8821678, 3.8426638, 3.7757373, 3.7641478, 3.7008097, 3.6191983, 3.6149168, 3.6041396, 3.4950461, 3.4644163, 3.4504247, 3.4237328, 3.4227223, 3.4202268, 3.4199955, 3.3721843, 3.352283, 3.3517063, 3.334499, 3.2811048, 3.2732048, 3.2643483, 3.2553923, 3.2513323, 3.2465796, 3.2265317, 3.2185993]"
2,"[74458, 91529, 79132, 106782, 115713, 99114, 131724, 58559, 134130, 122904, 68157, 91658, 112552, 84152, 139385, 81591, 67255, 89745, 109487, 79702, 109374, 111759, 48780, 93510, 69122, 3147, 106920, 112556, 80463, 94959, 63082, 107348, 112183, 102407, 152077, 114060, 59315, 356, 593, 166528, 115149, 60684, 296, 5952, 107406, 80906, 7153, 112852, 50, 116797]","[2.685049, 2.4878707, 2.364437, 2.2741218, 2.0160265, 1.8470403, 1.71944, 1.5534992, 1.4350122, 1.4256406, 1.3038371, 1.2470028, 1.2189672, 1.216171, 1.2006638, 1.187072, 1.1356078, 1.0720122, 1.0372996, 0.9700285, 0.9617718, 0.95665836, 0.9026046, 0.8841922, 0.8830172, 0.87929523, 0.87218964, 0.8648068, 0.85849535, 0.8278329, 0.7888553, 0.7792601, 0.77668464, 0.73969626, 0.7253368, 0.5982187, 0.5680328, 0.5661027, 0.5555563, 0.54536283, 0.54518807, 0.54318863, 0.53916615, 0.52752596, 0.5260546, 0.52473533, 0.5207283, 0.5192437, 0.5143505, 0.5131499]"
3,"[5746, 6835, 7899, 3034, 1282, 2018, 1947, 1587, 1033, 1025, 2144, 902, 26409, 1372, 1374, 1375, 318, 1126, 296, 2380, 46974, 3253, 1373, 1732, 1376, 1129, 50, 2087, 2141, 1356, 91660, 2080, 2050, 1275, 2193, 3098, 1127, 596, 2090, 6958, 2033, 1976, 1307, 3702, 2779, 3689, 2537, 6753, 2692, 968]","[2.617504, 2.617504, 2.617504, 1.3306305, 0.8861042, 0.87746227, 0.8296114, 0.806677, 0.79519963, 0.77526784, 0.76781064, 0.7432089, 0.6687086, 0.55018103, 0.538366, 0.5218447, 0.5093691, 0.49999994, 0.49132615, 0.4768589, 0.47685885, 0.47172016, 0.46801478, 0.46306968, 0.4615384, 0.45655036, 0.45615706, 0.4547678, 0.4540617, 0.45375443, 0.44948965, 0.44835278, 0.4480184, 0.4432183, 0.44254375, 0.4421314, 0.44182673, 0.43160006, 0.42910945, 0.4278775, 0.4238021, 0.4217934, 0.42174208, 0.4214702, 0.4184144, 0.4168894, 0.4168894, 0.4166666, 0.41420862, 0.41367042]"
4,"[759, 4765, 4347, 106, 4074, 3851, 4166, 4260, 4252, 1784, 2599, 1288, 3897, 1221, 937, 778, 4034, 1641, 4273, 3481, 1914, 3538, 1089, 904, 2395, 3911, 1860, 2997, 4014, 3253, 1079, 2692, 1617, 908, 1193, 111, 923, 1734, 1270, 4020, 593, 1304, 2329, 3060, 2076, 1923, 171, 608, 1917, 348]","[3.6590667, 3.4718916, 3.3803065, 3.131132, 3.131132, 3.131132, 3.131132, 3.131132, 3.131132, 3.026206, 2.9240522, 2.8722394, 2.7938557, 2.740924, 2.6891677, 2.6641104, 2.647706, 2.5884814, 2.5420697, 2.4495764, 2.4301643, 2.4222753, 2.4106278, 2.3535328, 2.3095021, 2.3065338, 2.2567549, 2.2291186, 2.2175632, 2.217392, 2.1898913, 2.1859639, 2.1830144, 2.1670547, 2.1194215, 2.0827281, 2.0606227, 2.044182, 2.0285542, 2.0253258, 1.9924377, 1.9515893, 1.9393718, 1.9331609, 1.9330926, 1.932178, 1.86792, 1.8544763, 1.8472252, 1.8453919]"
5,"[590, 592, 153, 588, 367, 380, 595, 344, 34, 457, 364, 329, 165, 349, 480, 32, 316, 296, 110, 47, 10, 589, 253, 150, 161, 317, 231, 288, 587, 410, 356, 208, 318, 292, 593, 434, 300, 185, 39, 539, 266, 50, 235, 586, 474, 21, 594, 339, 225, 357]","[4.1032066, 3.7320333, 3.7016718, 3.6316736, 3.5243516, 3.4181094, 3.3459194, 3.1654272, 3.150972, 3.1357167, 3.1329675, 2.826457, 2.6865592, 2.6609163, 2.6427593, 2.635274, 2.6119723, 2.5544095, 2.551341, 2.5509882, 2.5166926, 2.463706, 2.425641, 2.4144373, 2.391409, 2.3546357, 2.3390489, 2.2708344, 2.1832023, 2.1353557, 2.0969424, 2.0753603, 2.0662665, 2.059914, 2.0477602, 2.0369844, 2.0219574, 1.9257405, 1.9166366, 1.8917179, 1.8821858, 1.8644695, 1.8584816, 1.8392868, 1.7792832, 1.7374887, 1.7245286, 1.717332, 1.7090776, 1.7013625]"
6,"[434, 10, 292, 165, 349, 460, 344, 592, 153, 316, 329, 179, 457, 380, 270, 236, 508, 185, 480, 454, 191, 505, 588, 208, 282, 474, 288, 252, 225, 1006, 11, 881, 371, 102, 161, 350, 253, 340, 160, 151, 234, 274, 310, 189, 510, 254, 243, 775, 219, 336]","[4.6122313, 4.5897603, 4.5739465, 4.280586, 4.263236, 4.2567916, 4.2490616, 4.2487564, 4.2302465, 4.227713, 4.1895957, 4.181476, 4.138035, 3.9088936, 3.8806546, 3.867775, 3.8522458, 3.8309863, 3.6885486, 3.6853642, 3.6633353, 3.6538332, 3.605556, 3.5870957, 3.5650008, 3.561687, 3.5540063, 3.5166242, 3.480351, 3.4570665, 3.4473407, 3.4443464, 3.4306154, 3.4289713, 3.4178848, 3.4053538, 3.4038365, 3.3966274, 3.3947277, 3.3755703, 3.366169, 3.333651, 3.3333323, 3.3333323, 3.3333323, 3.3333323, 3.3333323, 3.3333323, 3.3333323, 3.3333323]"
7,"[6333, 6365, 4886, 5349, 8636, 33493, 5502, 6934, 5218, 4993, 7143, 5816, 5464, 6377, 1580, 5378, 8360, 6539, 7153, 296, 3623, 4776, 8961, 34048, 45722, 8368, 1210, 3793, 54272, 8644, 5010, 6863, 858, 1, 34405, 3147, 4896, 5459, 5952, 2571, 3977, 4370, 5991, 2628, 318, 45499, 3114, 480, 6874, 1291]","[4.1932817, 4.09412, 3.7592735, 3.6164584, 3.5689507, 3.562588, 3.4894226, 3.465616, 3.4264784, 3.343583, 3.3220556, 3.1760676, 3.1725032, 3.134, 3.034471, 2.9958718, 2.9853916, 2.8975728, 2.774771, 2.6993155, 2.6935365, 2.6426206, 2.6352675, 2.6125922, 2.5614395, 2.5499222, 2.4541082, 2.453164, 2.4478834, 2.37821, 2.3724756, 2.3688953, 2.34397, 2.3302033, 2.3221824, 2.2899933, 2.2620742, 2.2587562, 2.2567456, 2.2421904, 2.1846313, 2.1569223, 2.1541996, 2.1284518, 2.1064188, 2.0932517, 2.0852253, 2.0844667, 2.0835462, 2.0555725]"
8,"[539, 597, 356, 296, 480, 587, 318, 357, 161, 288, 339, 39, 47, 21, 377, 500, 50, 380, 231, 344, 110, 208, 589, 160, 350, 367, 150, 185, 474, 34, 592, 593, 165, 410, 349, 316, 2, 457, 19, 590, 588, 434, 236, 6, 253, 527, 586, 364, 440, 337]","[3.9422202, 3.8035517, 3.7309053, 3.722981, 3.5963664, 3.5802999, 3.5682282, 3.3648138, 3.322877, 3.1547918, 3.1175945, 3.109052, 3.0760608, 2.9958134, 2.9443645, 2.9012778, 2.8870618, 2.7734287, 2.7006207, 2.6509628, 2.5062356, 2.4961076, 2.4754395, 2.4710467, 2.4479911, 2.432769, 2.3897731, 2.3843095, 2.2601058, 2.2360058, 2.1691575, 2.1657226, 2.11471, 2.1098137, 2.090116, 2.0817158, 2.0339093, 2.0320668, 2.028047, 2.0152812, 2.0097964, 1.9959419, 1.9920757, 1.9813776, 1.9293947, 1.9230714, 1.8957304, 1.891653, 1.8741469, 1.7905746]"
9,"[6044, 5962, 5890, 4131, 5988, 1527, 4018, 5893, 2012, 5502, 5816, 6377, 2797, 4447, 1987, 1584, 3114, 5447, 6218, 7153, 1276, 627, 4993, 6539, 1210, 5349, 2115, 1196, 33794, 2011, 1270, 6333, 58559, 8360, 33493, 260, 6874, 4343, 1580, 4896, 4226, 1197, 5507, 5872, 6287, 1291, 7228, 51091, 5378, 2716]","[2.8990812, 2.8990812, 2.8990812, 1.6171541, 1.5098001, 1.4610963, 1.2314482, 1.1876965, 1.0702021, 1.0000495, 0.9836755, 0.97207713, 0.89249337, 0.8921456, 0.8786794, 0.8588789, 0.8177662, 0.8016393, 0.7316271, 0.7143467, 0.688787, 0.6864025, 0.681847, 0.60947835, 0.60261285, 0.5465884, 0.5454648, 0.5371997, 0.5355249, 0.5352427, 0.5352427, 0.52909166, 0.52752596, 0.5248363, 0.5213533, 0.52070665, 0.5206366, 0.51178044, 0.5106904, 0.5049093, 0.5045109, 0.5038615, 0.5019051, 0.5019051, 0.5014948, 0.50130725, 0.49999994, 0.49999994, 0.49969453, 0.49692148]"
10,"[82167, 4993, 113394, 113275, 137595, 97024, 31433, 5952, 7153, 51705, 5066, 47099, 2959, 58559, 60069, 79132, 94070, 70293, 74450, 6539, 60397, 49286, 56949, 78772, 31685, 54286, 81784, 91104, 318, 72407, 2858, 45499, 81845, 2762, 91529, 4226, 95449, 98203, 63992, 3578, 527, 49272, 70286, 60950, 82499, 1704, 68358, 74458, 4246, 5620]","[3.4139555, 3.3512828, 2.9754195, 2.9754195, 2.9754195, 2.9754195, 2.9617414, 2.7918062, 2.7874563, 2.7392223, 2.6743104, 2.6531785, 2.5788155, 2.5393782, 2.4854693, 2.3728924, 2.3329759, 2.3230615, 2.3160334, 2.315335, 2.2786808, 2.2719903, 2.246412, 2.1719372, 2.1622725, 2.1593182, 2.1176867, 2.1086533, 2.1010706, 2.0804658, 2.0729609, 2.04418, 2.0397227, 2.0082827, 1.9881188, 1.9696045, 1.9510815, 1.9403303, 1.9367127, 1.9260641, 1.8999872, 1.8921975, 1.8914644, 1.8820868, 1.850791, 1.8384753, 1.8382854, 1.8041966, 1.775279, 1.7646371]"
