userId,itemIds,top-50 scores
1,"[318, 296, 110, 480, 356, 593, 150, 589, 2571, 457, 380, 260, 590, 592, 780, 32, 1, 50, 588, 1196, 47, 608, 527, 648, 1210, 2858, 316, 367, 165, 377, 344, 736, 153, 1198, 10, 733, 2028, 1580, 364, 329, 500, 1270, 349, 858, 2959, 595, 1214, 597, 539, 161]","[7.866229, 7.79974, 7.7004833, 7.56616, 7.4792233, 7.409911, 7.3379045, 7.3034525, 7.2868085, 7.2512684, 7.2482657, 7.2150464, 7.1577353, 7.155165, 7.1348867, 7.097476, 6.9635296, 6.8540535, 6.7442684, 6.685725, 6.672946, 6.655464, 6.650022, 6.643238, 6.617263, 6.5682387, 6.568036, 6.546015, 6.5344048, 6.4820495, 6.474622, 6.452452, 6.4212003, 6.3678913, 6.3022947, 6.2941217, 6.221833, 6.1850247, 6.1769137, 6.166772, 6.1535764, 6.1378136, 6.1271076, 6.114549, 6.1029387, 6.063006, 6.054082, 6.046058, 6.009198, 5.9848695]"
2,"[79132, 58559, 2571, 318, 7153, 2959, 4993, 356, 68954, 5952, 60069, 91529, 6539, 59315, 4226, 109487, 89745, 296, 6377, 68157, 7361, 33794, 8961, 72998, 4306, 593, 260, 6874, 116797, 99114, 527, 50872, 4896, 5989, 48516, 74458, 4886, 858, 4995, 106782, 112852, 50, 1198, 80463, 44191, 5418, 48780, 2329, 589, 3578]","[4.3947463, 4.1428137, 4.095361, 4.053397, 4.014676, 3.8118246, 3.8018506, 3.76319, 3.7164743, 3.7008233, 3.5572565, 3.551302, 3.5363011, 3.4846108, 3.474949, 3.4631255, 3.3995202, 3.3958466, 3.3859766, 3.383241, 3.3721795, 3.3669107, 3.3365426, 3.3236306, 3.286604, 3.2849422, 3.2442846, 3.2396111, 3.2331617, 3.2021189, 3.1924818, 3.1700265, 3.1690924, 3.148714, 3.136656, 3.1338365, 3.1221442, 3.1181204, 3.104454, 3.1024246, 3.093654, 3.0912938, 3.0890372, 3.0817947, 3.0815778, 3.0712628, 3.059125, 3.051373, 3.0473294, 3.044556]"
3,"[296, 110, 150, 480, 590, 380, 592, 457, 318, 589, 32, 593, 780, 356, 316, 588, 260, 1, 165, 736, 349, 344, 648, 153, 329, 50, 367, 2571, 733, 377, 10, 454, 47, 161, 608, 1196, 527, 292, 95, 185, 539, 253, 1210, 587, 339, 434, 34, 597, 595, 208]","[4.6366735, 4.621633, 4.6022596, 4.581895, 4.571511, 4.564741, 4.5299735, 4.4995413, 4.4739127, 4.382831, 4.373153, 4.360534, 4.333484, 4.326631, 4.1852393, 4.1690764, 4.158631, 4.145963, 4.098627, 4.090226, 4.0485888, 4.035433, 4.035357, 4.031298, 4.001961, 3.9906888, 3.9906065, 3.950171, 3.948224, 3.931493, 3.916821, 3.910218, 3.9022768, 3.8927827, 3.8655598, 3.8584144, 3.8507056, 3.8075914, 3.790887, 3.7856853, 3.7848787, 3.7763247, 3.7708483, 3.7576811, 3.739752, 3.7238197, 3.7132752, 3.7078846, 3.6927922, 3.6686962]"
4,"[296, 110, 590, 150, 593, 318, 457, 592, 480, 780, 380, 32, 260, 589, 527, 356, 1, 2571, 2858, 608, 50, 588, 25, 1196, 316, 736, 47, 648, 349, 454, 329, 367, 1210, 153, 377, 539, 733, 161, 357, 300, 2028, 344, 1304, 1198, 597, 10, 36, 235, 587, 1214]","[6.3673415, 6.2304997, 6.1905837, 6.106772, 6.0062733, 6.0062175, 5.9630046, 5.943356, 5.9205303, 5.884708, 5.882028, 5.7473583, 5.698727, 5.6854196, 5.541469, 5.535499, 5.5133796, 5.5087757, 5.502826, 5.4822803, 5.467277, 5.4495487, 5.407163, 5.299834, 5.2942457, 5.262738, 5.2609086, 5.2534847, 5.2444115, 5.2000203, 5.1768403, 5.1766996, 5.1203456, 5.118007, 5.109815, 5.0702796, 5.070251, 5.051164, 5.031975, 5.0308723, 5.012, 5.004462, 5.00416, 4.9974513, 4.9897156, 4.987659, 4.976408, 4.9688516, 4.9493504, 4.948906]"
5,"[296, 110, 318, 150, 590, 380, 592, 480, 356, 593, 457, 589, 32, 780, 165, 588, 316, 1, 344, 292, 50, 349, 153, 527, 260, 47, 161, 367, 10, 434, 329, 648, 736, 454, 253, 2571, 208, 377, 364, 595, 34, 25, 95, 300, 185, 339, 733, 539, 608, 500]","[4.9822726, 4.945245, 4.8732696, 4.851896, 4.7626786, 4.7106113, 4.6939006, 4.682546, 4.682321, 4.675012, 4.5839458, 4.5241914, 4.4611726, 4.389116, 4.3519006, 4.3407183, 4.310654, 4.290071, 4.2379885, 4.2099757, 4.2077208, 4.1946964, 4.191076, 4.188363, 4.1139183, 4.1135926, 4.075744, 4.07335, 4.0703564, 4.067609, 4.066626, 4.0581474, 4.0498033, 4.039333, 4.037025, 4.033646, 4.013271, 4.0019608, 3.9328527, 3.8902037, 3.8769255, 3.8744082, 3.8704658, 3.8639042, 3.8421714, 3.8393266, 3.8179665, 3.7992783, 3.7968426, 3.7613428]"
6,"[292, 349, 95, 434, 592, 380, 329, 141, 590, 161, 316, 454, 253, 153, 165, 225, 736, 150, 457, 350, 300, 7, 474, 62, 25, 315, 236, 339, 185, 432, 21, 252, 494, 10, 110, 266, 786, 733, 344, 440, 32, 587, 780, 288, 208, 410, 36, 553, 539, 480]","[8.859344, 8.775373, 8.565189, 8.528663, 8.434974, 8.385097, 8.305246, 8.286294, 8.282879, 8.10589, 8.095397, 7.841219, 7.764818, 7.7337456, 7.7328444, 7.697951, 7.683885, 7.645262, 7.6231446, 7.5584264, 7.555392, 7.3235073, 7.3109317, 7.2394786, 7.214673, 7.189385, 7.1772885, 7.1692367, 7.1679, 7.060662, 7.0299683, 6.981025, 6.976253, 6.9629955, 6.9486647, 6.936459, 6.931479, 6.9244404, 6.9033647, 6.874436, 6.8454347, 6.8240895, 6.819574, 6.7519565, 6.702644, 6.70042, 6.6791716, 6.6512837, 6.6375628, 6.6124644]"
7,"[2571, 318, 356, 296, 2959, 260, 593, 4993, 7153, 110, 2858, 527, 589, 5952, 480, 50, 1198, 1196, 58559, 6539, 858, 1210, 79132, 2028, 4226, 1, 4306, 7361, 47, 3578, 6377, 1270, 608, 2762, 2329, 1580, 4886, 150, 1704, 8961, 4995, 6874, 780, 3793, 32, 5418, 1721, 1036, 364, 1221]","[7.603214, 7.566848, 7.0500474, 6.853039, 6.7505116, 6.604603, 6.573157, 6.4950676, 6.461546, 6.368999, 6.2755995, 6.253906, 6.2495685, 6.2470603, 6.1502175, 6.130208, 6.101705, 6.0864935, 6.0816083, 6.081575, 6.069123, 6.0397773, 6.001382, 6.0011153, 5.986333, 5.944373, 5.895817, 5.8515716, 5.8270674, 5.8245254, 5.7865357, 5.7700276, 5.7566853, 5.753882, 5.730334, 5.664408, 5.629618, 5.608291, 5.5910053, 5.5631933, 5.508141, 5.5039296, 5.4999685, 5.4914823, 5.462188, 5.4442935, 5.4371886, 5.428643, 5.415181, 5.4057236]"
8,"[296, 110, 318, 150, 356, 380, 590, 480, 592, 593, 457, 589, 32, 165, 780, 588, 316, 1, 344, 292, 153, 349, 50, 434, 527, 47, 10, 208, 367, 260, 648, 161, 329, 736, 253, 2571, 377, 454, 364, 95, 595, 34, 185, 733, 339, 500, 300, 539, 231, 25]","[4.938089, 4.927061, 4.874629, 4.8293257, 4.7350926, 4.7216563, 4.711325, 4.699731, 4.6845474, 4.6371274, 4.576601, 4.530808, 4.455177, 4.4327316, 4.3605137, 4.348899, 4.3348975, 4.299297, 4.280566, 4.239138, 4.21815, 4.188575, 4.185491, 4.14667, 4.1102786, 4.10677, 4.10416, 4.1032577, 4.093658, 4.0905027, 4.076196, 4.0733, 4.0704293, 4.067096, 4.0551534, 4.0155354, 4.01524, 4.0126762, 3.994217, 3.934212, 3.9199166, 3.866202, 3.8658457, 3.8406045, 3.836862, 3.7947671, 3.7905092, 3.7868054, 3.7676618, 3.752475]"
9,"[110, 457, 592, 380, 780, 480, 296, 590, 32, 589, 150, 593, 608, 318, 260, 316, 153, 329, 736, 648, 50, 1196, 733, 349, 1214, 377, 95, 47, 2858, 1210, 2571, 10, 253, 161, 367, 165, 21, 454, 1374, 235, 25, 1, 356, 1617, 185, 6, 344, 587, 527, 1356]","[3.4251468, 3.3931177, 3.3771374, 3.3493228, 3.313765, 3.2819452, 3.2702923, 3.254842, 3.2263277, 3.1966095, 3.1733286, 3.1239214, 3.1101532, 3.1096995, 3.0974753, 3.0542252, 3.041479, 3.0151033, 3.014858, 3.0091558, 3.0032554, 2.9864204, 2.98243, 2.967556, 2.9635718, 2.9594436, 2.9428883, 2.930051, 2.9196217, 2.8654203, 2.8654056, 2.8513565, 2.8459234, 2.845754, 2.845053, 2.8298771, 2.822477, 2.81492, 2.8125796, 2.8057356, 2.803644, 2.7892678, 2.7831228, 2.7828257, 2.7819345, 2.7814198, 2.7710779, 2.7650857, 2.7627335, 2.7625668]"
10,"[79132, 58559, 7153, 2571, 68954, 4993, 60069, 91529, 318, 6377, 2959, 72998, 5952, 6539, 59315, 356, 8961, 109487, 50872, 106782, 89745, 4226, 68157, 7361, 33794, 4896, 116797, 4306, 69122, 4886, 99114, 69844, 5989, 112852, 122904, 6874, 4995, 91500, 74458, 109374, 81845, 8368, 5418, 119145, 4963, 80463, 48516, 48780, 59784, 56367]","[6.518373, 6.06629, 5.79526, 5.671859, 5.60881, 5.451877, 5.3346195, 5.3323884, 5.3155804, 5.278724, 5.252847, 5.2246532, 5.220515, 5.219036, 5.172752, 5.13253, 5.060038, 5.049266, 4.955311, 4.9053392, 4.899054, 4.8938293, 4.8895826, 4.88064, 4.8535995, 4.8473163, 4.814605, 4.78479, 4.734779, 4.730215, 4.699732, 4.697668, 4.673852, 4.6723685, 4.6485934, 4.643462, 4.638535, 4.6311393, 4.6231403, 4.612475, 4.6104097, 4.592165, 4.5717473, 4.566169, 4.5560713, 4.528172, 4.527026, 4.5232, 4.5187516, 4.45833]"
