,top-100 itemIds,top-100 scores
1,"[3175, 1320, 2302, 2355, 1968, 2657, 1374, 1909, 1278, 2699, 1544, 3552, 1722, 2683, 1372, 1391, 2804, 1876, 2791, 1200, 1101, 2723, 2001, 551, 2011, 1690, 2002, 1485, 2407, 2763, 1356, 1923, 1376, 3114, 2006, 1527, 1407, 1597, 1729, 924, 4571, 1610, 2918, 3994, 1917, 1373, 2968, 1387, 1997, 2393, 2194, 3421, 2710, 1079, 1584, 608, 2423, 4085, 2023, 1562, 2455, 3868, 2605, 2706, 589, 1288, 1333, 1653, 2599, 1304, 1036, 3897, 3081, 3256, 3174, 1234, 3039, 1201, 1994, 1148, 2371, 2124, 2717, 3499, 1721, 5349, 1276, 953, 1370, 2396, 1608, 520, 32, 1307, 2321, 2100, 1371, 3210, 3623, 3471]","[2.6885045, 2.688221, 2.645033, 2.6256704, 2.6255722, 2.6249652, 2.6165118, 2.612891, 2.5911734, 2.5881574, 2.5732856, 2.569165, 2.5669584, 2.5664926, 2.5557704, 2.5555913, 2.549479, 2.546573, 2.5451362, 2.541229, 2.535954, 2.530972, 2.5298934, 2.5253038, 2.521781, 2.51736, 2.5128083, 2.5088544, 2.5085409, 2.497787, 2.49681, 2.496391, 2.4958358, 2.4914978, 2.483858, 2.4829104, 2.4725325, 2.4704642, 2.468318, 2.465419, 2.4615643, 2.4604874, 2.4542756, 2.4520087, 2.4396183, 2.4372025, 2.4341507, 2.4303195, 2.4265165, 2.4261193, 2.4247482, 2.4130309, 2.4121478, 2.410544, 2.407676, 2.4056575, 2.4055743, 2.40443, 2.3956141, 2.395453, 2.390902, 2.3888984, 2.3873155, 2.3862083, 2.384061, 2.383798, 2.3825362, 2.3815541, 2.3783832, 2.3778558, 2.376635, 2.3763309, 2.375913, 2.3742237, 2.3739662, 2.3737354, 2.3718812, 2.3651798, 2.3613997, 2.3606668, 2.3560545, 2.3533854, 2.3532186, 2.3495238, 2.3481073, 2.3451872, 2.3406777, 2.3389602, 2.3377934, 2.3373826, 2.3352582, 2.334424, 2.3332958, 2.331769, 2.3307772, 2.330638, 2.3303425, 2.324779, 2.324395, 2.3234217]"
2,"[89745, 109374, 115617, 134130, 116797, 112183, 80463, 96079, 88125, 57669, 112556, 111759, 110102, 59315, 56174, 91542, 81932, 122904, 86882, 91500, 77561, 104841, 91630, 168252, 108932, 95510, 76093, 97938, 51255, 79091, 94959, 122886, 78499, 60040, 81591, 122892, 106920, 82459, 98809, 48780, 70286, 79702, 67255, 122918, 148626, 102125, 36529, 88140, 60069, 97304, 94864, 69844, 88744, 64614, 86880, 142488, 81834, 72998, 68358, 45499, 59784, 112852, 111362, 61323, 84152, 63113, 134853, 139385, 97752, 106072, 152081, 87232, 166528, 119145, 61132, 48394, 105504, 54286, 97913, 59615, 68954, 69481, 51662, 72011, 49272, 168250, 53125, 30812, 103042, 102903, 94777, 122920, 69122, 88163, 64839, 6502, 66097, 53322, 103341, 7153]","[2.7759979, 2.7520418, 2.7408893, 2.7207897, 2.6849332, 2.6774714, 2.6667707, 2.6320925, 2.6287742, 2.6060543, 2.6017451, 2.5989897, 2.5947359, 2.5782337, 2.5771499, 2.5692482, 2.567023, 2.5627453, 2.5544624, 2.5537536, 2.5536904, 2.548017, 2.53445, 2.5239289, 2.5235138, 2.5202684, 2.5177898, 2.5167294, 2.5102196, 2.4844065, 2.479021, 2.4757605, 2.474638, 2.4722257, 2.4719472, 2.4708004, 2.4647439, 2.4596891, 2.4589906, 2.4572346, 2.4511876, 2.4444962, 2.4442656, 2.441739, 2.4407783, 2.4329245, 2.4322288, 2.429179, 2.4280257, 2.4263017, 2.4190443, 2.416392, 2.41608, 2.413804, 2.4082627, 2.405301, 2.397196, 2.3953536, 2.3819942, 2.3815253, 2.3734627, 2.3690977, 2.364044, 2.3576224, 2.356773, 2.355897, 2.3496826, 2.3448098, 2.340983, 2.3395967, 2.337042, 2.3370173, 2.3355787, 2.332056, 2.3311381, 2.3189816, 2.3148906, 2.3133202, 2.3130133, 2.31205, 2.3104095, 2.2911456, 2.2891865, 2.2828503, 2.2825472, 2.277898, 2.277178, 2.2753258, 2.2700467, 2.2665894, 2.265399, 2.2628298, 2.2628167, 2.2616425, 2.2608178, 2.2605515, 2.260405, 2.255847, 2.2523441, 2.2517734]"
3,"[1333, 1345, 2641, 3450, 2268, 2054, 2421, 1407, 3638, 3257, 1035, 1388, 1994, 60, 3534, 2094, 2087, 910, 2947, 2406, 1367, 2161, 1307, 3671, 3114, 1321, 3072, 2915, 1544, 3269, 2423, 1376, 2002, 2411, 1997, 1022, 2804, 1327, 1909, 1372, 520, 1391, 2746, 1374, 1517, 2001, 1320, 2431, 1278, 2792, 2470, 2985, 3499, 1954, 1924, 1566, 2687, 2174, 2000, 2640, 2987, 2407, 1210, 2013, 2302, 2410, 919, 1276, 1019, 1573, 2953, 2993, 1947, 969, 1269, 1907, 2791, 2124, 1214, 410, 594, 1073, 1356, 1220, 1086, 3552, 2699, 3175, 1597, 2078, 1288, 648, 2409, 1569, 1610, 1304, 34, 2427, 2716, 2081]","[2.2370324, 2.2223673, 2.182798, 2.1767201, 2.1559174, 2.1398218, 2.086423, 2.0710032, 2.0424, 2.0276258, 2.0058732, 1.9931405, 1.9852095, 1.9782312, 1.9781559, 1.9778568, 1.9549162, 1.9502344, 1.9426284, 1.9399946, 1.9341468, 1.9336329, 1.93351, 1.9334564, 1.9254279, 1.9235847, 1.918082, 1.9155822, 1.9154733, 1.9125048, 1.9002547, 1.8985605, 1.8921895, 1.8919296, 1.8911479, 1.8850286, 1.8817414, 1.8784157, 1.8754523, 1.8749826, 1.871222, 1.8704963, 1.8704853, 1.8670516, 1.866198, 1.8561418, 1.8534567, 1.8534365, 1.8528249, 1.8526912, 1.8512983, 1.8511245, 1.847233, 1.8458929, 1.8403909, 1.837682, 1.8329388, 1.8315581, 1.8270613, 1.8229517, 1.8140813, 1.811783, 1.8098226, 1.808872, 1.8067083, 1.805969, 1.7987938, 1.7941729, 1.7896879, 1.789305, 1.7856584, 1.7853563, 1.7842741, 1.7748351, 1.7726803, 1.7697358, 1.769481, 1.7654686, 1.765311, 1.7612207, 1.7601733, 1.7598389, 1.7564888, 1.7536864, 1.752421, 1.7457294, 1.7454801, 1.7443991, 1.7437696, 1.7411569, 1.7379661, 1.7375987, 1.7366464, 1.7366323, 1.7365279, 1.7357643, 1.7338772, 1.7338271, 1.7334487, 1.7333771]"
4,"[913, 1267, 3418, 5060, 1358, 1263, 2289, 1272, 933, 1252, 1299, 3448, 58, 2020, 1092, 2352, 1262, 1233, 1172, 29, 2710, 1276, 2302, 903, 969, 3101, 1230, 1912, 1960, 1234, 1204, 1084, 1285, 1249, 25, 1247, 2243, 17, 2108, 2539, 474, 300, 543, 1093, 3363, 1244, 1296, 497, 1958, 3362, 36, 2427, 3160, 194, 1242, 852, 246, 1287, 1394, 1747, 1284, 1610, 1220, 266, 924, 11, 3072, 1680, 111, 1396, 1224, 337, 838, 1193, 1235, 1231, 541, 1186, 296, 590, 2908, 1374, 1127, 1307, 1208, 2944, 1584, 2396, 1278, 2968, 2890, 953, 1228, 224, 1674, 1061, 2948, 471, 1258, 1407]","[2.6594286, 2.654923, 2.6153326, 2.567705, 2.548187, 2.5358372, 2.528932, 2.5076098, 2.5014884, 2.4640315, 2.4477885, 2.4447138, 2.434927, 2.4095726, 2.4095075, 2.3894918, 2.3890917, 2.3889985, 2.3884983, 2.3803205, 2.3757114, 2.3732336, 2.3684335, 2.3675256, 2.3581283, 2.33883, 2.3248782, 2.3245625, 2.321199, 2.3179936, 2.317882, 2.3060021, 2.305163, 2.2991047, 2.2990444, 2.2949038, 2.2916503, 2.2888198, 2.2848954, 2.2807217, 2.2790914, 2.2768977, 2.276641, 2.2728553, 2.2696528, 2.2695136, 2.2659822, 2.2645671, 2.260722, 2.2546391, 2.252252, 2.2430995, 2.241017, 2.2397323, 2.226193, 2.2208176, 2.2054772, 2.191625, 2.186596, 2.1843135, 2.1826336, 2.1824992, 2.180085, 2.1764107, 2.1748054, 2.1746423, 2.1723733, 2.165896, 2.1654854, 2.1633024, 2.1597435, 2.1573849, 2.154626, 2.1533778, 2.1513803, 2.1503258, 2.147997, 2.1464963, 2.1395388, 2.1350403, 2.135007, 2.1321192, 2.1288009, 2.1286013, 2.1279912, 2.1227343, 2.1223655, 2.119331, 2.117426, 2.117149, 2.1119077, 2.1118011, 2.1027553, 2.0998042, 2.098177, 2.0971293, 2.095961, 2.0951204, 2.093269, 2.0903206]"
5,"[356, 780, 593, 480, 377, 339, 736, 150, 32, 337, 318, 10, 161, 260, 587, 185, 454, 165, 47, 292, 208, 17, 648, 16, 434, 329, 231, 1393, 508, 500, 62, 1391, 552, 163, 235, 141, 293, 1407, 2571, 440, 539, 288, 586, 317, 1198, 6, 223, 111, 788, 858, 1246, 368, 2628, 1197, 912, 551, 1073, 2706, 1721, 520, 1059, 11, 1584, 924, 733, 1517, 1210, 2, 555, 1201, 7, 95, 1196, 1101, 442, 1485, 553, 2353, 1923, 25, 708, 1214, 1291, 1036, 1258, 1079, 1097, 1220, 485, 172, 778, 3578, 1288, 1208, 435, 1240, 1610, 1704, 2858, 1784]","[2.8075051, 2.7650669, 2.7467465, 2.736774, 2.7151008, 2.7106667, 2.6874247, 2.682347, 2.6809127, 2.6796823, 2.6620564, 2.6610193, 2.6588588, 2.6534016, 2.649837, 2.6456742, 2.633221, 2.6272082, 2.6235209, 2.6185644, 2.6171346, 2.6139765, 2.6121008, 2.6115866, 2.6064558, 2.5954747, 2.594332, 2.5636706, 2.5563586, 2.5451214, 2.5333526, 2.53254, 2.5070386, 2.5020554, 2.4972699, 2.490603, 2.4878423, 2.487507, 2.4864619, 2.4853082, 2.4759865, 2.4724846, 2.4663546, 2.4574723, 2.455564, 2.453751, 2.4530654, 2.4519145, 2.4503524, 2.450262, 2.449527, 2.4472685, 2.4382129, 2.4363928, 2.4316084, 2.427598, 2.4201276, 2.414218, 2.4123113, 2.4120333, 2.411427, 2.4110675, 2.4025238, 2.4009056, 2.398046, 2.3897767, 2.3875213, 2.3847795, 2.3835535, 2.382302, 2.380492, 2.3786623, 2.3781366, 2.3759944, 2.3723838, 2.3723805, 2.3708353, 2.3692975, 2.3684201, 2.3655968, 2.3630483, 2.3596337, 2.3564672, 2.3558722, 2.3537388, 2.3408523, 2.3408215, 2.339149, 2.3385255, 2.336932, 2.3360536, 2.331887, 2.3316655, 2.3308053, 2.3298697, 2.3282323, 2.325072, 2.324475, 2.32434, 2.322081]"
6,"[529, 186, 227, 524, 338, 193, 376, 203, 420, 383, 276, 707, 737, 163, 21, 172, 761, 339, 610, 173, 427, 786, 300, 86, 327, 805, 272, 784, 253, 743, 280, 832, 198, 2058, 52, 195, 849, 5, 466, 9, 724, 246, 14, 23, 44, 4155, 661, 533, 1047, 861, 1438, 144, 317, 733, 421, 255, 653, 39, 413, 442, 314, 782, 259, 1586, 1429, 233, 275, 585, 417, 788, 58, 1297, 671, 1100, 2001, 1405, 249, 8, 94, 1616, 828, 1589, 1457, 348, 648, 235, 1057, 809, 519, 169, 1407, 1356, 742, 372, 1476, 748, 18, 546, 1371, 471]","[2.564274, 2.5612247, 2.5056343, 2.5036964, 2.4802532, 2.4682105, 2.4673333, 2.4253702, 2.424162, 2.414647, 2.404234, 2.3655157, 2.3607707, 2.3221002, 2.3206143, 2.3195784, 2.3148713, 2.2969635, 2.2915027, 2.2902646, 2.2781982, 2.2767482, 2.2703698, 2.2569003, 2.2550688, 2.2539082, 2.244795, 2.2371924, 2.2111263, 2.2087562, 2.1958332, 2.1943269, 2.1938546, 2.1931343, 2.1883566, 2.1797662, 2.1714587, 2.1659172, 2.1648192, 2.1449926, 2.1444635, 2.1384337, 2.1369689, 2.105561, 2.102561, 2.0890598, 2.0870724, 2.0827463, 2.080551, 2.067948, 2.0660224, 2.05682, 2.0538096, 2.0515718, 2.050204, 2.0428813, 2.0360417, 2.0352876, 2.0296936, 2.0182538, 2.0058537, 2.0030808, 2.0018797, 2.0006633, 1.9943488, 1.9904053, 1.980736, 1.977197, 1.9661021, 1.960938, 1.9608548, 1.9603459, 1.9427905, 1.9420536, 1.906497, 1.9004948, 1.8913836, 1.8886669, 1.8772448, 1.8651046, 1.8632972, 1.861565, 1.8573983, 1.8526368, 1.8410772, 1.8316618, 1.8310931, 1.8269886, 1.817776, 1.8160263, 1.7988393, 1.7948225, 1.790663, 1.7873805, 1.7826381, 1.7812238, 1.7732744, 1.758821, 1.7409699, 1.726598]"
7,"[4022, 8874, 6377, 4993, 5418, 4878, 4720, 33166, 45722, 6378, 1136, 3948, 2012, 44191, 5349, 1721, 2571, 7361, 46578, 1704, 318, 41566, 8529, 2706, 5679, 2329, 4226, 3949, 4718, 35836, 6874, 54286, 4025, 3753, 3897, 858, 3717, 1732, 4308, 2959, 4011, 48780, 2502, 2291, 4973, 2700, 4270, 3481, 3052, 2628, 7147, 1097, 5481, 4979, 1198, 3535, 1036, 6942, 3911, 1221, 7373, 3147, 7438, 49530, 8464, 33679, 2355, 2028, 6373, 2, 4447, 3996, 30707, 34405, 4848, 1968, 4027, 6711, 780, 4369, 60069, 5377, 7143, 2997, 51662, 63082, 47, 52722, 1291, 4262, 586, 6218, 4367, 1380, 2572, 364, 55820, 6502, 296, 68954]","[2.8454835, 2.7550871, 2.728578, 2.7149806, 2.694293, 2.6877189, 2.6852114, 2.668267, 2.6673455, 2.6643481, 2.6641717, 2.6583338, 2.6561356, 2.6535363, 2.6532667, 2.6472585, 2.6346655, 2.6253905, 2.6188874, 2.610443, 2.6020474, 2.5997446, 2.5930912, 2.5830235, 2.581054, 2.5794318, 2.5709314, 2.5603096, 2.5580688, 2.5547476, 2.5530884, 2.5504785, 2.546591, 2.5451968, 2.5450344, 2.5447955, 2.5439548, 2.5419219, 2.5398793, 2.5370357, 2.532714, 2.5324574, 2.5313294, 2.5280528, 2.5239527, 2.5204713, 2.5122416, 2.50978, 2.5089223, 2.5076356, 2.5039845, 2.5027409, 2.498336, 2.4975438, 2.4966934, 2.4952297, 2.4950047, 2.4944153, 2.4912882, 2.486913, 2.482408, 2.4822035, 2.4821603, 2.4810367, 2.4744918, 2.4689941, 2.4627416, 2.4610279, 2.4606035, 2.4566224, 2.4552257, 2.4550567, 2.4489007, 2.445136, 2.4434023, 2.442939, 2.4417, 2.4409232, 2.439879, 2.4381485, 2.4364512, 2.4276922, 2.4271963, 2.4212332, 2.421022, 2.419814, 2.4156191, 2.4147165, 2.414445, 2.4126616, 2.412449, 2.4034517, 2.4010158, 2.39929, 2.3977969, 2.3965402, 2.3954933, 2.393975, 2.3938508, 2.3893669]"
8,"[592, 736, 161, 1, 344, 780, 165, 597, 410, 595, 349, 329, 648, 588, 356, 316, 163, 589, 434, 17, 300, 1393, 62, 368, 508, 6, 1391, 337, 266, 733, 520, 260, 552, 186, 16, 788, 160, 7, 25, 95, 442, 608, 485, 474, 555, 1356, 370, 551, 553, 762, 293, 653, 1407, 19, 466, 594, 145, 2571, 172, 420, 708, 1101, 1485, 435, 858, 168, 333, 1198, 31, 2353, 1073, 223, 111, 256, 104, 596, 158, 362, 173, 1517, 1210, 2628, 288, 1036, 225, 44, 1610, 353, 1220, 673, 802, 2001, 852, 1721, 1291, 1214, 1923, 151, 1197, 661]","[2.9277112, 2.887663, 2.8794215, 2.871602, 2.8630805, 2.8598118, 2.8561294, 2.8506854, 2.846352, 2.834703, 2.8066342, 2.8043394, 2.8037202, 2.7992837, 2.7925215, 2.7888412, 2.773584, 2.770289, 2.7488003, 2.7471, 2.7219062, 2.7140136, 2.710273, 2.6884599, 2.6766918, 2.666575, 2.6601095, 2.6537783, 2.6449034, 2.638581, 2.6363633, 2.6276393, 2.6257381, 2.6239834, 2.6161418, 2.6134086, 2.6110072, 2.6101236, 2.6056585, 2.599441, 2.5955164, 2.5925477, 2.5851195, 2.5785449, 2.5780735, 2.5732257, 2.5724714, 2.5702565, 2.562282, 2.5534132, 2.5437214, 2.5418887, 2.5414042, 2.5389233, 2.5367029, 2.533721, 2.5335417, 2.5308015, 2.521263, 2.519983, 2.5190556, 2.5175939, 2.512978, 2.505877, 2.503188, 2.5016527, 2.4977984, 2.4915996, 2.4866433, 2.486615, 2.4843698, 2.4828067, 2.4800777, 2.4760778, 2.4739861, 2.471611, 2.4663408, 2.4631398, 2.458434, 2.457172, 2.4553974, 2.4532008, 2.453095, 2.452719, 2.4514325, 2.4478643, 2.4415114, 2.4357977, 2.4323835, 2.4275532, 2.4243808, 2.4226255, 2.4192824, 2.4187279, 2.416514, 2.4162524, 2.4138029, 2.413205, 2.4128203, 2.4122853]"
9,"[6003, 1060, 4452, 5139, 4498, 3271, 4214, 188, 431, 2826, 1663, 6796, 3328, 1952, 1464, 1216, 6620, 101, 514, 5959, 1274, 412, 4591, 1639, 1589, 5650, 70, 3100, 6645, 8959, 2912, 2275, 2395, 1769, 1218, 3915, 44761, 2399, 3852, 996, 4678, 2325, 1261, 4351, 27788, 5283, 5072, 3355, 3386, 27831, 5004, 2420, 2872, 1257, 5265, 1673, 2447, 4954, 3148, 8370, 1103, 1748, 1343, 1866, 6755, 4873, 1912, 1792, 5954, 4467, 2505, 1298, 3254, 8623, 3683, 4378, 7004, 471, 4029, 3729, 6062, 43921, 2490, 2193, 1921, 1204, 7482, 2600, 7360, 5081, 1726, 3053, 3362, 1120, 5291, 3273, 1701, 1965, 42, 5026]","[2.0149894, 1.9326694, 1.8639374, 1.8473847, 1.8243686, 1.7951099, 1.7684581, 1.7643597, 1.7397287, 1.7206464, 1.7101088, 1.7100489, 1.7070646, 1.7048581, 1.7018878, 1.6787686, 1.6708205, 1.6658871, 1.658901, 1.6581612, 1.6527588, 1.6474996, 1.6325306, 1.6304469, 1.6209581, 1.616167, 1.6118159, 1.6114423, 1.6072063, 1.6038547, 1.6037334, 1.601165, 1.600863, 1.59624, 1.5857389, 1.5837269, 1.5828221, 1.5825617, 1.5774834, 1.5711503, 1.5703919, 1.5612702, 1.5574279, 1.5551288, 1.552628, 1.5508246, 1.5503091, 1.549887, 1.5494831, 1.5488203, 1.5479813, 1.5477717, 1.5455856, 1.5415168, 1.5370746, 1.5369396, 1.5302947, 1.5256432, 1.5238544, 1.5220544, 1.518668, 1.5164666, 1.5146414, 1.513121, 1.5078452, 1.5062609, 1.4999123, 1.4987102, 1.4968288, 1.4947085, 1.4923317, 1.4907812, 1.485285, 1.4835417, 1.4834769, 1.4781244, 1.477296, 1.4762895, 1.4757726, 1.4748336, 1.4747335, 1.4745632, 1.4719076, 1.4708617, 1.4687725, 1.4686141, 1.4642733, 1.4639518, 1.459209, 1.4582322, 1.4568671, 1.4552029, 1.4551514, 1.4539859, 1.4522481, 1.4498396, 1.4490994, 1.4464352, 1.4427252, 1.4399555]"
10,"[8533, 45720, 72641, 44022, 5218, 37729, 8368, 54001, 45447, 74789, 30793, 50872, 69122, 33615, 35836, 7173, 76093, 41566, 3988, 46976, 4016, 66097, 88405, 30812, 81591, 72998, 6373, 8641, 59784, 53125, 33004, 64957, 112852, 783, 56152, 45722, 48780, 134853, 45517, 6936, 40815, 4718, 88125, 46578, 38038, 54272, 89864, 60069, 80463, 5299, 86833, 6539, 56171, 86882, 89774, 6218, 30825, 64839, 8972, 4018, 47610, 78499, 69757, 6863, 27706, 99114, 81834, 54259, 84944, 71535, 5481, 4025, 79132, 5618, 91500, 5991, 74458, 102407, 4896, 97921, 4886, 58998, 3969, 116797, 5816, 4963, 76251, 69644, 59725, 6593, 58047, 89745, 6287, 8360, 53121, 2424, 48516, 59501, 68157, 5989]","[2.7192752, 2.5985699, 2.5144334, 2.5021124, 2.500083, 2.4375048, 2.4242816, 2.4207323, 2.39704, 2.3928614, 2.3893352, 2.3826342, 2.3731542, 2.3659348, 2.3591542, 2.354312, 2.3531084, 2.3497767, 2.3334146, 2.3117344, 2.3101964, 2.299577, 2.2959628, 2.2956283, 2.2936933, 2.2780817, 2.2751863, 2.2705567, 2.2702644, 2.2594922, 2.2549028, 2.244609, 2.2440128, 2.2435274, 2.241724, 2.234778, 2.2256732, 2.2216542, 2.2169008, 2.2053776, 2.2048216, 2.2017846, 2.1959448, 2.1920247, 2.1827304, 2.1822715, 2.1767416, 2.1767054, 2.175578, 2.1707764, 2.165824, 2.1630285, 2.1578863, 2.1553738, 2.1548035, 2.147153, 2.145721, 2.142774, 2.137515, 2.1276317, 2.1267855, 2.1263688, 2.1240108, 2.1107435, 2.1028545, 2.0994108, 2.0926714, 2.0924103, 2.0879884, 2.0803537, 2.075464, 2.0751681, 2.0738358, 2.070522, 2.0641508, 2.0576272, 2.0560427, 2.050049, 2.0495348, 2.0469265, 2.0431948, 2.0429215, 2.0427985, 2.0420527, 2.0389457, 2.038709, 2.0325255, 2.0264235, 2.0240858, 2.0234182, 2.020688, 2.0194585, 2.0177407, 2.016691, 1.9919331, 1.9898298, 1.9855984, 1.984381, 1.9832716, 1.9822909]"
