userId,itemIds,top-50 scores
1,"[2959, 1, 780, 592, 457, 648, 588, 380, 1198, 7361, 1270, 1210, 260, 296, 593, 597, 150, 356, 293, 367, 1704, 153, 318, 480, 5952, 2571, 527, 4993, 6539, 2858, 231, 377, 590, 110, 4886, 165, 316, 608, 589, 3578, 10, 1923, 47, 1197, 32, 79132, 50, 2028, 1265, 4995]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975]"
2,"[2959, 1, 780, 592, 457, 648, 588, 380, 1198, 7361, 1270, 1210, 260, 296, 593, 597, 150, 356, 293, 367, 1704, 153, 318, 480, 5952, 2571, 527, 4993, 6539, 2858, 231, 377, 590, 110, 4886, 165, 316, 608, 589, 3578, 10, 1923, 47, 1197, 32, 79132, 50, 2028, 1265, 4995]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975]"
3,"[2959, 1, 780, 592, 457, 648, 588, 380, 1198, 7361, 1270, 1210, 260, 296, 593, 597, 150, 356, 293, 367, 1704, 153, 318, 480, 5952, 2571, 527, 4993, 6539, 2858, 231, 377, 590, 110, 4886, 165, 316, 608, 589, 3578, 10, 1923, 47, 1197, 32, 79132, 50, 2028, 1265, 4995]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975]"
4,"[2959, 1, 780, 592, 457, 648, 588, 380, 1198, 7361, 1270, 1210, 260, 296, 593, 597, 150, 356, 293, 367, 1704, 153, 318, 480, 5952, 2571, 527, 4993, 6539, 2858, 231, 377, 590, 110, 4886, 165, 316, 608, 589, 3578, 10, 1923, 47, 1197, 32, 79132, 50, 2028, 1265, 4995]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975]"
5,"[2959, 1, 780, 592, 457, 648, 588, 380, 1198, 7361, 1270, 1210, 260, 296, 593, 597, 150, 356, 293, 367, 1704, 153, 318, 480, 5952, 2571, 527, 4993, 6539, 2858, 231, 377, 590, 110, 4886, 165, 316, 608, 589, 3578, 10, 1923, 47, 1197, 32, 79132, 50, 2028, 1265, 4995]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975]"
6,"[2959, 1, 780, 592, 457, 648, 588, 380, 1198, 7361, 1270, 1210, 260, 296, 593, 597, 150, 356, 293, 367, 1704, 153, 318, 480, 5952, 2571, 527, 4993, 6539, 2858, 231, 377, 590, 110, 4886, 165, 316, 608, 589, 3578, 10, 1923, 47, 1197, 32, 79132, 50, 2028, 1265, 4995]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975]"
7,"[2959, 1, 780, 592, 457, 648, 588, 380, 1198, 7361, 1270, 1210, 260, 296, 593, 597, 150, 356, 293, 367, 1704, 153, 318, 480, 5952, 2571, 527, 4993, 6539, 2858, 231, 377, 590, 110, 4886, 165, 316, 608, 589, 3578, 10, 1923, 47, 1197, 32, 79132, 50, 2028, 1265, 4995]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975]"
8,"[2959, 1, 780, 592, 457, 648, 588, 380, 1198, 7361, 1270, 1210, 260, 296, 593, 597, 150, 356, 293, 367, 1704, 153, 318, 480, 5952, 2571, 527, 4993, 6539, 2858, 231, 377, 590, 110, 4886, 165, 316, 608, 589, 3578, 10, 1923, 47, 1197, 32, 79132, 50, 2028, 1265, 4995]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975]"
9,"[2959, 1, 780, 592, 457, 648, 588, 380, 1198, 7361, 1270, 1210, 260, 296, 593, 597, 150, 356, 293, 367, 1704, 153, 318, 480, 5952, 2571, 527, 4993, 6539, 2858, 231, 377, 590, 110, 4886, 165, 316, 608, 589, 3578, 10, 1923, 47, 1197, 32, 79132, 50, 2028, 1265, 4995]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975]"
10,"[2959, 1, 780, 592, 457, 648, 588, 380, 1198, 7361, 1270, 1210, 260, 296, 593, 597, 150, 356, 293, 367, 1704, 153, 318, 480, 5952, 2571, 527, 4993, 6539, 2858, 231, 377, 590, 110, 4886, 165, 316, 608, 589, 3578, 10, 1923, 47, 1197, 32, 79132, 50, 2028, 1265, 4995]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975]"
