userId,itemIds,top-50 scores
1,"[593, 1, 780, 318, 260, 296, 356, 648, 2571, 480, 50, 1196, 2858, 32, 47, 1210, 608, 457, 1073, 589, 110, 588, 733, 736, 527, 1198, 377, 1580, 592, 150, 364, 858, 2028, 1197, 1036, 1270, 10, 34, 367, 595, 1097, 2628, 590, 380, 1214, 1240, 2762, 223, 1291, 293]","[4.0721555, 4.011573, 3.9693108, 3.9649472, 3.9645972, 3.958933, 3.9530458, 3.8935719, 3.879117, 3.875056, 3.8295999, 3.821532, 3.7992065, 3.7942855, 3.788706, 3.7581775, 3.7192225, 3.664932, 3.6599336, 3.6517823, 3.6493142, 3.645356, 3.6447136, 3.620943, 3.6172776, 3.6065652, 3.5983455, 3.5838463, 3.5772083, 3.5763798, 3.565454, 3.5402198, 3.5232842, 3.500489, 3.489194, 3.4666684, 3.4640067, 3.4534345, 3.444487, 3.4320016, 3.4249067, 3.4220493, 3.4218035, 3.4102585, 3.3994634, 3.3855088, 3.3829541, 3.3777351, 3.3440337, 3.3425224]"
2,"[79132, 58559, 7153, 2959, 4993, 2571, 318, 5952, 356, 68954, 6377, 91529, 109487, 6539, 4306, 8961, 59315, 60069, 593, 527, 68157, 4226, 296, 89745, 5989, 33794, 3578, 7361, 74458, 48516, 44191, 2329, 72998, 116797, 54286, 106782, 6874, 112852, 260, 4886, 47, 99114, 858, 4995, 50, 122904, 7438, 364, 2028, 50872]","[6.126121, 6.094395, 6.044379, 5.9442067, 5.9200926, 5.8566785, 5.8211412, 5.7991023, 5.731381, 5.481093, 5.4100976, 5.382268, 5.368055, 5.3676, 5.3487797, 5.331789, 5.3291073, 5.273715, 5.227078, 5.2193437, 5.2025704, 5.2016773, 5.173798, 5.1712203, 5.15845, 5.074845, 5.0716257, 5.0536704, 5.0469375, 5.0438776, 5.036257, 5.0259748, 4.9992137, 4.9979, 4.984243, 4.981983, 4.9775376, 4.956715, 4.9220123, 4.918056, 4.873432, 4.867895, 4.849943, 4.829636, 4.816881, 4.8111596, 4.779689, 4.77678, 4.756466, 4.7412524]"
3,"[260, 2858, 1196, 1210, 1, 2571, 593, 1270, 608, 780, 1580, 1197, 1198, 858, 356, 1214, 1073, 648, 318, 2628, 1097, 924, 2683, 296, 2028, 50, 1036, 1221, 1240, 1617, 2762, 2115, 1968, 1200, 1136, 1265, 2716, 1721, 2396, 1923, 480, 47, 32, 1387, 1291, 1206, 541, 1213, 733, 1193]","[3.0334146, 2.9618967, 2.950528, 2.93972, 2.9326189, 2.9007902, 2.8507895, 2.8466532, 2.838294, 2.8328073, 2.8066638, 2.7927134, 2.7554522, 2.7467463, 2.7247715, 2.7242606, 2.7225435, 2.7140317, 2.7020795, 2.696329, 2.6861591, 2.6722534, 2.6583538, 2.6443684, 2.6396842, 2.6304195, 2.6273718, 2.6240776, 2.621235, 2.610397, 2.6101732, 2.609311, 2.6053777, 2.6016061, 2.5894449, 2.581615, 2.5668068, 2.5653722, 2.5585494, 2.5557334, 2.553238, 2.5464978, 2.5429657, 2.5327399, 2.5250669, 2.5148425, 2.5142016, 2.513903, 2.4894392, 2.4796743]"
4,"[1, 780, 648, 593, 260, 1073, 1196, 608, 736, 32, 1210, 733, 480, 2858, 296, 50, 356, 1197, 318, 2571, 1580, 47, 1097, 457, 1270, 223, 592, 1214, 1617, 2396, 1198, 588, 377, 2628, 6, 1356, 1200, 924, 589, 110, 1240, 858, 2683, 2115, 551, 590, 34, 2028, 587, 1036]","[3.4991822, 3.4942012, 3.4496827, 3.4130068, 3.371107, 3.3412433, 3.329672, 3.3269181, 3.3110642, 3.3009942, 3.2939043, 3.2607286, 3.2482617, 3.2455819, 3.2283924, 3.179428, 3.1788907, 3.1456854, 3.1367095, 3.1157427, 3.102391, 3.0905776, 3.0897758, 3.0872817, 3.0751054, 3.0723145, 3.0703535, 3.0551703, 3.0525794, 3.0522819, 3.0492282, 3.0397072, 3.0365655, 3.0326529, 3.0307012, 2.9946582, 2.9936106, 2.9847171, 2.9737434, 2.9700425, 2.9670835, 2.9655812, 2.9618518, 2.9558268, 2.9292667, 2.927673, 2.927606, 2.9222984, 2.9143622, 2.9137812]"
5,"[457, 380, 592, 150, 110, 590, 165, 153, 377, 588, 316, 344, 349, 161, 480, 292, 296, 434, 208, 253, 589, 10, 593, 185, 329, 356, 454, 318, 595, 231, 300, 34, 339, 32, 364, 527, 367, 47, 288, 597, 500, 539, 50, 410, 39, 225, 266, 736, 587, 648]","[8.672672, 8.660975, 8.60248, 8.596715, 8.596462, 8.577836, 8.517758, 8.480841, 8.418922, 8.364402, 8.343572, 8.32371, 8.3171625, 8.310232, 8.302791, 8.300956, 8.284635, 8.264498, 8.196612, 8.129591, 8.126105, 8.124786, 8.10474, 8.100191, 8.08222, 8.018371, 8.015517, 7.975931, 7.974808, 7.93747, 7.9329004, 7.9147, 7.9120345, 7.9001503, 7.900142, 7.854682, 7.8283834, 7.8281274, 7.8028207, 7.773038, 7.7687297, 7.737269, 7.7062364, 7.672409, 7.5963864, 7.5961742, 7.581237, 7.571907, 7.508343, 7.4947515]"
6,"[592, 590, 380, 141, 457, 736, 153, 21, 300, 316, 377, 440, 474, 161, 95, 165, 32, 7, 11, 349, 329, 10, 553, 597, 185, 588, 539, 587, 34, 25, 480, 357, 497, 150, 36, 17, 350, 62, 235, 110, 39, 552, 509, 648, 253, 344, 780, 454, 733, 266]","[5.7307696, 5.681887, 5.659226, 5.652438, 5.646732, 5.6253605, 5.6116805, 5.5763545, 5.535919, 5.499037, 5.4561267, 5.45542, 5.451732, 5.4438906, 5.440926, 5.380948, 5.366487, 5.357455, 5.348359, 5.3459606, 5.3411374, 5.3376975, 5.3297772, 5.3261833, 5.3192587, 5.3077855, 5.296049, 5.2764087, 5.260488, 5.254378, 5.2529864, 5.2528315, 5.247497, 5.2447977, 5.2393904, 5.217341, 5.210551, 5.201814, 5.197439, 5.195123, 5.1947446, 5.191589, 5.188499, 5.181467, 5.1724052, 5.1537724, 5.1436834, 5.141832, 5.1365733, 5.1349673]"
7,"[2571, 318, 356, 2959, 593, 260, 296, 4993, 7153, 5952, 527, 2858, 50, 47, 4306, 858, 58559, 3578, 2028, 1198, 1, 1196, 6377, 4226, 364, 2762, 480, 1210, 1704, 6539, 589, 79132, 1036, 110, 7361, 1580, 8961, 293, 4886, 1291, 780, 1721, 2329, 150, 5445, 4995, 608, 5989, 588, 1193]","[4.8799605, 4.819866, 4.77983, 4.660696, 4.5564127, 4.474577, 4.474215, 4.468875, 4.432634, 4.344777, 4.3133545, 4.3101144, 4.2630424, 4.26147, 4.2359934, 4.2226524, 4.184285, 4.1747437, 4.1598015, 4.1522655, 4.151987, 4.150684, 4.1064777, 4.0912457, 4.083497, 4.0805864, 4.0422163, 4.0241437, 4.012886, 3.9689863, 3.9610848, 3.9369903, 3.9252903, 3.9210083, 3.8942096, 3.8840985, 3.8839347, 3.8822486, 3.8766758, 3.8739746, 3.8436449, 3.8431723, 3.8360505, 3.7687573, 3.7603757, 3.7358987, 3.7183623, 3.7132046, 3.7043834, 3.6926842]"
8,"[380, 457, 110, 150, 592, 165, 590, 153, 377, 344, 292, 588, 316, 434, 349, 296, 161, 480, 208, 253, 589, 593, 10, 185, 356, 318, 329, 454, 231, 595, 364, 527, 339, 34, 47, 288, 300, 367, 32, 500, 50, 597, 539, 410, 225, 266, 39, 736, 587, 648]","[9.259561, 9.246123, 9.243994, 9.240093, 9.153352, 9.145422, 9.135506, 9.067184, 8.979355, 8.957924, 8.9535675, 8.947252, 8.913658, 8.9102745, 8.905602, 8.904676, 8.8984165, 8.888086, 8.86058, 8.742515, 8.7410145, 8.685601, 8.662776, 8.657498, 8.649205, 8.636852, 8.630552, 8.598401, 8.584056, 8.534938, 8.516754, 8.498249, 8.490792, 8.422299, 8.415773, 8.412138, 8.411924, 8.404964, 8.383356, 8.316434, 8.263008, 8.252245, 8.231851, 8.225768, 8.201159, 8.095969, 8.081739, 7.935576, 7.9293094, 7.9015017]"
9,"[260, 1270, 2858, 1210, 1196, 1197, 2571, 1580, 1214, 924, 2683, 608, 2716, 1, 1617, 1968, 858, 1923, 2628, 1097, 1198, 919, 1387, 1136, 1265, 2115, 1221, 1206, 1240, 1200, 541, 2762, 904, 2396, 1073, 1721, 1208, 2987, 780, 750, 1213, 593, 1036, 2028, 2791, 1222, 2797, 2355, 912, 1517]","[2.5141325, 2.5023792, 2.4808726, 2.4750655, 2.4465392, 2.3838189, 2.3566592, 2.3453429, 2.3378887, 2.3367789, 2.327112, 2.3225772, 2.3124518, 2.3045027, 2.3000405, 2.296253, 2.2936678, 2.2883105, 2.2829423, 2.2721295, 2.263846, 2.2397726, 2.2284646, 2.2273855, 2.2242587, 2.2239704, 2.215883, 2.2025328, 2.195466, 2.191511, 2.1881568, 2.183988, 2.177689, 2.173086, 2.1686792, 2.1605966, 2.1548803, 2.1530416, 2.1526606, 2.1502154, 2.1457396, 2.14549, 2.1385312, 2.1328826, 2.1206927, 2.1043167, 2.1020472, 2.094874, 2.0927713, 2.058959]"
10,"[7153, 58559, 79132, 5952, 4993, 2959, 2571, 68954, 6539, 6377, 59315, 8961, 4226, 4306, 109487, 60069, 5989, 318, 72998, 6874, 33794, 91529, 356, 89745, 44191, 68157, 4886, 48516, 3578, 112852, 7361, 74458, 106782, 50872, 4896, 7438, 69122, 54286, 4995, 122904, 48780, 4973, 858, 5418, 99114, 8368, 116797, 260, 2329, 70286]","[4.6219893, 4.6063685, 4.5381107, 4.5148, 4.4947248, 4.4552464, 4.3643045, 4.279426, 4.215945, 4.191185, 4.140349, 4.1283855, 4.1036577, 4.0915413, 4.0801015, 4.078242, 4.037837, 4.0035257, 3.9865615, 3.983871, 3.9744158, 3.9715364, 3.9678006, 3.9602206, 3.9391966, 3.9343472, 3.9045928, 3.8879836, 3.8801465, 3.8791635, 3.856897, 3.8142245, 3.802456, 3.7906923, 3.7905571, 3.780044, 3.767401, 3.765964, 3.746741, 3.7372622, 3.7204783, 3.71724, 3.711351, 3.707517, 3.6965144, 3.6762314, 3.6727855, 3.6723363, 3.652292, 3.626824]"
