,top-100 itemIds,top-100 scores
1,"[589, 1036, 377, 10, 1610, 1391, 1200, 380, 1527, 1917, 32, 1101, 1387, 2762, 2683, 318, 150, 165, 1584, 608, 1923, 153, 2302, 588, 329, 1374, 1356, 2355, 1372, 2791, 1968, 1784, 1407, 858, 1544, 2396, 1265, 1653, 587, 2657, 2699, 1376, 2502, 3175, 185, 2194, 344, 2011, 1721, 466, 1259, 3471, 2706, 34, 1393, 924, 541, 2605, 1370, 1562, 1909, 1961, 368, 551, 595, 2167, 1690, 364, 1221, 1320, 2918, 597, 1722, 1597, 3994, 5349, 1485, 3623, 1288, 2321, 586, 3996, 2001, 2006, 1704, 3421, 1371, 21, 442, 3753, 208, 1639, 3114, 2804, 2968, 253, 2081, 2023, 1373, 485]","[4.7801642, 4.6756206, 4.666072, 4.6102023, 4.598476, 4.5573387, 4.547123, 4.5212708, 4.5008783, 4.473542, 4.471035, 4.4681873, 4.462942, 4.4345956, 4.422908, 4.408412, 4.4039793, 4.4033, 4.3420424, 4.33502, 4.3257895, 4.32425, 4.3150864, 4.3020725, 4.2997093, 4.2777386, 4.2769275, 4.272811, 4.26134, 4.2457423, 4.2420497, 4.2311773, 4.198176, 4.1911583, 4.1870723, 4.182289, 4.1785755, 4.1688566, 4.1659584, 4.145441, 4.1438737, 4.141016, 4.1395173, 4.1323175, 4.1240816, 4.1174316, 4.11563, 4.1124706, 4.101975, 4.1011972, 4.099352, 4.0981956, 4.096947, 4.0936565, 4.084364, 4.0774293, 4.0609274, 4.043482, 4.034368, 4.0260773, 4.024226, 4.0222178, 4.0063543, 3.9896154, 3.9891376, 3.9860616, 3.9833488, 3.9832659, 3.9723291, 3.971125, 3.9576576, 3.9380913, 3.9197497, 3.9171476, 3.9044287, 3.901114, 3.8987708, 3.8986545, 3.8943174, 3.8920298, 3.8882794, 3.8881989, 3.8872771, 3.8805737, 3.8722148, 3.8643105, 3.8575819, 3.8502991, 3.8421268, 3.8399954, 3.835392, 3.8342962, 3.8332856, 3.8275526, 3.8266563, 3.8250992, 3.8225474, 3.8162365, 3.815463, 3.8111806]"
2,"[89745, 116797, 7153, 59315, 122904, 60069, 2959, 356, 5952, 2571, 4993, 68954, 134130, 527, 91500, 593, 122886, 54286, 72998, 44191, 70286, 47, 84152, 6539, 5989, 111759, 112852, 112556, 33794, 2329, 296, 92259, 293, 6874, 858, 76093, 64614, 115617, 7361, 260, 50, 3147, 134853, 139385, 80463, 110, 4226, 47099, 109374, 48780, 88125, 69844, 96079, 2028, 589, 115569, 97304, 63082, 8961, 68358, 104841, 6377, 7438, 98809, 48394, 364, 152081, 1196, 4995, 85414, 168252, 56174, 5418, 106489, 1198, 3949, 49272, 81834, 110102, 36529, 77561, 88129, 104879, 778, 78499, 81845, 50872, 94864, 57669, 49530, 187593, 69481, 6016, 122918, 51255, 164179, 105504, 4306, 116823, 81591]","[6.6666803, 6.6595936, 6.5894437, 6.546181, 6.409446, 6.3716693, 6.3337708, 6.3301516, 6.286393, 6.2799606, 6.2783213, 6.228101, 6.155386, 6.1381435, 6.0554376, 6.016411, 6.0037622, 5.931888, 5.9047055, 5.8918457, 5.838372, 5.824998, 5.8225117, 5.811045, 5.8089705, 5.7756586, 5.767495, 5.7462626, 5.7393627, 5.7153497, 5.7110353, 5.6932764, 5.659789, 5.6565905, 5.6554794, 5.6501913, 5.6449795, 5.6368637, 5.633714, 5.6245556, 5.6233177, 5.593716, 5.587972, 5.5856123, 5.565349, 5.550194, 5.5433106, 5.535836, 5.521431, 5.5067053, 5.4658947, 5.4538946, 5.4533396, 5.446639, 5.420314, 5.4148235, 5.391712, 5.3882785, 5.3882504, 5.374343, 5.363984, 5.344982, 5.338947, 5.3275275, 5.2975035, 5.279337, 5.277581, 5.274688, 5.254923, 5.2384295, 5.233593, 5.2252083, 5.2175465, 5.215941, 5.213418, 5.2096453, 5.2094507, 5.203787, 5.178213, 5.1740675, 5.1697264, 5.1347246, 5.126479, 5.1242547, 5.124145, 5.1107306, 5.0987186, 5.0730753, 5.065099, 5.0646796, 5.0368385, 5.019356, 5.013243, 4.994833, 4.992749, 4.9905195, 4.990319, 4.9781036, 4.9658737, 4.956026]"
3,"[260, 2792, 1210, 2366, 1356, 3168, 1270, 1196, 2496, 1327, 1580, 3363, 1976, 608, 1214, 1969, 1, 1198, 780, 1388, 858, 2028, 1197, 748, 1278, 1373, 1269, 1097, 1019, 733, 1259, 1374, 1372, 2406, 1307, 3072, 3701, 1022, 2791, 1073, 1375, 1674, 648, 1367, 2421, 12, 785, 2396, 32, 1721, 1586, 919, 1345, 1387, 912, 2628, 1972, 2436, 593, 880, 830, 480, 3404, 898, 4713, 7, 1201, 2163, 2571, 1234, 743, 356, 3791, 910, 1407, 2529, 3868, 2553, 562, 2583, 2289, 2371, 1230, 141, 1393, 3524, 671, 3101, 1200, 135, 969, 2100, 2640, 318, 2300, 1411, 2533, 1221, 1079, 2797]","[4.3272, 4.185483, 4.0962944, 4.0074334, 3.9600482, 3.9033153, 3.8089535, 3.8058488, 3.74218, 3.7077901, 3.6952643, 3.684403, 3.630413, 3.6268213, 3.6150389, 3.5944343, 3.566002, 3.55105, 3.5483437, 3.5483298, 3.5339766, 3.5311399, 3.5203125, 3.5042415, 3.4680638, 3.4651744, 3.4562445, 3.4535275, 3.4464679, 3.4426455, 3.4326718, 3.4135113, 3.4064941, 3.3914812, 3.3880994, 3.3690917, 3.361279, 3.3237066, 3.32138, 3.3130174, 3.2904918, 3.2702234, 3.26026, 3.2598336, 3.2382612, 3.2372928, 3.2370894, 3.214555, 3.2136457, 3.199486, 3.1948223, 3.1933794, 3.1705651, 3.1641874, 3.1640236, 3.1611264, 3.1409252, 3.1370618, 3.1352372, 3.1301515, 3.1262705, 3.1245236, 3.1185365, 3.1162562, 3.1114392, 3.1086159, 3.10646, 3.099152, 3.097489, 3.095293, 3.0893743, 3.0873477, 3.0760822, 3.0739455, 3.0721693, 3.0694475, 3.0673409, 3.0596893, 3.0588722, 3.0584927, 3.058256, 3.0574574, 3.055568, 3.0544786, 3.0542564, 3.0490704, 3.043178, 3.0376194, 3.0371213, 3.0331411, 3.0324066, 3.0066419, 3.002907, 3.0022323, 2.998874, 2.995286, 2.9917884, 2.9894497, 2.9873495, 2.9863772]"
4,"[296, 50, 593, 527, 1358, 1299, 2396, 1193, 903, 318, 111, 11, 1307, 497, 1230, 1172, 5060, 1206, 246, 2289, 480, 838, 858, 1208, 1247, 110, 356, 29, 1252, 1221, 150, 597, 2028, 300, 1958, 2539, 3363, 590, 541, 750, 1270, 2352, 1089, 1235, 39, 1234, 1276, 933, 194, 913, 953, 587, 592, 1912, 1093, 923, 1131, 1028, 1394, 1784, 1233, 1267, 1204, 337, 223, 1258, 924, 2908, 1097, 1092, 909, 1214, 3418, 2108, 1244, 2020, 515, 2724, 916, 1285, 25, 58, 440, 17, 1210, 1747, 1220, 2248, 2580, 1, 36, 474, 454, 266, 1084, 377, 1222, 1293, 1207, 1610]","[4.6351943, 4.535449, 4.4990816, 4.367347, 4.3330817, 4.305413, 4.29879, 4.277659, 4.276689, 4.273428, 4.2712293, 4.250949, 4.223439, 4.222032, 4.1777143, 4.1754575, 4.168586, 4.1616325, 4.154407, 4.147861, 4.143607, 4.1269574, 4.1185966, 4.1071105, 4.097132, 4.0810122, 4.078977, 4.0660853, 4.0582757, 4.0556436, 4.0480165, 4.039071, 4.0287633, 4.0246263, 3.9991877, 3.9961634, 3.9937716, 3.9887307, 3.981043, 3.971221, 3.9662013, 3.9616947, 3.9546673, 3.950067, 3.937554, 3.9258704, 3.9204125, 3.9184608, 3.911027, 3.9086087, 3.9009259, 3.8976533, 3.8965173, 3.8963573, 3.894638, 3.8934498, 3.882094, 3.8775282, 3.859457, 3.8588867, 3.858389, 3.854568, 3.8535469, 3.8507528, 3.8497448, 3.8495708, 3.8334672, 3.8326743, 3.829461, 3.829082, 3.827229, 3.823988, 3.8219414, 3.8125525, 3.807114, 3.8047059, 3.8026516, 3.799999, 3.781186, 3.779214, 3.773421, 3.769142, 3.7678955, 3.7407098, 3.7390296, 3.7345808, 3.7327733, 3.7286658, 3.7228541, 3.7216263, 3.713583, 3.7061985, 3.7031567, 3.700057, 3.6992104, 3.6958787, 3.6753278, 3.672811, 3.6721435, 3.6642132]"
5,"[150, 454, 480, 593, 356, 318, 161, 539, 47, 292, 509, 339, 377, 434, 165, 10, 440, 587, 288, 208, 350, 185, 500, 329, 225, 231, 11, 337, 32, 236, 508, 235, 586, 282, 317, 553, 293, 780, 435, 432, 25, 648, 551, 151, 19, 163, 497, 62, 17, 224, 223, 368, 252, 6, 552, 2, 186, 160, 442, 342, 315, 16, 246, 353, 105, 168, 31, 141, 48, 555, 196, 520, 272, 529, 420, 173, 111, 260, 95, 736, 22, 471, 256, 158, 362, 45, 273, 1073, 708, 431, 585, 277, 193, 204, 485, 733, 227, 237, 230, 333]","[9.587784, 9.381588, 9.331229, 9.264801, 9.263151, 9.256456, 9.23339, 9.122411, 9.061012, 9.014268, 8.9857235, 8.983962, 8.975801, 8.895589, 8.874079, 8.851286, 8.823172, 8.799198, 8.7874775, 8.710072, 8.709146, 8.703759, 8.663469, 8.655202, 8.655018, 8.637201, 8.582922, 8.501002, 8.410188, 8.404814, 8.396672, 8.358168, 8.290785, 8.153523, 8.096827, 8.089532, 8.048742, 8.008297, 7.997509, 7.939306, 7.9333816, 7.8945026, 7.8527884, 7.8390074, 7.8382864, 7.8270426, 7.822131, 7.818855, 7.8135357, 7.780953, 7.769394, 7.748316, 7.7474213, 7.7254715, 7.7233686, 7.6860514, 7.663328, 7.6624336, 7.645611, 7.6368465, 7.6340437, 7.6298056, 7.5974917, 7.5740376, 7.547198, 7.5325184, 7.516724, 7.478938, 7.474988, 7.436586, 7.408717, 7.383175, 7.381486, 7.367611, 7.351125, 7.346875, 7.342568, 7.304141, 7.2989736, 7.2934837, 7.267683, 7.2644672, 7.2617474, 7.2293396, 7.2086377, 7.1914945, 7.1872015, 7.1718054, 7.165445, 7.124435, 7.081594, 7.0434017, 7.0397367, 7.0224113, 7.0048256, 6.99831, 6.984067, 6.971556, 6.9415617, 6.91327]"
6,"[280, 420, 276, 227, 442, 328, 300, 195, 339, 132, 14, 519, 413, 21, 338, 317, 325, 173, 314, 198, 275, 585, 259, 500, 421, 294, 610, 253, 616, 692, 193, 172, 122, 164, 648, 427, 116, 464, 144, 186, 8, 52, 383, 203, 828, 5, 551, 163, 1, 466, 255, 810, 39, 231, 327, 761, 44, 533, 728, 813, 586, 48, 233, 249, 376, 235, 471, 422, 484, 688, 1429, 283, 707, 348, 177, 546, 524, 529, 593, 733, 184, 12, 57, 428, 418, 223, 23, 544, 661, 786, 169, 272, 433, 724, 748, 86, 766, 805, 335, 656]","[7.0265265, 7.0125885, 7.0030823, 6.920379, 6.8891287, 6.8883724, 6.8768177, 6.8548193, 6.842449, 6.8233438, 6.817852, 6.8082232, 6.795521, 6.7797365, 6.7719464, 6.7386694, 6.733842, 6.733692, 6.7278686, 6.724749, 6.722775, 6.720153, 6.7069874, 6.704295, 6.6885204, 6.6841116, 6.665105, 6.6547422, 6.6218815, 6.6200905, 6.608037, 6.604526, 6.5863924, 6.5718884, 6.5702295, 6.5572834, 6.551692, 6.541021, 6.533494, 6.528997, 6.5157356, 6.5001254, 6.48978, 6.487935, 6.480591, 6.4805717, 6.473795, 6.471878, 6.44487, 6.42824, 6.387698, 6.3721585, 6.359379, 6.326859, 6.3233275, 6.318474, 6.3100147, 6.3077273, 6.305042, 6.2952156, 6.280479, 6.2653666, 6.2548523, 6.2510567, 6.2451677, 6.235302, 6.2286663, 6.2211075, 6.211354, 6.210599, 6.2075834, 6.2000265, 6.1994667, 6.1719303, 6.160074, 6.1585402, 6.1545134, 6.132326, 6.117996, 6.1135654, 6.0809803, 6.07693, 6.072124, 6.063119, 6.043534, 6.0409393, 6.0331326, 6.0220184, 6.021428, 6.0144053, 6.0112357, 5.9945083, 5.969397, 5.961994, 5.951998, 5.951878, 5.9514446, 5.944923, 5.94011, 5.9387817]"
7,"[2571, 4993, 5349, 5418, 4022, 4226, 7438, 6377, 2959, 6874, 3996, 7361, 296, 318, 2329, 4878, 1198, 2502, 1527, 1721, 2706, 2628, 4011, 1580, 1036, 1136, 44191, 110, 8874, 4027, 2028, 2716, 1732, 364, 1704, 47, 3948, 3717, 3147, 6378, 4973, 7143, 1291, 4025, 2115, 1961, 588, 58559, 1210, 7147, 527, 45722, 51662, 3052, 6711, 2012, 1197, 2700, 2011, 3751, 3481, 33166, 3897, 5679, 1089, 1265, 3753, 2355, 54286, 8644, 2997, 780, 2987, 457, 48394, 377, 5010, 367, 2918, 8464, 858, 586, 344, 231, 1968, 1222, 8784, 60069, 3949, 6373, 2174, 1258, 1214, 34405, 3535, 5481, 6537, 2617, 5669, 46578]","[4.9587903, 4.825241, 4.766206, 4.628196, 4.594141, 4.560374, 4.5316195, 4.491829, 4.469352, 4.434144, 4.393767, 4.355815, 4.351478, 4.337846, 4.3016963, 4.2898827, 4.2752514, 4.247221, 4.2111516, 4.191607, 4.180969, 4.178652, 4.1503763, 4.141263, 4.140567, 4.133815, 4.13364, 4.1253777, 4.115154, 4.1127143, 4.1042786, 4.1014333, 4.076245, 4.069562, 4.061035, 4.0503764, 4.0468907, 4.0324955, 4.030942, 4.0260944, 4.0147715, 4.009739, 3.9548979, 3.9540925, 3.9512208, 3.9500582, 3.9428809, 3.9420125, 3.9297194, 3.9275203, 3.9261448, 3.9008245, 3.8969388, 3.891285, 3.8899088, 3.859337, 3.8510637, 3.8484077, 3.8480656, 3.8447087, 3.8429108, 3.8394268, 3.8378584, 3.835859, 3.811987, 3.8107133, 3.8080835, 3.788255, 3.7802224, 3.7796335, 3.7739947, 3.7738822, 3.7718372, 3.7436972, 3.7430463, 3.7425165, 3.736578, 3.7345572, 3.7322602, 3.7306335, 3.7301538, 3.7268705, 3.719446, 3.7126706, 3.7052379, 3.6952996, 3.679696, 3.678836, 3.676688, 3.6748462, 3.6626444, 3.661605, 3.6606438, 3.6590097, 3.656793, 3.6506968, 3.6459842, 3.6425729, 3.6411085, 3.6393194]"
8,"[592, 344, 356, 161, 316, 349, 588, 165, 434, 595, 300, 589, 288, 597, 329, 266, 410, 225, 509, 1, 350, 474, 337, 508, 19, 780, 648, 435, 160, 553, 293, 163, 186, 442, 62, 315, 551, 6, 36, 368, 223, 173, 520, 353, 168, 736, 48, 25, 261, 552, 420, 17, 608, 95, 256, 158, 16, 196, 151, 594, 224, 733, 333, 260, 555, 44, 1073, 31, 265, 22, 362, 497, 104, 193, 204, 485, 355, 277, 529, 342, 105, 172, 788, 585, 596, 431, 111, 475, 466, 273, 216, 524, 5, 708, 1210, 471, 376, 616, 370, 7]","[10.323249, 10.119475, 10.091316, 10.031492, 10.029576, 10.025778, 9.991675, 9.990286, 9.905111, 9.8152, 9.795458, 9.739878, 9.705621, 9.676598, 9.669621, 9.598858, 9.503065, 9.424818, 9.155724, 9.128227, 9.039196, 8.991962, 8.989376, 8.921526, 8.877657, 8.868341, 8.8308325, 8.778958, 8.749919, 8.723691, 8.706264, 8.637434, 8.637253, 8.630928, 8.626985, 8.52659, 8.459788, 8.404711, 8.40226, 8.389846, 8.368644, 8.367198, 8.3362255, 8.325086, 8.31522, 8.310444, 8.295352, 8.2831745, 8.277231, 8.258154, 8.24615, 8.192239, 8.170492, 8.157976, 8.127131, 8.12278, 8.111706, 8.103329, 8.073597, 8.042634, 8.03113, 7.9983454, 7.9700146, 7.9696107, 7.9677563, 7.9217367, 7.878378, 7.8545074, 7.8070536, 7.7922564, 7.780285, 7.779485, 7.7746897, 7.737159, 7.7369337, 7.7334566, 7.682843, 7.6437435, 7.6284513, 7.6254525, 7.603422, 7.5962834, 7.592003, 7.565915, 7.557851, 7.5324984, 7.5303817, 7.527664, 7.492642, 7.4856596, 7.4624143, 7.4461207, 7.431943, 7.402007, 7.364041, 7.3568726, 7.3558645, 7.3466644, 7.3358088, 7.3253307]"
9,"[904, 3168, 2858, 2288, 1230, 1208, 1617, 541, 608, 3868, 2076, 1090, 924, 1201, 778, 1213, 260, 1721, 2791, 3363, 1261, 1214, 858, 2951, 1968, 1210, 2571, 1093, 4641, 1199, 1252, 1221, 3897, 968, 3424, 903, 1278, 2028, 2716, 1222, 2692, 2542, 912, 2959, 1272, 3681, 1327, 1196, 1263, 1206, 3448, 750, 1089, 2160, 1276, 8042, 1258, 1234, 1073, 6807, 919, 2580, 953, 1394, 1466, 3101, 1953, 1923, 2598, 1961, 1304, 2723, 1079, 1136, 1197, 1097, 1247, 780, 2403, 1193, 1228, 4226, 1387, 1223, 1198, 593, 1186, 1200, 1251, 1080, 2997, 4973, 4027, 1517, 1225, 3468, 4979, 2539, 849, 1997]","[2.7192621, 2.6133757, 2.5781958, 2.5489461, 2.5402203, 2.5236006, 2.5128973, 2.503854, 2.477128, 2.4575849, 2.3875542, 2.3797529, 2.3733375, 2.372007, 2.3652854, 2.3613522, 2.3592482, 2.351772, 2.3460908, 2.3328724, 2.3275247, 2.3151839, 2.3147178, 2.3116746, 2.308865, 2.296061, 2.2772336, 2.2374425, 2.2281818, 2.224013, 2.22049, 2.2169313, 2.2012837, 2.19384, 2.1855612, 2.1853383, 2.1615834, 2.152877, 2.1427777, 2.1409154, 2.1247938, 2.1239355, 2.1188598, 2.1186588, 2.1174843, 2.1128905, 2.1069717, 2.1058311, 2.1048422, 2.101343, 2.0943723, 2.0801575, 2.079051, 2.0735745, 2.0650215, 2.0511684, 2.0486042, 2.0411243, 2.0235968, 2.0229201, 2.017954, 2.0170236, 2.0160673, 2.0160275, 2.009128, 2.0077617, 2.0077052, 2.0027275, 1.9943284, 1.9926047, 1.9920294, 1.9918357, 1.9913845, 1.990091, 1.9875604, 1.9806569, 1.9753063, 1.9736161, 1.9688709, 1.9685348, 1.967962, 1.9678617, 1.9674029, 1.966991, 1.9637043, 1.9612838, 1.9610324, 1.9546407, 1.9507172, 1.9475596, 1.944954, 1.9430463, 1.9409039, 1.9393177, 1.9323819, 1.9308627, 1.9306273, 1.9297984, 1.9219633, 1.9091963]"
10,"[8533, 96821, 45720, 72998, 50872, 46578, 4306, 76093, 112852, 88405, 8368, 60069, 54001, 6539, 97921, 69122, 79132, 81591, 91500, 4896, 35836, 64957, 7444, 69757, 134853, 4973, 4886, 68135, 116797, 7361, 112556, 81834, 112552, 318, 86833, 111659, 5218, 66097, 53125, 4963, 58998, 2572, 72737, 63082, 78499, 45722, 59315, 1721, 72641, 96588, 5618, 33615, 4226, 56152, 37729, 5816, 86882, 58047, 5299, 8360, 65230, 1, 115617, 30793, 152081, 5989, 6373, 106920, 52975, 4016, 59501, 59784, 88125, 8643, 2324, 6874, 52973, 106487, 7173, 122904, 40815, 112290, 5418, 48780, 80463, 89745, 99114, 4308, 6619, 41566, 3948, 31658, 45447, 68157, 104841, 63859, 71535, 4700, 7147, 61323]","[5.298932, 5.1541843, 5.078769, 5.0156574, 4.857588, 4.8512597, 4.806641, 4.7713428, 4.739006, 4.736265, 4.7355146, 4.7119036, 4.7042727, 4.677848, 4.6728115, 4.642914, 4.5892024, 4.5864973, 4.56636, 4.5346575, 4.5325365, 4.5207825, 4.450926, 4.3939114, 4.376124, 4.32673, 4.315997, 4.2931714, 4.283709, 4.264422, 4.2640214, 4.2525244, 4.2430606, 4.241679, 4.2383966, 4.2278414, 4.209546, 4.1991444, 4.191793, 4.190864, 4.176114, 4.1502724, 4.1335483, 4.127408, 4.101774, 4.099684, 4.099595, 4.0838428, 4.0680695, 4.057474, 4.0556364, 4.0483, 4.040115, 4.033605, 4.033455, 4.015597, 4.014946, 4.0142446, 4.0128136, 4.008113, 4.006468, 3.974423, 3.9686818, 3.9670367, 3.9591527, 3.944523, 3.9355285, 3.9354873, 3.9324074, 3.921627, 3.9124675, 3.894661, 3.8889375, 3.8717055, 3.87147, 3.8492804, 3.8465726, 3.8369918, 3.8315692, 3.8248296, 3.7934895, 3.7906516, 3.7773123, 3.775407, 3.770269, 3.7686815, 3.7677171, 3.7656512, 3.7576444, 3.7535167, 3.7531888, 3.7516942, 3.743178, 3.7389305, 3.7288184, 3.7283125, 3.704657, 3.7026203, 3.6759768, 3.666091]"
