,itemIds,top-100 scores
1,"[318, 296, 110, 356, 593, 480, 2571, 260, 589, 150, 457, 592, 380, 590, 780, 1, 50, 32, 527, 588, 1196, 47, 2858, 1210, 608, 2028, 648, 367, 165, 377, 316, 1198, 344, 2959, 736, 858, 364, 10, 1580, 153, 733, 1270, 1214, 597, 595, 500, 2762, 2628, 3578, 349, 329, 34, 208, 292, 253, 161, 1197, 4993, 1036, 231, 293, 539, 587, 1193, 1221, 1240, 454, 185, 95, 1073, 434, 1291, 1097, 1200, 1089, 1721, 25, 1356, 5952, 39, 339, 3793, 4306, 924, 541, 1704, 2683, 357, 1213, 2716, 4226, 7153, 2329, 1258, 1617, 1136, 1208, 288, 586, 141]","[7.2382097, 7.218551, 6.935671, 6.922264, 6.83324, 6.771109, 6.731908, 6.585341, 6.5723405, 6.5394607, 6.4395185, 6.331039, 6.3271017, 6.31317, 6.3093977, 6.25764, 6.2534094, 6.20442, 6.200558, 6.1184096, 6.1024137, 6.0661407, 6.0598664, 5.952983, 5.9276104, 5.8584356, 5.8564253, 5.838058, 5.8007736, 5.7732854, 5.745778, 5.735667, 5.690296, 5.6562347, 5.6394424, 5.6269894, 5.6243877, 5.61753, 5.5933576, 5.5919414, 5.5153656, 5.508601, 5.432865, 5.4023333, 5.3928857, 5.3869543, 5.3846393, 5.365401, 5.3600593, 5.357811, 5.332815, 5.330417, 5.315506, 5.287443, 5.287106, 5.2859263, 5.281097, 5.23239, 5.231066, 5.1764154, 5.1704817, 5.1698904, 5.1687326, 5.16533, 5.151296, 5.140544, 5.1316223, 5.131565, 5.116682, 5.1075583, 5.1029377, 5.10043, 5.091278, 5.083807, 5.0802684, 5.0764656, 5.058476, 5.0520477, 5.0406895, 5.024152, 5.013109, 5.0119176, 5.009038, 4.9912624, 4.9857993, 4.966527, 4.9653306, 4.961712, 4.9616756, 4.9615793, 4.935318, 4.922608, 4.920271, 4.912955, 4.9057336, 4.9018, 4.90123, 4.888145, 4.8835897, 4.880661]"
2,"[2571, 318, 79132, 356, 7153, 58559, 2959, 4993, 5952, 296, 6539, 260, 593, 4226, 4306, 68954, 6377, 7361, 60069, 527, 8961, 33794, 6874, 3578, 858, 110, 2028, 50, 59315, 4886, 5989, 2858, 4896, 91529, 1196, 1198, 48516, 68157, 589, 72998, 2329, 4995, 89745, 5418, 2762, 109487, 7438, 1210, 1, 44191, 4878, 47, 4963, 50872, 1704, 4973, 48780, 480, 99114, 8368, 1270, 3949, 54286, 3147, 3793, 1580, 48394, 5445, 364, 74458, 5618, 69122, 51662, 608, 70286, 1036, 1291, 5816, 106782, 49272, 112852, 6365, 80463, 1721, 116797, 81845, 8636, 1682, 293, 4022, 5218, 150, 51255, 8360, 91500, 33493, 1221, 69844, 588, 109374]","[4.3123507, 4.25619, 4.107966, 4.06132, 4.0367985, 4.0293922, 3.9832108, 3.9335787, 3.8137493, 3.706623, 3.6488836, 3.5722635, 3.5612378, 3.5412736, 3.5347712, 3.5333633, 3.5076387, 3.4553435, 3.4258554, 3.4073133, 3.3889785, 3.356527, 3.35054, 3.3369462, 3.3154535, 3.3045545, 3.2972846, 3.2917998, 3.287444, 3.2837622, 3.2797377, 3.2797005, 3.2754207, 3.2641745, 3.2593305, 3.2576814, 3.2543793, 3.2460394, 3.2440414, 3.221602, 3.2197084, 3.2112243, 3.1889338, 3.1796908, 3.1722007, 3.164832, 3.1614554, 3.158193, 3.1519313, 3.1464448, 3.1263254, 3.1225677, 3.0910943, 3.0836704, 3.0835712, 3.0674272, 3.0626469, 3.06203, 3.0414405, 3.0226223, 3.021499, 3.0188825, 3.0165021, 3.0133796, 2.9960258, 2.994548, 2.991334, 2.9781194, 2.9770195, 2.9738286, 2.9722662, 2.9625888, 2.9535232, 2.9382155, 2.9270966, 2.9197574, 2.9182806, 2.9171462, 2.908285, 2.9061518, 2.9044018, 2.9036984, 2.8924909, 2.8899093, 2.8851864, 2.8659651, 2.8592103, 2.8539965, 2.8519933, 2.8487115, 2.8476658, 2.8428276, 2.8344522, 2.8333561, 2.8318148, 2.8314736, 2.8302417, 2.8296816, 2.8292224, 2.827908]"
3,"[296, 318, 110, 480, 593, 356, 150, 589, 457, 592, 590, 380, 260, 2571, 780, 32, 1, 50, 588, 527, 1196, 47, 2858, 608, 648, 316, 165, 367, 1210, 377, 344, 736, 153, 2028, 10, 733, 1198, 349, 364, 329, 1580, 161, 597, 858, 292, 1214, 34, 595, 253, 1270, 500, 208, 454, 539, 2959, 2628, 587, 434, 95, 185, 25, 1197, 2762, 1073, 231, 1356, 339, 1036, 39, 357, 300, 3578, 1193, 1240, 1097, 141, 1221, 293, 1200, 62, 1617, 924, 288, 1089, 21, 1291, 2683, 410, 1721, 1208, 541, 586, 2716, 266, 1213, 1258, 440, 1610, 912, 919]","[4.1627984, 4.090291, 4.0264316, 3.9733462, 3.930479, 3.9200785, 3.8667898, 3.8198757, 3.8109193, 3.782408, 3.772818, 3.76125, 3.7590735, 3.7334995, 3.7044785, 3.6591854, 3.6259048, 3.5938804, 3.5848541, 3.546396, 3.4949398, 3.491249, 3.4485404, 3.4306695, 3.4296298, 3.4249625, 3.4211168, 3.4087048, 3.4045117, 3.3854878, 3.3585424, 3.3559914, 3.321646, 3.3173635, 3.312613, 3.269852, 3.2676733, 3.2461607, 3.2276077, 3.2037914, 3.2005749, 3.1867006, 3.1847305, 3.1830962, 3.171936, 3.1681185, 3.166625, 3.1547642, 3.1471963, 3.1461265, 3.1332297, 3.1243963, 3.1022613, 3.0860171, 3.0799265, 3.0789952, 3.0753078, 3.068115, 3.0673902, 3.0541127, 3.0525186, 3.0377262, 3.0280993, 3.0144396, 3.0098834, 3.0095043, 3.0093791, 2.9796786, 2.9699206, 2.9621947, 2.9610722, 2.958179, 2.949562, 2.946654, 2.9424539, 2.9424098, 2.94016, 2.9352458, 2.928049, 2.9180555, 2.9146807, 2.904992, 2.9048202, 2.895697, 2.8940966, 2.8899622, 2.887428, 2.8733327, 2.8621993, 2.8616478, 2.8599293, 2.8489413, 2.845324, 2.837213, 2.8366404, 2.8314204, 2.8314087, 2.8251288, 2.817899, 2.8177197]"
4,"[296, 318, 110, 480, 593, 150, 457, 590, 356, 592, 260, 589, 780, 380, 2571, 32, 1, 527, 50, 2858, 588, 1196, 608, 47, 648, 1210, 367, 316, 736, 377, 2028, 165, 153, 10, 733, 344, 1198, 349, 25, 1580, 1214, 329, 597, 858, 34, 161, 1270, 2628, 454, 364, 292, 253, 539, 1197, 500, 1617, 587, 595, 1073, 1193, 357, 1356, 924, 2762, 2959, 95, 185, 300, 1304, 39, 904, 1221, 1097, 141, 339, 1089, 208, 434, 62, 1036, 1200, 2396, 2683, 21, 1208, 293, 235, 541, 912, 1240, 1584, 509, 3578, 1374, 337, 1258, 1610, 266, 231, 1721]","[6.2094555, 6.002236, 5.98855, 5.874158, 5.8651266, 5.746489, 5.698024, 5.6688027, 5.644328, 5.6441026, 5.6114993, 5.6091814, 5.566947, 5.5525594, 5.524335, 5.444174, 5.398044, 5.3375263, 5.3299704, 5.2988243, 5.293367, 5.212545, 5.191909, 5.1762376, 5.0988903, 5.076344, 5.0307655, 5.028872, 5.0219173, 4.9897823, 4.989628, 4.942485, 4.904577, 4.883678, 4.874405, 4.8738523, 4.865479, 4.8010945, 4.7920175, 4.791521, 4.790351, 4.780973, 4.776065, 4.7736635, 4.721964, 4.715354, 4.7060823, 4.6700263, 4.6625223, 4.657604, 4.647861, 4.646097, 4.6370296, 4.6319213, 4.6292796, 4.627438, 4.6240535, 4.624011, 4.566226, 4.5522566, 4.541322, 4.534384, 4.530478, 4.5228324, 4.515827, 4.5104175, 4.5101113, 4.5082245, 4.5041447, 4.493991, 4.479536, 4.477352, 4.477305, 4.4686966, 4.465692, 4.4616003, 4.459023, 4.4484925, 4.437711, 4.428302, 4.4183426, 4.417132, 4.413452, 4.410687, 4.403817, 4.403116, 4.397088, 4.393042, 4.3888993, 4.3783574, 4.365717, 4.353703, 4.35321, 4.3490634, 4.3472385, 4.3421907, 4.336749, 4.336566, 4.3365498, 4.33259]"
5,"[296, 318, 110, 356, 593, 480, 150, 589, 2571, 592, 590, 457, 380, 260, 780, 32, 1, 50, 527, 588, 47, 165, 1196, 316, 367, 648, 344, 2858, 377, 608, 1210, 153, 364, 10, 736, 2028, 292, 349, 1198, 208, 595, 733, 253, 161, 2959, 329, 858, 34, 597, 500, 1580, 434, 454, 1270, 231, 539, 95, 185, 587, 25, 1214, 2762, 339, 3578, 2628, 293, 300, 4993, 39, 1197, 1036, 288, 1073, 141, 62, 1193, 357, 410, 1221, 1356, 1240, 266, 1291, 586, 1721, 5952, 1089, 1097, 1200, 21, 4306, 3793, 1704, 541, 7153, 924, 104, 337, 4226, 2329]","[4.796491, 4.766226, 4.6294594, 4.567494, 4.516351, 4.4737835, 4.4030704, 4.3583775, 4.2827005, 4.269203, 4.268853, 4.268614, 4.260882, 4.2172956, 4.157141, 4.135777, 4.1179404, 4.1105647, 4.0969777, 4.090693, 4.0068746, 3.9352667, 3.8800364, 3.8797567, 3.8708189, 3.8624716, 3.8604136, 3.8297093, 3.823591, 3.8211112, 3.8010895, 3.7793512, 3.7624722, 3.7608647, 3.7324488, 3.721995, 3.667082, 3.665112, 3.6613817, 3.644415, 3.627901, 3.6137562, 3.6055467, 3.5945413, 3.591061, 3.5897093, 3.58893, 3.579964, 3.5772755, 3.5759299, 3.5366151, 3.5336087, 3.4894383, 3.4821606, 3.4781258, 3.4544902, 3.4529355, 3.4507666, 3.4275672, 3.4256155, 3.4079907, 3.4023452, 3.3967412, 3.39382, 3.3794105, 3.3643215, 3.3463945, 3.3357477, 3.3343537, 3.3285437, 3.3270986, 3.324908, 3.321553, 3.306224, 3.2885313, 3.2838588, 3.274718, 3.268651, 3.2553127, 3.2485082, 3.2355464, 3.2154987, 3.210704, 3.2061322, 3.1986735, 3.194337, 3.1923025, 3.1791024, 3.175415, 3.1703846, 3.1646466, 3.159697, 3.1495867, 3.148369, 3.1346462, 3.1338441, 3.1329608, 3.1273432, 3.1269808, 3.123416]"
6,"[592, 590, 380, 150, 110, 457, 480, 296, 349, 316, 780, 292, 32, 736, 329, 165, 153, 95, 161, 434, 589, 593, 141, 253, 454, 588, 648, 10, 25, 344, 733, 300, 318, 377, 1, 367, 185, 62, 539, 339, 356, 587, 21, 34, 208, 597, 474, 50, 266, 440, 47, 7, 288, 260, 595, 350, 36, 1073, 17, 410, 608, 1356, 553, 509, 786, 225, 500, 357, 527, 236, 39, 432, 368, 231, 364, 252, 552, 802, 11, 235, 494, 1196, 6, 315, 186, 337, 1210, 435, 151, 112, 708, 160, 3, 163, 1304, 2858, 5, 442, 168, 196]","[6.0736766, 5.991079, 5.9906225, 5.857904, 5.8470507, 5.8396535, 5.739929, 5.6532717, 5.5912004, 5.529514, 5.5191803, 5.4996176, 5.4874144, 5.4302497, 5.4254985, 5.3973413, 5.395623, 5.383213, 5.3805423, 5.32497, 5.27842, 5.2666855, 5.2314944, 5.22571, 5.1946, 5.192285, 5.160959, 5.144593, 5.1309566, 5.105033, 5.1023026, 5.0919037, 5.023603, 5.0058365, 4.989224, 4.9849663, 4.9288306, 4.9273243, 4.906874, 4.8840036, 4.859552, 4.8561296, 4.8307405, 4.824959, 4.804583, 4.7931786, 4.793135, 4.7892203, 4.7702146, 4.7646236, 4.7387943, 4.7234435, 4.7164645, 4.6849074, 4.663097, 4.6522627, 4.625394, 4.622829, 4.6103344, 4.603732, 4.5910006, 4.586602, 4.5714216, 4.569712, 4.565518, 4.563449, 4.5448165, 4.5435505, 4.5431714, 4.517912, 4.5111976, 4.4993744, 4.481624, 4.460358, 4.421815, 4.406066, 4.3867083, 4.371812, 4.363592, 4.3439274, 4.340987, 4.335564, 4.3314323, 4.2963505, 4.282761, 4.268613, 4.2618785, 4.2461333, 4.236443, 4.219457, 4.218969, 4.197107, 4.195154, 4.139001, 4.138153, 4.114829, 4.10913, 4.097064, 4.0930758, 4.08867]"
7,"[318, 2571, 356, 296, 593, 2959, 260, 110, 4993, 7153, 527, 589, 5952, 50, 2858, 480, 1196, 2028, 1, 58559, 858, 1198, 79132, 47, 4306, 1210, 6539, 4226, 3578, 150, 7361, 2762, 6377, 608, 780, 588, 457, 1580, 1270, 2329, 32, 364, 4886, 1704, 8961, 6874, 380, 1036, 367, 590, 4995, 3793, 592, 1721, 1291, 48516, 1193, 293, 1221, 4896, 33794, 4973, 5989, 4878, 2628, 5418, 648, 1214, 5445, 1197, 377, 7438, 4963, 3147, 1089, 344, 3949, 68954, 165, 1682, 60069, 1240, 1136, 44191, 500, 1213, 5349, 5618, 541, 4022, 595, 1200, 2716, 10, 1265, 750, 778, 316, 6365, 1527]","[7.0366836, 6.932148, 6.6880507, 6.5030637, 6.206245, 6.1670594, 6.127345, 5.9840684, 5.959945, 5.8951173, 5.8391776, 5.7734785, 5.741288, 5.6973534, 5.6912327, 5.6622634, 5.616113, 5.5829477, 5.57178, 5.561958, 5.5249104, 5.4880404, 5.4802446, 5.464715, 5.4646506, 5.4494686, 5.4435887, 5.4306283, 5.4073243, 5.3750587, 5.314604, 5.279938, 5.2441154, 5.232836, 5.2177405, 5.2097735, 5.173281, 5.1717663, 5.169176, 5.1548615, 5.106976, 5.105807, 5.0548472, 5.0217133, 4.9892693, 4.9675465, 4.9599237, 4.9541764, 4.9399242, 4.925868, 4.9257154, 4.9247227, 4.9017997, 4.8966455, 4.881783, 4.8583207, 4.8582063, 4.8507833, 4.84932, 4.8421493, 4.838374, 4.838289, 4.8312483, 4.8213387, 4.818417, 4.8132915, 4.797738, 4.79145, 4.7866364, 4.773923, 4.7712736, 4.749032, 4.7454443, 4.736181, 4.7260737, 4.711113, 4.6991444, 4.698939, 4.696518, 4.6950397, 4.671227, 4.6699104, 4.6558084, 4.6157546, 4.6111455, 4.6066113, 4.5818677, 4.5788593, 4.5668564, 4.5632925, 4.5583425, 4.552956, 4.540634, 4.5206766, 4.5142584, 4.4976892, 4.487579, 4.4705963, 4.465507, 4.4615316]"
8,"[296, 318, 110, 356, 593, 480, 150, 589, 2571, 380, 457, 592, 590, 260, 780, 32, 1, 50, 588, 527, 47, 165, 316, 367, 1196, 344, 648, 377, 2858, 608, 1210, 364, 153, 10, 736, 2028, 292, 208, 349, 1198, 595, 733, 2959, 253, 161, 329, 500, 858, 34, 597, 434, 1580, 231, 1270, 454, 95, 185, 539, 587, 3578, 2762, 339, 1214, 25, 2628, 293, 4993, 288, 1036, 300, 39, 1197, 1073, 141, 410, 62, 1193, 357, 1356, 1221, 1240, 5952, 1291, 586, 4306, 266, 1721, 7153, 3793, 1089, 1200, 1097, 104, 21, 1704, 4226, 2329, 541, 788, 19]","[4.7570677, 4.7417955, 4.5962358, 4.568216, 4.4752398, 4.4395127, 4.3643284, 4.330866, 4.257053, 4.229951, 4.2289147, 4.227922, 4.2227836, 4.181895, 4.1111045, 4.1015577, 4.0864224, 4.0797343, 4.067103, 4.0500793, 3.9791167, 3.9280581, 3.852543, 3.849745, 3.8474572, 3.8438892, 3.8361187, 3.796717, 3.7755902, 3.7730265, 3.7679563, 3.760344, 3.7550738, 3.7398508, 3.6976912, 3.6853895, 3.646899, 3.644591, 3.6355624, 3.6285272, 3.6125183, 3.5833251, 3.582013, 3.58084, 3.5631351, 3.5550783, 3.5545268, 3.5489686, 3.544799, 3.5397184, 3.5241091, 3.506768, 3.4784007, 3.4581306, 3.450677, 3.432236, 3.4299564, 3.4172695, 3.3942964, 3.385462, 3.3739402, 3.3660452, 3.359976, 3.3550773, 3.3370485, 3.3319662, 3.329619, 3.3019705, 3.3004189, 3.2962365, 3.293288, 3.2883763, 3.288015, 3.2659204, 3.2534704, 3.2445793, 3.2311294, 3.2213964, 3.211636, 3.2087746, 3.2074575, 3.1964133, 3.1885233, 3.1869667, 3.165142, 3.1622612, 3.160721, 3.1555195, 3.1552591, 3.1423213, 3.1370814, 3.1357303, 3.1306896, 3.1277034, 3.1251106, 3.1250877, 3.10593, 3.0952635, 3.0878024, 3.0837471]"
9,"[296, 110, 318, 480, 593, 457, 260, 150, 589, 780, 592, 380, 2571, 356, 590, 32, 1196, 50, 2858, 608, 1, 527, 47, 648, 1210, 588, 736, 2028, 377, 316, 367, 1214, 733, 153, 165, 10, 1198, 329, 344, 1617, 349, 1580, 858, 2628, 597, 161, 253, 1356, 1270, 95, 2762, 1097, 1073, 587, 25, 34, 292, 1200, 500, 1197, 924, 1374, 1089, 364, 454, 904, 1304, 919, 1221, 2959, 1208, 539, 1584, 185, 1240, 1193, 3578, 595, 141, 2396, 912, 1036, 21, 293, 1258, 1387, 1213, 235, 1610, 357, 434, 541, 111, 2716, 3175, 6, 62, 339, 39, 1721]","[3.2345102, 3.1719105, 3.1377606, 3.1113482, 3.0668516, 3.0351417, 3.0053554, 2.9945045, 2.9792225, 2.9718745, 2.9670389, 2.9444234, 2.9431908, 2.929594, 2.9292285, 2.8701525, 2.8439207, 2.8415394, 2.8294032, 2.7920895, 2.7906094, 2.7637131, 2.7468686, 2.72927, 2.7262688, 2.7240338, 2.7050586, 2.686764, 2.6824818, 2.681944, 2.673463, 2.6598456, 2.6531312, 2.6324148, 2.6275618, 2.6087987, 2.5846157, 2.5723116, 2.5519001, 2.5465503, 2.5390282, 2.5360787, 2.5287194, 2.5186346, 2.5119963, 2.5037413, 2.49131, 2.4854014, 2.4779048, 2.476911, 2.4714177, 2.471314, 2.4638948, 2.4574132, 2.45726, 2.4450219, 2.4427512, 2.4421873, 2.4366536, 2.4344587, 2.4337854, 2.4320188, 2.4312835, 2.430602, 2.4303777, 2.428006, 2.4259126, 2.4246428, 2.4231856, 2.416659, 2.4149868, 2.412289, 2.411644, 2.4098458, 2.408436, 2.4051661, 2.4033523, 2.3966708, 2.390551, 2.3835392, 2.3710914, 2.3707902, 2.367242, 2.366463, 2.3629153, 2.360519, 2.3579104, 2.3578923, 2.3561475, 2.3559146, 2.3553708, 2.3541944, 2.3456922, 2.3405797, 2.336584, 2.3365748, 2.3353198, 2.334607, 2.3340807, 2.3296635]"
10,"[79132, 2571, 58559, 7153, 318, 356, 4993, 2959, 5952, 68954, 6539, 6377, 60069, 4226, 4306, 296, 8961, 91529, 7361, 59315, 72998, 33794, 260, 6874, 4896, 68157, 109487, 593, 89745, 5989, 4886, 48516, 4995, 50872, 3578, 527, 5418, 7438, 858, 99114, 44191, 2329, 106782, 4963, 48780, 69122, 2028, 74458, 8368, 1198, 2858, 112852, 4878, 116797, 50, 54286, 69844, 1196, 122904, 2762, 91500, 4973, 110, 80463, 109374, 51662, 48394, 70286, 81845, 589, 1704, 3949, 1, 1210, 5218, 49272, 59784, 5816, 3147, 78499, 5618, 1270, 3793, 5445, 47, 115617, 56367, 8360, 119145, 51255, 54001, 122886, 6365, 53125, 8636, 33493, 1580, 63082, 96079, 32587]","[5.753561, 5.632536, 5.555453, 5.4625564, 5.4604764, 5.2881274, 5.2619867, 5.2543106, 5.0808043, 4.9419084, 4.9270945, 4.8069863, 4.767484, 4.698543, 4.6976027, 4.631298, 4.6276016, 4.6187434, 4.6093073, 4.6008973, 4.5656743, 4.54804, 4.5073953, 4.499157, 4.486634, 4.485404, 4.459096, 4.4568787, 4.446461, 4.4437776, 4.425046, 4.3789754, 4.3341255, 4.3339705, 4.3261714, 4.2969737, 4.2738733, 4.2653556, 4.2522016, 4.2322383, 4.231995, 4.2260766, 4.2106047, 4.207048, 4.191945, 4.1824274, 4.178316, 4.168447, 4.1559577, 4.1553893, 4.148737, 4.121381, 4.113265, 4.1091094, 4.101666, 4.088594, 4.073461, 4.071457, 4.059231, 4.0538974, 4.050829, 4.0491934, 4.04846, 4.0479836, 4.040311, 4.0397677, 4.032566, 4.0319715, 4.021163, 4.0191727, 3.9996383, 3.9993382, 3.9734144, 3.9667225, 3.952019, 3.9513538, 3.9411814, 3.9370506, 3.932887, 3.9256845, 3.9212692, 3.9059472, 3.895027, 3.8948853, 3.8916962, 3.8784392, 3.8757606, 3.8664458, 3.8660157, 3.8653235, 3.8525548, 3.8477836, 3.8431904, 3.840429, 3.8343825, 3.8336537, 3.8292453, 3.826955, 3.8197894, 3.8184977]"
