,itemIds
1,"[480, 919, 1580, 260, 593, 1196, 1210, 2716, 1198, 2115, 1270, 1197, 2916, 377, 318, 2054, 3033, 4085, 457, 589, 2302, 2268, 2791, 296, 110, 1214, 2699, 1377, 2011, 2000, 1, 2797, 1036, 733, 1690, 2804, 10, 367, 2987, 1073, 1387, 2355, 2605, 2174, 1372, 592, 2193, 1200, 3671, 2985, 2628, 1127, 2078, 3552, 356, 223, 1544, 3793, 2617, 1610, 2947, 608, 1517, 1573, 588, 1356, 2762, 736, 2002, 2700, 1370, 3421, 1240, 1584, 1552, 3082, 1097, 1909, 2683, 1101, 1676, 2001, 2396, 1527, 50, 1587, 590, 1500, 780, 2028, 648, 2640, 2470, 1407, 1485, 1968, 2717, 150, 597, 153]"
10,"[69844, 54001, 68954, 8533, 45720, 8368, 5444, 88163, 56367, 6377, 69757, 7293, 31685, 72998, 27706, 45517, 50872, 60397, 81845, 31658, 7451, 81834, 88810, 40629, 81564, 96821, 81591, 52975, 112852, 6942, 80549, 60069, 88125, 116797, 63992, 59784, 8529, 56171, 7153, 56152, 106487, 72641, 79132, 89745, 91529, 134853, 79091, 36529, 7373, 99114, 6155, 74789, 45722, 6539, 4995, 47610, 4016, 76093, 59315, 91500, 5218, 46976, 6863, 69122, 68554, 70286, 3988, 4308, 73017, 5816, 67255, 8970, 106696, 88405, 44022, 58559, 6373, 8961, 4018, 5299, 5989, 40815, 4896, 4069, 106782, 4447, 4299, 4306, 5957, 6365, 80463, 5991, 109374, 46578, 31696, 33615, 33794, 31433, 54272, 78499]"
100,"[597, 480, 11, 2396, 539, 1784, 590, 457, 296, 150, 593, 592, 318, 161, 110, 595, 1, 47, 2858, 2424, 527, 1073, 1028, 39, 1197, 780, 2683, 367, 2174, 1307, 1198, 1393, 1923, 508, 344, 380, 1408, 21, 1210, 62, 329, 736, 1246, 608, 50, 588, 589, 587, 1968, 1193, 32, 34, 1580, 223, 260, 339, 2710, 349, 1270, 1584, 1265, 104, 377, 594, 2028, 919, 2294, 1302, 235, 153, 1500, 337, 708, 266, 1610, 3255, 1517, 912, 733, 356, 1225, 500, 2100, 1220, 1278, 1196, 1721, 1407, 2431, 551, 1356, 910, 3052, 1288, 357, 2628, 208, 440, 454, 2572]"
101,"[1500, 2194, 919, 457, 1127, 1639, 70, 2490, 2021, 1784, 3175, 2605, 1584, 2948, 1580, 2028, 2599, 1573, 2723, 2763, 1210, 260, 1923, 1198, 50, 2916, 296, 223, 593, 2268, 2699, 1270, 2539, 1374, 2174, 1729, 2302, 3363, 1060, 3033, 2396, 3052, 10, 2692, 3994, 2710, 1954, 2470, 2947, 589, 1918, 2115, 2712, 733, 21, 1285, 3255, 1240, 1408, 2716, 1387, 1196, 110, 1610, 1320, 555, 1214, 1302, 318, 3210, 2987, 1377, 2797, 2000, 3176, 2628, 608, 2406, 1645, 1278, 1394, 1641, 1208, 1617, 1968, 1097, 480, 2683, 1674, 2001, 2918, 592, 2580, 1356, 3174, 1246, 380, 2407, 2858, 590]"
102,"[592, 434, 380, 153, 349, 161, 454, 292, 539, 593, 208, 150, 110, 480, 32, 266, 457, 34, 648, 62, 589, 377, 442, 786, 590, 344, 597, 1, 368, 339, 736, 1073, 165, 435, 588, 329, 141, 337, 733, 25, 95, 587, 367, 318, 780, 1356, 50, 231, 316, 47, 653, 10, 500, 186, 253, 485, 6, 252, 21, 19, 474, 185, 151, 223, 356, 236, 31, 788, 553, 104, 39, 112, 420, 410, 595, 608, 172, 173, 260, 432, 5, 494, 350, 508, 160, 300, 594, 196, 163, 762, 315, 440, 296, 1059, 158, 353, 170, 364, 466, 852]"
103,"[318, 593, 6377, 356, 7153, 1704, 2571, 6539, 1198, 68954, 58559, 2959, 2858, 260, 1580, 79132, 480, 47, 1270, 60069, 5218, 1196, 296, 2028, 4306, 4896, 1197, 4226, 50, 4993, 59315, 6365, 858, 527, 4886, 2762, 1210, 5418, 2324, 8368, 5952, 4995, 6874, 4973, 5618, 7438, 1221, 4963, 8961, 50872, 1, 8636, 8360, 3147, 3578, 89745, 608, 33794, 1291, 5816, 1265, 2329, 1206, 1682, 1732, 54001, 72998, 1721, 45722, 1089, 5459, 367, 8874, 589, 3793, 2918, 48516, 56174, 1036, 2628, 69122, 33493, 2716, 150, 541, 35836, 41566, 63082, 5378, 3751, 110, 5445, 44191, 1214, 1200, 1148, 7361, 32, 1907, 5989]"
104,"[6377, 1088, 2424, 318, 597, 2081, 2541, 1380, 914, 1035, 480, 1270, 1028, 2085, 3114, 4016, 1907, 593, 2572, 595, 2080, 1, 356, 1282, 1022, 4308, 1307, 367, 596, 4306, 2174, 1197, 2683, 150, 6539, 5299, 953, 2396, 5444, 47, 2858, 296, 586, 45722, 2144, 4963, 104, 588, 54001, 2671, 8961, 2248, 2, 34, 4022, 2294, 8360, 2724, 2054, 2321, 4018, 4014, 1148, 1704, 7153, 1210, 3988, 5991, 4886, 5218, 4896, 260, 745, 1580, 3751, 1517, 364, 4447, 2706, 616, 2571, 8368, 2087, 4993, 4246, 3948, 527, 551, 4995, 1721, 8636, 912, 594, 2716, 1961, 1193, 19, 3489, 1265, 2100]"
105,"[116797, 64614, 48780, 58559, 31410, 60069, 7153, 74458, 6942, 79132, 36529, 67255, 30812, 4973, 5971, 72998, 7361, 109374, 99114, 33794, 109487, 2959, 5952, 89745, 55247, 80906, 44555, 68954, 5618, 84152, 8368, 8874, 48385, 115569, 55820, 57669, 91529, 81562, 6377, 48516, 4995, 30749, 318, 48394, 7458, 6539, 112290, 1203, 92259, 7147, 7438, 91658, 88125, 30707, 106782, 7445, 27773, 593, 3949, 78499, 6874, 91500, 6870, 6365, 41566, 8873, 49272, 112556, 4226, 59315, 64839, 49530, 3462, 40819, 6016, 81845, 54001, 88129, 35836, 48738, 69122, 4720, 104841, 48774, 4896, 55765, 115617, 8529, 6502, 50872, 45499, 46976, 3967, 8644, 308, 5459, 174055, 59784, 112852, 112183]"
106,"[68954, 69844, 59315, 59784, 50872, 99114, 81834, 115617, 54001, 6377, 112852, 60069, 72998, 91529, 89745, 91500, 79132, 58559, 116797, 60040, 7153, 70286, 76093, 8368, 79702, 56174, 81591, 30793, 80463, 69122, 4896, 31685, 7293, 97921, 119145, 81845, 109487, 6539, 97913, 111362, 73017, 86882, 68157, 78499, 5952, 48780, 5218, 102903, 8644, 109374, 111759, 33615, 33794, 7373, 74789, 81564, 122918, 5418, 4995, 134130, 318, 8961, 122882, 60397, 79091, 8641, 134853, 34162, 6942, 51255, 45517, 76251, 36529, 4816, 40815, 63082, 4299, 61132, 68358, 64957, 96079, 122886, 31696, 6365, 69757, 5816, 7458, 45722, 96821, 4993, 4306, 95167, 4016, 5444, 2959, 1907, 74458, 110102, 1704, 56367]"
107,"[153, 349, 454, 161, 592, 736, 380, 110, 480, 231, 292, 165, 593, 367, 34, 208, 266, 62, 434, 150, 329, 733, 590, 339, 185, 442, 1356, 1073, 539, 1, 344, 648, 786, 10, 377, 186, 141, 25, 597, 457, 95, 32, 6, 21, 253, 588, 337, 589, 780, 368, 39, 317, 762, 587, 31, 19, 112, 47, 296, 653, 50, 350, 595, 440, 151, 316, 500, 485, 318, 435, 553, 594, 104, 288, 236, 196, 300, 252, 172, 474, 223, 260, 410, 356, 802, 160, 788, 163, 370, 551, 173, 520, 357, 494, 509, 277, 508, 527, 5, 327]"
