,itemIds
1,"[296, 356, 593, 480, 318, 110, 260, 2571, 47, 589, 780, 527, 1, 50, 457, 648, 1196, 32, 1210, 590, 588, 377, 150, 597, 592, 1198, 364, 2858, 2028, 608, 380, 1580, 1197, 367, 1270, 858, 6, 344, 1073, 2762, 500, 2959, 736, 165, 10, 1240, 3578, 587, 2628, 595, 2115, 2683, 223, 1214, 293, 153, 1036, 34, 586, 231, 316, 733, 1291, 1097, 1221, 1101, 1265, 1193, 1213, 1923, 1721, 1136, 551, 1610, 1968, 208, 329, 1704, 539, 1200, 1617, 541, 1089, 3793, 4993, 2174, 185, 2716, 4306, 924, 2396, 158, 1784, 357, 1584, 1206, 594, 104, 39, 1682]"
10,"[7153, 79132, 58559, 4993, 5952, 2959, 6539, 6377, 2571, 4306, 68954, 6874, 8961, 60069, 109487, 4226, 5989, 89745, 33794, 4886, 7438, 44191, 59315, 4973, 112852, 99114, 116797, 4995, 91529, 4896, 72998, 68157, 122904, 48780, 7361, 3578, 48516, 4963, 74458, 80463, 5418, 50872, 69122, 8368, 4878, 81845, 134130, 48394, 2762, 260, 318, 356, 91500, 858, 45722, 1198, 5816, 109374, 2858, 106782, 1270, 1721, 1704, 33493, 71535, 1732, 46578, 5445, 69844, 5218, 5618, 35836, 6942, 3949, 3793, 54286, 2329, 63082, 70286, 54001, 1682, 40815, 56367, 122886, 76093, 8874, 4022, 47099, 59784, 134853, 3147, 49272, 96079, 115617, 51662, 8636, 152081, 112556, 2028, 73017]"
100,"[296, 356, 480, 593, 318, 110, 47, 260, 589, 780, 2571, 457, 1, 527, 590, 50, 648, 597, 588, 592, 32, 377, 150, 1196, 380, 1210, 364, 367, 608, 1198, 2028, 2858, 1197, 1580, 6, 344, 736, 165, 1073, 500, 1270, 587, 10, 858, 153, 595, 223, 2762, 316, 34, 1240, 231, 2628, 293, 586, 1214, 2959, 733, 3578, 2115, 329, 2683, 539, 1036, 1101, 551, 1097, 208, 1193, 1291, 1610, 1221, 1213, 185, 1265, 357, 1923, 1968, 39, 1721, 1136, 1617, 253, 1200, 141, 2396, 292, 158, 594, 541, 62, 1704, 2174, 1089, 440, 1356, 553, 111, 21, 924]"
101,"[356, 296, 593, 318, 2571, 260, 480, 110, 1, 47, 527, 1210, 1196, 780, 1198, 2858, 50, 589, 2028, 1580, 1270, 858, 2959, 1197, 608, 648, 2762, 588, 364, 32, 457, 3578, 597, 377, 150, 2683, 1240, 2628, 367, 1214, 1036, 1073, 2115, 592, 1721, 1265, 1221, 293, 590, 1291, 1923, 1193, 1136, 1213, 4993, 4306, 1968, 1704, 223, 1097, 380, 500, 4226, 7153, 3793, 344, 6, 1682, 1089, 5952, 541, 2716, 595, 736, 1101, 1200, 1206, 586, 924, 1617, 587, 10, 165, 1610, 778, 2174, 231, 6377, 1527, 4973, 551, 104, 1784, 2997, 34, 111, 733, 7361, 2918, 912]"
102,"[110, 296, 318, 150, 480, 593, 356, 380, 590, 457, 592, 589, 527, 292, 165, 47, 588, 344, 377, 316, 153, 32, 161, 364, 10, 780, 434, 329, 349, 50, 253, 367, 597, 454, 648, 208, 1, 34, 595, 231, 736, 339, 539, 300, 185, 587, 2571, 500, 288, 260, 410, 25, 95, 350, 225, 62, 141, 266, 553, 21, 1196, 733, 440, 39, 6, 474, 357, 160, 586, 2028, 11, 435, 509, 315, 1210, 442, 36, 368, 1198, 432, 608, 282, 1073, 317, 2858, 17, 293, 7, 163, 186, 252, 19, 236, 786, 168, 158, 508, 858, 1580, 5]"
103,"[2571, 2959, 7153, 4993, 318, 5952, 356, 260, 4306, 6539, 6377, 3578, 58559, 4226, 1198, 593, 2858, 858, 2762, 1270, 79132, 2028, 6874, 1196, 296, 4973, 8961, 1210, 527, 5989, 7361, 1721, 1704, 1580, 4995, 1, 4886, 47, 4963, 3793, 33794, 2329, 7438, 1682, 50, 44191, 4878, 1291, 1197, 5418, 1036, 480, 60069, 1136, 1732, 5445, 1265, 4896, 110, 1221, 2628, 589, 3147, 68954, 4022, 293, 364, 608, 1193, 780, 48516, 3949, 2683, 1240, 5349, 1213, 2716, 1089, 778, 1527, 1214, 5816, 3114, 2706, 5618, 3996, 541, 48780, 8368, 1923, 59315, 33493, 1206, 3948, 2324, 48394, 68157, 8874, 1200, 6365]"
104,"[2571, 2959, 356, 260, 318, 7153, 4993, 5952, 1198, 4306, 593, 2858, 1270, 3578, 858, 2762, 6539, 296, 4226, 1196, 1210, 6377, 2028, 1, 1580, 1721, 527, 4973, 47, 1704, 1197, 58559, 6874, 480, 50, 3793, 1682, 7361, 1265, 1291, 8961, 1136, 608, 2683, 2628, 1036, 5989, 4963, 4886, 4995, 1221, 110, 780, 1732, 1240, 589, 293, 1193, 364, 79132, 2716, 1213, 4878, 1923, 1214, 2329, 5418, 778, 33794, 1089, 4022, 3147, 7438, 3114, 5445, 1968, 1527, 44191, 541, 5349, 1206, 4896, 2115, 2706, 3949, 2918, 1200, 1097, 3996, 924, 588, 2355, 60069, 2324, 32, 48516, 5816, 1961, 3948, 648]"
105,"[7153, 6539, 58559, 4993, 5952, 79132, 2959, 6874, 6377, 68954, 60069, 4306, 8961, 5989, 7438, 4226, 33794, 2571, 109487, 44191, 4886, 89745, 72998, 59315, 4896, 4973, 122904, 4995, 80463, 48780, 48394, 99114, 69122, 116797, 5218, 68157, 112852, 74458, 4963, 91529, 48516, 5418, 106782, 50872, 45722, 91500, 81845, 7361, 46578, 122882, 8368, 1732, 4878, 5816, 119145, 8874, 3578, 2762, 109374, 69844, 56367, 35836, 5445, 5618, 51662, 134130, 71535, 3949, 81591, 31685, 108932, 59784, 1721, 70286, 8636, 6373, 33493, 858, 6942, 2858, 111759, 53125, 5481, 32587, 84152, 6934, 54001, 115617, 1270, 47099, 55820, 8360, 96079, 79702, 78499, 54286, 97921, 1198, 260, 134853]"
106,"[7153, 79132, 4993, 2959, 58559, 2571, 5952, 6539, 6377, 318, 4306, 8961, 356, 68954, 6874, 4226, 60069, 5989, 3578, 260, 33794, 4973, 4995, 7361, 109487, 4886, 44191, 7438, 858, 1198, 2858, 68157, 91529, 2762, 593, 59315, 2329, 48516, 89745, 527, 99114, 2028, 116797, 4963, 4878, 74458, 1704, 4896, 1721, 1270, 1196, 48780, 5418, 72998, 296, 5445, 8368, 3793, 48394, 112852, 3949, 122904, 1210, 1, 1682, 54286, 47, 3147, 1580, 50872, 5618, 4022, 134130, 80463, 69122, 81845, 50, 33493, 1291, 63082, 5816, 91500, 364, 1732, 5349, 70286, 106782, 293, 1036, 49272, 40815, 45722, 8874, 76093, 92259, 8636, 1193, 110, 46578, 589]"
107,"[110, 296, 318, 150, 593, 356, 480, 380, 590, 457, 592, 589, 527, 292, 165, 47, 588, 344, 377, 316, 32, 364, 161, 153, 10, 780, 434, 329, 253, 50, 349, 367, 597, 454, 648, 208, 1, 34, 595, 231, 339, 736, 539, 300, 185, 2571, 587, 500, 260, 288, 410, 25, 225, 95, 350, 62, 141, 266, 553, 1196, 21, 733, 440, 39, 6, 474, 160, 357, 586, 2028, 11, 435, 315, 509, 1210, 442, 36, 1198, 368, 282, 608, 432, 1073, 2858, 317, 293, 17, 163, 7, 19, 186, 252, 786, 236, 168, 158, 858, 508, 1580, 5]"
