,itemIds
1,"[356, 1210, 296, 318, 593, 608, 260, 1, 1270, 2571, 480, 1036, 110, 1198, 1196, 150, 589, 2959, 527, 4226, 780, 1240, 1580, 2762, 457, 2028, 1221, 7153, 2858, 592, 367, 153, 47, 50, 648, 380, 858, 2011, 597, 1193, 3578, 1721, 4306, 2918, 1073, 590, 364, 500, 1089, 344, 1136, 2115, 1200, 1214, 32, 3793, 1291, 1961, 2396, 541, 1704, 1213, 377, 588, 5816, 4993, 6539, 165, 736, 1968, 1265, 1206, 231, 2628, 2797, 1610, 924, 587, 7438, 6377, 1208, 551, 733, 904, 1258, 1307, 2987, 1197, 1220, 5349, 5445, 3147, 1246, 5952, 10, 4995, 1917, 58559, 2683, 2000]"
10,"[356, 7153, 2571, 318, 2959, 296, 2762, 1210, 593, 4226, 1, 58559, 260, 1198, 7438, 608, 6377, 150, 4306, 6539, 6874, 3578, 4993, 589, 8961, 1221, 5952, 2858, 1196, 1036, 110, 527, 5816, 1721, 1270, 858, 47, 1704, 1193, 50, 2028, 4963, 5445, 1580, 480, 1240, 4973, 500, 60069, 4995, 2011, 1291, 1136, 3793, 8636, 1961, 5349, 79132, 780, 597, 1200, 5418, 5989, 32587, 4878, 4896, 2918, 541, 1682, 1968, 2628, 364, 33794, 457, 367, 48780, 2396, 1258, 7361, 1213, 1089, 592, 30793, 924, 91529, 2706, 588, 1206, 4022, 2716, 1917, 8360, 165, 5618, 377, 63082, 2115, 48516, 1265, 44191]"
100,"[356, 1210, 296, 318, 593, 1, 260, 608, 1270, 2571, 589, 1221, 480, 110, 150, 1036, 1196, 780, 2762, 1198, 4226, 2959, 7153, 1580, 527, 457, 858, 367, 2858, 1240, 2028, 47, 592, 50, 597, 2918, 500, 2011, 1193, 2396, 1213, 1200, 380, 648, 344, 153, 364, 590, 1968, 1721, 1089, 4306, 1307, 1704, 3578, 5816, 377, 3793, 32, 1610, 587, 1214, 2115, 1197, 588, 1073, 924, 2797, 1136, 736, 7438, 1961, 1291, 551, 4993, 1208, 2628, 541, 2683, 6377, 4995, 1258, 1265, 165, 1917, 2987, 1220, 231, 904, 1784, 1682, 5952, 5349, 6539, 5445, 3147, 1206, 2716, 4973, 2355]"
101,"[1210, 356, 296, 2762, 2959, 2571, 608, 318, 260, 4226, 1196, 1270, 2858, 1, 1036, 3578, 593, 7153, 1198, 1221, 2028, 110, 589, 527, 1193, 480, 1721, 1580, 5816, 1213, 150, 4306, 2918, 1704, 1240, 1089, 780, 2011, 1291, 1073, 3793, 858, 541, 2683, 47, 1136, 1208, 1206, 2628, 4993, 7438, 2396, 1968, 457, 50, 592, 1258, 367, 500, 6377, 1265, 2797, 648, 1214, 6539, 1610, 1961, 1200, 597, 1917, 2115, 904, 924, 1784, 2716, 377, 364, 2706, 6874, 380, 5952, 32, 5349, 1682, 4995, 153, 551, 2000, 588, 587, 223, 736, 344, 165, 1222, 590, 1517, 1220, 1246, 8961]"
102,"[356, 150, 296, 318, 592, 110, 153, 593, 380, 457, 480, 589, 165, 344, 367, 608, 590, 1, 47, 597, 500, 780, 1210, 377, 588, 364, 161, 527, 50, 648, 231, 10, 329, 32, 2959, 316, 349, 292, 260, 736, 208, 587, 185, 434, 253, 2571, 1036, 1198, 288, 2762, 1073, 539, 1196, 410, 454, 4226, 1580, 1270, 2028, 1221, 7153, 357, 1240, 6, 300, 2858, 733, 1721, 595, 440, 1193, 551, 34, 317, 339, 3578, 586, 858, 4306, 21, 62, 1291, 1136, 1704, 25, 2396, 1089, 2918, 1961, 1610, 2011, 1968, 223, 4993, 442, 2115, 1206, 3793, 541, 39]"
103,"[356, 1210, 7153, 2571, 318, 2959, 296, 260, 1, 2762, 4226, 593, 1198, 608, 1270, 4993, 1221, 4306, 858, 1036, 1196, 527, 5952, 3578, 2858, 6539, 58559, 5816, 7438, 589, 110, 2028, 6377, 2918, 1580, 1704, 4973, 150, 1721, 1291, 480, 47, 1213, 780, 8961, 1200, 1193, 3793, 1240, 79132, 1136, 1961, 364, 2011, 924, 5445, 1089, 50, 6874, 1968, 60069, 2396, 1682, 4963, 4995, 2628, 1197, 33794, 3147, 5349, 541, 367, 1265, 500, 592, 1610, 457, 4896, 1073, 1214, 1258, 2716, 1206, 597, 2115, 2706, 48780, 1208, 648, 2355, 32587, 4878, 8636, 7361, 4011, 5418, 2797, 5989, 1220, 904]"
104,"[356, 1210, 318, 296, 2571, 593, 260, 7153, 608, 1, 2959, 4226, 2762, 1198, 110, 1036, 1196, 1270, 150, 1221, 4306, 1580, 589, 527, 3578, 4993, 480, 2858, 780, 858, 1721, 7438, 1240, 47, 6539, 2028, 364, 6377, 5816, 2011, 5952, 58559, 597, 50, 500, 1704, 1291, 367, 1073, 8961, 4973, 3793, 5349, 1136, 1961, 2396, 1193, 2918, 457, 1200, 592, 4995, 4963, 6874, 1213, 1265, 1968, 5445, 1258, 588, 2628, 33794, 380, 1197, 648, 1206, 153, 4896, 60069, 1682, 1089, 924, 32, 377, 541, 8636, 231, 344, 2355, 165, 79132, 7361, 2706, 3147, 1214, 5418, 48780, 1610, 2716, 590]"
105,"[7153, 2959, 2571, 4226, 1210, 5952, 4993, 2762, 58559, 7438, 79132, 6539, 356, 6874, 8961, 4973, 593, 260, 6377, 1198, 5816, 318, 4306, 2858, 3578, 1221, 296, 48780, 608, 8636, 33794, 60069, 4896, 4995, 1196, 1036, 1, 5418, 5445, 4963, 1270, 5989, 858, 1704, 5349, 1193, 1721, 32587, 2028, 1213, 527, 541, 68157, 1200, 69122, 3793, 4878, 1291, 6365, 924, 2011, 44191, 1258, 8360, 1682, 1240, 30793, 1136, 2918, 48516, 1961, 589, 4022, 7361, 1580, 99114, 1089, 63082, 51255, 3147, 8874, 5218, 47, 3977, 91529, 364, 5618, 2706, 1265, 1206, 110, 50, 2628, 4886, 54286, 8368, 4011, 56174, 2324, 109487]"
106,"[7153, 2571, 356, 1210, 318, 2959, 4226, 260, 296, 4993, 2762, 6539, 1, 593, 58559, 1198, 4306, 608, 5952, 3578, 5816, 1036, 1196, 2858, 6377, 7438, 1270, 1221, 858, 527, 8961, 79132, 6874, 60069, 2028, 1704, 4995, 5445, 589, 1721, 1580, 780, 110, 4973, 1200, 1240, 150, 2011, 1213, 3793, 4963, 1193, 4896, 33794, 2918, 1961, 1291, 50, 47, 48780, 541, 5349, 1136, 924, 5989, 3147, 5418, 480, 4878, 32587, 8636, 1089, 1258, 68157, 1682, 8360, 7361, 364, 1265, 2628, 1206, 63082, 367, 59315, 2396, 44191, 1968, 500, 1197, 48516, 4011, 4022, 2355, 457, 1208, 2706, 2716, 1610, 597, 1214]"
107,"[356, 296, 150, 318, 153, 592, 380, 110, 1, 344, 165, 593, 480, 457, 589, 367, 590, 597, 608, 588, 1210, 364, 780, 527, 47, 500, 50, 161, 377, 648, 10, 32, 587, 231, 316, 292, 208, 736, 185, 260, 329, 1073, 349, 434, 2571, 2959, 1270, 253, 410, 1036, 288, 595, 1198, 454, 539, 2762, 1580, 733, 4226, 1196, 62, 551, 1221, 2028, 317, 357, 1721, 1240, 6, 2858, 34, 300, 7153, 1193, 339, 440, 586, 3578, 1136, 2396, 858, 104, 2918, 4306, 21, 25, 2011, 1704, 3793, 11, 1968, 1089, 1961, 1206, 2115, 1917, 1610, 4993, 1265, 541]"
