,0
Mean NDCG@50,0.13745206754776787
Mean Recall@50,0.2681887488613575
Mean Precision@50,0.04481967213114754
Disparity in NDCG@50 for user activity,0.03483233171433574
Disparity in NDCG@50 for user mainstreaminess,0.059555223285449
Disparity in Recall@50 for user activity,0.2147440815029324
Disparity in Recall@50 for user mainstreaminess,0.17217044366393805
Disparity in Precision@50 for user activity,0.04471893213009964
Disparity in Precision@50 for user mainstreaminess,0.023226415094339627
Disparity in Visibility@50 for item popularity,0.9871475409836066
