,0
Mean NDCG@50,0.13648131232494948
Mean Recall@50,0.2680444878612045
Mean Precision@50,0.04380327868852459
Disparity in NDCG@50 for user activity,0.03823583365295363
Disparity in NDCG@50 for user mainstreaminess,0.0649184211879916
Disparity in Recall@50 for user activity,0.22086263262941594
Disparity in Recall@50 for user mainstreaminess,0.1744614737988088
Disparity in Precision@50 for user activity,0.04070172964843016
Disparity in Precision@50 for user mainstreaminess,0.015764150943396234
Disparity in Visibility@50 for item popularity,0.9893770491803278
