,0
Mean NDCG@50,0.13812283068193032
Mean Recall@50,0.2689308837152897
Mean Precision@50,0.0439016393442623
Disparity in NDCG@50 for user activity,0.04103275671016747
Disparity in NDCG@50 for user mainstreaminess,0.06565565370827174
Disparity in Recall@50 for user activity,0.22140022779788066
Disparity in Recall@50 for user mainstreaminess,0.1756942413434111
Disparity in Precision@50 for user activity,0.040692799398383155
Disparity in Precision@50 for user mainstreaminess,0.01622641509433962
Disparity in Visibility@50 for item popularity,0.9908852459016393
