,0
Mean NDCG@50,0.11365812490007184
Mean Recall@50,0.2395711447384975
Mean Precision@50,0.03134426229508197
Disparity in NDCG@50 for user activity,0.07897715055335854
Disparity in NDCG@50 for user mainstreaminess,0.09813882301557142
Disparity in Recall@50 for user activity,0.2315954995861749
Disparity in Recall@50 for user mainstreaminess,0.20649485332819217
Disparity in Precision@50 for user activity,0.009387102838879488
Disparity in Precision@50 for user mainstreaminess,0.02226415094339623
Disparity in Visibility@50 for item popularity,0.8073442622950819
