,0
Mean NDCG@50,0.10909282331599197
Mean Recall@50,0.21469825574909868
Mean Precision@50,0.034688524590163944
Disparity in NDCG@50 for user activity,0.037452311088337784
Disparity in NDCG@50 for user mainstreaminess,0.06827775181681883
Disparity in Recall@50 for user activity,0.15954969586808754
Disparity in Recall@50 for user mainstreaminess,0.15200166992856068
Disparity in Precision@50 for user activity,0.031159992479789435
Disparity in Precision@50 for user mainstreaminess,0.005396226415094345
Disparity in Visibility@50 for item popularity,0.9823606557377049
