,0
Mean NDCG@50,0.10091819447445163
Mean Recall@50,0.19691625621397432
Mean Precision@50,0.03230514096185738
Disparity in NDCG@50 for user activity,0.03426795099822012
Disparity in NDCG@50 for user mainstreaminess,0.0767620721381645
Disparity in Recall@50 for user activity,0.14684724321023496
Disparity in Recall@50 for user mainstreaminess,0.17031045034959041
Disparity in Precision@50 for user activity,0.028436692506459946
Disparity in Precision@50 for user mainstreaminess,0.009498985409218282
Disparity in Visibility@50 for item popularity,0.9871310116086236
