,0
Mean NDCG@50,0.07880905921280873
Mean Recall@50,0.15412197800506144
Mean Precision@50,0.028327868852459012
Disparity in NDCG@50 for user activity,0.009202883730599243
Disparity in NDCG@50 for user mainstreaminess,0.0508882476434217
Disparity in Recall@50 for user activity,0.09908003567455213
Disparity in Recall@50 for user mainstreaminess,0.11290458218034384
Disparity in Precision@50 for user activity,0.03226311336717429
Disparity in Precision@50 for user mainstreaminess,0.0010613207547169878
Disparity in Visibility@50 for item popularity,"Series([], dtype: float64)"
