,0
Mean NDCG@50,0.10984564353635565
Mean Recall@50,0.21525180792632528
Mean Precision@50,0.03567213114754099
Disparity in NDCG@50 for user activity,0.034451261604387565
Disparity in NDCG@50 for user mainstreaminess,0.06284753384051037
Disparity in Recall@50 for user activity,0.16064897092059732
Disparity in Recall@50 for user mainstreaminess,0.15203270497429003
Disparity in Precision@50 for user activity,0.033221000188005265
Disparity in Precision@50 for user mainstreaminess,0.0006650943396226405
Disparity in Visibility@50 for item popularity,0.9982295081967214
