,0
Mean NDCG@50,0.10926594804805606
Mean Recall@50,0.21443383554736056
Mean Precision@50,0.03595356550580431
Disparity in NDCG@50 for user activity,0.033768671339146725
Disparity in NDCG@50 for user mainstreaminess,0.061365944211750914
Disparity in Recall@50 for user activity,0.1604033931846603
Disparity in Recall@50 for user mainstreaminess,0.14985630172856312
Disparity in Precision@50 for user activity,0.03299526270456503
Disparity in Precision@50 for user mainstreaminess,0.0008691661030051229
Disparity in Visibility@50 for item popularity,0.9982089552238806
