,0
Mean NDCG@50,0.013362711613726376
Mean Recall@50,0.014868867713374163
Mean Precision@50,0.013515992661721305
Disparity in NDCG@50 for user activity,0.0006526317649134649
Disparity in NDCG@50 for user mainstreaminess,0.008500869857503195
Disparity in Recall@50 for user activity,0.006960681475467283
Disparity in Recall@50 for user mainstreaminess,0.013068044533547624
Disparity in Precision@50 for user activity,0.01484698304339539
Disparity in Precision@50 for user mainstreaminess,0.004293828791916745
Disparity in Visibility@50 for item popularity,0.7071960297766748
