,0
Mean NDCG@50,0.007810664065742871
Mean Recall@50,0.008869550645404964
Mean Precision@50,0.010931942453681584
Disparity in NDCG@50 for user activity,0.004095879118505897
Disparity in NDCG@50 for user mainstreaminess,0.0001684082788815924
Disparity in Recall@50 for user activity,0.0012599951195256132
Disparity in Recall@50 for user mainstreaminess,0.005005648382792656
Disparity in Precision@50 for user activity,0.016931485257445762
Disparity in Precision@50 for user mainstreaminess,0.00280625613321598
Disparity in Visibility@50 for item popularity,0.702721809826794
