,BPR,ItemKNN,NGCF,RecVAE,LightGCN,Pop,CDL_TFIDF_BOW_50,CDL_all-MiniLM-L6-v2_50,CDL_text-embedding-ada-002_50,CDL_text-embedding-3-large_50,pos_items
Mean NDCG@10,0.049613392983609,0.0484869897319767,0.0439400159891267,0.0480549576554874,0.049104195631674,0.030205041182334306,0.0627591609924298,0.0672507112273244,0.0656583904609328,0.0625743185215797,0.8452632900754936
Mean Recall@10,0.0624615769290318,0.0648054520036873,0.0529194350326693,0.0575793272948466,0.0600695239045469,0.03195592326430423,0.0703161485498104,0.0775744359227186,0.0781144840184975,0.0734708981406124,0.7989685776229497
Mean Precision@10,0.0429508196721311,0.0373770491803278,0.0375409836065573,0.0436065573770491,0.0445901639344262,0.029508196721311476,0.0644262295081967,0.0678688524590163,0.0668852459016393,0.0655737704918032,1.0
Disparity in NDCG@10 for user activity,0.0303905136957629,0.041471059326499,0.0243922253536341,0.0230884610997535,0.0272714317106354,0.0028519046582697605,0.0092148573773321,0.0113238778185728,0.0167424957442858,0.0106162061971006,0.4303544294826222
Disparity in NDCG@10 for user mainstreaminess,0.03454904944838,0.0436909578846029,0.0334118511400378,0.0273129096544646,0.0323211864638581,0.022640074034801352,0.0316930499819616,0.0318023867504275,0.0334560240886859,0.031033343855151,0.1986666537522566
Disparity in Recall@10 for user activity,0.0617592685579136,0.0703408438476838,0.049368925742601,0.0513987782103507,0.0555183623387299,0.019006206141284624,0.0511700721981285,0.0603655981555224,0.0661180574260967,0.0574583163137269,0.557301881542907
Disparity in Recall@10 for user mainstreaminess,0.0470527892092959,0.0520583596974843,0.0410526472923662,0.0362098494293637,0.0457793436657396,0.023888953698300602,0.0544871497473258,0.0522429679777455,0.0590624318949747,0.0585751989238201,0.226333484692854
Disparity in Precision@10 for user activity,0.0238155668358714,0.003057435608197,0.0207228802406467,0.0278177288964091,0.028445196465501,0.03602650874224478,0.0715618537319045,0.0719660650498213,0.0648876668546719,0.0676348937770257,0.0
Disparity in Precision@10 for user mainstreaminess,0.0105896226415094,0.0300707547169811,0.0129952830188679,0.0027122641509433,0.0124764150943396,0.0023113207547169785,0.0222405660377358,0.0398584905660377,0.0323584905660377,0.0367452830188679,0.0
Disparity in Visibility@10 for item popularity,0.9977049180327868,0.7655737704918033,0.9914754098360656,0.998688524590164,0.9809836065573772,"Series([], dtype: float64)",0.99672131147541,0.995409836065574,0.9973770491803278,0.99672131147541,0.7057344064386317
