,0
Mean NDCG@50,0.009313745964818553
Mean Recall@50,0.010029200855820757
Mean Precision@50,0.010821481836582507
Disparity in NDCG@50 for user activity,0.0008025164313251211
Disparity in NDCG@50 for user mainstreaminess,0.010036174953031524
Disparity in Recall@50 for user activity,0.005241638644454864
Disparity in Recall@50 for user mainstreaminess,0.001774547347845483
Disparity in Precision@50 for user activity,0.014336467848407704
Disparity in Precision@50 for user mainstreaminess,0.008381368755648986
Disparity in Visibility@50 for item popularity,0.7247740269323004
