userId,itemIds,runNumber
78,"[6377, 1307, 2153, 1291, 34072, 27619, 69122, 58559, 8972]",1
82,"[27619, 110, 296, 7361, 2762, 1682, 318, 1197, 48516, 109374]",1
121,"[6377, 8961, 4954, 500, 27619, 1246, 318, 1197, 356]",1
144,"[3114, 27619, 1197, 8961, 318, 58559, 356, 2571, 109374, 7361]",1
186,"[3114, 6377, 7579, 17, 1197, 318, 8961, 1682, 109374, 7826]",1
232,"[17, 78499, 21, 116, 759, 886, 1206, 4368, 2297, 1041]",1
234,"[6377, 1370, 500, 66798, 8360, 4954, 8961, 6378, 4886]",1
239,"[78499, 3, 17, 122, 293, 166, 64, 204, 2722]",1
283,"[6377, 8533, 2291, 1197, 134853, 111921, 7147, 4886, 7361]",1
322,"[3114, 8961, 6942, 1197, 4954, 8360, 69122, 1270, 367, 1198]",1
323,"[6377, 318, 1197, 593, 527, 80463, 109374, 79132]",1
372,"[78499, 41, 63, 329, 461, 472, 1028, 3711]",1
378,"[6377, 1197, 2791, 1307, 108932, 39, 8961, 1265, 8360]",1
451,"[6377, 27619, 318, 356, 109374, 47099, 1197, 1682, 8961]",1
462,"[78499, 28, 64, 76, 82, 300, 356, 383, 775, 2529]",1
476,"[6377, 1197, 2005, 1198, 1270, 5103, 2006, 2268, 27619, 2161]",1
492,"[3114, 27619, 318, 356, 1197, 1682, 919, 58559, 7361, 164909]",1
525,"[78499, 5, 16, 110, 45728, 233, 332, 432, 1252]",1
533,"[6377, 27619, 1197, 8961, 318, 109374, 5618, 356, 58559]",1
51,"[44, 76, 102, 168, 724, 904, 2395, 2976, 2902]",1
116,[],1
288,"[2, 100, 148, 344, 38038, 1095, 2146, 3060, 6436]",1
24,"[1197, 296, 8874, 2005, 1270, 109374, 1035, 2762, 86882, 92259]",1
150,"[3507, 1307, 1265, 1784, 69406, 155743, 97921, 539, 109374, 88163]",1
425,"[3, 4, 356, 343, 795, 1147, 235, 782, 1430]",1
480,"[3, 21, 69, 70, 237, 119, 195, 870, 2395]",1
