userId,itemIds,runNumber
78,"[2761, 4973, 59387, 74553, 318, 6773, 61240, 59387, 44555]",1
82,"[59387, 6867, 4973, 7826, 46578, 7361, 109374, 133771]",1
121,"[2761, 74553, 117444, 59387, 4973, 94959, 6773, 7826, 46578, 109374]",1
144,"[314, 6385, 117444, 59387, 2761, 94959, 4973, 46578, 109374, 7361]",1
186,"[59387, 4973, 7826, 109374, 7361, 133771, 8933, 92259]",1
232,"[59387, 71033, 44555, 4973, 27773, 61240, 96829, 89759, 92259]",1
234,"[74553, 152970, 117444, 94959, 59387, 6773, 109374, 4973, 92259, 44555]",1
239,"[59387, 4973, 71033, 44555, 6773, 61240, 92259, 27773, 89759]",1
283,"[117444, 4973, 59387, 74553, 7361, 48394, 94959, 109374, 7147]",1
322,"[59387, 4973, 94959, 7826, 46578, 109374, 152970, 6867, 6773, 92259]",1
323,"[59387, 4973, 7361, 71033, 109374, 44555, 6773, 57669, 92259]",1
372,"[74553, 117444, 152970, 94959, 4973, 59387, 6773, 109374, 44555, 92259]",1
378,"[59387, 4973, 94959, 109374, 46578, 7826, 86882, 1197, 46976, 7361]",1
451,"[74553, 4973, 59387, 6773, 89759, 71033, 48394, 44555, 92259, 96829]",1
462,"[82, 300, 775, 1202, 2041, 2211, 5802, 6434, 5106, 803]",1
476,"[2761, 59387, 74553, 39381, 6773, 71033, 2966, 29]",1
492,"[74553, 59387, 6773, 89759, 4973, 44555, 96829, 92259, 71033, 103984]",1
525,"[59387, 4973, 7361, 109374, 7826, 46578, 133771, 57669, 48780]",1
533,"[6773, 4973, 94959, 59387, 55442, 109374, 48394, 74553, 133771, 8933]",1
51,"[59387, 71033, 44555, 55908, 96829, 6773, 74553, 44555]",1
116,"[59387, 7826, 6867, 48082, 55908, 6773, 33903, 59387]",1
288,"[59387, 7826, 109374, 79357, 133771, 59387, 7826, 133771]",1
24,"[6867, 57669, 59387, 71033, 44555, 6773, 55908, 96829, 92259]",1
150,"[1238, 1188, 6867, 104339, 86882, 46578, 109374, 94959]",1
425,"[4144, 7361, 44555, 48394, 71033, 89759, 96829, 109374, 112552]",1
480,"[57669, 6867, 7361, 46578, 109374, 94959, 133771, 59387, 87234]",1
521,"[1238, 4144, 1178, 6867, 89759, 59387, 44555, 103984, 96829, 1189]",1
559,"[4144, 44555, 59387, 89759, 71033, 96829, 6773, 44555, 92259]",1
573,"[6867, 57669, 59387, 71033, 44555, 6773, 96829, 92259, 89759]",1
133,"[162414, 4973, 59387, 265, 74553, 215, 117444, 4144, 6773]",1
177,"[233, 933, 1934, 2383, 4, 766, 2514, 1980, 2524, 2722]",1
286,"[1660, 1594, 1719, 59387, 71033, 44555, 6867, 6773, 2360]",1
332,"[1660, 1914, 4144, 59387, 71033, 44555, 6773, 89759, 96829]",1
381,"[4144, 59387, 7361, 71033, 44555, 6773, 48394]",1
387,"[4144, 5073, 4074, 7307, 7305, 3550, 7266, 5397]",1
402,"[1594, 2599, 6867, 5617, 2318, 4641, 59387, 48082, 6773]",1
404,"[1477, 215, 247, 1719, 1834, 515, 2686, 1554]",1
453,"[162414, 59387, 265, 71033, 4973, 44555, 6773, 89759, 92259, 96829]",1
464,"[1660, 4144, 59387, 71033, 44555, 6773, 6660]",1
534,"[7361, 59387, 71033, 44555, 6773, 96829, 89759, 92259, 6016]",1
588,"[4144, 59387, 71033, 44555, 4973, 27773, 61240, 89759, 96829, 44555]",1
6,"[4144, 7361, 44555, 48394, 71033, 59387, 109374, 133771]",1
28,"[57669, 59387, 38061, 6867, 71033, 44555, 6773, 55908]",1
46,"[6867, 57669, 59387, 71033, 44555, 6773, 96829, 89759, 92259]",1
64,"[4144, 71033, 44555, 59387, 96829, 89759, 92259, 44555, 103984]",1
103,"[4144, 59387, 71033, 7361, 44555, 6773, 92259, 89759, 96829]",1
160,"[57669, 59387, 6867, 71033, 44555, 96829, 6773, 92259, 27815]",1
215,"[4144, 59387, 7361, 44555, 71033, 133771, 96829, 6773]",1
