userId,itemIds,runNumber
78,"[6377, 1197, 8961, 8360, 367, 27619, 54648, 5103, 8464, 2153]",1
82,"[8961, 1197, 69122, 2571, 356, 27619, 58559, 318, 1270, 296]",1
121,"[3114, 6377, 4886, 8961, 8360, 27619, 1197, 58559, 79132, 318]",1
144,"[6377, 5103, 1197, 8961, 2005, 837, 1270, 27619, 2420, 1013]",1
186,"[6377, 7579, 17, 27619, 2571, 2671, 1197, 3671, 296, 7361]",1
232,"[78499, 17, 21, 116, 759, 1206, 886, 4368, 2297, 2298]",1
234,"[3114, 8360, 8961, 4886, 6377, 141, 500, 1197, 108932, 50872]",1
239,"[78499, 3, 17, 122, 166, 293, 773, 1171]",1
283,"[6377, 27619, 8360, 595, 1197, 8533, 54259, 81847, 72737]",1
322,"[3114, 1197, 8360, 500, 8961, 69406, 4954, 1013, 367, 588]",1
323,"[6377, 27619, 1197, 318, 7361, 2762, 109374, 1682, 48516, 1732]",1
372,"[3114, 6377, 27619, 4886, 8360, 8961, 1197, 108932, 134853]",1
378,"[6377, 8360, 8961, 4886, 1197, 81847, 50872, 108932, 112175]",1
451,"[6377, 27619, 134853, 8360, 1197, 8961, 318, 356, 3147]",1
462,"[78499, 28, 64, 76, 78, 82, 300, 356, 383, 429]",1
476,"[6377, 1197, 8961, 531, 1198, 2006, 5103, 457, 1270, 3147]",1
492,"[3114, 6377, 27619, 318, 356, 1197, 58559, 109374, 164909, 7361]",1
525,"[5, 16, 45728, 233, 332, 432, 481, 1252, 2333]",1
533,"[6377, 8961, 4886, 8360, 134853, 27619, 50872, 1197, 7147]",1
51,"[44, 76, 102, 168, 271, 724, 904, 2395, 2976]",1
116,"[1197, 2005, 7826, 1682, 7147, 109374, 318, 48780, 79132]",1
288,"[2, 100, 148, 344, 761, 1095, 1103, 1641, 6436]",1
24,"[1197, 4954, 8874, 2005, 86882, 5103, 2716, 2762, 1270, 2124]",1
150,"[3507, 1784, 1307, 1265, 539, 69406, 155743, 97921, 4246, 49286]",1
425,"[3450, 4, 356, 343, 795, 1126, 1147, 605, 782]",1
480,"[3, 21, 69, 237, 119, 479, 870, 1126, 2303]",1
521,"[109374, 97921, 6711, 79132, 2028, 7361, 69481, 86882, 48516, 1222]",1
