userId,itemIds,runNumber
78,"[6377, 8360, 8961, 4886, 1197, 152081, 108932, 112175, 115617, 50872]",1
82,"[3114, 27619, 1197, 318, 8961, 58559, 356, 2571, 109374, 79132]",1
121,"[6377, 8961, 8360, 27619, 112175, 134853, 1197, 115617, 135436]",1
144,"[6377, 5103, 837, 2502, 1089, 7361, 46578, 2420]",1
186,"[3114, 7579, 81845, 34072, 2571, 97921, 1246, 3671, 38061, 1197]",1
232,"[78499, 17, 21, 116, 172, 759, 4368, 2297, 2298]",1
234,"[3114, 8961, 1198, 500, 1197, 4954, 6377, 94777, 457, 8360]",1
239,"[3114, 1197, 8961, 1307, 318, 5418, 7579, 4954, 27619, 58559]",1
283,"[6377, 1197, 27619, 8533, 7147, 8360, 72737, 54259, 8961]",1
322,"[3114, 1197, 8961, 1307, 5103, 4954, 4973, 46578, 51255, 115617]",1
323,"[6377, 318, 1307, 593, 527, 1197, 858, 27619, 110]",1
372,"[3114, 27619, 6377, 1197, 8961, 8360, 1035, 4886, 4700, 588]",1
378,"[6377, 8961, 8360, 1197, 4886, 50872, 108932, 81847, 112175]",1
451,"[6377, 1183, 5618, 515, 134853, 3996, 4973, 527]",1
462,"[78499, 28, 64, 76, 82, 300, 356, 429, 775, 2529]",1
476,"[6377, 2161, 1198, 1197, 1270, 2761, 2005, 115617, 5103, 3147]",1
492,"[27619, 6377, 1197, 8961, 7147, 109374, 5618, 7826, 1682]",1
525,"[78499, 5, 16, 110, 45728, 233, 332, 432, 481, 2333]",1
533,"[6377, 27619, 8360, 134853, 164909, 180985, 1197, 152081, 4308]",1
51,"[2, 44, 76, 102, 168, 239, 271, 904, 2395]",1
116,"[1197, 2161, 48394, 7147, 7826, 54259, 50601, 41566, 66097]",1
288,[],1
24,"[1197, 4954, 8874, 2005, 7361, 159858, 1270, 78499, 318, 79132]",1
150,"[69406, 1784, 97921, 1307, 109374, 88163, 4246, 49286, 7293, 6942]",1
425,"[3, 4, 356, 343, 795, 1147, 235, 782, 1430]",1
480,"[3, 21, 69, 70, 119, 237, 238, 94, 101, 195]",1
521,"[356, 97921, 8533, 2028, 7361, 109374, 1090, 164909, 69481, 6711]",1
559,"[1197, 356, 318, 296, 7826, 1246, 46578, 3147, 7361, 7147]",1
573,"[8, 19, 238, 1204, 1328, 1343, 1840, 410]",1
133,"[184997, 27619, 97921, 6377, 8533, 78499, 88163, 111921, 152081]",1
177,"[4, 63, 85, 101, 233, 238, 766, 904, 933]",1
286,"[318, 97921, 7361, 46578, 164909, 1197, 4973, 104374, 86882, 7579]",1
332,"[4, 63, 166, 205, 224, 3060, 3174, 1283]",1
381,"[39, 918, 2066, 1922, 2290, 3328, 2316, 1816, 3515]",1
387,"[4, 17, 45728, 351, 334, 1095, 3550, 3204, 3499, 1040]",1
402,"[1197, 97921, 88163, 109374, 7361, 4973, 46578, 6711, 86882]",1
