userId,itemIds,runNumber
78,"[6377, 1197, 8961, 112852, 367, 480, 27619, 94777, 5103, 8464]",1
82,"[4886, 27619, 1197, 8961, 1682, 318, 1265, 2571, 109374, 7361]",1
121,"[6377, 4886, 8360, 8961, 50872, 27619, 3114, 2355, 2761]",1
144,"[6377, 5103, 837, 1197, 1707, 2005, 500, 1259, 1013, 2420]",1
186,"[6377, 17, 2396, 1197, 2571, 2671, 109374, 3671, 296, 4973]",1
232,"[3114, 8961, 4886, 1197, 318, 296, 58559, 7361, 109374, 79132]",1
234,"[6377, 500, 66798, 8961, 1912, 904, 148888, 2761, 1197]",1
239,"[6377, 539, 318, 7579, 5418, 6942, 27619, 58559, 109374, 4954]",1
283,"[6377, 1197, 7361, 7147, 551, 4973, 7826, 86882, 54259]",1
322,"[8360, 1197, 500, 8961, 6942, 367, 1013, 4954, 837, 2]",1
323,"[6377, 27619, 1197, 318, 539, 457, 109374, 1682, 48516, 4700]",1
372,"[6377, 27619, 8360, 1197, 4886, 8961, 3114, 588, 2081, 595]",1
378,"[6377, 4886, 8360, 8961, 1197, 50872, 103335, 108932, 134853]",1
451,"[6377, 134853, 27619, 4886, 1197, 8961, 595, 135436, 50872]",1
462,"[78499, 28, 64, 76, 78, 82, 300, 356, 383, 429]",1
476,"[6377, 531, 3671, 2268, 4886, 2161, 1370, 368, 4326]",1
492,"[6377, 2739, 1197, 27619, 1246, 2161, 46578, 48394, 4308]",1
525,"[8961, 500, 4954, 27619, 296, 1197, 318, 58559, 109374, 2571]",1
533,"[6377, 27619, 8360, 134853, 2081, 4886, 4308, 164909, 5991]",1
51,"[1198, 58559, 4993, 2571, 318, 79132, 1197, 2762, 27619, 2959]",1
116,"[6158, 64620, 48780, 96488, 2153, 4995, 288, 81845]",1
288,"[179401, 4954, 1197, 1198, 2005, 1682, 318, 1270, 58559, 78499]",1
24,"[3450, 27008, 2420, 141, 912, 1028, 4720, 1097, 1270]",1
150,"[56587, 1784, 7149, 94070, 140110, 106330, 73015, 69406, 113275, 109374]",1
425,"[3450, 4, 356, 343, 795, 1126, 1147, 605, 782]",1
480,"[21, 237, 870, 3, 72, 195, 451, 5134]",1
521,"[3450, 1784, 94070, 56587, 5945, 2966, 109374, 1183, 318]",1
559,"[109374, 97921, 46578, 318, 4973, 47099, 86882, 88810, 1197, 1682]",1
573,"[3450, 5103, 1704, 231, 262, 1682, 2762, 1015, 1873, 6158]",1
133,"[72737, 3554, 27619, 8533, 78499, 47099, 111921, 6377, 8961]",1
177,"[4, 63, 101, 233, 766, 904, 933, 1777, 2383, 2722]",1
286,"[94070, 88810, 97921, 46578, 4720, 1784, 4979, 318, 2324, 7361]",1
332,"[4, 63, 66, 166, 189, 205, 224, 1283, 3060, 3174]",1
381,"[39, 193, 322, 852, 918, 1129, 2316, 3328]",1
387,"[8533, 6942, 318, 97921, 7361, 48516, 7579, 109374, 164909, 111921]",1
402,"[4069, 367, 4246, 1485, 45501, 788, 4447, 1569, 500, 2572]",1
404,"[2156, 165, 145, 1183, 2803, 457, 135436, 44759, 3257, 318]",1
453,"[1477, 1197, 47099, 8533, 5103, 318, 111921, 1968, 88810, 72641]",1
464,"[2156, 5103, 261, 1197, 1259, 94959, 8533, 86882, 2420, 7826]",1
534,"[318, 356, 858, 296, 58559, 27619, 2571, 2959, 593, 79132]",1
588,"[2156, 1393, 11, 122, 2268, 367, 296, 493, 69, 1729]",1
6,"[5, 11, 28, 312, 466, 486, 176371, 544, 552]",1
28,"[296, 1732, 4954, 4011, 109374, 38061, 79132, 48516, 555, 158238]",1
46,"[934, 141, 155743, 3526, 46578, 4979, 41573, 1777, 3948]",1
64,"[36, 173, 346, 437, 466, 611, 736, 775]",1
103,"[57, 69, 254, 266, 482, 931, 1475, 2184, 3146]",1
160,"[4954, 48516, 97921, 318, 109374, 858, 69122, 79132, 80463, 1197]",1
215,"[1197, 97921, 6711, 46578, 1682, 7361, 109374, 86882, 318, 96821]",1
220,[],1
391,"[272, 316, 2395, 4912, 5, 62, 85, 1031, 348]",1
418,"[1197, 3897, 45720, 81591, 5991, 6711, 164909, 4954, 4308, 109374]",1
435,"[1197, 56152, 1013, 595, 837, 2081, 4700, 1028, 8360, 1035]",1
437,"[1013, 2424, 4700, 6942, 2671, 49286, 4246, 539, 357, 1569]",1
555,"[5, 19, 63, 148, 195, 215, 224, 433, 1454]",1
562,"[4069, 50912, 6942, 8533, 45720, 7361, 4246, 164909, 7178, 86882]",1
587,"[500, 367, 2, 1707, 54648, 1013, 94777, 837, 2124, 5804]",1
313,"[48516, 318, 296, 58559, 2959, 858, 593, 50, 1213]",1
361,"[296, 1732, 555, 1197, 457, 7361, 48516, 4973, 176371, 109374]",1
362,"[58559, 1197, 79132, 1035, 48516, 7361, 1682, 2762, 27619, 48780]",1
438,"[783, 38, 94, 40, 86, 220, 458, 775, 879, 1597]",1
469,"[343, 1031, 1650, 1682, 2081, 2401, 4844, 3067]",1
45,"[1197, 5103, 2005, 1259, 1682, 318, 109374, 46578, 7826, 7361]",1
202,"[531, 357, 1732, 349, 1120, 3708, 4916, 5499]",1
235,"[5103, 1912, 50, 2395, 457, 101, 2268, 555, 318]",1
279,"[1197, 531, 318, 109374, 261, 1682, 48780, 4973, 7361, 3147]",1
368,[],1
395,"[2005, 6787, 457, 110, 500, 1321, 5103, 1918]",1
494,"[2005, 1259, 4135, 5103, 2052, 4128, 7045, 2161, 531, 2]",1
498,"[5103, 367, 1059, 2, 231, 36, 2082, 1485, 2268, 60]",1
536,"[2005, 1198, 1370, 6378, 4954, 1197, 1918, 318, 296, 1732]",1
586,"[2005, 1197, 1198, 5103, 457, 1013, 1918, 1035, 6378, 2918]",1
603,"[205, 300, 1103, 2401, 2431, 1719, 5294]",1
608,"[3070, 4508, 41, 8, 76, 193, 1517, 1597, 181]",1
140,"[1370, 380, 457, 318, 2571, 7361, 480, 296, 1197, 27619]",1
264,"[1370, 380, 1608, 4220, 2335, 788, 367, 500, 1485]",1
1,"[457, 2762, 318, 296, 593, 2959, 50, 2858, 2571]",1
294,"[5796, 457, 8533, 48516, 5418, 318, 58559, 1197, 858, 79132]",1
606,"[5796, 380, 48516, 5418, 318, 457, 58559, 79132, 2959]",1
42,"[7361, 97921, 1682, 6711, 109374, 318, 1197, 4973, 48780]",1
256,"[11, 71, 278, 927, 1015, 1040, 1209, 1405, 2050]",1
590,"[21, 661, 1028, 728, 1061, 1167, 1438, 1934, 2143]",1
217,"[94, 215, 150, 181, 1594, 2917, 2175]",1
353,"[1278, 3006, 457, 2571, 1347, 5902, 110, 1197]",1
365,"[1278, 1213, 457, 2791, 4973, 1197, 593, 1088, 296, 1258]",1
373,"[1278, 48394, 1197, 2, 1265, 1544, 1682, 94777, 2291, 2716]",1
380,"[12, 27, 40, 74, 76, 92, 1031, 1034, 1235]",1
199,"[27619, 318, 1721, 296, 58559, 1197, 858, 2571, 356, 2959]",1
58,"[3006, 2761, 2329, 318, 296, 1682, 2959, 457, 1704, 3147]",1
68,"[26, 43, 60, 102, 155, 171, 230, 324, 336, 1046]",1
107,"[3006, 349, 1267, 6787, 457, 2268, 48516, 41997]",1
134,"[48516, 41997, 2268, 3006, 457, 2353, 6787, 5418]",1
176,"[2268, 3006, 300, 80463, 1747, 3504, 6787, 2289, 1883]",1
240,"[3006, 2268, 1625, 5103, 457, 318, 1704, 296, 1682]",1
284,"[1213, 46578, 2427, 2858, 3897, 4979, 296, 6711, 1968]",1
349,"[6787, 64620, 3006, 1997, 1590, 176371, 1267, 2268]",1
414,[],1
419,"[296, 318, 2959, 58559, 79132, 48516, 2571, 858, 1213, 50]",1
428,"[296, 1732, 318, 4011, 2959, 2542, 2858, 50, 778]",1
468,"[6787, 64620, 180497, 98154, 91890, 531, 262, 837, 50601, 41566]",1
18,"[15, 76, 87, 118, 229, 238, 479, 491, 1137]",1
136,"[6539, 1197, 7826, 109374, 2081, 2396, 7143, 4973, 4308, 8533]",1
191,"[6539, 1197, 7579, 3494, 55820, 8533, 109374, 4720, 6378, 69406]",1
75,"[1213, 457, 296, 318, 2858, 48516, 7361, 5418, 176371]",1
77,"[1213, 858, 48516, 428, 555, 80489, 1673, 431, 1912]",1
96,"[1213, 296, 2858, 1265, 318, 7361, 1197, 48516, 1682, 4993]",1
