userId,itemIds,runNumber
78,"[5618, 4973, 1197, 109374, 27773, 7361, 48394, 92259, 7826, 94959]",1
82,"[7361, 4973, 48394, 27773, 109374, 44555, 61240, 71033, 92259]",1
121,"[7361, 4973, 48394, 109374, 5618, 27773, 44555, 71033, 92259, 96829]",1
144,"[7361, 4973, 5618, 27773, 109374, 48394, 44555, 92259, 6016, 61240]",1
186,"[5618, 4973, 48394, 7361, 109374, 27773, 44555, 61240, 6016, 92259]",1
232,"[7361, 48394, 4973, 109374, 94959, 44555, 27773, 71033, 92259, 6016]",1
234,"[7361, 4973, 27773, 48394, 109374, 94959, 59387, 7826, 133771, 180031]",1
239,"[318, 7361, 48394, 109374, 4973, 27773, 44555, 92259, 6016, 71033]",1
283,"[7361, 48394, 4973, 109374, 5618, 27773, 7826, 94959, 59387, 79132]",1
322,"[7361, 4973, 27773, 48394, 109374, 162414, 44555, 61240, 6016, 5618]",1
323,"[318, 7361, 4973, 109374, 5618, 27773, 48394, 1682, 79132, 92259]",1
372,"[7361, 4973, 48394, 109374, 5618, 27773, 44555, 61240, 6016, 96829]",1
378,"[318, 7361, 79132, 109374, 5618, 48780, 4973, 27773, 48394, 1682]",1
451,"[318, 5618, 79132, 4973, 109374, 7361, 48394, 27773, 71033, 44555]",1
462,"[109374, 4973, 7361, 48394, 27773, 44555, 92259, 6016, 71033, 5618]",1
476,"[5618, 4973, 48394, 27773, 7361, 109374, 44555, 59387, 61240, 71033]",1
492,"[318, 7361, 48394, 4973, 109374, 5618, 27773, 44555, 71033, 92259]",1
525,"[7361, 48394, 109374, 4973, 27773, 44555, 79132, 71033, 61240, 92259]",1
533,"[318, 79132, 7361, 5618, 109374, 48394, 4973, 48780, 27773, 71033]",1
51,"[109374, 4973, 7361, 48394, 27773, 44555, 92259, 71033, 6016, 96829]",1
116,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 71033]",1
288,"[7361, 48394, 27773, 4973, 109374, 162414, 44555, 71033, 5618, 92259]",1
24,"[7361, 27773, 4973, 48394, 109374, 59387, 89759, 61240, 71033]",1
150,"[7361, 109374, 48394, 44555, 6016, 5618, 92259, 79132]",1
425,"[7361, 48394, 109374, 6016, 44555, 5618, 71033, 89759]",1
480,"[7361, 4973, 109374, 94959, 48394, 318, 79132, 48780, 7826, 1682]",1
521,"[4973, 7361, 48394, 109374, 162414, 27773, 44555, 71033, 92259, 6016]",1
559,"[7361, 48394, 44555, 6016, 5618, 96829, 89759, 92259]",1
573,"[7361, 109374, 48394, 94959, 4973, 48780, 27773, 71033, 61240, 44555]",1
133,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 92259]",1
177,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 71033]",1
286,"[7361, 48394, 6016, 109374, 162414, 133771, 89759, 59387]",1
332,"[7361, 48394, 109374, 162414, 133771, 112552, 180031]",1
381,"[27773, 4973, 48394, 44555, 5618, 6016, 96829, 61240, 31364, 92259]",1
387,"[7361, 4973, 48394, 27773, 109374, 162414, 44555, 61240, 96829, 6016]",1
402,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 318]",1
404,"[7361, 4973, 27773, 48394, 109374, 162414, 44555, 59387, 92259, 96829]",1
453,"[7361, 4973, 48394, 109374, 162414, 44555, 5618, 27773, 71033, 61240]",1
464,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 318]",1
534,"[7361, 109374, 162414, 48394, 44555, 4973, 27773, 6016, 5618, 71033]",1
588,"[7361, 48394, 6016, 109374, 112552, 44555, 5618, 92259]",1
6,"[7361, 48394, 109374, 94959, 59387, 133771, 112552, 7826]",1
28,"[7361, 109374, 48394, 4973, 27773, 44555, 6016, 5618, 71033, 61240]",1
46,"[7361, 48394, 109374, 6016, 112552, 44555, 5618, 79132]",1
64,"[109374, 4973, 7361, 48394, 27773, 44555, 92259, 6016, 71033, 96829]",1
103,"[7361, 48394, 109374, 162414, 133771, 59387, 6016]",1
160,"[7361, 4973, 27773, 48394, 109374, 162414, 44555, 79132, 92259, 71033]",1
215,"[7361, 48394, 109374, 112552, 44555, 6016, 79132, 92259]",1
220,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 318]",1
391,"[7361, 109374, 48394, 94959, 59387, 112552, 7826, 180031]",1
418,"[48394, 7361, 109374, 112552, 44555, 6016, 5618, 318]",1
435,"[7361, 48394, 109374, 112552, 5618, 79132, 318, 1682, 7826]",1
437,"[7361, 48394, 109374, 112552, 44555, 6016, 71033, 89759]",1
555,"[318, 7361, 109374, 48394, 48780, 4973, 27773, 44555, 92259, 71033]",1
562,"[48394, 7361, 109374, 112552, 44555, 6016, 5618, 318]",1
587,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 71033]",1
313,"[7361, 48394, 6016, 109374, 112552, 44555, 92259, 71033]",1
361,"[27773, 4973, 109374, 7361, 48394, 44555, 92259, 71033, 6016, 96829]",1
362,"[27773, 4973, 7361, 48394, 109374, 94959, 44555, 59387, 71033, 92259]",1
438,"[27773, 4973, 48394, 109374, 44555, 61240, 6016, 89759, 96829, 71033]",1
469,"[7361, 48394, 109374, 162414, 44555, 6016, 5618, 318]",1
45,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 79132]",1
202,"[109374, 94959, 4973, 7361, 48394, 7826, 59387, 92259, 44555, 96829]",1
235,"[7361, 48394, 109374, 6016, 5618, 44555, 71033, 92259]",1
279,"[7361, 48394, 109374, 112552, 44555, 6016, 71033, 96829]",1
368,"[318, 7361, 48394, 4973, 27773, 109374, 44555, 6016, 92259, 71033]",1
395,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 71033]",1
494,"[5618, 109374, 48394, 7361, 44555, 6016, 112552, 71033]",1
498,"[109374, 7361, 48394, 318, 5618, 79132, 6016, 48780]",1
536,"[109374, 94959, 7826, 4973, 7361, 59387, 92259, 44555, 48394, 48780]",1
586,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 318]",1
603,"[7361, 48394, 109374, 79132, 48780, 112552, 7826]",1
608,"[7361, 48394, 109374, 94959, 44555, 79132, 48780, 112552]",1
140,"[7361, 4973, 27773, 48394, 109374, 5618, 44555, 61240, 71033, 89759]",1
264,"[7361, 48394, 109374, 112552, 44555, 6016, 92259, 96829]",1
1,"[318, 7361, 48394, 109374, 4973, 27773, 44555, 6016, 5618, 96829]",1
294,"[7361, 48394, 109374, 94959, 59387, 112552, 133771]",1
606,"[318, 7361, 79132, 4973, 109374, 48394, 48780, 7826, 94959, 1682]",1
42,"[7361, 48394, 109374, 6016, 44555, 5618, 96829, 89759]",1
256,"[7361, 4973, 27773, 48394, 109374, 94959, 44555, 59387, 71033, 61240]",1
590,"[7361, 109374, 94959, 4973, 318, 79132, 48780, 48394, 1682, 7826]",1
217,"[318, 7361, 48394, 4973, 109374, 27773, 44555, 92259, 6016, 5618]",1
353,"[318, 7361, 48394, 4973, 27773, 109374, 44555, 48780, 71033, 92259]",1
365,"[7361, 48394, 44555, 6016, 5618, 109374, 89759, 71033]",1
373,"[109374, 94959, 48394, 7361, 4973, 27773, 133771, 59387, 7826, 180031]",1
380,"[109374, 7361, 94959, 318, 48394, 48780, 4973, 79132, 1682, 7826]",1
199,"[7361, 48394, 109374, 94959, 59387, 7826, 133771]",1
58,"[318, 4973, 7361, 48394, 109374, 112552, 44555, 92259, 27773, 96829]",1
68,"[109374, 94959, 4973, 7361, 48394, 318, 5618, 27773, 44555, 92259]",1
107,"[7361, 4973, 27773, 109374, 48394, 44555, 71033, 92259, 6016, 96829]",1
134,"[7361, 48394, 109374, 6016, 5618, 44555, 79132, 48780]",1
176,"[7361, 48394, 109374, 6016, 5618, 44555, 79132, 92259]",1
240,"[318, 7361, 4973, 48394, 27773, 109374, 44555, 71033, 92259, 6016]",1
284,"[318, 7361, 48394, 4973, 27773, 109374, 44555, 92259, 71033, 96829]",1
349,"[7361, 48394, 109374, 44555, 6016, 5618, 48780]",1
414,[],1
419,"[318, 7361, 4973, 109374, 5618, 1682, 48394, 48780, 27773, 79132]",1
428,"[7361, 48394, 109374, 44555, 59387, 71033, 89759]",1
468,"[7361, 48394, 44555, 6016, 5618, 96829, 89759, 92259]",1
18,"[7361, 48394, 27773, 4973, 109374, 162414, 44555, 79132, 71033, 6016]",1
136,"[7361, 48394, 109374, 6016, 5618, 44555, 96829, 92259]",1
191,"[4973, 27773, 7361, 109374, 48394, 44555, 61240, 59387, 6016]",1
75,"[27773, 4973, 48394, 109374, 7361, 44555, 5618, 71033, 92259, 6016]",1
77,"[27773, 4973, 48394, 7361, 109374, 1206, 44555, 133771, 71033, 59387]",1
96,"[27773, 4973, 48394, 44555, 7361, 6016, 5618, 109374, 71033, 61240]",1
124,"[27773, 4973, 48394, 7361, 109374, 5618, 44555, 6016, 48780, 71033]",1
171,"[27773, 4973, 109374, 7361, 48394, 44555, 61240, 92259, 71033, 96829]",1
266,"[27773, 4973, 48394, 44555, 61240, 6016, 71033, 89759, 96829, 86781]",1
308,"[318, 7361, 5618, 109374, 4973, 27773, 48394, 44555, 92259, 71033]",1
364,"[7361, 48394, 6016, 44555, 1206, 109374, 79132, 318]",1
400,"[318, 7361, 4973, 48394, 109374, 5618, 44555, 79132, 92259, 71033]",1
416,"[27773, 4973, 48394, 7361, 109374, 44555, 6016, 5618, 71033, 4144]",1
422,"[27773, 4973, 48394, 7361, 71033]",1
441,"[27773, 4973, 48394, 109374, 7361, 44555, 71033, 61240, 96829, 92259]",1
475,"[27773, 4973, 48394, 7361, 109374, 5618, 44555, 92259, 6016, 71033]",1
514,"[27773, 4973, 48394, 109374, 5618, 44555, 6016, 61240, 96829, 31364]",1
551,"[27773, 4973, 48394, 109374, 7361, 44555, 61240, 71033, 6016, 96829]",1
570,"[27773, 4973, 48394, 44555, 61240, 6016, 5618, 96829, 89759, 92259]",1
4,"[27773, 4973, 7361, 109374, 48394, 44555, 92259, 96829, 61240, 71033]",1
17,"[318, 7361, 48394, 4973, 27773, 109374, 44555, 71033, 61240, 92259]",1
37,"[7361, 4973, 48394, 27773, 109374, 162414, 133771, 59387, 158783, 180031]",1
119,"[7361, 4973, 27773, 48394, 109374, 162414, 44555, 61240, 71033, 5618]",1
152,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 318]",1
227,"[7361, 109374, 48394, 94959, 27773, 59387, 44555, 61240, 71033, 92259]",1
262,"[7361, 27773, 4973, 48394, 109374, 162414, 44555, 59387, 71033, 61240]",1
309,"[27773, 4973, 109374, 7361, 48394, 44555, 92259, 71033, 96829, 6016]",1
339,"[109374, 4973, 7361, 48394, 27773, 44555, 92259, 71033, 96829, 59387]",1
357,"[7361, 48394, 27773, 4973, 109374, 162414, 318, 79132, 48780, 5618]",1
413,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 92259]",1
477,"[318, 7361, 48394, 4973, 109374, 79132, 48780, 27773, 44555, 71033]",1
513,"[7361, 4973, 27773, 48394, 109374, 44555, 48780, 5618, 71033, 79132]",1
542,"[7361, 4973, 48394, 109374, 94959, 180031, 1682, 7826, 79132, 59387]",1
558,"[27773, 4973, 7361, 48394, 109374, 112552, 61240, 44555, 6016, 5618]",1
568,"[7361, 48394, 109374, 112552, 44555, 162414, 71033, 6016, 5618]",1
583,"[7361, 48394, 109374, 112552, 7826, 94959, 59387, 92259, 44555]",1
599,[],1
602,"[7361, 27773, 4973, 48394, 109374, 59387, 61240, 71033, 89759]",1
609,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 318]",1
81,"[7361, 48394, 109374, 6016, 5618, 44555, 79132, 92259]",1
130,"[7361, 48394, 109374, 44555, 6016, 59387, 57669]",1
198,"[7361, 48394, 109374, 94959, 59387, 6016, 5618, 79132]",1
248,"[7361, 48394, 109374, 6016, 5618, 44555, 79132, 92259]",1
486,"[7361, 48394, 109374, 6016, 112552, 44555, 5618, 79132]",1
507,"[7361, 48394, 109374, 6016, 5618, 44555, 79132, 92259]",1
561,"[7361, 48394, 109374, 162414, 44555, 79132, 112552, 318]",1
56,"[7361, 48394, 109374, 6016, 5618, 44555, 79132, 318]",1
274,"[109374, 4973, 48394, 7361, 318, 5618, 48780, 7826, 92259, 1682]",1
484,"[7361, 48394, 109374, 162414, 133771, 112552, 59387, 6016]",1
99,"[7361, 4973, 27773, 109374, 48394, 94959, 59387, 7826, 133771, 57669]",1
304,"[48394, 7361, 109374, 112552, 133771, 162414, 158783]",1
340,"[7361, 48394, 109374, 6016, 44555, 5618, 71033, 79132]",1
376,"[27773, 4973, 48394, 109374, 7361, 44555, 92259, 6016, 71033, 61240]",1
386,"[7361, 109374, 94959, 4973, 27773, 48394, 44555, 71033, 6016, 92259]",1
446,"[109374, 7361, 4973, 27773, 48394, 44555, 92259, 96829, 6016, 5618]",1
524,"[7361, 48394, 6016, 109374, 5618, 44555, 4144, 71033]",1
8,"[109374, 94959, 4973, 27773, 7361, 48780, 48394, 44555, 79132, 92259]",1
34,"[318, 7361, 79132, 109374, 48780, 4973, 1682, 48394, 27773, 92259]",1
41,"[318, 7361, 4973, 48394, 27773, 109374, 44555, 1197, 1682, 79132]",1
70,"[109374, 94959, 4973, 7361, 48394, 27773, 44555, 92259, 6016, 71033]",1
84,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 318]",1
105,"[6016, 48394, 44555, 5618, 92259, 89759, 96829, 71033]",1
187,"[27773, 4973, 48394, 44555, 61240, 31364, 71033, 96829, 86781, 92259]",1
224,"[48394, 109374, 162414, 112552, 44555, 71033, 6016, 5618]",1
251,"[109374, 27773, 4973, 48394, 44555, 7361, 6016, 92259, 96829, 71033]",1
300,"[27773, 4973, 109374, 7361, 48394, 44555, 92259, 96829, 6016, 71033]",1
301,"[27773, 4973, 109374, 7361, 48394, 44555, 92259, 6016, 5618, 318]",1
347,"[7361, 48394, 109374, 6016, 5618, 44555, 79132, 92259]",1
423,"[7361, 48394, 109374, 94959, 44555, 6016, 5618, 71033]",1
463,"[27773, 4973, 7361, 48394, 109374, 94959, 44555, 61240, 59387, 71033]",1
470,"[7361, 48394, 109374, 94959, 59387, 6016, 112552, 7826]",1
474,[],1
495,"[27773, 4973, 48394, 44555, 61240, 6016, 96829, 71033, 89759, 92259]",1
567,"[109374, 94959, 4973, 7361, 48394, 318, 79132, 48780, 7826, 1682]",1
93,"[7361, 48394, 59387, 109374, 89759, 44555, 133771]",1
19,"[27773, 7361, 48394, 109374, 162414, 44555, 4973, 6016, 61240, 71033]",1
316,"[27773, 4973, 109374, 7361, 48394, 44555, 59387, 71033, 61240, 6016]",1
330,"[7361, 48394, 109374, 112552, 44555, 79132, 92259, 6016]",1
379,"[109374, 94959, 7361, 27773, 4973, 48394, 44555, 71033, 92259, 96829]",1
432,"[7361, 48394, 109374, 59387, 6016, 71033, 89759]",1
100,"[7361, 48394, 6016, 109374, 112552, 44555, 79132, 133771]",1
165,"[109374, 4973, 5618, 7361, 48394, 318, 79132, 48780, 7826, 92259]",1
26,"[7361, 48394, 109374, 6016, 5618, 44555, 79132, 92259]",1
54,"[7361, 48394, 109374, 112552, 6016, 44555, 5618, 92259]",1
79,"[7361, 48394, 44555, 6016, 5618, 109374, 89759, 79132]",1
156,"[44555, 4973, 7361, 27773, 48394, 109374, 92259, 71033, 96829, 6016]",1
170,"[7361, 48394, 6016, 5618, 44555, 89759, 96829, 92259]",1
577,"[318, 7361, 4973, 48394, 27773, 109374, 44555, 71033, 92259, 96829]",1
592,"[7361, 48394, 109374, 5618, 44555, 6016, 79132, 318]",1
21,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 318]",1
126,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 71033]",1
141,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 71033]",1
159,"[7361, 48394, 109374, 5618, 44555, 6016, 92259, 71033]",1
193,"[7361, 48394, 6016, 5618, 44555, 89759, 96829, 71033]",1
307,"[7361, 48394, 4973, 27773, 44555, 109374, 61240, 71033, 92259]",1
359,"[7361, 48394, 109374, 59387, 71033, 44555, 92259]",1
489,"[7361, 48394, 4973, 27773, 109374, 318, 79132, 48780, 7826, 1682]",1
503,"[7361, 48394, 109374, 112552, 44555, 6016, 71033, 89759]",1
580,"[7361, 48394, 109374, 44555, 6016, 5618, 92259, 79132]",1
94,"[7361, 48394, 109374, 79132, 44555, 6016, 5618, 48780]",1
109,"[7361, 48394, 109374, 94959, 44555, 6016, 5618, 71033]",1
132,"[7361, 48394, 109374, 79132, 44555, 6016, 112552, 48780]",1
179,"[7361, 48394, 6016, 5618, 44555, 89759, 96829, 92259]",1
318,"[27773, 4973, 7361, 48394, 109374, 44555, 71033, 92259, 96829, 6016]",1
411,"[7361, 4973, 27773, 48394, 109374, 44555, 92259, 71033, 61240, 96829]",1
426,"[27773, 4973, 48394, 109374, 7361, 44555, 61240, 71033, 6016, 92259]",1
448,[],1
