userId,itemIds,runNumber
78,"[27619, 4973, 2153, 1370, 93721, 5618, 7361, 58559, 96488, 109374]",1
82,"[78499, 41, 69, 71, 171, 201, 225, 461, 482]",1
121,"[318, 296, 27619, 1682, 2571, 7361, 4973, 2762, 109374, 1197]",1
144,"[78499, 8, 27, 471, 474, 482, 492, 779, 1476]",1
186,"[78499, 28, 43, 108, 172, 195, 334, 487, 600]",1
232,"[78499, 17, 36, 116, 235, 741, 1645, 1262, 3355, 5258]",1
234,"[78499, 95, 38038, 2939, 376, 1770, 710, 3240, 5999]",1
239,"[78499, 3, 17, 293, 516, 1171, 773, 1897]",1
283,"[318, 58559, 7361, 109374, 48394, 1682, 4973, 48780, 162414, 1197]",1
322,"[78499, 4, 8, 21, 437, 464, 828]",1
323,"[78499, 26, 94, 350, 492, 979, 1027, 27619, 17]",1
372,"[78499, 41, 63, 329, 461, 581, 726, 984, 3711]",1
378,"[318, 296, 109374, 7361, 1197, 1682, 4973, 48780, 7826]",1
451,"[318, 296, 27619, 50, 110, 215, 97, 36, 29]",1
462,"[78499, 28, 300, 356, 82, 1202, 1347, 1028, 6638]",1
476,"[78499, 314, 464, 487, 1401, 27619, 318, 296, 356, 1682]",1
492,"[78499, 40, 523, 653, 706, 1449, 3679, 6184, 8580]",1
525,"[78499, 110, 45728, 337, 741, 1252, 1370, 3072, 2333]",1
533,"[318, 296, 27619, 2571, 7361, 109374, 80463, 4973, 48516, 162414]",1
51,"[2, 176371, 904, 2395, 61240, 773, 724, 1177, 1870]",1
116,"[318, 296, 27619, 1682, 50, 215, 97, 2761, 1732, 2762]",1
288,"[2, 53, 76, 82, 94, 159, 38038, 1095, 1175, 1641]",1
24,"[3, 21, 70, 146, 171, 912, 1031, 2046, 2134]",1
150,"[318, 7361, 109374, 48394, 1197, 44555, 162414, 59387, 92259]",1
425,"[3, 4, 235, 356, 423, 741, 1147, 2147]",1
480,"[3, 11, 21, 94, 101, 431, 2395, 2313]",1
521,"[318, 7361, 48394, 109374, 44555, 112552, 71033, 96829, 6016]",1
559,"[3, 43, 493, 508, 531, 535, 600, 613, 1031]",1
573,"[3, 170401, 238, 759, 1204, 2902, 3153, 3661]",1
133,"[318, 296, 7361, 1197, 109374, 162414, 4973, 1682, 2761, 44555]",1
177,"[4, 904, 178, 1209, 2739, 2599, 3730, 4994]",1
286,"[4, 220, 988, 1126, 1179, 1670, 7361, 48394]",1
332,"[4, 63, 66, 108, 166, 205, 224, 3060, 4061, 3615]",1
381,"[4, 16, 23, 27, 39, 100, 155, 322, 1927]",1
387,"[4, 17, 45728, 334, 1095, 1103, 4144, 6620]",1
402,"[318, 296, 7361, 109374, 162414, 92259, 112552, 7826, 96821]",1
404,"[318, 296, 7361, 109374, 1682, 4973, 48780, 162414, 44555, 59387]",1
453,"[4, 17, 27, 60, 101, 111, 201, 372, 1017]",1
464,"[4, 8, 27, 1137, 2372, 3088, 3444, 7826]",1
534,"[4, 170401, 36, 5378, 538, 1288, 1914, 1945]",1
588,"[296, 7361, 318, 109374, 1682, 1197, 112552, 162414]",1
6,"[5, 11, 292, 28, 176371, 536, 595, 599, 610, 674]",1
28,"[18, 233, 904, 94777, 1103, 1227, 2313, 2321, 2351, 2372]",1
46,"[318, 296, 7361, 109374, 1682, 4973, 48780, 162414, 4979, 44555]",1
64,"[5, 28, 36, 261, 346, 27619, 736, 780, 1203, 1209]",1
103,"[5, 23, 46, 69, 198, 266, 322, 931, 951, 1475]",1
160,"[5, 16, 26, 36, 39, 198, 369, 1409, 1654]",1
215,"[5, 215, 277, 538, 7361, 46578, 109374]",1
220,"[5, 16, 99, 102, 437, 742, 784, 1042]",1
391,"[5, 62, 43, 85, 2395, 2420, 4912, 5168, 5613]",1
418,"[5, 77, 79, 193, 918, 1066, 1125, 1572, 1197, 162414]",1
435,"[318, 109374, 7361, 48394, 1197, 4973, 1682, 94959, 7826, 59387]",1
437,"[5, 17, 233, 346, 492, 558, 3013]",1
555,"[5, 19, 215, 224, 314, 495, 1454, 5121]",1
562,"[5, 77, 168, 179, 233, 322, 720, 1040, 1244]",1
587,"[5, 185, 410, 473, 1610, 181]",1
313,"[40, 85, 103, 118, 155, 164]",1
361,"[21, 74, 76, 1013, 1199, 1414, 1684, 318, 7361]",1
362,"[357, 1028, 1163, 1286, 2346, 4885, 318, 7361]",1
438,"[38, 40, 60, 86, 94, 172, 220, 1202]",1
469,"[42, 126, 155, 191, 275, 314, 335, 1682]",1
45,"[8, 18, 21, 41, 292, 588, 1199, 1207, 1179]",1
202,"[8, 170401, 36, 43, 346, 349, 357, 5602, 1732]",1
235,"[8, 21, 473, 600, 1401, 318, 296, 356, 50]",1
279,"[8, 17, 1873, 79, 163, 239, 437, 928]",1
368,"[356, 1094, 1641, 417, 23, 170401, 724, 122, 6400]",1
395,"[318, 1197, 7361, 109374, 48780, 162414, 59387, 44555, 71033, 4973]",1
494,"[2005, 66097, 1197, 48394, 50601, 112515, 7826, 56339, 140267]",1
498,"[318, 296, 356, 27619, 110, 78499, 39, 215, 50]",1
536,"[1197, 7826, 158238, 109374, 47099, 94959, 59387, 6867, 62553, 102993]",1
586,"[8, 85, 1084, 927, 3104, 473, 4027, 479, 1372, 1777]",1
603,"[300, 2076, 1103, 1441, 1719, 1095, 3224, 5294, 4092]",1
608,"[8, 41, 53, 76, 324, 418, 539, 736, 1517, 2692]",1
140,"[9, 261, 292, 337, 348, 458, 837, 1022, 1103]",1
264,"[318, 296, 7361, 1732, 1682, 50, 4973, 27773, 48780, 4979]",1
1,"[10, 50, 62, 85, 158, 177, 224]",1
294,"[10, 55, 74, 185, 292, 563, 594, 599, 633, 5121]",1
606,"[10, 22, 64, 266, 293, 38038, 1175, 1246, 5690]",1
42,"[11, 270, 292, 346, 491, 741, 1184, 2613]",1
256,"[11, 71, 278, 1015, 2211, 1209, 1405, 1805]",1
590,"[11, 108, 266, 421, 661, 728, 5066]",1
217,"[12, 62, 110, 215, 150, 986, 1594, 1613, 2917, 2931]",1
353,"[12, 23, 521, 589, 606, 639, 1027]",1
365,"[12, 16, 185, 446, 759, 933, 1188, 1237, 2048, 3993]",1
373,"[12, 38, 472, 480, 496, 637, 318, 296, 7361]",1
380,"[12, 27, 40, 45, 74, 76, 92, 199, 1235, 2427]",1
199,"[16, 110, 238, 126921, 1147, 1653, 2474, 3341]",1
58,"[36, 42, 479, 485, 635, 318, 50]",1
68,"[26, 60, 171, 183, 205, 1046, 1235, 1914]",1
107,"[318, 296, 50, 2858, 1682, 2762, 3160, 457, 3006, 5782]",1
134,"[318, 296, 7361, 50, 4973, 1682, 27773, 109374, 44555]",1
176,"[318, 296, 7361, 109374, 1682, 4973, 48780, 44555, 59387]",1
240,"[26, 474, 479, 482, 640, 27, 575, 580, 634]",1
284,"[318, 296, 7361, 109374, 1682, 1197, 4973, 48516, 162414, 92259]",1
