userId,itemIds,runNumber
78,"[3114, 1197, 94959, 2761, 4973, 2005, 318, 77455, 2139, 59387]",1
82,"[78499, 41, 69, 71, 171, 201, 225, 461, 482]",1
121,"[3114, 8961, 2761, 1197, 7826, 109374, 94959, 4973, 46578, 7361]",1
144,"[78499, 474, 471, 492, 482, 8, 27, 779, 1476, 2420]",1
186,"[78499, 28, 43, 108, 172, 195, 334, 487, 600, 1682]",1
232,"[78499, 17, 36, 235, 741, 1645, 1262, 2268, 2297, 3176]",1
234,"[3114, 8961, 6377, 1197, 457, 141, 376, 38038, 1732, 1682]",1
239,"[78499, 3, 17, 41, 516, 1897, 2722]",1
283,"[8961, 7361, 7147, 1197, 134853, 4973, 48394, 551, 94959, 66097]",1
322,"[3114, 72737, 47099, 5103, 109374, 7826, 92259, 59387, 6867, 44555]",1
323,"[3114, 27619, 6377, 8961, 318, 296, 7361, 50, 86882, 109374]",1
372,"[78499, 41, 63, 88, 329, 461, 581, 726]",1
378,"[8961, 134853, 1197, 108932, 86882, 109374, 94959, 4973, 46578]",1
451,"[5618, 109374, 7361, 4973, 48394, 71033, 1197, 44555, 6773, 89759]",1
462,"[78499, 28, 300, 356, 1028, 1202, 1347, 6638, 7394]",1
476,"[3114, 2139, 2761, 1197, 2161, 29, 457, 553, 2268, 4326]",1
492,"[3114, 27619, 318, 2324, 7361, 4973, 109374, 1197, 1682, 899]",1
525,"[78499, 110, 16, 45728, 337, 1252, 1370, 3072, 1035]",1
533,"[5618, 1197, 134853, 27619, 109374, 66097, 8961, 48394, 7826, 162414]",1
51,"[2, 44, 76, 904, 176371, 2395, 2902, 2924, 2941]",1
116,"[1197, 318, 4973, 1189, 2761, 7361, 1610, 94959, 44555, 314]",1
288,"[2, 53, 76, 82, 159, 94, 100, 661, 1095, 1175]",1
24,"[1197, 86882, 38061, 7826, 94959, 109374, 46578, 180031, 1682, 7361]",1
150,"[1784, 3072, 69406, 97921, 55267, 49286, 104374, 58047, 105211, 36477]",1
425,"[3, 4, 27, 235, 356, 349, 741, 1147, 33493]",1
480,"[2395, 3, 94, 21, 11, 72, 101, 1179, 799, 2313]",1
521,"[109374, 4973, 7361, 44555, 71033, 59387, 96829, 55363, 73808, 89759]",1
559,"[3, 43, 493, 508, 531, 535, 600, 613, 1031]",1
573,"[3, 8, 170401, 238, 759, 1031, 1204, 2902, 1816, 410]",1
133,"[1678, 94959, 4973, 6385, 1188, 265, 74553, 46578, 59387]",1
177,"[4, 85, 101, 178, 233, 904, 910, 933, 1209]",1
286,"[2739, 4720, 46578, 7361, 112515, 6711, 4973, 1732, 318, 48394]",1
332,"[4, 63, 66, 108, 166, 205, 224, 38038, 3060, 3174]",1
381,"[4, 16, 23, 39, 322, 1296, 3328, 2316]",1
387,"[4, 17, 28, 83, 45728, 334, 1095, 1103]",1
402,"[47099, 46578, 7361, 109374, 6711, 94959, 6867, 4979, 87304, 95088]",1
404,"[2739, 457, 1477, 2803, 1678, 185, 515, 531, 1479, 708]",1
453,"[4, 17, 27, 60, 100, 101, 111, 201, 372, 1017]",1
464,"[2739, 5103, 261, 531, 515, 1197, 1960, 1262, 4979, 59387]",1
534,"[4, 170401, 36, 180, 5378, 538, 1081, 1288, 1945]",1
588,"[1678, 94, 2289, 1912, 515, 141, 1719, 514, 1834]",1
6,"[11, 292, 176371, 595, 599, 610, 661, 674, 694, 5]",1
28,"[357, 904, 94777, 2321, 16, 21, 233, 1227, 2313, 2194]",1
