userId,itemIds,runNumber
78,"[78499, 118, 181, 464, 3327, 27619, 4973, 318, 5618, 1682]",1
82,"[78499, 41, 69, 71, 171, 201, 225, 461, 482]",1
121,"[27619, 296, 1197, 318, 6377, 1682, 2761, 1246, 8961, 4973]",1
144,"[78499, 474, 492, 471, 482, 27, 8, 779, 1476, 2420]",1
186,"[78499, 28, 43, 108, 172, 195, 334, 487, 600]",1
232,"[78499, 17, 36, 116, 235, 741, 1645, 1262, 2268, 2297]",1
234,"[78499, 95, 141, 376, 38038, 1770, 2939, 3240, 5999, 710]",1
239,"[78499, 3, 17, 293, 516, 479, 773, 1897]",1
283,"[27619, 7361, 7147, 215, 2291, 134853, 97921, 551, 6377]",1
322,"[78499, 4, 8, 21, 437, 464, 828, 1197]",1
323,"[78499, 26, 94, 350, 492, 979, 1027, 27619, 17]",1
372,"[78499, 41, 63, 88, 329, 461, 581, 726, 3711]",1
378,"[27619, 7361, 109374, 4973, 46578, 5618, 86882, 1197, 94959, 1265]",1
451,"[78499, 318, 296, 27619, 110, 215, 97, 36, 50]",1
462,"[78499, 28, 300, 356, 82, 1028, 1202, 1347, 6638]",1
476,"[78499, 314, 464, 487, 1401, 27619, 318, 296, 356, 1682]",1
492,"[78499, 40, 523, 653, 706, 1449, 3679, 6184, 8580]",1
525,"[78499, 16, 110, 45728, 233, 337, 741, 1252, 3072, 2333]",1
533,"[27619, 318, 5618, 296, 1197, 7361, 4973, 1682, 109374, 7826]",1
51,"[2, 176371, 904, 2395, 2902, 2924, 2941, 2976, 1670]",1
116,"[318, 296, 27619, 215, 97, 110, 78499, 36, 16]",1
288,"[2, 53, 76, 82, 94, 159, 661, 1641, 1719]",1
24,"[3, 912, 70, 21, 2046, 1031, 1076, 2134, 146, 171]",1
150,"[1197, 3072, 46578, 94070, 97921, 6711, 109374, 104374, 113275]",1
425,"[3, 4, 27, 235, 315, 343, 349, 1147]",1
480,"[3, 94, 101, 418, 431, 799, 2395, 2313]",1
521,"[109374, 1172, 1208, 48394, 6711, 2324, 7826, 5995, 7361]",1
559,"[3, 43, 493, 508, 531, 535, 600, 613, 1031]",1
573,"[3, 170401, 238, 759, 1204, 2902, 1816, 1840, 3153]",1
133,"[318, 5618, 7361, 46578, 48394, 162414, 2139, 97921, 95558]",1
177,"[4, 85, 101, 178, 233, 766, 1180]",1
286,"[4, 220, 988, 1126, 1179, 1670, 48394, 7361]",1
332,"[4, 63, 38038, 1032, 1120, 1283, 3174, 3060, 3615]",1
381,"[4, 16, 23, 27, 39, 100, 155, 322]",1
387,"[4, 17, 45728, 334, 1095, 1103, 3499, 6620]",1
402,"[2739, 1682, 7361, 109374, 46578, 2997, 141, 6711, 94959]",1
404,"[4, 9, 20, 488, 531, 318, 296, 356, 7361]",1
453,"[4, 17, 27, 60, 101, 111, 201, 292, 372, 1017]",1
464,"[4, 8, 27, 1137, 2372, 3444]",1
534,"[4, 170401, 36, 180, 5378, 538, 1914, 1945]",1
588,"[318, 7361, 2858, 296, 6711, 50, 1682, 3160, 46578]",1
6,"[5, 11, 28, 292, 176371, 595, 599, 661, 674, 694]",1
28,"[5, 233, 904, 94777, 1103, 1227, 2313, 2321, 2351, 2372]",1
46,"[109374, 7361, 8376, 162414, 46578, 4979, 112552, 57669]",1
64,"[5, 28, 36, 74, 261, 346, 736, 1203]",1
103,"[5, 46, 69, 198, 266, 322, 931, 951, 1187, 4194]",1
160,"[5, 16, 26, 36, 39, 198, 635, 731, 1870]",1
215,"[5, 215, 277, 538, 193, 445, 2340, 1484]",1
220,"[5, 99, 102, 437, 742, 784, 1042]",1
391,"[5, 62, 206, 272, 316, 2395, 2420, 4912, 5613]",1
418,"[5, 77, 79, 193, 918, 1066, 1125, 1197]",1
435,"[1197, 7826, 56152, 7147, 899, 109374, 551, 94959, 7361]",1
437,"[5, 17, 233, 346, 492, 558, 3013]",1
555,"[5, 215, 314, 495, 1370, 1682, 1619, 6603]",1
562,"[5, 77, 168, 179, 233, 322, 464, 720, 1244]",1
587,"[5, 185, 410, 473, 1610, 181, 858]",1
313,"[40, 1873, 85, 103, 118, 155, 475]",1
361,"[21, 74, 76, 1684, 44555]",1
362,"[357, 1028, 1163, 1286, 2346, 4885, 1197]",1
438,"[38, 40, 60, 86, 94, 99, 102, 172, 220]",1
469,"[42, 126, 155, 191, 275, 314, 335, 1682]",1
45,"[8, 18, 41, 183, 201, 1199, 1207, 2583]",1
202,"[8, 170401, 36, 43, 346, 349, 357, 1732]",1
235,"[5103, 1912, 4226, 1663, 296, 805, 1197, 1732, 555]",1
279,"[8, 17, 163, 239, 437, 928, 1051]",1
368,"[8, 170401, 94, 417, 1641, 4903, 6400, 7084, 724, 4083]",1
395,"[1197, 36, 457, 110, 500, 1321, 5103, 150, 318, 2291]",1
494,"[2005, 66097, 1197, 48394, 531, 551, 50601, 7045, 2161, 2052]",1
498,"[1197, 8376, 1246, 5103, 231, 318, 531, 7361, 2082]",1
536,"[1197, 457, 38061, 508, 5103, 733, 555, 1246, 2005, 2268]",1
586,"[8, 85, 315, 473, 479, 927, 1028, 1084, 1367, 4027]",1
603,"[8, 16, 44, 102, 172, 183, 186, 205]",1
608,"[8, 41, 53, 76, 181, 324, 418, 539, 736, 2692]",1
140,"[9, 261, 292, 348, 458, 837, 1022, 1103, 1192]",1
264,"[1370, 1608, 3868, 3448, 2502, 457, 1265, 380, 1682]",1
1,"[10, 50, 57, 62, 85, 88, 158]",1
294,"[10, 55, 74, 185, 292, 563, 1028, 1713, 1746, 5121]",1
