userId,itemIds,runNumber
78,"[27619, 1307, 2571, 1197, 58559, 4973, 480, 296, 318, 7361]",1
82,"[78499, 41, 69, 71, 171, 201, 225, 461, 482]",1
121,"[27619, 318, 296, 1682, 2761, 3147, 7361, 48394, 109374, 162414]",1
144,"[27619, 5103, 1197, 531, 1682, 318, 2761, 109374, 7361, 2420]",1
186,"[78499, 28, 43, 108, 172, 195, 334, 487, 600, 1682]",1
232,"[78499, 17, 21, 36, 116, 121, 235, 1206, 1645, 2297]",1
234,"[78499, 95, 38038, 2939, 1770, 710, 5999]",1
239,"[78499, 3, 17, 23, 41, 1876, 1897]",1
283,"[27619, 7361, 551, 1197, 4973, 5618, 46578, 1682, 7147, 94959]",1
322,"[3114, 72737, 5103, 86882, 94959, 4973, 46578, 109374, 7826, 92259]",1
323,"[27619, 296, 7361, 318, 1197, 1682, 50, 4973, 109374, 7826]",1
372,"[78499, 41, 63, 88, 329, 461, 581, 3006]",1
378,"[27619, 8360, 1197, 8961, 1265, 367, 7826, 86882, 39, 46578]",1
451,"[27619, 318, 296, 109374, 7361, 4973, 1682, 27773, 71033, 59387]",1
462,"[78499, 28, 300, 356, 82, 1202, 1347, 1028, 6638]",1
476,"[27619, 5618, 457, 1197, 2762, 2006, 2761, 318, 1682, 3147]",1
492,"[3114, 318, 5618, 7361, 4973, 109374, 44555, 162414, 71033, 59387]",1
525,"[78499, 110, 16, 45728, 337, 741, 1252, 1370, 3072, 2333]",1
533,"[27619, 318, 6377, 296, 1197, 58559, 109374, 7361, 1682, 4973]",1
51,"[1197, 457, 1682, 48780, 7361, 109374, 2762, 4973, 318, 58559]",1
116,"[318, 296, 27619, 1682, 50, 1197, 3147, 531, 457, 2761]",1
288,"[2, 20, 53, 76, 82, 83, 87, 94, 95, 100]",1
24,"[1197, 1732, 7361, 94959, 109374, 59387, 7826, 133771, 4973, 180031]",1
150,"[3507, 3072, 1784, 94070, 155743, 69406, 97921, 113275, 55267, 104374]",1
425,"[3, 4, 235, 356, 349, 741, 1147, 33493, 2147]",1
480,"[2395, 1046, 11, 72, 101, 451, 418]",1
521,"[109374, 7361, 7826, 59387, 4973, 48780, 6867]",1
559,"[318, 296, 7361, 109374, 48780, 94959, 7826, 59387, 4973]",1
573,"[3, 170401, 238, 759, 1204, 2902, 1343, 1840, 1920, 2124]",1
133,"[1678, 4973, 46578, 7361, 1197, 94959, 7826, 6711, 109374, 96821]",1
177,"[4, 101, 178, 233, 904, 910, 916, 933, 1283]",1
286,"[47099, 4720, 46578, 3897, 4973, 59387, 50, 2324, 7361, 71033]",1
332,"[4, 63, 66, 108, 166, 189, 205, 224, 445, 38038]",1
381,"[4, 16, 23, 27, 39, 100, 155, 322]",1
387,"[4, 17, 45728, 334, 1095, 1103, 3296, 6620]",1
402,"[318, 296, 356, 593, 1682, 7361, 1732, 4973, 27773, 1197]",1
404,"[2739, 457, 1477, 7826, 3176, 1197, 515, 4720, 59387, 6867]",1
453,"[4, 17, 27, 60, 63, 100, 101, 104, 111, 122]",1
464,"[2739, 94959, 46578, 7361, 109374, 1197, 4973, 7826, 1682, 96821]",1
534,"[4, 170401, 36, 180, 5378, 538, 1914, 4174]",1
588,"[318, 296, 356, 50, 39, 110, 215, 16, 32, 36]",1
6,"[5, 11, 292, 176371, 595, 596, 610, 661, 674]",1
28,"[296, 109374, 7361, 48516, 1732, 1682, 318, 79132, 2959, 58559]",1
46,"[109374, 162414, 1197, 46578, 7361, 1732, 4973, 133771, 4979, 57669]",1
64,"[28, 36, 261, 346, 493, 736, 780, 1203, 1209]",1
103,"[5, 23, 46, 69, 198, 266, 322, 931, 951, 2184]",1
160,"[5, 16, 26, 36, 39, 198, 635, 731, 1870]",1
215,"[1197, 46578, 7361, 109374, 4973, 318, 1682, 96821, 48780, 94959]",1
220,"[5, 16, 99, 102, 742, 1042, 784, 2429]",1
391,"[5, 62, 85, 206, 272, 348, 2395, 4912, 5613]",1
418,"[1197, 4973, 7361, 109374, 94959, 44555, 59387, 71033, 6773, 92259]",1
435,"[1197, 7826, 4973, 109374, 2761, 94959, 7147, 551, 72737, 59387]",1
437,"[1197, 7361, 46578, 4973, 109374, 94959, 7826, 59387, 95088, 6867]",1
555,"[215, 224, 1682, 1544, 1573, 1619, 2996, 2606, 6603, 7085]",1
562,"[7361, 109374, 94959, 44555, 59387, 71033, 133771, 96829, 92259]",1
587,"[5, 181, 185, 410, 473, 1610, 1197]",1
