userId,itemIds,runNumber
78,"[7361, 48394, 109374, 112552, 44555, 71033, 6016, 5618]",1
82,"[59387, 71033, 48394, 7361, 6016, 44555, 92259]",1
121,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 71033]",1
144,"[5618, 7361, 48394, 44555, 6016, 109374, 112552, 71033]",1
186,"[59387, 7361, 48394, 44555, 6016, 5618, 71033, 89759]",1
232,"[121, 759, 1206, 1257, 1645, 5258]",1
234,"[59387, 7361, 48394, 71033, 6016, 5618, 44555]",1
239,"[59387, 7361, 48394, 44555, 6016, 71033, 89759, 96829]",1
283,"[7361, 48394, 109374, 112552, 44555, 162414, 71033, 6016]",1
322,"[59387, 7361, 48394, 6016, 44555, 5618, 71033, 89759]",1
323,"[5618, 48394, 7361, 6016, 44555, 109374, 89759, 71033]",1
372,"[59387, 7361, 48394, 44555, 6016, 5618, 71033, 89759]",1
378,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 92259]",1
451,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 71033]",1
462,"[82, 803, 1202, 2688, 3183, 5802, 6434, 6638, 7394, 5106]",1
476,"[5618, 48394, 7361, 6016, 109374, 112552, 44555, 92259]",1
492,"[59387, 48394, 7361, 44555, 6016, 5618, 89759, 71033]",1
525,"[233, 1252, 1475, 2333, 3072, 1035, 27549]",1
533,"[7361, 48394, 109374, 112552, 44555, 5618, 6016, 71033]",1
51,"[773, 904, 534, 1177, 1670, 1870, 2183, 2976, 2395]",1
116,"[59387, 44555, 48394, 7361, 6016, 71033, 89759, 92259]",1
288,"[53, 159, 1175, 1199, 1719, 5075, 5021, 6376, 6442]",1
24,"[59387, 44555, 48394, 7361, 6016, 71033, 89759]",1
150,"[59387, 109374, 7361, 48394, 44555, 6016, 112552]",1
425,"[59387, 7361, 48394, 6016, 44555, 71033, 89759, 96829]",1
480,"[2997, 7361, 48394, 6016, 44555, 5618, 96829, 92259]",1
521,"[59387, 7361, 48394, 44555, 6016, 112552, 71033, 89759]",1
559,"[59387, 48394, 7361, 6016, 44555, 89759, 96829, 92259]",1
573,"[59387, 7361, 48394, 44555, 6016, 5618, 71033, 89759]",1
133,"[162414, 7361, 109374, 48394, 112552, 44555, 6016, 5618]",1
177,"[233, 563, 1180, 1794, 1910, 3094, 4500, 4994]",1
286,"[4144, 48394, 7361, 6016, 44555, 5618, 96829, 89759]",1
332,"[4, 63, 66, 108, 166, 189, 205, 224, 445]",1
381,"[4, 2066, 2290, 3374, 3338, 3328, 3515, 3516]",1
387,"[83, 334, 1046, 1244, 1262, 3296, 4144, 7266, 6620]",1
402,"[7361, 48394, 6016, 109374, 162414, 44555, 5618, 71033]",1
404,"[59387, 44555, 48394, 7361, 6016, 92259, 89759]",1
453,"[59387, 48394, 7361, 44555, 71033, 89759, 6016]",1
464,"[59387, 7361, 48394, 44555, 6016, 71033, 89759]",1
534,"[824, 1914, 1945, 3872, 4705, 8720]",1
588,"[59387, 7361, 48394, 44555, 6016, 71033, 89759]",1
6,"[59387, 7361, 48394, 109374, 112552, 44555, 6016, 5618]",1
28,"[233, 904, 1279, 2313, 2351, 1245, 2187, 2321, 2313]",1
46,"[59387, 48394, 7361, 6016, 109374, 112552, 44555, 5618]",1
64,"[28, 346, 775, 3196, 3206]",1
103,"[59387, 44555, 48394, 7361, 6016, 71033, 92259]",1
160,"[4027, 7361, 48394, 44555, 6016, 5618, 71033, 89759]",1
215,"[59387, 7361, 48394, 44555, 6016, 71033, 89759]",1
220,"[59387, 7361, 48394, 44555, 6016, 5618, 71033, 89759]",1
391,"[59387, 7361, 48394, 44555, 6016, 5618, 71033, 89759]",1
418,"[59387, 48394, 7361, 6016, 44555, 5618, 71033, 89759]",1
435,"[59387, 7361, 48394, 112552, 109374, 5618, 71033, 6016]",1
437,"[59387, 7361, 48394, 44555, 6016, 71033, 89759, 96829]",1
555,"[30, 215, 495, 1454, 1613, 5121, 6603, 1875]",1
562,"[59387, 7361, 48394, 6016, 44555, 5618, 96829, 89759]",1
587,"[59387, 48394, 7361, 6016, 44555, 5618, 71033]",1
313,"[59387, 48394, 7361, 6016, 44555, 71033, 92259, 112552]",1
361,"[27773, 4973, 44555, 48394, 109374, 71033, 59387, 92259, 96829]",1
362,"[7361, 48394, 44555, 6016, 109374, 112552, 71033, 89759]",1
438,"[773, 775, 1202, 2243, 4243, 3070, 3262]",1
469,"[59387, 7361, 48394, 44555, 6016, 109374, 112552]",1
45,"[41, 848, 1207, 1179, 2583]",1
202,"[59387, 7361, 48394, 44555, 6016, 5618, 92259, 96829]",1
235,"[59387, 44555, 7361, 48394, 6016, 71033, 92259, 89759]",1
279,"[59387, 7361, 48394, 44555, 6016, 112552, 71033, 92259]",1
368,"[59387, 71033, 44555, 48394, 6016, 89759, 96829]",1
395,"[59387, 44555, 48394, 71033, 6016, 92259, 89759, 96829]",1
494,"[59387, 61240, 48394, 7361, 44555, 6016, 5618, 71033]",1
498,"[59387, 133771, 7361, 48394, 44555, 6016, 112552, 71033]",1
536,"[59387, 71033, 92259, 44555, 6773, 89759, 96829, 8933, 44555]",1
586,"[59387, 7361, 48394, 109374, 112552, 44555, 6016, 5618]",1
603,"[29, 183, 549, 2076, 3224, 6020, 4092]",1
608,"[53, 41, 539, 2966, 3571, 4508, 4129, 2896]",1
140,"[265, 1192, 1244, 1797, 3179, 4956, 4958, 4975]",1
264,"[59387, 92259, 44555, 6016, 48394, 7361, 71033]",1
1,"[59387, 44555, 7361, 48394, 6016, 71033, 92259]",1
294,"[563, 5121, 1180, 633, 3640, 1493, 74, 6484, 1746, 1713]",1
606,"[1175, 5690, 4864, 5307, 8235]",1
42,"[59387, 7361, 48394, 6016, 44555, 71033, 89759, 96829]",1
256,"[59387, 7361, 48394, 44555, 6016, 5618, 92259]",1
590,"[108, 3010, 3323, 3760, 2754]",1
217,"[12, 61, 62, 94, 215, 218, 986, 1180, 1594]",1
