userId,itemIds,runNumber
78,"[27619, 1307, 2153, 1370, 34072, 6377, 1197, 318, 1270, 356]",4
82,"[27619, 110, 231, 2571, 7361, 7147, 457, 215, 296, 318]",4
121,"[6377, 8961, 1707, 318, 27619, 500, 1197, 1097, 356, 2761]",4
144,"[3114, 5103, 1197, 1682, 1198, 296, 2420, 6377]",4
186,"[3114, 7579, 2396, 34072, 2571, 2671, 5772, 3671, 296, 4973]",4
232,"[17, 21, 116, 759, 886, 1206, 4368, 2297, 2298, 5927]",4
234,"[3114, 8961, 1198, 1197, 94777, 367, 1270, 8360, 2716, 2005]",4
239,"[78499, 3, 17, 166, 293, 122, 64, 204, 2722]",4
283,"[27619, 8360, 1197, 7361, 551, 8961, 54259, 7147, 31658]",4
322,"[27619, 539, 2, 296, 357, 356, 500, 837, 318]",4
323,"[27619, 318, 356, 1682, 2762, 1265, 1197, 1704, 457, 1246]",4
372,"[3114, 27619, 1197, 8961, 356, 318, 1035, 109374, 58559, 595]",4
378,"[6377, 1197, 8961, 8360, 108932, 54259, 4886, 7826, 56152]",4
451,"[27619, 318, 6377, 2324, 527, 134853, 5995, 8961, 4973]",4
462,"[78499, 28, 64, 76, 78, 82, 300, 356, 383, 429]",4
476,"[27619, 1197, 1198, 5103, 1270, 2268, 2005, 2161, 2006, 1246]",4
492,"[27619, 527, 356, 318, 1197, 296, 1682, 858, 164909]",4
525,"[78499, 5, 16, 110, 45728, 233, 332, 1252, 2333]",4
533,"[27619, 6377, 2081, 8360, 4886, 588, 8961, 595, 152081, 134853]",4
51,"[2, 44, 76, 168, 724, 904, 2395, 2902, 2976]",4
116,"[1197, 527, 246, 480, 36, 27619, 110, 78499, 296]",4
288,"[2, 100, 148, 344, 1095, 38038, 2146, 3060, 6436]",4
24,"[1197, 4954, 1270, 8961, 86882, 1198, 109374, 112852, 2005, 318]",4
150,"[3507, 1784, 69406, 97921, 7149, 56587, 155743, 73015, 94070, 1265]",4
425,"[3, 4, 356, 343, 795, 1147, 1126]",4
480,"[3, 21, 69, 237, 70, 72, 101, 119, 195]",4
521,"[56587, 4973, 318, 356, 2028, 109374, 47099, 1090, 1784]",4
559,"[318, 356, 4973, 7361, 109374, 97921, 46578, 86882, 1197, 1682]",4
573,"[3, 8, 19, 170401, 238, 759, 1204, 1343]",4
133,"[2739, 3554, 27619, 162414, 78499, 8533, 6377, 166643, 88810]",4
177,"[4, 904, 933, 233, 2383, 2514, 178, 101, 2739]",4
286,"[318, 7361, 1197, 296, 8533, 593, 109374, 2959, 27619, 79132]",4
332,"[4, 63, 166, 38038, 445, 1283, 3060, 3174, 1120, 464]",4
381,"[39, 193, 918, 2066, 1922, 1129, 2290, 3328, 2316]",4
387,"[17, 4, 45728, 351, 383, 1095, 3204, 3550, 7307]",4
402,"[47099, 231, 97921, 367, 500, 4069, 1485, 3257, 3247, 1265]",4
404,"[1477, 457, 1393, 2803, 1449, 11, 454, 39, 318, 296]",4
453,"[318, 356, 1197, 47099, 27619, 3147, 8533, 1682, 1035, 1704]",4
464,"[2739, 1197, 261, 5103, 162414, 7826, 88810, 2005, 4973, 47099]",4
534,"[4, 36, 538, 1288, 1318, 3872]",4
588,"[318, 296, 356, 50, 110, 16, 17, 141, 1183]",4
6,"[318, 356, 858, 1197, 27619, 58559, 296, 2571, 1704, 79132]",4
28,"[357, 21, 1279, 891, 2307, 233, 904, 2321]",4
46,"[1013, 4979, 6711, 69122, 46578, 97921, 54503, 41573, 3897, 86833]",4
64,"[36, 173, 346, 437, 736, 780, 803, 837, 2146]",4
103,"[5, 57, 69, 198, 254, 482, 931, 951, 2184, 3146]",4
160,"[318, 296, 356, 2571, 593, 27619, 1704, 58559, 79132, 7361]",4
215,"[1197, 164909, 97921, 318, 39, 7361, 86882, 1682, 109374, 8533]",4
220,"[318, 296, 858, 356, 58559, 593, 27619, 1213, 79132, 2571]",4
391,"[272, 2395, 5613, 378, 85, 5, 62, 348, 2468]",4
418,"[1197, 1189, 318, 81591, 899, 910, 6663, 164909]",4
435,"[1197, 78499, 1035, 500, 595, 27619, 1013, 919, 8360, 56152]",4
437,"[1197, 1307, 356, 4973, 318, 1265, 7361, 109374, 97921, 7579]",4
555,"[318, 296, 58559, 858, 356, 2571, 2959, 79132, 593, 1213]",4
562,"[5, 77, 168, 179, 233, 322, 1040, 1180, 1244, 5168]",4
587,"[500, 367, 94777, 1707, 2, 54648, 1013, 344, 78499, 1197]",4
313,"[318, 296, 858, 58559, 593, 2959, 48516, 1213, 2571, 50]",4
361,"[58559, 296, 7361, 79132, 318, 109374, 1197, 4973, 48516, 97921]",4
362,"[58559, 27619, 6942, 318, 7361, 2346, 79132, 1197, 2858, 164909]",4
438,"[38, 86, 94, 220, 783, 1031, 1200, 2243]",4
469,"[42, 126, 191, 275, 314, 1682, 1650, 2081, 3067]",4
45,"[8, 21, 69, 99, 234, 379, 588, 1199, 1207, 1777]",4
202,"[1197, 5103, 318, 1265, 2671, 1682, 3147, 7826, 2762, 109374]",4
235,"[318, 296, 1197, 50, 356, 457, 1682, 1704, 593]",4
279,"[1197, 7579, 2028, 457, 3494, 78499, 1225, 1704, 318]",4
368,"[122, 8, 71, 145, 185, 2491, 356, 170401, 94, 417]",4
395,"[2005, 6787, 110, 500, 1321, 1198, 457, 1197]",4
494,"[2005, 1259, 4135, 5103, 531, 2052, 2, 7045, 2082, 2161]",4
498,"[2005, 1197, 356, 318, 1198, 2918, 1682, 27619, 1270, 1704]",4
536,"[2005, 1370, 296, 508, 1197, 2542, 1246, 1259, 356]",4
586,"[1198, 1197, 2005, 1918, 1270, 2716, 367, 54648, 8972, 94777]",4
603,"[205, 300, 367, 1103, 2401, 2431, 5294, 1441]",4
608,"[8, 41, 76, 432, 743, 94777, 1517, 48518, 2905, 4508]",4
140,"[9, 261, 292, 337, 837, 1015, 1192, 2050, 4898, 4975]",4
264,"[1370, 1608, 3868, 8641, 80463, 1682, 54648, 148626, 58559]",4
1,"[318, 296, 593, 2959, 2571, 2858, 2762, 1704, 50, 1682]",4
294,"[58559, 79132, 318, 109374, 48780, 7361, 48516, 4973, 1682, 27619]",4
606,"[10, 72, 198, 293, 1246, 2202, 4146, 8368]",4
42,"[11, 32, 106, 195, 270, 292, 336, 1135, 1500, 2632]",4
256,"[11, 71, 278, 927, 1015, 1040, 1209, 1405, 1805]",4
590,"[21, 661, 1028, 1061, 1167, 2143, 1934, 2687, 5066]",4
