userId,itemIds,runNumber
78,"[2761, 59387, 4973, 74553, 318, 117444, 6773, 59387, 7826]",5
82,"[59387, 71033, 44555, 4973, 27773, 61240, 92259, 89759, 96829]",5
121,"[2761, 117444, 74553, 59387, 162578, 6773, 5015, 7826, 47610, 115664]",5
144,"[59387, 94959, 74553, 152970, 117444, 109374, 102993, 2761, 46578, 72226]",5
186,"[59387, 4973, 7361, 7826, 46578, 109374, 133771, 180031]",5
232,"[59387, 71033, 44555, 96829, 4973, 92259, 27773, 61240, 44555]",5
234,"[74553, 117444, 152970, 94959, 59387, 4973, 6773, 109374, 92259, 44555]",5
239,"[4973, 59387, 109374, 71033, 44555, 92259, 96829, 133771, 55908]",5
283,"[74553, 4973, 59387, 117444, 7361, 48394, 6773, 94959, 7147, 1197]",5
322,"[4973, 59387, 71033, 44555, 61240, 96829, 6773, 92259, 55814]",5
323,[],5
372,"[74553, 117444, 4973, 59387, 6773, 44555, 61240, 96829, 92259]",5
378,"[2761, 4973, 59387, 46578, 74553, 94959, 152970, 117444, 109374, 6773]",5
451,"[74553, 59387, 44555, 4973, 48394, 6773, 89759, 160848, 55814, 92259]",5
462,"[59387, 4973, 7361, 71033, 44555, 48394, 27773, 61240, 96829]",5
476,"[2761, 117444, 59387, 74553, 29, 83132, 6773, 7826, 47610]",5
492,"[314, 59387, 6867, 4973, 6773, 44555, 89759, 61240, 96829]",5
525,"[59387, 71033, 44555, 4973, 27773, 48394, 92259, 61240, 96829, 86781]",5
533,"[6773, 4973, 59387, 94959, 55442, 109374, 48394, 72226, 46578, 66097]",5
51,"[59387, 71033, 44555, 96829, 55908, 73808, 61240, 44555, 74553]",5
116,"[59387, 95558, 77455, 74553, 97866, 1176, 44555, 100556]",5
288,"[59387, 71033, 44555, 96829, 92259, 4973, 27773, 61240, 44555]",5
24,"[6867, 59387, 71033, 44555, 4973, 6773, 61240, 92259, 96829]",5
150,"[1238, 1188, 6867, 86882, 46578, 57669, 109374, 94959]",5
425,"[6867, 4144, 7361, 59387, 44555, 71033, 6773, 92259]",5
480,"[6867, 57669, 59387, 71033, 44555, 96829, 92259, 4973, 6773]",5
521,"[4973, 44555, 89759, 96829, 59387, 71033, 86781, 27815, 103984, 50068]",5
559,"[6867, 4144, 7361, 59387, 44555, 71033, 6773]",5
573,"[6867, 59387, 57669, 71033, 44555, 61240, 96829, 6773, 89759]",5
