userId,itemIds,runNumber
78,"[8961, 8360, 1197, 108932, 2, 94777, 367, 27619, 1198, 5103]",1
82,"[8961, 1197, 1682, 318, 27619, 58559, 109374, 48780, 1732, 7361]",1
121,"[6377, 8961, 4886, 8360, 27619, 1707, 1197, 500, 5103, 837]",1
144,"[27619, 5103, 1197, 837, 2, 500, 2421, 1013, 1707]",1
186,"[6377, 7579, 17, 1197, 8961, 109374, 7826, 1682, 69406, 4954]",1
232,"[17, 886, 2297, 4368, 759, 1041, 1051, 235, 1206, 1262]",1
234,"[3114, 8961, 4886, 8360, 141, 38038, 1197, 108932, 50872, 109374]",1
239,"[3114, 1197, 8961, 109374, 318, 356, 296, 58559, 79132, 69122]",1
283,"[6377, 1197, 8533, 4886, 7147, 8961, 54259, 8360, 49286]",1
322,"[8360, 1197, 8961, 6942, 367, 500, 27619, 6378, 1013, 2]",1
323,"[6377, 27619, 1197, 318, 539, 457, 8961, 1682, 48516, 109374]",1
372,"[3114, 27619, 6377, 8360, 8961, 1197, 318, 356, 58559, 4993]",1
378,"[6377, 4886, 8360, 1197, 8961, 1265, 108932, 50872, 367, 103335]",1
451,"[6377, 27619, 134853, 1197, 318, 356, 3147, 4973]",1
462,"[3114, 1197, 8961, 318, 7361, 109374, 58559, 1682, 27619]",1
476,"[6377, 1197, 2005, 2161, 1198, 5103, 457, 1270, 2006, 2268]",1
492,"[27619, 318, 595, 356, 1197, 1682, 8961, 3147, 919, 109374]",1
525,"[27619, 1197, 318, 8961, 296, 58559, 109374, 48516, 1682, 593]",1
533,"[27619, 6377, 8360, 1197, 8961, 5618, 919, 4886, 595]",1
51,"[44, 76, 102, 168, 271, 724, 904, 2395, 2976]",1
116,"[1197, 7826, 7147, 1682, 318, 109374, 48780, 27619, 58559, 2005]",1
288,"[4124, 3060, 1641, 2146, 2161, 2163, 2932, 3040, 5021, 1103]",1
24,"[1197, 3104, 2716, 2005, 8874, 5103, 1270, 2124, 551, 799]",1
150,"[56587, 1784, 94070, 3450, 140110, 7149, 69406, 73015, 113275, 109374]",1
425,"[3450, 4, 356, 343, 795, 1126, 1147, 741]",1
480,"[21, 69, 237, 870, 70, 119, 122, 195, 1046]",1
521,"[109374, 97921, 7361, 68157, 6711, 69481, 86882, 8533, 2028, 1197]",1
559,"[3450, 43, 307, 493, 508, 531, 600, 613, 1197, 1028]",1
573,"[8, 19, 238, 1204, 1328, 1343, 3, 170401]",1
133,"[2156, 3554, 72737, 49286, 47099, 8533, 1477, 27619, 111921]",1
177,"[4, 63, 85, 101, 238, 766, 904, 933, 1777, 1876]",1
286,"[47099, 97921, 46578, 7361, 8533, 6942, 109374, 88163, 164909]",1
332,"[4, 63, 166, 4061, 3060, 1283, 445, 464, 1120]",1
381,"[39, 193, 918, 1922, 2066, 3328, 1129, 2290, 322]",1
