userId,itemIds,runNumber
78,"[6377, 1307, 8961, 246, 8360, 539, 27619, 1370, 34072]",4
82,"[3114, 2396, 54648, 457, 46578, 7147, 80463, 105355, 296, 4954]",4
121,"[6377, 4954, 27619, 837, 1246, 4886, 1197, 4995, 8360, 1259]",4
144,"[3114, 5103, 1197, 837, 2, 500, 2005, 27619]",4
186,"[3114, 17, 2396, 34072, 2571, 2671, 5772, 3671, 296, 135436]",4
232,"[78499, 17, 21, 116, 759, 1206, 886, 4368, 2297, 2298]",4
234,"[3114, 1198, 1197, 8961, 94777, 1270, 6377, 2716, 2005, 8360]",4
239,"[78499, 3, 17, 70, 293, 1171, 2722, 516, 1897]",4
283,"[6377, 8533, 2291, 1197, 27619, 111921, 7147, 134853, 7361]",4
322,"[3114, 72737, 69406, 8961, 4954, 4973, 46578, 1707, 1198, 6377]",4
323,"[27619, 318, 1307, 457, 527, 1197, 356, 296, 110, 1704]",4
372,"[3114, 27619, 1197, 6377, 8360, 8961, 4886, 588, 108932, 152081]",4
378,"[6377, 1197, 8360, 1265, 8961, 39, 500, 367, 50872]",4
451,"[6377, 27619, 1197, 134853, 318, 7147, 1682, 4973]",4
462,"[78499, 28, 64, 76, 82, 300, 356, 383, 775, 2529]",4
476,"[6377, 2161, 1370, 3671, 4995, 27619, 1197, 1270, 318]",4
492,"[27619, 527, 356, 318, 1197, 296, 1682, 109374, 2324, 164909]",4
525,"[78499, 5, 16, 110, 45728, 233, 332, 1252, 2333]",4
533,"[6377, 27619, 4886, 8360, 1197, 8961, 50872, 115617, 134853]",4
51,"[2, 44, 76, 102, 168, 239, 271, 904, 2395]",4
116,"[1197, 1246, 96488, 2005, 1225, 5103, 318, 1682, 457]",4
288,"[2, 100, 148, 344, 38038, 761, 1095, 3060, 6436, 2346]",4
24,"[3450, 3104, 8874, 2005, 141, 916, 1028, 4720, 1097, 1270]",4
150,"[56587, 1784, 94070, 7149, 140110, 5945, 69406, 113275, 7414, 129428]",4
425,"[3, 4, 356, 795, 343, 235, 349, 1147]",4
480,"[3, 21, 69, 237, 119, 70, 195, 94, 101]",4
521,"[56587, 4973, 109374, 2028, 6711, 46578, 5995, 68157, 94070]",4
559,"[3450, 531, 43, 307, 493, 508, 535, 600, 613, 1031]",4
573,"[3, 8, 170401, 238, 759, 1204, 2902, 1343]",4
133,"[1477, 27619, 2156, 78499, 3554, 48, 48150, 110781, 82167, 588]",4
177,"[4, 63, 85, 101, 233, 766, 904, 933, 1980, 2383]",4
286,"[47099, 97921, 46578, 7361, 6711, 4973, 104374, 8533, 88163]",4
332,"[4, 166, 189, 205, 224, 1043, 1120, 3174, 3060]",4
381,"[39, 193, 918, 2066, 1129, 2290, 3328, 1894, 2316]",4
387,"[4, 334, 383, 1095, 3296, 7307]",4
402,"[4069, 1485, 97921, 367, 500, 1197, 1265, 4246, 1784, 141]",4
404,"[1477, 165, 145, 1183, 837, 44759, 1393, 457, 261, 2]",4
453,"[4, 17, 63, 101, 208, 479, 372, 438, 867, 6338]",4
464,"[94070, 5103, 261, 1183, 39183, 7147, 1265, 1197, 318, 4973]",4
534,"[4, 36, 3063, 538, 1288, 1914]",4
588,"[1678, 150, 17, 1393, 1183, 141, 2268, 11, 16]",4
6,"[28, 510, 596, 544, 552, 580, 605, 674]",4
28,"[18, 21, 357, 466, 891, 766, 1279, 2301]",4
46,"[1013, 2858, 39, 1777, 46578, 1682, 231, 4979, 1641, 1784]",4
64,"[36, 173, 346, 437, 736, 775, 803, 2146]",4
103,"[5, 57, 198, 254, 482, 931, 1187, 1255, 3146]",4
160,"[5796, 318, 109374, 7361, 48516, 97921, 79132, 80463, 46578, 48780]",4
215,"[1197, 164909, 47099, 86833, 97921, 46578, 7361, 1258, 86882, 88810]",4
220,"[5, 102, 437, 1042, 784, 1055, 1910, 1013, 2429]",4
391,"[5, 62, 85, 104, 348, 378, 2395, 4912, 5168, 5170]",4
418,"[86833, 318, 164909, 97921, 109374, 7361, 1197, 858]",4
435,"[1197, 78499, 595, 500, 27619, 56152, 1035, 837, 8360, 2081]",4
437,"[1197, 2396, 97921, 69757, 46578, 6711, 7361, 1784]",4
555,"[5, 19, 63, 148, 215, 224, 195, 433, 1569, 1613]",4
562,"[1197, 97921, 46578, 69757, 7361, 6711, 109374, 164909, 86882]",4
587,"[934, 1197, 500, 8961, 4954, 1707, 3247, 1013, 54648, 155743]",4
313,"[318, 296, 858, 48516, 58559, 1213, 50, 1089, 16, 4776]",4
361,"[58559, 296, 7361, 176371, 1013, 79132, 46578, 1183, 48516, 4973]",4
362,"[58559, 27619, 6942, 1073, 46578, 7361, 2346, 5266, 1197, 79132]",4
438,"[38, 40, 60, 86, 94, 99, 102, 458, 783]",4
469,"[42, 126, 155, 191, 275, 277, 314, 335, 343]",4
45,"[8, 21, 69, 99, 234, 379, 1199, 1207, 1777]",4
202,"[1197, 78499, 356, 2005, 27619, 1265, 1097, 1035, 1270, 6377]",4
235,"[5103, 296, 50, 457, 1663, 555, 2268, 2, 318]",4
279,"[1197, 318, 7361, 109374, 7579, 58559, 4973, 48780, 8533, 79132]",4
368,"[8, 23, 71, 94, 122, 6548, 185, 356, 2491]",4
395,"[2005, 318, 1197, 500, 457, 1198, 1213, 2716, 2762]",4
494,"[2005, 2052, 5103, 4135, 531, 2, 7045, 2082, 60, 2124]",4
498,"[2005, 500, 1246, 1197, 837, 2918, 1704, 5103, 1265, 3255]",4
536,"[2005, 1370, 4954, 508, 1197, 2542, 2268, 1259, 457]",4
586,"[8, 85, 473, 479, 1084, 1367, 1370, 1372, 3104, 4027]",4
603,"[205, 300, 367, 1719, 2431, 5294, 2401, 6020]",4
608,"[4508, 41, 3070, 8, 76, 1517, 94777, 432, 743, 43]",4
