userId,itemIds,runNumber
78,"[27619, 8360, 1197, 8961, 2, 367, 2005, 5103, 837]",2
82,"[3114, 27619, 1197, 8961, 318, 296, 356, 2571, 58559, 2959]",2
121,"[6377, 8961, 4886, 8360, 27619, 1707, 500, 5103, 837, 3255]",2
144,"[27619, 5103, 1197, 837, 2, 500, 2082, 2005, 1707]",2
186,"[3114, 6377, 1197, 8533, 109374, 8961, 318, 356, 7826, 7361]",2
232,"[3114, 318, 296, 27619, 1682, 58559, 109374, 7361, 8961, 48516]",2
234,"[3114, 8961, 4886, 6377, 8360, 27619, 588, 1197, 108932, 152081]",2
239,"[27619, 356, 318, 296, 2571, 1682, 3147, 1704, 2762, 2959]",2
283,"[6377, 1197, 8360, 8533, 8961, 7147, 7826, 54259, 108932]",2
322,"[8360, 1197, 6377, 6942, 8961, 500, 27619, 367, 1013, 4886]",2
323,"[27619, 356, 318, 296, 1682, 1197, 3147, 1704, 2762, 2571]",2
372,"[3114, 27619, 588, 6377, 8360, 8961, 4886, 595, 2081]",2
378,"[6377, 8360, 8961, 4886, 1197, 50872, 108932, 152081, 134853]",2
451,"[6377, 27619, 134853, 1197, 8961, 318, 356, 3147, 2324]",2
462,"[78499, 28, 64, 76, 78, 82, 300, 356, 383, 429]",2
476,"[27619, 1197, 2, 457, 5103, 500, 367, 2268, 2082]",2
492,"[27619, 318, 356, 1197, 1682, 595, 3147, 109374, 1035, 2571]",2
525,"[27619, 1197, 356, 318, 296, 58559, 8961, 2571, 593, 109374]",2
533,"[27619, 6377, 8360, 8961, 595, 588, 4886, 2081, 50872]",2
51,"[2571, 480, 318, 58559, 79132, 27619, 296, 593, 1197, 2762]",2
116,"[367, 27619, 78499, 110, 150, 39, 16, 318]",2
288,"[2161, 1641, 2146, 4124, 3060, 2932, 2163, 3705, 5021, 6436]",2
24,"[3450, 32019, 296, 6659, 2005, 1197, 141, 1035, 4720, 1097]",2
150,"[56587, 94070, 7414, 140110, 3450, 7149, 69406, 113275, 129428, 109374]",2
425,"[3450, 4, 27, 343, 356, 795, 1126, 1147, 741]",2
480,"[3, 21, 69, 70, 237, 119, 195, 870, 5134]",2
521,"[94070, 8533, 109374, 318, 97921, 3147, 86882, 81845, 88810, 47099]",2
559,"[3450, 1183, 318, 356, 1197, 1704, 3147, 17, 27619, 1682]",2
573,"[3, 8, 19, 170401, 238, 759, 1204, 1343]",2
133,"[2156, 1477, 72737, 48150, 27619, 3554, 110781, 5664, 48, 1772]",2
177,"[4, 63, 85, 93, 101, 233, 238, 3063]",2
286,"[2739, 1477, 2762, 1197, 318, 7361, 1682, 8533, 50, 5995]",2
332,"[4, 63, 66, 166, 189, 205, 224, 1283, 3060, 3174]",2
381,"[39, 193, 322, 852, 918, 1129, 1296, 2066]",2
387,"[4, 17, 351, 45728, 334, 1095, 1103, 1191, 3499, 3550]",2
402,"[4069, 4246, 4447, 69406, 39, 2572, 88163, 45720, 6942]",2
404,"[1477, 457, 39, 2803, 1449, 3257, 185, 218, 1678, 350]",2
453,"[1477, 1197, 47099, 8533, 88810, 97921, 111921, 88163, 72641, 164909]",2
464,"[2739, 3844, 261, 5103, 1197, 3247, 2005, 1088, 531, 2082]",2
534,"[318, 7361, 1197, 1682, 109374, 46578, 96821, 88810, 97921, 86882]",2
588,"[830, 1393, 141, 2268, 39, 296, 367, 16, 11]",2
6,"[28, 510, 484, 176371, 544, 552, 580, 596, 605, 674]",2
28,"[296, 1732, 318, 1213, 1682, 48516, 109374, 79132, 1197]",2
46,"[934, 1777, 155743, 3948, 141, 3526, 4979, 46578, 109374, 1197]",2
64,"[36, 173, 346, 437, 466, 736, 780, 1104, 2146]",2
103,"[2184, 198, 57, 5, 254, 951, 482, 1255, 92192, 3506]",2
160,"[16, 198, 36, 39, 461, 479, 837, 369]",2
215,"[1013, 539, 318, 356, 39, 1682, 593, 2671, 457, 3147]",2
220,"[934, 1213, 858, 1197, 318, 296, 356, 1682, 27619, 58559]",2
391,"[1197, 318, 356, 27619, 1682, 1035, 58559, 109374, 8961, 47099]",2
418,"[1197, 46578, 109374, 97921, 164909, 45720, 86882, 141, 899, 4954]",2
435,"[1013, 837, 56152, 4700, 500, 595, 1035, 531, 2081, 919]",2
437,"[1013, 2424, 1183, 1393, 141, 357, 39, 551, 2291, 2124]",2
555,"[1682, 215, 5, 19, 63, 433, 1544, 1569, 1613]",2
562,"[1197, 4973, 7361, 46578, 86882, 6711, 109374, 94959, 89904, 1682]",2
