userId,itemIds,runNumber
78,"[8360, 1197, 8961, 79702, 108932, 2, 4232, 367, 2005]",4
82,"[8961, 27619, 1197, 1682, 318, 367, 457, 1265, 2762, 69122]",4
121,"[6377, 8360, 8961, 1707, 837, 500, 5103, 2355, 2, 27619]",4
144,"[6377, 5103, 1197, 2005, 837, 1259, 2082, 2420]",4
186,"[6377, 17, 2396, 1197, 2571, 2671, 1641, 3671, 296, 1682]",4
232,"[3114, 7361, 296, 318, 109374, 58559, 79132, 1682, 48780, 593]",4
234,"[6377, 500, 1707, 457, 8360, 8961, 4954, 1197, 27619]",4
239,"[8360, 1197, 8961, 6942, 94777, 109374, 6377, 86882, 112852, 7826]",4
283,"[6377, 1197, 8360, 8533, 7147, 8961, 2291, 4886, 7361, 2716]",4
322,"[8360, 1197, 500, 8961, 6942, 367, 2124, 1013, 94777, 837]",4
323,"[6377, 27619, 539, 457, 39, 318, 2762, 109374, 2028, 110]",4
372,"[3114, 27619, 8360, 1197, 8961, 318, 356, 1035, 6377, 1682]",4
378,"[6377, 8360, 1197, 4886, 1265, 8961, 367, 50872, 2124]",4
451,"[6377, 27619, 134853, 1197, 8961, 7147, 7826, 50872]",4
462,"[78499, 28, 64, 76, 78, 82, 300, 346, 356, 383]",4
476,"[4886, 531, 380, 111743, 2268, 8961, 2161, 457, 1197, 40412]",4
492,"[6377, 2739, 46578, 1197, 1246, 2161, 4973, 1682, 4308]",4
525,"[8961, 500, 1213, 27619, 296, 318, 1197, 48516, 109374, 1682]",4
533,"[6377, 4886, 27619, 8360, 8961, 50872, 134853, 152081, 81847]",4
51,"[2571, 457, 1197, 2762, 318, 58559, 1198, 593, 27619, 5418]",4
116,"[6158, 64620, 169982, 2396, 288, 7826, 91890, 555]",4
288,"[2, 100, 82, 148, 159, 94, 1095, 2161, 3060, 5021]",4
24,"[3450, 32019, 4128, 6158, 141, 920, 1028, 4720, 1097, 1270]",4
150,"[56587, 94070, 1784, 3450, 140110, 7149, 69406, 113275, 73015, 129428]",4
425,"[3450, 4, 27, 343, 356, 795, 1126, 1147, 741]",4
480,"[3450, 21, 69, 237, 119, 479, 1046, 1126, 2395]",4
521,"[3450, 1784, 94070, 56587, 2966, 109374, 1183, 2427, 318]",4
559,"[3450, 1183, 7826, 1704, 318, 46578, 1246, 4973, 109374, 1197]",4
573,"[3450, 8, 19, 170401, 238, 759, 1204, 1343]",4
133,"[2156, 3554, 72737, 2739, 110781, 1477, 27619, 998, 62553]",4
177,"[4, 63, 85, 93, 101, 178, 233, 238, 250]",4
286,"[1477, 86295, 1393, 724, 94, 2289, 2908, 708, 1183, 457]",4
332,"[1477, 69, 2571, 122, 296, 1682, 998, 27619, 2908, 1197]",4
381,"[39, 193, 322, 852, 1129, 2316, 3328, 2290]",4
387,"[4, 17, 351, 45728, 334, 1103, 1095, 3499, 3550]",4
402,"[1777, 39, 1393, 367, 1569, 1485, 708, 141, 339, 231]",4
404,"[2156, 165, 998, 2803, 1678, 3257, 457, 62553, 44759]",4
453,"[1477, 2156, 47099, 62553, 88810, 1197, 8533, 2739, 164753, 1678]",4
464,"[2156, 5103, 261, 2908, 1639, 3868, 1197, 1682, 4614]",4
534,"[2739, 3844, 1197, 46578, 88810, 3072, 318, 8533, 7361, 47099]",4
588,"[830, 1393, 1120, 1485, 1729, 1784, 1912, 1682, 1732, 2692]",4
6,"[5, 11, 28, 292, 312, 466, 486, 510]",4
28,"[2321, 357, 21, 2351, 2301, 1279, 2307]",4
46,"[934, 155743, 1777, 3526, 1678, 69122, 86833, 94070, 2694, 41573]",4
64,"[36, 173, 346, 437, 466, 736, 780, 1104, 2146]",4
103,"[934, 1707, 4023, 49286, 1197, 69406, 500, 1777, 155743, 3948]",4
160,"[1213, 2858, 296, 1682, 318, 7361, 48516, 109374, 79132, 45720]",4
215,"[1013, 4308, 539, 1197, 6942, 318, 4246, 8533, 45720, 2762]",4
220,"[934, 5449, 784, 1042, 1013, 2082, 6378, 4954, 4700]",4
391,"[272, 316, 479, 2395, 4912, 5, 62, 85, 1031]",4
418,"[1197, 4973, 45720, 81591, 5991, 109374, 4308, 4954, 164909, 66798]",4
435,"[1013, 837, 56152, 4700, 1028, 595, 1035, 531, 2081, 7247]",4
437,"[357, 515, 141, 1183, 551, 457, 1265, 39, 2291]",4
555,"[934, 1569, 7149, 1682, 8638, 6711, 7826, 109374, 86882, 46578]",4
562,"[5, 77, 168, 179, 233, 322, 720, 2211, 5168]",4
587,"[500, 367, 2, 1707, 94777, 1013, 837, 344, 2124, 673]",4
313,"[48516, 318, 296, 858, 58559, 2959, 50, 1213, 1089]",4
361,"[296, 1912, 555, 457, 7361, 4979, 176371, 1197, 6711, 109374]",4
362,"[58559, 1197, 79132, 1035, 318, 7361, 1682, 48780, 4973, 2762]",4
438,"[783, 1031, 38, 86, 94, 458, 775, 1200, 40]",4
469,"[343, 1031, 1650, 1170, 4844, 2401]",4
45,"[2005, 5103, 1197, 2124, 837, 1682, 367, 2, 1707]",4
202,"[5103, 837, 1682, 1197, 318, 1265, 1013, 457, 7826, 2005]",4
235,"[5103, 1912, 2890, 457, 101, 7007, 2427, 2391, 1732]",4
