userId,itemIds,runNumber
78,"[7361, 4973, 48394, 109374, 5618, 27773, 1682, 7826, 94959, 59387]",1
82,"[7361, 4973, 48394, 27773, 109374, 94959, 59387, 7826, 133771, 57669]",1
121,"[7361, 4973, 48394, 109374, 5618, 27773, 44555, 71033, 92259, 96829]",1
144,"[7361, 4973, 48394, 109374, 5618, 27773, 44555, 71033, 92259, 96829]",1
186,"[109374, 4973, 7361, 48394, 5618, 27773, 44555, 92259, 6016, 71033]",1
232,"[7361, 4973, 48394, 109374, 94959, 44555, 59387, 27773, 71033, 61240]",1
234,"[7361, 4973, 48394, 109374, 5618, 27773, 44555, 71033, 61240, 92259]",1
239,"[7361, 4973, 48394, 109374, 27773, 44555, 71033, 92259, 6016, 96829]",1
283,"[7361, 48394, 4973, 109374, 5618, 27773, 1682, 7826, 94959, 1197]",1
322,"[7361, 4973, 48394, 109374, 5618, 27773, 44555, 92259, 6016, 71033]",1
323,"[7361, 4973, 109374, 48394, 79132, 48780, 7826, 94959, 1682, 59387]",1
372,"[7361, 4973, 48394, 109374, 5618, 27773, 44555, 71033, 61240, 92259]",1
378,"[7361, 48394, 109374, 4973, 5618, 1682, 48780, 7826, 94959, 79132]",1
451,"[318, 7361, 5618, 27773, 4973, 48394, 109374, 44555, 71033, 92259]",1
462,"[109374, 4973, 7361, 48394, 48780, 27773, 7826, 94959, 59387, 92259]",1
476,"[5618, 4973, 27773, 48394, 7361, 109374, 44555, 59387, 61240, 71033]",1
492,"[318, 7361, 48394, 4973, 27773, 109374, 5618, 44555, 79132, 92259]",1
525,"[7361, 4973, 48394, 109374, 79132, 318, 48780, 7826, 1682]",1
533,"[7361, 48394, 109374, 5618, 27773, 4973, 48780, 71033, 44555, 1197]",1
51,"[59387, 4973, 7361, 48394, 27773, 109374, 44555, 71033, 61240, 92259]",1
116,"[7361, 48394, 109374, 94959, 59387, 112552, 7826, 133771]",1
288,"[7361, 48394, 109374, 94959, 4973, 27773, 44555, 71033, 92259, 96829]",1
24,"[7361, 4973, 27773, 48394, 109374, 94959, 44555, 71033, 61240, 59387]",1
150,"[7361, 109374, 1197, 6711, 94959, 46578, 92259, 86882]",1
425,"[7361, 4973, 48394, 109374, 94959, 44555, 27773, 61240, 71033, 6016]",1
480,"[7361, 4973, 109374, 94959, 7826, 46578, 1682, 57669, 1197, 59387]",1
521,"[4973, 7361, 109374, 48394, 27773, 44555, 59387, 6016, 71033, 89759]",1
559,"[4973, 7361, 27773, 109374, 48394, 44555, 94959, 61240, 59387, 71033]",1
573,"[7361, 48394, 109374, 162414, 5618, 27773, 44555, 59387, 6016, 71033]",1
133,"[7361, 27773, 4973, 48394, 109374, 162414, 44555, 71033, 92259, 89759]",1
177,"[7361, 4973, 48394, 27773, 109374, 162414, 44555, 71033, 59387, 6016]",1
286,"[7361, 4973, 27773, 48394, 44555, 109374, 162414, 133771, 158783, 89759]",1
332,"[7361, 4973, 48394, 27773, 109374, 94959, 44555, 59387, 71033, 92259]",1
381,"[27773, 4973, 109374, 7361, 48394, 44555, 92259, 96829, 71033, 59387]",1
387,"[7361, 4973, 48394, 109374, 162414, 44555, 92259, 27773, 71033, 6016]",1
402,"[7361, 4973, 27773, 109374, 48394, 162414, 44555, 133771, 59387, 71033]",1
404,"[7361, 4973, 27773, 48394, 109374, 162414, 44555, 59387, 92259, 6016]",1
453,"[7361, 4973, 48394, 109374, 94959, 7826, 59387, 92259, 180031, 46578]",1
464,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 318]",1
534,"[7361, 48394, 109374, 94959, 44555, 4973, 27773, 71033, 61240, 92259]",1
588,"[7361, 27773, 4973, 109374, 48394, 44555, 162414, 71033, 92259, 6016]",1
