userId,itemIds,runNumber
78,"[8961, 2572, 2153, 1370, 8464, 6377, 1307, 58559, 93721]",2
82,"[6377, 110, 2502, 2571, 46578, 7147, 454, 105355, 296, 1265]",2
121,"[6377, 8961, 4954, 54648, 2137, 1246, 5103, 1704, 4886]",2
144,"[27619, 5103, 1197, 318, 1682, 1198, 1732, 1259, 1097, 48516]",2
186,"[78499, 28, 172, 195, 334, 1682, 2751, 5501]",2
232,"[78499, 17, 21, 36, 116, 235, 741, 1645, 1262, 2297]",2
234,"[3114, 500, 66798, 457, 1517, 3751, 1912, 904, 148888]",2
239,"[78499, 3, 17, 293, 1876, 1897, 3146, 41, 516]",2
283,"[6377, 8533, 2291, 8961, 7361, 7147, 4886, 4973, 1197]",2
322,"[8360, 3554, 5103, 296, 4973, 46578, 79592, 1197, 7361]",2
323,"[27619, 318, 1307, 457, 527, 1197, 6377, 2268, 86882]",2
372,"[78499, 41, 63, 329, 461, 1028, 1030, 3006]",2
378,"[8961, 8360, 1197, 152081, 1265, 4886, 367, 50872, 39, 3868]",2
451,"[6377, 27619, 318, 356, 1197, 1682, 4973, 7361, 7147]",2
462,"[78499, 28, 356, 300, 1028, 1202, 1347, 2529, 7394]",2
476,"[6377, 50601, 1370, 3671, 2268, 27619, 48394, 4995]",2
492,"[27619, 527, 46578, 1197, 112290, 80463, 7361, 4973, 318, 96488]",2
525,"[78499, 110, 16, 45728, 337, 741, 1370, 1252, 3072, 2333]",2
533,"[27619, 134853, 164909, 89904, 108932, 81591, 5991, 6377, 4308]",2
51,"[1198, 48516, 1197, 1682, 724, 2395, 1258, 3996, 4308, 2028]",2
116,"[1197, 80463, 1225, 77455, 2153, 4995, 7826, 81845, 96488]",2
288,"[2, 20, 53, 76, 82, 94, 100, 159, 1095, 1641]",2
24,"[109374, 4954, 71535, 1197, 2005, 46578, 1258, 1097, 1270, 899]",2
150,"[69406, 1307, 97921, 49286, 88163, 4246, 2572, 6942, 2671, 69406]",2
425,"[56587, 318, 5103, 480, 46578, 457, 27619, 1704, 1918, 1197]",2
480,"[3, 11, 21, 94, 101, 195, 6158, 2395]",2
521,"[56587, 4973, 318, 6711, 109374, 5995, 46578, 94070, 1183]",2
559,"[109374, 1183, 4973, 6796, 36, 50601, 3160, 296, 7579, 1028]",2
573,"[3, 170401, 1204, 2902, 1328, 238, 1066, 1816, 1920, 410]",2
133,"[3554, 27619, 8533, 78499, 2739, 6377, 97921, 2156, 112175]",2
177,"[4, 85, 101, 464, 904, 910, 933, 1283]",2
286,"[2739, 2762, 356, 4973, 7147, 296, 527, 46578, 7361, 318]",2
332,"[4, 63, 66, 108, 166, 205, 224, 38038, 1283, 3174]",2
381,"[4, 16, 23, 39, 322, 918, 1129, 2316, 3328]",2
387,"[4, 17, 170, 1095, 1103, 6620]",2
402,"[47099, 367, 97921, 500, 1777, 1485, 3554, 141, 1197, 1265]",2
404,"[47099, 1370, 4954, 1183, 837, 904, 3554, 6378, 39183, 50601]",2
453,"[4, 17, 27, 60, 100, 101, 104, 111, 1017, 372]",2
464,"[2739, 5103, 17, 55052, 1611, 2716, 7482, 1197]",2
534,"[4, 36, 5378, 538, 1226, 1288, 1945, 2012]",2
588,"[47099, 80463, 86833, 367, 296, 3554, 48516, 1393, 1732, 4954]",2
6,"[5, 11, 292, 176371, 595, 599, 605, 610, 661, 674]",2
28,"[5, 16, 18, 21, 76, 904, 94777, 1227, 2321, 2313]",2
46,"[1013, 91077, 54503, 46578, 2858, 86833, 4979, 6711, 441, 3526]",2
64,"[5, 28, 36, 261, 736, 780, 837, 1203, 3196]",2
103,"[5, 23, 46, 69, 198, 266, 931, 951, 1187, 1475]",2
160,"[5, 16, 39, 36, 198, 837, 1409, 2447]",2
215,"[1197, 6711, 318, 97921, 1682, 7361, 3147, 2858, 2762]",2
220,"[1197, 1213, 318, 1732, 296, 27619, 1682, 48516, 356, 58559]",2
391,"[934, 27619, 4954, 2396, 1246, 17, 1265, 34072, 272, 1197]",2
418,"[1197, 1203, 81591, 899, 7055, 6663, 3584, 6711, 164909]",2
435,"[1197, 27619, 56152, 500, 1032, 595, 7147, 1035, 551, 2125]",2
437,"[1013, 7579, 46578, 4973, 3897, 1197, 8874, 86882]",2
555,"[5, 215, 224, 1682, 1544, 1573, 1619, 1682, 1875]",2
562,"[1197, 1192, 7361, 899, 81591, 109374, 44555, 6711, 176371]",2
587,"[500, 367, 2, 4954, 1663, 3072, 457, 54648, 38061, 46578]",2
313,"[48516, 527, 4973, 7361, 86882, 2028, 457, 5995, 508, 2571]",2
361,"[48516, 296, 7361, 50, 176371, 555, 6711, 79132, 97921, 109374]",2
362,"[58559, 27619, 6942, 4973, 7361, 2346, 904, 79132, 899, 318]",2
438,"[38, 40, 60, 86, 94, 172, 193, 1200]",2
469,"[42, 126, 1682, 2081, 2403, 4844, 2921]",2
45,"[8, 18, 21, 27, 41, 69, 588, 1199, 1207]",2
202,"[1197, 5103, 318, 356, 1265, 1682, 457, 1307, 2762, 1198]",2
235,"[1259, 296, 4226, 61132, 38061, 2268, 5103, 1912, 50, 2890]",2
279,"[1197, 8533, 2028, 318, 99114, 78499, 164909, 109374, 904, 1704]",2
368,"[2005, 837, 380, 3481, 2762, 54648, 1682, 46578]",2
395,"[1259, 6787, 457, 1197, 500, 1321, 318, 2005, 3006, 2124]",2
494,"[2005, 4135, 5103, 7045, 2052, 2, 531, 2124, 2082]",2
498,"[5103, 367, 1246, 2005, 500, 2268, 1259, 2918, 1704, 1197]",2
536,"[2005, 1198, 296, 1246, 1197, 5103, 1370, 2542, 1704, 90746]",2
586,"[2005, 17, 1663, 951, 7247, 1304, 1015, 457]",2
603,"[16, 29, 316, 1095, 1103, 2076, 61246, 5294, 6020, 4092]",2
608,"[8, 41, 53, 76, 539, 736, 1517, 94777, 2692, 4508]",2
