userId,itemIds,runNumber
78,"[2761, 4973, 59387, 94959, 74553, 318, 77455, 6773, 61240]",2
82,"[59387, 4973, 7826, 6867, 48082, 87234, 8933, 95088, 133771]",2
121,"[2761, 74553, 59387, 117444, 6773, 5015, 47610, 7826]",2
144,"[2761, 314, 6385, 59387, 94959, 4973, 46578, 109374, 6867, 4979]",2
186,"[74553, 4144, 59387, 4973, 6773, 44555, 6867, 92259]",2
232,"[59387, 4973, 7361, 44555, 71033, 92259, 27773]",2
234,"[2761, 59387, 4973, 74553, 6773, 6867, 44555, 48082]",2
239,"[4973, 59387, 57669, 71033, 44555, 6773, 61240, 92259, 96829]",2
283,"[59387, 4973, 74553, 7361, 48394, 94959, 7147, 1197, 46578, 2761]",2
322,"[2761, 4973, 46578, 94959, 59387, 74553, 57669, 109374, 152970, 6773]",2
323,"[74553, 59387, 4973, 44555, 6773, 6867, 89759, 8933, 71033]",2
372,"[2761, 74553, 4973, 59387, 6773, 44555, 6867, 89759, 71033]",2
378,"[2761, 4973, 46578, 6773, 94959, 59387, 109374, 72226, 46976, 7826]",2
451,"[74553, 59387, 117444, 55814, 4973, 48394, 6773, 89759, 44555, 160848]",2
462,"[59387, 4973, 6867, 57669, 71033, 44555, 6773, 92259]",2
476,"[2761, 74553, 59387, 6773, 29, 7826, 6867, 4973, 5015]",2
492,"[74553, 59387, 89759, 4973, 6773, 44555, 48082, 96829, 109374]",2
525,"[59387, 57669, 71033, 44555, 6773, 96829, 6867, 4973, 61240, 92259]",2
533,"[6773, 4973, 59387, 55442, 94959, 74553, 7361, 48394, 109374, 66097]",2
51,"[59387, 71033, 44555, 61240, 96829, 55908, 6773, 73808]",2
116,"[59387, 314, 1719, 3863, 247, 48082, 6867, 33903, 6773]",2
288,"[53, 159, 1175, 1719, 3060, 4235, 5075, 6376, 6442]",2
24,"[6867, 59387, 95088, 7826, 109374, 133771, 152970, 159415, 158238]",2
150,"[1238, 6867, 1188, 46578, 86882, 57669]",2
425,"[1238, 1211, 6867, 4144, 59387, 71033, 44555, 7361]",2
480,"[176, 1594, 6867, 2599, 59387, 71033, 6773, 44555, 48082, 55908]",2
521,"[1238, 6867, 59387, 4144, 44555, 71033, 89759, 96829, 6773, 44555]",2
559,"[1719, 4144, 59387, 71033, 44555, 4973, 6773, 2360, 89759]",2
573,"[1238, 2966, 59387, 6867, 57669, 71033, 44555, 6773, 96829, 8933]",2
133,"[59387, 4973, 71033, 44555, 6773, 89759, 61240, 96829, 92259]",2
177,"[59387, 7361, 71033, 44555, 6773, 133771, 96829, 109374]",2
286,"[1594, 1719, 2318, 59387, 6867, 71033, 44555, 48082, 6773, 2360]",2
332,"[1660, 1914, 59387, 4144, 71033, 6773, 44555, 89759, 6016]",2
381,"[4144, 59387, 71033, 44555, 6773, 89759, 96829, 92259, 44555]",2
387,"[4144, 5073, 4074, 1046, 334, 1425, 7266, 7305, 7366]",2
402,"[4144, 4973, 59387, 7361, 71033, 87234, 44555, 133771, 158783]",2
404,"[1660, 1719, 59387, 4144, 71033, 44555, 6773, 27815, 2360, 314]",2
453,"[94959, 46578, 59387, 6385, 7826, 6867, 57669, 48082, 109374]",2
464,"[1660, 314, 94959, 59387, 4144, 6867, 1211, 6773, 44555]",2
534,"[4144, 59387, 7361, 71033, 44555, 6773, 133771, 89759, 61240]",2
588,"[1660, 1719, 1594, 1834, 1916, 2360, 2912, 3328, 4378, 4881]",2
6,"[6867, 4144, 7361, 59387, 44555, 71033, 6773, 96829]",2
28,"[57669, 38061, 59387, 6867, 71033, 44555, 55908, 6773, 73808, 8933]",2
46,"[6867, 4144, 2599, 59387, 6773, 6711, 71033, 44555]",2
64,"[1719, 531, 247, 2686, 59387, 6867, 4144]",2
103,"[176, 1719, 1594, 6867, 59387, 71033, 44555, 6773, 2360, 48082]",2
160,"[1594, 1719, 1834, 6867, 59387, 96829, 104944, 133771]",2
215,"[1594, 1719, 2318, 6867, 2599, 59387, 71033, 44555, 48082]",2
220,"[176, 1834, 2912, 6867, 57669, 59387, 71033, 55908, 44555]",2
391,"[6867, 4144, 7361, 59387, 71033, 44555, 6773, 92259]",2
418,"[6867, 4144, 59387, 7361, 44555, 6773, 71033, 133771, 94959]",2
435,"[4973, 59387, 94959, 7826, 46578, 109374, 7361, 7147, 1197, 6773]",2
437,"[176, 1719, 6867, 4144, 2318, 59387, 71033, 48082, 6773, 2360]",2
555,"[30, 215, 314, 495, 1454, 5121, 6603, 1875, 7085]",2
562,"[4144, 59387, 7361, 44555, 6773, 71033, 89759, 133771]",2
587,"[46578, 94959, 6867, 4973, 55280, 59387, 95088, 109374, 7826, 46976]",2
313,"[71033, 44555, 59387, 27815, 96829, 44555, 58303, 55814, 74553]",2
361,"[2391, 57669, 59387, 71033, 6867, 44555, 48082, 73808]",2
362,"[59387, 57669, 71033, 44555, 4973, 6867, 6773, 27815]",2
438,"[2391, 59387, 71033, 39381, 44555, 96829, 8933, 73808, 55908, 74553]",2
469,"[73344, 59387, 71033, 86892, 44555, 73808, 96829, 318, 89118, 71033]",2
45,"[59387, 74553, 57669, 44555, 6773, 55908, 8933, 96829, 6867]",2
202,"[59387, 6867, 55280, 57669, 7826, 102993, 95088, 59387, 109374]",2
235,"[59387, 6867, 314, 1834, 144, 1719, 55908, 2912, 39381]",2
279,"[314, 59387, 6867, 4144, 4973, 44555, 6773, 96829, 61240, 55814]",2
368,"[59387, 7826, 6867, 44555, 6773, 8933, 92259, 96829, 55908]",2
395,"[314, 1719, 2912, 247, 59387, 6867, 39381, 34523, 48082]",2
494,"[59387, 74553, 56339, 117444, 61240, 29, 4902, 83132, 112515, 90746]",2
498,"[314, 59387, 6867, 1719, 6385, 6773, 44555, 71033, 4973, 2360]",2
536,"[59387, 314, 2912, 6867, 1719, 39381, 8933, 48082, 33903, 6773]",2
586,"[314, 247, 59387, 6867, 6773, 44555, 4973, 48082, 8933]",2
603,"[183, 549, 2076, 3224, 5294, 4092]",2
608,"[53, 418, 324, 984, 1484, 2896, 4129, 4508]",2
140,"[59387, 71033, 44555, 6867, 6773, 96829, 92259, 4973, 27773]",2
264,"[59387, 88235, 6867, 57669, 44555, 71033, 55908, 8933, 73808]",2
1,"[71033, 59387, 44555, 73808, 96829, 55908, 58303, 33903, 74553, 44555]",2
294,"[71033, 59387, 44555, 6773, 96829, 27815, 44555, 74553, 92259, 55814]",2
606,"[59387, 71033, 44555, 96829, 92259, 86781, 89759, 58303, 73808]",2
42,"[2599, 6867, 57669, 59387, 44555, 71033, 6773, 55908, 96829]",2
256,"[125, 951, 7826, 55363, 4641, 59387]",2
590,[],2
217,"[59387, 38061, 57669, 6867, 71033, 44555, 8933, 96829, 6773]",2
353,"[5893, 407, 1719, 1748, 1834, 188, 2912, 29, 2686]",2
365,"[57669, 59387, 7361, 71033, 44555, 6773, 73808, 89759, 61240]",2
373,"[1175, 59387, 4467, 48082, 1748, 6773, 1079, 314, 2968, 3070]",2
380,"[57669, 59387, 6867, 71033, 44555, 6773, 61240, 8933, 96829]",2
