userId,itemIds,runNumber
78,"[8360, 2572, 8961, 2005, 1370, 93721, 4886, 4246, 1198]",3
82,"[8961, 110, 2502, 2571, 7147, 80463, 105355, 296, 71535, 1258]",3
121,"[6377, 8961, 4954, 837, 1246, 50872, 5103, 1704, 1197, 7147]",3
144,"[1197, 2005, 5103, 837, 7826, 50601, 500, 2420, 6377]",3
186,"[3114, 17, 2396, 1197, 7361, 4973, 109374, 86882, 1682, 7826]",3
232,"[78499, 17, 21, 36, 116, 235, 741, 1206, 1645, 2297]",3
234,"[1198, 1197, 8961, 380, 2406, 94777, 6378, 3104, 2006, 51255]",3
239,"[78499, 3, 17, 23, 41, 70, 293, 1876]",3
283,"[6377, 8533, 2291, 4886, 111921, 7147, 134853, 5066, 2716]",3
322,"[3114, 4700, 1013, 4954, 4246, 2, 500, 367, 837, 54648]",3
323,"[8961, 2268, 8784, 2803, 527, 1197, 6377, 457]",3
372,"[3114, 27619, 8360, 6377, 1197, 109374, 8961, 356, 7826]",3
378,"[4886, 1197, 2791, 8360, 8961, 1265, 1517, 6377, 39, 8641]",3
451,"[6377, 1197, 27619, 7147, 4973, 7826, 86882, 109374]",3
462,"[78499, 28, 356, 300, 82, 1028, 1202, 1347, 2529]",3
476,"[6377, 50601, 1198, 3671, 2268, 27619, 48394, 1370, 318]",3
492,"[1197, 318, 46578, 48394, 7826, 4973, 97938, 7361, 5618, 109374]",3
525,"[78499, 5, 16, 110, 45728, 337, 741, 1370, 1252, 3072]",3
533,"[4886, 8961, 134853, 6377, 108932, 152081, 8360, 1197, 115617]",3
51,"[2, 176371, 904, 2395, 724, 1047, 1177, 1870, 2924]",3
116,"[1197, 64620, 1225, 77455, 2005, 4995, 531, 37741, 96488]",3
288,"[2, 20, 53, 76, 82, 83, 87, 94, 100, 661]",3
24,"[86882, 4954, 71535, 1197, 2005, 46578, 2617, 1270, 97921, 109374]",3
150,"[56587, 94070, 1784, 140110, 7149, 113275, 129428, 73015, 109374, 5945]",3
425,"[3, 4, 356, 235, 349, 423, 782, 886, 1147]",3
480,"[3, 11, 94, 101, 195, 237, 708, 1043, 1046, 2395]",3
521,"[94070, 4973, 109374, 6711, 8533, 5995, 2028, 113275, 4995]",3
559,"[3450, 531, 508, 493, 308, 535, 613, 600, 1031, 43]",3
573,"[3, 170401, 238, 6158, 1204, 2902, 1343, 1816, 1840, 410]",3
133,"[94070, 72737, 3844, 6377, 3554, 78499, 88810, 27619]",3
177,"[4, 63, 85, 101, 178, 233, 238, 1137, 1794]",3
286,"[830, 1342, 7147, 1042, 1485, 1179, 2324, 1678, 799, 50]",3
332,"[4, 224, 166, 205, 1120, 1043, 1283, 3174, 3060]",3
381,"[4, 16, 23, 39, 100, 155, 322, 2316, 3328]",3
387,"[4, 17, 170, 1095, 1103, 4144, 6620]",3
402,"[2156, 367, 215, 141, 1477, 231, 708, 1517, 3554, 39]",3
404,"[1477, 165, 145, 1094, 837, 44759, 6378, 531]",3
453,"[4, 17, 27, 60, 101, 104, 372, 1017, 6338]",3
464,"[94070, 5103, 1259, 39183, 3868, 1265, 7482, 46578]",3
534,"[4, 36, 180, 5378, 538, 1226, 1288, 1945]",3
588,"[830, 231, 1912, 1678, 3006, 39, 296, 2908, 457]",3
6,"[5, 11, 28, 292, 312, 176371, 552, 595, 661, 674]",3
