userId,itemIds,runNumber
78,"[8360, 1197, 8961, 79702, 108932, 112852, 152081, 367, 2005, 115617]",1
82,"[3114, 27619, 8360, 1197, 8961, 69122, 58559, 7361, 296, 1682]",1
121,"[8360, 8961, 6377, 1707, 27619, 500, 1197, 2, 837]",1
144,"[8961, 5103, 1197, 2005, 837, 2, 500, 2420]",1
186,"[3114, 17, 2396, 1197, 1682, 7361, 109374, 4973, 7147, 86882]",1
232,"[78499, 17, 21, 36, 235, 532, 741, 1206, 1645, 2297]",1
234,"[3114, 500, 1707, 457, 8961, 4954, 376, 367, 8360]",1
239,"[3114, 141, 1682, 367, 94777, 1197, 457, 27619, 318, 296]",1
283,"[4886, 1197, 6377, 8533, 2291, 8360, 27619, 7361, 551]",1
322,"[8360, 500, 1197, 8961, 6942, 5103, 367, 50872, 1013, 2005]",1
323,"[27619, 318, 356, 296, 1682, 1197, 1704, 3147, 2762, 2571]",1
372,"[3114, 27619, 588, 8360, 1197, 8961, 367, 500, 1220, 1682]",1
378,"[8360, 8961, 6377, 4886, 1197, 108932, 103335, 50872, 152081]",1
451,"[6377, 134853, 27619, 1197, 318, 356, 3147, 2324, 4973]",1
462,"[1197, 1682, 7361, 109374, 4973, 318, 8961, 7826, 46578, 48780]",1
476,"[6377, 531, 457, 3671, 2268, 2762, 1197, 3147, 2006, 4326]",1
492,"[6377, 318, 2324, 1197, 27619, 109374, 1682, 164909, 4993, 4973]",1
525,"[78499, 5, 110, 45728, 337, 432, 741, 1370, 1252, 3072]",1
533,"[6377, 4886, 8961, 8360, 27619, 50872, 134853, 152081]",1
51,"[179401, 58559, 1681, 2762, 1197, 724, 457, 176371, 904, 2395]",1
116,"[1197, 1682, 531, 318, 5103, 457, 27619, 367, 2761]",1
288,"[2, 20, 76, 87, 94, 95, 100, 628, 1095, 1641]",1
24,"[56587, 86882, 4954, 1197, 2005, 109374, 2124, 7826, 2762, 1270]",1
150,"[56587, 94070, 1784, 140110, 7149, 113275, 109374, 69406, 73015, 129428]",1
425,"[3450, 4, 356, 235, 349, 343, 423, 605, 1126, 33493]",1
480,"[3450, 11, 21, 69, 94, 101, 195, 708, 799, 2395]",1
521,"[94070, 8533, 109374, 1183, 46578, 56587, 105, 81845, 113275, 5995]",1
559,"[3450, 1183, 1641, 1704, 7826, 46578, 318, 4973, 1197, 7361]",1
