userId,itemIds,runNumber
78,"[8360, 1197, 8961, 79702, 108932, 112852, 152081, 104241, 97913, 367]",5
82,"[4886, 110, 441, 457, 7361, 296, 1682, 2762, 1732, 318]",5
121,"[6377, 8961, 4886, 8360, 50872, 152081, 108932, 103335, 134853]",5
144,"[8961, 5103, 1197, 2005, 837, 2, 500, 2420]",5
186,"[6377, 17, 2396, 1197, 2571, 3844, 1246, 368, 296, 1682]",5
232,"[78499, 17, 21, 36, 116, 235, 741, 1206, 1645, 2297]",5
234,"[8360, 500, 6378, 457, 8961, 4954, 135436, 1262, 2761]",5
239,"[4886, 155743, 80463, 7579, 5418, 2396, 94777, 367, 54648, 8961]",5
283,"[4886, 6377, 8961, 8360, 56152, 1197, 54259, 7147, 7361, 2716]",5
322,"[8360, 1477, 5103, 296, 4246, 500, 54648, 837, 39, 367]",5
323,"[8961, 61246, 3481, 2268, 527, 110, 1197, 318, 940]",5
372,"[8360, 27619, 1197, 8961, 1682, 6863, 1246, 3554, 899, 5989]",5
378,"[4886, 8360, 8961, 6377, 1197, 1265, 367, 2791]",5
451,"[6377, 134853, 27619, 1197, 7826, 7147, 318, 2324, 4973]",5
462,"[8961, 17, 2424, 2762, 296, 46578, 1197, 318, 109374, 7361]",5
476,"[4886, 531, 380, 368, 2268, 2761, 1197, 4326, 5103, 457]",5
492,"[6377, 2739, 89759, 46578, 2161, 31225, 3911, 67665, 1097, 56757]",5
525,"[8360, 3948, 1213, 3578, 2502, 2762, 1197, 296, 48516, 109374]",5
533,"[4886, 8961, 134853, 8360, 6377, 50872, 27619, 110781, 5991, 81591]",5
51,"[179401, 58559, 1681, 2571, 86295, 1197, 2617, 724, 457, 176371]",5
116,"[64620, 2396, 1856, 5460, 6883, 288, 2161, 6787, 3863]",5
288,"[2, 20, 53, 76, 82, 83, 87, 94, 95, 100]",5
24,"[3450, 32019, 71535, 6158, 141, 42015, 1028, 4720, 1097, 1270]",5
150,"[56587, 94070, 1784, 140110, 7149, 113275, 69406, 73015, 129428, 3450]",5
425,"[3450, 3844, 6787, 1259, 480, 235, 457, 5103, 3256, 7147]",5
480,"[3450, 11, 21, 69, 94, 101, 122, 195, 708, 1126]",5
521,"[1784, 318, 2028, 109374, 4973, 5995, 46578, 55052, 6711]",5
559,"[3450, 1183, 531, 318, 261, 109374, 2739, 1197, 1246, 4014]",5
573,"[3450, 3006, 344, 2384, 3450, 4720, 1015, 1225, 6158]",5
133,"[2156, 3554, 72737, 1678, 62553, 27619, 2739, 8533, 110781, 3844]",5
177,"[4, 63, 85, 93, 101, 178, 233, 238, 250]",5
286,"[94070, 4720, 7147, 46578, 3217, 4973, 1179, 1183, 4979, 30749]",5
332,"[1477, 69, 185, 1192, 296, 3108, 1441, 1517, 457, 551]",5
381,"[4, 23, 39, 100, 1129, 1296, 3328]",5
387,"[4, 17, 170, 1095, 1103, 4144, 6620]",5
402,"[2156, 367, 122, 1777, 39, 1485, 1477, 231, 1393, 141]",5
404,"[2156, 165, 998, 1094, 1678, 44759, 1449, 2803, 531, 3274]",5
453,"[3554, 1678, 4700, 62553, 5103, 47099, 88810, 6218, 46578, 72641]",5
464,"[2156, 5103, 261, 1183, 2908, 141, 1197, 2739, 2412, 2420]",5
534,"[4, 36, 180, 5378, 538, 1081, 1945]",5
588,"[830, 3006, 1485, 1912, 2803, 1393, 367, 2268, 122, 296]",5
6,"[155743, 11, 69406, 8529, 80463, 3006, 89470, 1197, 2761]",5
28,"[4954, 109374, 296, 69122, 79132, 1732, 8874, 97921, 48516, 71535]",5
46,"[1013, 3526, 155743, 1777, 141, 4979, 3948, 94070, 69122, 86833]",5
64,"[934, 17, 296, 318, 2424, 1197, 27619, 1246, 457, 46578]",5
103,"[934, 1707, 1197, 49286, 7826, 109374, 86882, 46578, 1682]",5
160,"[934, 1213, 2268, 4447, 1682, 5989, 7451, 318, 2599, 45720]",5
215,"[4069, 81591, 8638, 5804, 1517, 3176, 708, 3147, 3535, 7361]",5
220,"[3948, 64620, 1213, 80906, 784, 2124, 48516, 1013, 2366, 4954]",5
391,"[934, 500, 1197, 141, 1246, 2396, 46578, 1641, 899]",5
418,"[4069, 1192, 628, 81591, 5991, 7055, 6663, 7178, 2971]",5
435,"[1013, 837, 56152, 4700, 1028, 1035, 595, 531, 2081, 7247]",5
437,"[934, 2424, 1641, 2396, 357, 1183, 46578, 141, 551]",5
555,"[141, 1617, 457, 6711, 2006, 7361, 2194, 1197, 1625, 380]",5
562,"[155743, 8264, 2712, 266, 2858, 7178, 6711, 109374, 3176]",5
587,"[500, 169982, 4954, 2124, 1663, 161, 54648, 53956, 38061]",5
313,"[48516, 318, 555, 1183, 457, 3176, 5995, 50, 109374, 3147]",5
361,"[296, 1912, 555, 2763, 7361, 1732, 176371, 4979, 6711, 109374]",5
362,"[48516, 7147, 6942, 7247, 46578, 7361, 112556, 2346, 52458, 109374]",5
438,"[48516, 1197, 318, 2762, 4954, 48780, 79132, 50, 3147, 593]",5
469,"[48516, 2329, 1197, 318, 457, 48780, 50, 3147, 1262, 593]",5
45,"[5103, 2395, 4979, 46578, 109374, 94959, 1682, 1197, 1732]",5
202,"[5103, 837, 318, 1265, 1197, 457, 46578, 1682, 3147, 2762]",5
235,"[5103, 1912, 2395, 7007, 457, 2082, 2268, 555, 318]",5
279,"[5523, 7579, 1873, 2803, 6709, 78499, 1225, 1707, 928, 8949]",5
368,"[1259, 5103, 457, 837, 1682, 1197, 318, 2005, 2762, 1704]",5
395,"[5103, 6787, 457, 1197, 940, 500, 1321, 2194, 4509]",5
494,"[2005, 4135, 5103, 4128, 2052, 531, 7045, 2, 2124, 2161]",5
498,"[5103, 2, 367, 231, 36, 1366, 837, 784, 61246, 2082]",5
536,"[5103, 2005, 457, 1259, 555, 2082, 2114, 2058, 1197, 508]",5
586,"[5103, 17, 380, 1663, 910, 7247, 1304, 1015, 165]",5
603,"[2005, 1213, 48394, 1681, 784, 480, 2571, 86295, 357, 4979]",5
608,"[2005, 110, 2396, 1544, 457, 5103, 2916, 3081, 2006, 1682]",5
140,"[1370, 457, 2268, 2571, 17, 265, 89470, 147, 348, 553]",5
264,"[1370, 380, 1608, 1047, 4085, 3868, 3254, 1682, 2243]",5
1,"[457, 2762, 1625, 318, 593, 2959, 50, 2268, 3176]",5
294,"[648, 1183, 457, 2803, 1266, 783, 3494, 141, 2762]",5
606,"[648, 141, 8784, 1873, 457, 1183, 1246, 1197, 7361]",5
42,"[11, 18, 32, 195, 219, 270, 292, 491]",5
256,"[380, 69406, 39, 1197, 11, 2406, 86882, 109374, 7826]",5
590,"[11, 21, 266, 1061, 1028, 1198, 2687, 5066]",5
217,"[1278, 3249, 1246, 69, 3481, 3578, 1639, 1060, 1231, 1197]",5
353,"[1278, 6787, 457, 555, 46578, 2571, 3917, 5902, 110, 296]",5
365,"[1278, 1213, 457, 2791, 4144, 60766, 908, 2803, 1188, 176371]",5
373,"[1278, 48394, 837, 2770, 2, 1682, 2716, 1197, 1265, 3175]",5
380,"[1278, 1235, 2412, 3418, 1213, 1944, 2427, 1544, 1226, 2657]",5
199,"[27619, 1213, 8533, 69122, 3578, 1015, 2028, 837, 367, 318]",5
58,"[3006, 2761, 2329, 318, 1747, 457, 380, 356, 1682, 296]",5
68,"[1246, 1252, 912, 3095, 2710, 3421, 3461, 3462]",5
107,"[6787, 3006, 41997, 1267, 48516, 40583, 11, 457]",5
134,"[6787, 3006, 41997, 48516, 40583, 51540, 2268, 1267, 3006]",5
176,"[2396, 300, 1747, 3006, 1883, 1366, 1810, 2289, 2268]",5
240,"[2268, 2803, 454, 5103, 2908, 1625, 2082, 457, 318]",5
284,"[1213, 2858, 46578, 1263, 2599, 1247, 2268, 3897, 2395]",5
349,"[6787, 64620, 1267, 1350, 1590, 2456, 6774, 3006, 2268]",5
414,"[7981, 2396, 296, 318, 50, 2858, 48516, 7361, 48780]",5
419,"[2858, 69, 1682, 176371, 4848, 296, 1291, 593, 3671]",5
428,"[2289, 1912, 3006, 1729, 2912, 1673, 1732, 2391, 3176]",5
468,"[6787, 64620, 98154, 81845, 91890, 1246, 62553, 88810, 55052, 318]",5
18,"[6539, 457, 4246, 2571, 1707, 4973, 1307, 380, 1015]",5
136,"[6539, 1639, 1183, 7826, 4973, 595, 110, 41571, 5617, 265]",5
191,"[6539, 1197, 1183, 539, 55820, 4720, 109374, 8533, 593, 2226]",5
