userId,itemIds,runNumber
78,"[7361, 4973, 109374, 48394, 94959, 27773, 7826, 59387, 92259, 44555]",3
82,"[7361, 4973, 48394, 27773, 109374, 94959, 44555, 59387, 71033, 92259]",3
121,"[7361, 48394, 27773, 4973, 109374, 5618, 44555, 92259, 71033, 96829]",3
144,"[7361, 4973, 48394, 109374, 94959, 27773, 59387, 7826, 133771, 180031]",3
186,"[7361, 4973, 48394, 27773, 109374, 94959, 59387, 44555, 71033, 92259]",3
232,"[7361, 4973, 48394, 27773, 109374, 94959, 44555, 59387, 61240, 71033]",3
234,"[7361, 4973, 48394, 27773, 109374, 5618, 44555, 59387, 61240, 71033]",3
239,"[7361, 4973, 48394, 27773, 109374, 94959, 44555, 71033, 61240, 59387]",3
283,"[7361, 48394, 109374, 4973, 5618, 27773, 133771, 59387, 94959, 7826]",3
322,"[7361, 4973, 48394, 27773, 109374, 5618, 44555, 92259, 6016, 71033]",3
323,"[7361, 4973, 27773, 48394, 109374, 44555, 5618, 92259, 71033, 59387]",3
372,"[7361, 4973, 48394, 109374, 5618, 27773, 44555, 59387, 6016, 71033]",3
378,"[7361, 48394, 109374, 4973, 5618, 27773, 133771, 59387, 94959, 7826]",3
451,"[7361, 48394, 27773, 4973, 109374, 5618, 44555, 92259, 71033, 96829]",3
462,"[7361, 4973, 48394, 109374, 94959, 59387, 7826, 180031, 133771, 79132]",3
476,"[7361, 4973, 48394, 109374, 94959, 59387, 7826, 133771, 180031, 48082]",3
492,"[4973, 48394, 7361, 27773, 109374, 5618, 44555, 71033, 6016, 92259]",3
525,"[7361, 48394, 27773, 4973, 109374, 44555, 71033, 92259, 79132, 48780]",3
533,"[7361, 27773, 4973, 109374, 48394, 133771, 162414, 7826, 59387, 180031]",3
51,"[7361, 48394, 109374, 112552, 44555, 6016, 71033, 92259]",3
116,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 92259]",3
288,"[7361, 27773, 48394, 109374, 4973, 44555, 59387, 71033, 92259]",3
24,"[7361, 48394, 109374, 94959, 44555, 6016, 5618, 71033]",3
150,"[7361, 109374, 79132, 6711, 92259, 48394, 7826, 94959, 1197]",3
425,"[7361, 4973, 48394, 109374, 94959, 59387, 44555, 71033, 27773, 92259]",3
480,"[7361, 4973, 48394, 27773, 109374, 94959, 44555, 59387, 71033, 61240]",3
521,"[4973, 7361, 27773, 109374, 48394, 133771, 89759, 59387, 94959, 44555]",3
559,"[4973, 27773, 109374, 7361, 48394, 44555, 94959, 61240, 59387, 71033]",3
573,"[7361, 27773, 48394, 109374, 4973, 44555, 59387, 71033, 92259]",3
133,"[7361, 48394, 6016, 5618, 109374, 112552, 44555, 92259]",3
177,"[7361, 48394, 6016, 5618, 44555, 109374, 71033, 89759]",3
286,"[7361, 27773, 4973, 48394, 133771, 162414, 59387, 89759, 109374, 44555]",3
332,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 92259]",3
381,"[27773, 4973, 48394, 7361, 44555, 61240, 6016, 71033, 96829, 92259]",3
387,"[7361, 4973, 48394, 27773, 109374, 162414, 44555, 59387, 133771, 71033]",3
402,"[7361, 27773, 4973, 109374, 48394, 162414, 133771, 59387, 44555, 71033]",3
404,"[7361, 48394, 6016, 44555, 112552, 109374, 162414, 92259]",3
453,"[7361, 4973, 48394, 109374, 94959, 59387, 7826, 133771, 180031]",3
464,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 92259]",3
534,"[7361, 48394, 109374, 94959, 27773, 4973, 44555, 59387, 71033, 6016]",3
588,"[7361, 27773, 4973, 48394, 109374, 162414, 44555, 133771, 48780, 79132]",3
6,"[7361, 4973, 48394, 27773, 109374, 94959, 44555, 59387, 71033, 92259]",3
28,"[7361, 4973, 27773, 48394, 109374, 44555, 59387, 71033, 92259, 96829]",3
46,"[7361, 48394, 6016, 109374, 112552, 44555, 133771, 162414]",3
64,"[7361, 4973, 48394, 27773, 109374, 94959, 44555, 59387, 71033, 92259]",3
103,"[7361, 48394, 109374, 94959, 44555, 6016, 5618, 92259]",3
160,"[7361, 48394, 6016, 109374, 162414, 44555, 5618, 48780]",3
215,"[7361, 48394, 109374, 112552, 44555, 6016, 92259, 96829]",3
220,"[7361, 4973, 27773, 48394, 109374, 94959, 44555, 59387, 71033, 92259]",3
391,"[7361, 4973, 109374, 48394, 94959, 59387, 44555, 71033, 92259, 27773]",3
418,"[7361, 48394, 109374, 112552, 44555, 6016, 71033, 92259]",3
435,"[7361, 48394, 109374, 5618, 1197, 79132, 7826, 180031]",3
437,"[7361, 4973, 48394, 109374, 94959, 27773, 59387, 61240, 71033, 44555]",3
555,"[7361, 48394, 109374, 112552, 44555, 6016, 5618, 48780]",3
562,"[48394, 7361, 6016, 109374, 5618, 44555, 4144, 96829]",3
587,"[7361, 4973, 48394, 27773, 109374, 94959, 44555, 71033, 61240, 92259]",3
313,"[27773, 4973, 48394, 7361, 44555, 6016, 5618, 109374, 71033, 92259]",3
361,"[27773, 4973, 44555, 48394, 7361, 109374, 71033, 59387, 61240, 92259]",3
362,"[27773, 4973, 7361, 48394, 109374, 94959, 44555, 59387, 71033, 92259]",3
438,"[27773, 4973, 48394, 7361, 109374, 162414, 44555, 59387, 71033, 92259]",3
469,"[27773, 4973, 48394, 109374, 7361, 44555, 59387, 92259, 71033, 61240]",3
45,"[7361, 48394, 6016, 5618, 44555, 109374, 79132, 92259]",3
202,"[7361, 48394, 109374, 112552, 44555, 59387, 71033, 92259, 6016]",3
235,"[7361, 48394, 109374, 112552, 44555, 6016, 71033, 92259]",3
279,"[7361, 48394, 109374, 112552, 44555, 71033, 6016, 92259]",3
368,"[48394, 7361, 6016, 5618, 44555, 109374, 71033, 89759]",3
395,"[4973, 109374, 7361, 27773, 7826, 48394, 59387, 94959, 133771, 44555]",3
494,"[7361, 48394, 109374, 112552, 162414, 133771, 158783, 180031]",3
498,"[7361, 48394, 6016, 109374, 112552, 44555, 5618, 92259]",3
536,"[4973, 27773, 109374, 7361, 48394, 44555, 71033, 59387, 92259]",3
586,"[7361, 48394, 109374, 112552, 44555, 5618, 6016, 71033]",3
603,"[7361, 27773, 4973, 48394, 109374, 44555, 59387, 71033, 61240]",3
608,"[7361, 48394, 109374, 94959, 44555, 59387, 57669, 71033]",3
140,"[7361, 4973, 48394, 27773, 109374, 5618, 44555, 92259, 71033, 61240]",3
264,"[59387, 133771, 27773, 4973, 109374, 7361, 7826, 92259, 48394]",3
1,"[7361, 27773, 4973, 48394, 109374, 44555, 59387, 71033, 92259]",3
294,"[7361, 4973, 27773, 48394, 109374, 94959, 44555, 59387, 61240, 71033]",3
606,"[7361, 27773, 4973, 48394, 109374, 94959, 44555, 59387, 71033, 92259]",3
42,"[7361, 4973, 48394, 27773, 109374, 94959, 44555, 59387, 61240, 71033]",3
256,"[7361, 4973, 27773, 48394, 109374, 94959, 44555, 59387, 133771, 71033]",3
590,"[7361, 4973, 48394, 109374, 94959, 7826, 59387, 133771, 180031, 79132]",3
217,"[61240, 7361, 48394, 109374, 44555, 6016, 59387, 71033]",3
353,"[7361, 4973, 27773, 48394, 109374, 44555, 5618, 48780, 61240, 71033]",3
365,"[7361, 48394, 6016, 5618, 44555, 4144, 109374, 89759]",3
373,"[7361, 48394, 109374, 94959, 59387, 133771, 7826]",3
380,"[109374, 7361, 48394, 318, 5618, 27773, 48780, 4973, 44555, 79132]",3
199,"[7361, 48394, 4973, 27773, 109374, 5618, 44555, 71033, 92259, 96829]",3
58,"[7361, 4973, 48394, 109374, 44555, 5618, 27773, 71033, 92259, 6016]",3
68,"[7361, 4973, 48394, 27773, 109374, 94959, 44555, 59387, 71033, 92259]",3
107,"[4973, 109374, 7361, 27773, 44555, 48394, 133771, 89759, 96829, 71033]",3
134,"[4973, 27773, 109374, 7361, 48394, 44555, 133771, 89759, 71033, 59387]",3
176,"[7361, 48394, 6016, 109374, 112552, 44555, 133771, 89759]",3
240,"[4973, 7361, 27773, 48394, 44555, 109374, 71033, 61240, 96829]",3
284,"[7361, 27773, 4973, 48394, 109374, 162414, 44555, 133771, 59387, 71033]",3
349,"[4973, 27773, 109374, 48394, 162414, 133771, 44555, 7361, 59387, 71033]",3
414,"[27773, 4973, 48394, 7361, 109374, 44555, 5618, 92259, 96829, 71033]",3
419,"[44555, 4973, 27773, 7361, 48394, 109374, 92259, 71033, 96829, 59387]",3
428,"[7361, 48394, 109374, 112552, 44555, 71033, 59387, 6016]",3
468,"[4973, 27773, 7361, 109374, 48394, 44555, 162414, 133771, 59387, 158783]",3
18,"[7361, 4973, 27773, 48394, 109374, 94959, 44555, 59387, 71033, 61240]",3
136,"[48394, 7361, 6016, 5618, 109374, 44555, 59387, 4144]",3
191,"[109374, 7361, 27773, 4973, 48780, 94959, 48394, 44555, 59387, 71033]",3
75,"[27773, 4973, 48394, 44555, 7361, 109374, 71033, 61240, 92259, 96829]",3
77,"[27773, 4973, 7361, 48394, 109374, 44555, 133771, 89759, 61240, 71033]",3
