userId,itemIds,runNumber
78,"[6377, 1307, 2153, 1370, 8464, 27619, 539, 1198, 246, 4886]",1
82,"[6377, 110, 2502, 2571, 46578, 7147, 454, 105355, 296, 1682]",1
121,"[6377, 4954, 27619, 837, 1246, 4886, 5103, 1704, 8360, 1197]",1
144,"[6377, 2005, 1259, 1732, 1089, 539, 8641, 2420]",1
186,"[6377, 7579, 2396, 34072, 2571, 2671, 4979, 3671, 296, 1197]",1
232,"[3114, 7579, 296, 318, 527, 1682, 2571, 109374, 593, 7361]",1
234,"[6377, 1370, 500, 66798, 1517, 8360, 1912, 904, 148888]",1
239,"[27619, 1307, 318, 296, 367, 2791, 480, 293, 1704, 2571]",1
283,"[6377, 8533, 2291, 8360, 1197, 597, 2716, 4886, 54259]",1
322,"[6377, 3554, 5103, 296, 4973, 46578, 1707, 6158, 318]",1
323,"[6377, 2268, 539, 904, 527, 1197, 27619, 318, 109374, 858]",1
372,"[6377, 27619, 1197, 318, 69122, 1270, 184997, 164909, 80463, 1246]",1
378,"[6377, 1197, 2791, 8961, 39, 367, 8360, 1265, 4886, 1517]",1
451,"[6377, 27619, 1197, 318, 356, 4973, 7361, 109374, 1682]",1
462,"[1197, 7361, 2762, 46578, 899, 296, 1201, 109374, 904, 2918]",1
476,"[6377, 2161, 1370, 3671, 805, 27619, 48394, 368, 2268]",1
492,"[6377, 527, 2324, 318, 109374, 1246, 1225, 164909, 2571]",1
525,"[27619, 500, 48516, 3578, 2502, 2858, 2762, 356, 4321, 296]",1
533,"[6377, 27619, 8360, 134853, 8961, 4886, 152081, 1197, 108932]",1
51,"[1198, 58559, 4993, 2762, 1197, 318, 2571, 904, 899, 2959]",1
116,"[318, 109374, 96488, 58559, 81845, 2959, 1225, 7361, 80463]",1
288,"[1197, 4954, 318, 2571, 46578, 7361, 500, 97921, 648, 48516]",1
24,"[1197, 296, 8874, 2005, 46578, 912, 1028, 1258, 1097, 1270]",1
150,"[56587, 1784, 97921, 140110, 7149, 73015, 69406, 94070, 5945, 113275]",1
425,"[8533, 318, 58559, 109374, 79132, 47099, 27619, 5418, 7361]",1
480,"[1307, 318, 296, 1197, 1732, 7361, 109374, 58559, 79132, 356]",1
