userId,itemIds,runNumber
78,"[2761, 4973, 94959, 59387, 7826, 1197, 46578, 59387, 7361, 109374]",1
82,"[59387, 71033, 44555, 4973, 27773, 96829, 61240, 92259, 109374]",1
121,"[2761, 74553, 4973, 59387, 6773, 44555, 48394, 71033, 6867]",1
144,"[94959, 7826, 46578, 4973, 109374, 59387, 152970, 6867, 102993, 72226]",1
186,"[59387, 4973, 94959, 74553, 7361, 109374, 48394, 46578, 1197, 7147]",1
232,"[7361, 59387, 133771, 115713, 109374, 112552, 7826, 79357]",1
234,"[74553, 59387, 6773, 94959, 92259, 109374, 7826, 59387, 47610, 44555]",1
239,"[4973, 7361, 59387, 71033, 44555, 27773, 61240, 96829, 92259]",1
283,"[59387, 4973, 7361, 48394, 94959, 46578, 7826, 7147, 46976, 109374]",1
322,"[59387, 117444, 152970, 74553, 94959, 109374, 4973, 7826, 72226, 1197]",1
323,"[4973, 7361, 59387, 71033, 109374, 133771, 152970, 158783, 180031]",1
372,"[74553, 117444, 59387, 6773, 47610, 7620, 115664, 162578, 83132, 108540]",1
378,"[2761, 4973, 46578, 94959, 109374, 7361, 7826, 86882, 59387, 46976]",1
451,"[74553, 4973, 59387, 6773, 89759, 44555, 48394, 92259, 96829, 71033]",1
462,"[4973, 7361, 59387, 109374, 7826, 133771, 180031, 46578]",1
476,"[59387, 117444, 94959, 7826, 6773, 6867, 59387, 74553, 4641]",1
492,"[59387, 4973, 7361, 71033, 44555, 27773, 61240, 96829, 6773]",1
525,"[314, 6867, 59387, 44555, 4973, 6773, 92259, 96829, 109374]",1
533,"[6773, 4973, 59387, 55442, 94959, 109374, 7361, 48394, 74553, 133771]",1
51,"[59387, 113741, 71033, 55908, 44555, 48780, 27773, 48043, 73808]",1
116,"[59387, 7826, 6867, 4973, 8933, 44555, 6773, 133771, 59387]",1
288,"[53, 82, 83, 159, 94, 148, 612, 1175, 1719, 5075]",1
24,"[4973, 94959, 59387, 152970, 7826, 46578, 109374, 1197, 92259, 74553]",1
150,"[6867, 104339, 95088, 46578, 94959, 104374, 113275]",1
425,"[6867, 55280, 59387, 57669, 95088, 7826, 102993, 95309, 109374]",1
480,"[57669, 7361, 87234, 59387, 94959, 109374, 133771, 156387, 168326]",1
521,"[4973, 7361, 109374, 94959, 59387, 4144, 7826, 6711, 87304]",1
559,"[57669, 59387, 71033, 87234, 44555, 6773, 27815, 8933]",1
573,"[6867, 152970, 59387, 7826, 46578, 109374, 102993, 96821, 1197]",1
133,"[162414, 6385, 59387, 95558, 62553, 6773, 46578, 6867, 265]",1
177,"[4144, 7361, 94959, 59387, 215, 109374, 7826, 6711]",1
286,"[4144, 4973, 7361, 59387, 87234, 91079, 87304, 94959, 95088, 133771]",1
332,"[4144, 7361, 59387, 215, 94959, 6711, 133771, 8638]",1
381,"[4144, 59387, 71033, 44555, 4973, 27773, 61240, 96829, 6773]",1
387,"[7361, 94959, 109374, 46578, 69757, 6711, 6867]",1
402,"[4144, 4973, 7361, 59387, 87234, 91079, 133771, 152970, 168326]",1
404,"[1660, 1914, 1719, 247, 2686, 6867, 4144, 59387, 4973, 44555]",1
453,"[94959, 59387, 95088, 87304, 7826, 91079, 87234, 127202, 102993, 152970]",1
464,"[59387, 57669, 7826, 7361, 109374, 133771, 8933, 180031]",1
534,"[4144, 7361, 59387, 71033, 87234, 96829, 104944, 133771, 5749]",1
588,"[4144, 4973, 7361, 59387, 87304, 87234, 152970, 168326]",1
6,"[6867, 57669, 7361, 59387, 7826, 109374]",1
28,"[57669, 38061, 158238, 59387, 67997, 71033, 44555, 96829, 73344, 86892]",1
46,"[6867, 57669, 59387, 55280, 102993, 95088, 87304, 127202, 152970]",1
64,"[4144, 4973, 7361, 59387, 215, 94959, 87234, 87304, 91079, 95088]",1
103,"[57669, 7361, 59387, 87234, 6867, 48082, 46578]",1
160,"[57669, 59387, 71033, 44555, 96829, 73808, 55908, 58303, 74553]",1
215,"[57669, 59387, 87234, 6867, 92259, 44555, 71033, 96829, 6773]",1
220,"[57669, 59387, 71033, 44555, 96829, 73344, 73808, 55908, 74553, 44555]",1
391,"[6867, 57669, 59387, 7826, 152970, 46578, 109374, 7361]",1
418,"[4973, 59387, 57669, 44555, 6773, 71033, 92259, 89759, 96829]",1
435,"[59387, 117444, 4973, 74553, 94959, 6773, 1197, 72226, 109374, 5618]",1
437,"[4144, 7361, 59387, 44555, 71033, 89759, 96829, 116897, 92259]",1
555,"[6867, 57669, 59387, 71033, 44555, 96829, 55908, 73808, 92259, 71033]",1
562,"[4973, 7361, 59387, 94959, 87234, 87304, 4144, 133771, 109374]",1
587,"[6867, 38061, 59387, 158238, 95088, 88235, 55908, 102993, 7826]",1
313,"[71033, 59387, 44555, 4973, 27773, 92259, 96829, 86781, 73808, 61240]",1
361,"[2391, 1834, 2912, 5893, 2579, 4881, 3730, 1834, 71033]",1
362,"[59387, 4973, 7361, 7826, 46578, 48780, 46976, 44555]",1
438,"[2391, 71033, 59387, 44555, 39381, 96829, 73808, 55908, 74553, 8933]",1
469,"[73344, 71033, 59387, 44555, 96829, 73808, 86892, 318, 71033, 89118]",1
45,"[59387, 57669, 7826, 109374, 115569, 112552, 115713, 133771, 152970]",1
202,"[59387, 4973, 94959, 46578, 7826, 87234, 87304, 95088, 152970, 109374]",1
235,"[38061, 59387, 158238, 71033, 59387, 88235, 90738, 55908]",1
279,"[59387, 91079, 44555, 71033, 55363, 78039, 73808, 8933, 44555]",1
368,"[94959, 95088, 59387, 87234, 127202, 102993, 87304, 7826, 95309, 55280]",1
