userId,itemIds,runNumber
78,"[6377, 69406, 2153, 8961, 54648, 8464, 4886, 58559, 27619, 69122]",1
82,"[8961, 2396, 7826, 2803, 69122, 1682, 2762, 7361, 6378, 109374]",1
121,[],1
144,[],1
186,"[3114, 17, 2396, 1197, 7361, 109374, 86882, 1682, 4973, 7826]",1
232,"[3114, 7579, 296, 318, 58559, 7361, 109374, 79132, 48780, 1682]",1
234,"[8360, 8961, 6377, 94777, 69122, 4954, 152081, 1197, 1198, 1270]",1
239,"[8961, 1307, 318, 1197, 58559, 7361, 109374, 79132, 80463, 2571]",1
283,"[6377, 8533, 2291, 4886, 1197, 111921, 7147, 8360, 96821]",1
322,[],1
323,"[6377, 318, 1307, 457, 527, 110, 27619, 1197, 858]",1
372,"[27619, 8360, 1197, 6377, 8961, 318, 356, 58559, 8533, 1035]",1
378,"[6377, 8360, 8961, 4886, 1197, 108932, 103335, 50872, 27619]",1
451,"[6377, 27619, 4886, 134853, 1197, 8961, 595, 2081, 8360]",1
462,"[78499, 356, 1028, 300, 28, 76, 82, 78, 346, 1347]",1
476,"[6377, 1197, 2161, 8961, 531, 457, 1270, 2006, 2762, 3147]",1
492,"[27619, 318, 356, 1197, 4993, 1682, 8961, 7361, 164909, 109374]",1
525,"[8961, 69122, 48516, 318, 296, 58559, 109374, 593, 2571, 1197]",1
533,"[6377, 8360, 27619, 4886, 8961, 50872, 134853, 152081]",1
51,"[58559, 1198, 1197, 318, 2571, 4993, 79132, 80463, 109374, 7361]",1
116,"[2617, 318, 1197, 1682, 58559, 27619, 80463, 2571, 109374, 48516]",1
288,"[2, 53, 82, 94, 100, 159, 412, 1095, 1175, 1641]",1
24,"[1197, 86882, 109374, 2005, 8874, 7826, 1682, 1035, 2124, 318]",1
150,[],1
425,"[356, 3, 4, 235, 349, 741, 33493, 423, 1430]",1
480,"[11, 94, 101, 3, 72, 237, 195, 708, 1179, 2395]",1
521,"[8533, 356, 2028, 6942, 318, 69481, 97921, 5995, 7361, 68157]",1
559,"[1197, 97921, 318, 899, 109374, 858, 78499, 164909, 48516, 27619]",1
573,"[1197, 5103, 318, 78499, 356, 27619, 1682, 58559, 8961, 2571]",1
133,"[1197, 78499, 6942, 27619, 539, 6377, 8533, 356, 595]",1
177,"[904, 910, 916, 933, 937, 1209, 1283, 3730]",1
286,"[47099, 97921, 2762, 7361, 46578, 318, 8533, 109374, 88810, 3147]",1
332,"[1197, 296, 318, 356, 58559, 109374, 7361, 1732, 1682, 27619]",1
381,"[39, 16, 322, 852, 1129, 2316, 3328, 3515, 4531]",1
387,"[17, 28, 1046, 1095, 1103, 3499, 3550, 4144, 6620]",1
402,"[4069, 4246, 88163, 69406, 97921, 2572, 49286, 6155, 6942]",1
404,"[3257, 2803, 457, 339, 165, 318, 17, 50, 110]",1
453,"[1197, 6942, 1013, 8533, 500, 539, 45720, 2572, 4447, 4246]",1
464,"[2739, 1197, 3844, 5103, 261, 2005, 1088, 1259, 8533, 2420]",1
534,"[1197, 7361, 318, 109374, 58559, 4973, 79132, 858, 27619, 2959]",1
588,[],1
6,"[11, 28, 292, 176371, 552, 595, 596, 599, 661, 674]",1
28,"[357, 21, 94777, 904, 2194, 2321, 1245, 16, 233, 1103]",1
46,"[69122, 86833, 46578, 97921, 109374, 1682, 6711, 1732, 7361]",1
64,"[1307, 1197, 6942, 97921, 86882, 8533, 46578, 69757, 88163]",1
103,"[1197, 318, 356, 58559, 109374, 7361, 296, 858, 79132, 8533]",1
160,"[318, 296, 858, 2959, 58559, 79132, 48516, 2571, 1213, 80463]",1
215,"[1197, 97921, 86882, 46578, 7361, 6711, 69757, 109374, 4973]",1
220,[],1
