userId,itemIds,runNumber
78,"[6377, 8360, 1197, 4886, 8961, 108932, 115617, 152081, 112175, 50872]",1
82,"[6377, 110, 54648, 2571, 46578, 7147, 454, 215, 296, 1265]",1
121,"[6377, 4954, 27619, 1704, 8360, 47099, 8961, 4995, 50872, 1246]",1
144,"[1197, 2005, 5103, 500, 7826, 1013, 837, 2]",1
186,"[6377, 7579, 2396, 93721, 2571, 3844, 5772, 3671, 296, 1197]",1
232,"[78499, 17, 21, 36, 116, 235, 741, 1206, 1645, 2297]",1
234,"[6377, 8360, 8961, 1197, 4886, 108932, 112175, 50872, 5618]",1
239,"[6377, 1307, 318, 7579, 5418, 110, 2671, 70, 367, 54648]",1
283,"[8360, 1197, 54259, 8961, 7361, 7147, 56152, 7826, 4973]",1
322,"[8360, 1197, 8961, 7826, 94959, 109374, 50872, 86882, 108932]",1
323,"[27619, 1059, 1307, 2268, 527, 1197, 1682, 318, 356]",1
372,"[6377, 8961, 8360, 27619, 4886, 112175, 3114, 87222, 1197]",1
378,"[8360, 1197, 2791, 6377, 1265, 5541, 4886, 39, 8641, 8961]",1
451,"[6377, 1183, 515, 1280, 134853, 17, 5995, 1197]",1
462,"[78499, 356, 1028, 300, 82, 346, 28, 803, 813, 64]",1
476,"[8961, 5618, 1197, 1198, 109374, 58559, 1270, 3494, 48780, 318]",1
492,"[27619, 6377, 1197, 919, 8961, 7147, 595, 7826, 1028]",1
525,"[27619, 69122, 48516, 3578, 2502, 2858, 2762, 356, 1198, 296]",1
533,"[6377, 164909, 27619, 4308, 134853, 81591, 5991, 8961, 83086]",1
51,"[1197, 48516, 2762, 1265, 3578, 78499, 318, 1222, 7361]",1
116,"[1682, 36, 2571, 17, 288, 318, 110, 296, 356]",1
288,"[2161, 1641, 4235, 3060, 1199, 1175, 412, 38038, 708, 1641]",1
24,"[1197, 2005, 2406, 1013, 54259, 7826, 56152, 4700, 179401]",1
150,"[69406, 1784, 97921, 1307, 140110, 88163, 49286, 7293, 2671, 1777]",1
425,"[318, 1197, 858, 58559, 7361, 79132, 109374, 164909, 80463, 112852]",1
480,"[1307, 97921, 69406, 6942, 88163, 8533, 69757, 164909, 4246, 111921]",1
521,"[356, 8533, 2028, 7361, 5995, 97921, 55052, 109374, 69481, 6711]",1
559,"[1307, 318, 97921, 296, 7361, 109374, 8533, 1213, 6711, 48516]",1
573,"[1197, 78499, 356, 551, 318, 27619, 2762, 1035, 1258, 1270]",1
133,"[72737, 3554, 27619, 47099, 62553, 110781, 1477, 6377, 2739, 78499]",1
177,"[97921, 7361, 109374, 164909, 1197, 69757, 86882, 7826, 215, 111921]",1
286,"[8533, 2762, 46578, 7361, 8874, 2858, 2324, 97921, 4720, 6711]",1
332,"[318, 296, 356, 858, 7361, 109374, 97921, 79132, 48516, 164909]",1
381,"[97921, 48516, 7361, 112556, 109374, 164909, 48780, 80463, 79132]",1
387,"[97921, 69757, 7361, 6711, 8533, 164909, 215, 88163, 111921]",1
402,"[69406, 97921, 88163, 8533, 69122, 112556, 4246, 111921, 47099, 48516]",1
404,"[318, 296, 356, 457, 380, 1682, 1393, 50, 1059]",1
453,"[1197, 97921, 4954, 7361, 86882, 109374, 164909, 318, 1732, 4973]",1
464,"[1197, 7826, 94959, 4973, 7147, 109374, 96821, 54259, 46578, 2161]",1
534,"[1197, 46578, 97921, 109374, 104374, 96821, 94959, 86882, 7826]",1
588,"[296, 318, 356, 50, 110, 16, 17, 105]",1
6,"[1307, 318, 356, 1197, 7361, 109374, 58559, 97921, 164909, 79132]",1
28,"[296, 1732, 4011, 38061, 57669, 2542, 158238, 61323, 51255]",1
46,"[1197, 46578, 86833, 6711, 54503, 97921, 109374, 69122, 8949]",1
64,"[539, 318, 356, 1197, 7361, 58559, 7579, 109374, 164909, 858]",1
103,"[1197, 296, 539, 318, 1732, 858, 356, 2571, 7361, 109374]",1
160,"[318, 97921, 48516, 86882, 109374, 164909, 858, 7361, 79132, 8533]",1
215,"[1197, 97921, 46578, 6711, 109374, 7361, 86882, 1682, 8784]",1
220,"[1197, 318, 8464, 2502, 2762, 78499, 6378, 2542, 1013, 2366]",1
391,"[1197, 46578, 109374, 97921, 86882, 1682, 6711, 1732, 7361]",1
418,"[1197, 4973, 7361, 4308, 6711, 899, 109374, 318, 164909]",1
435,"[1197, 78499, 56152, 8360, 595, 8961, 1035, 6377, 2081]",1
437,"[1682, 46578, 6711, 97921, 7361, 109374, 96821, 86882, 4979]",1
555,"[1682, 215, 1544, 1619, 224, 1573, 2996, 5, 195, 1875]",1
562,"[1307, 97921, 6711, 109374, 7361, 164909, 86882, 8533, 4973, 7579]",1
587,"[500, 54648, 367, 94777, 1517, 51255, 8641, 145, 148888, 4085]",1
313,"[48516, 318, 4973, 7361, 86882, 2028, 50, 58559, 164909, 858]",1
361,"[48516, 296, 7361, 176371, 1197, 2571, 46578, 1183, 318, 79132]",1
362,"[58559, 7147, 6942, 71899, 46578, 70599, 168250, 112556, 7361, 79132]",1
438,"[48516, 1013, 318, 2, 1246, 8784, 77455, 1197, 2571, 81591]",1
469,"[48516, 296, 58559, 4011, 2959, 79132, 50, 1213, 1732]",1
45,"[1198, 109374, 79132, 318, 58559, 1682, 2959, 7361, 48780, 48516]",1
202,"[1197, 2005, 78499, 356, 1035, 109374, 94959, 4973, 7826]",1
235,"[5103, 1912, 4226, 1663, 296, 2268, 2005, 3104, 50, 1704]",1
279,"[1197, 7579, 527, 457, 3494, 78499, 4308, 39, 904, 318]",1
368,"[1197, 318, 97921, 79132, 7361, 109374, 112556, 164909, 48516, 48780]",1
395,"[1197, 318, 4954, 109374, 1198, 1704, 86882, 80463, 46578, 2005]",1
494,"[2005, 4135, 2617, 2, 93840, 4128, 40732, 6659, 2139, 2710]",1
498,"[2005, 500, 318, 1198, 1265, 858, 1270, 1704, 1197, 356]",1
536,"[2005, 1370, 38061, 318, 1198, 1918, 296, 1197, 48516, 356]",1
586,"[5103, 17, 380, 1663, 951, 7247, 1304, 1015, 1918]",1
603,"[1197, 86882, 109374, 97921, 7826, 164909, 92259, 104374, 67734, 111921]",1
608,"[1198, 318, 356, 1197, 109374, 1682, 7826, 46578, 92259]",1
140,"[1370, 457, 58559, 48516, 3578, 79132, 318, 5418, 2571]",1
264,"[1370, 1918, 54648, 380, 4085, 158238, 51255, 145, 38061, 93510]",1
1,"[457, 5418, 4226, 2959, 48516, 79132, 593, 48780]",1
294,"[1370, 7361, 457, 1266, 296, 4973, 1197, 109374, 318, 1220]",1
606,"[5418, 1307, 8784, 527, 2803, 7361, 593, 2571, 266]",1
42,"[7361, 97921, 6711, 109374, 104374, 86882, 1682, 4973, 79132]",1
256,"[1307, 380, 39, 905, 2005, 318, 1304, 78499, 112556, 1197]",1
590,"[11, 21, 266, 605, 661, 1028, 1198, 2687, 5066, 5247]",1
217,"[215, 597, 94, 62, 118, 1600, 1046, 2681, 1180, 2690]",1
353,"[8874, 48516, 46578, 2571, 112515, 6711, 457, 296]",1
365,"[1278, 1213, 457, 2791, 1225, 93721, 908, 1682, 1188, 48394]",1
373,"[2791, 1197, 500, 1265, 2716, 1307, 2502, 1732, 2918, 46578]",1
380,"[1197, 7361, 97921, 164909, 109374, 79132, 69757, 318, 8533, 58559]",1
199,"[1197, 318, 356, 97921, 109374, 7361, 7826, 164909, 86882, 96821]",1
58,"[318, 296, 858, 1213, 2858, 48516, 2959, 57669, 4011]",1
68,"[318, 858, 527, 80463, 4995, 47099, 48516, 3147, 2858, 116797]",1
107,"[48516, 457, 2268, 50, 318, 1617, 4776, 593]",1
134,"[48516, 6787, 41997, 457, 2268, 5418, 51540, 3006]",1
176,"[318, 356, 2858, 7361, 46578, 48516, 97921, 112552, 164909]",1
240,"[318, 48516, 296, 2959, 50, 2858, 593, 1213, 1732]",1
284,"[318, 296, 356, 1682, 2858, 48516, 46578, 97921, 112552, 164909]",1
349,"[80463, 79132, 1258, 176371, 2959, 2571, 593, 58559, 170401]",1
414,"[2396, 7361, 6711, 97921, 69757, 109374, 164909, 8533, 46578, 215]",1
419,"[296, 48516, 2959, 318, 79132, 58559, 4011, 2571, 1213, 5418]",1
428,"[48516, 296, 318, 79132, 50, 2959, 858, 2858, 593]",1
468,"[527, 318, 4995, 5995, 2858, 3147, 1246, 5992, 81845, 1682]",1
18,"[1198, 1197, 318, 5418, 1307, 296, 7361, 79132, 48516, 97921]",1
136,"[6539, 1197, 2406, 8533, 1198, 97921, 111921, 2205, 164909, 380]",1
191,"[6539, 1197, 8533, 48516, 79132, 5418, 318, 58559, 5796, 112556]",1
75,"[858, 48516, 8533, 318, 79132, 112556, 164909, 58559]",1
77,"[1213, 48516, 37733, 555, 80489, 1912, 55118, 858]",1
96,"[296, 4973, 1197, 7361, 109374, 7147, 86882, 318, 7826, 54259]",1
124,"[296, 48516, 8874, 55820, 58559, 99114, 2959, 128360, 1206, 3494]",1
171,"[858, 318, 7361, 97921, 79132, 593, 159858, 176371, 48516, 8533]",1
266,"[48516, 7361, 296, 79132, 8874, 318, 109374, 593, 1197]",1
308,"[1213, 296, 318, 7361, 97921, 6711, 555, 215]",1
364,"[1213, 858, 48516, 428, 55765, 2194, 1466, 80489, 86628]",1
400,"[48516, 318, 55820, 58559, 858, 79132, 5418, 1198, 50]",1
416,"[858, 1213, 48516, 318, 37733, 6870, 80489, 67255]",1
422,"[1213, 296, 48516, 2858, 1732, 1089, 318, 57669, 50]",1
441,"[48516, 6870, 67255, 112556, 104879, 55820, 80489, 37733, 628]",1
