userId,itemIds,runNumber
78,"[6377, 1197, 8961, 94777, 2, 367, 27619, 1198, 69122, 64839]",1
82,"[6377, 110, 231, 457, 1197, 7361, 296, 69122, 318, 1270]",1
121,"[6377, 8961, 8360, 4886, 1707, 500, 27619, 588, 367, 2]",1
144,"[27619, 6377, 1197, 1270, 2005, 356, 8961, 318, 1968, 1097]",1
186,"[6377, 7579, 17, 1197, 2571, 2671, 1246, 3671, 296, 7826]",1
232,"[8961, 7361, 318, 109374, 48780, 1197, 79132, 1682, 58559, 356]",1
234,"[8360, 8961, 94777, 1197, 1198, 69122, 367, 112852, 152081, 4954]",1
239,"[8961, 1307, 318, 356, 58559, 109374, 8533, 2571, 80463, 79132]",1
283,"[6377, 8533, 2291, 4886, 1197, 539, 2716, 8360, 111921]",1
322,"[27619, 500, 2, 367, 837, 1707, 1197, 5103, 2124]",1
323,"[6377, 318, 1307, 457, 527, 110, 1197, 858, 3578]",1
372,"[27619, 6377, 1197, 356, 8961, 318, 1035, 58559, 2081, 2571]",1
378,"[6377, 8360, 8961, 4886, 1197, 500, 1707, 367, 1013, 1265]",1
451,"[6377, 27619, 8360, 1197, 318, 356, 3147, 47099]",1
462,"[1197, 7361, 109374, 318, 1682, 96821, 7826, 46578, 86882]",1
476,"[6377, 531, 380, 368, 805, 27619, 1197, 457, 367, 4326]",1
492,"[27619, 318, 356, 1197, 2571, 7361, 109374, 4973, 4993, 164909]",1
525,"[8961, 69122, 48516, 3578, 296, 58559, 318, 356, 2571, 2959]",1
533,"[6377, 27619, 8360, 4886, 2081, 588, 595, 8961, 81847, 75395]",1
51,"[1198, 1197, 2571, 318, 58559, 79132, 4993, 2959, 2153, 296]",1
116,"[2617, 318, 480, 27619, 296, 1682, 2571, 356, 593, 2959]",1
288,"[1197, 1198, 318, 2571, 356, 58559, 296, 4993, 79132, 27619]",1
24,"[1197, 109374, 8874, 2005, 86882, 51255, 2124, 551, 71535, 1035]",1
150,"[56587, 1784, 69406, 7149, 140110, 73015, 94070, 49286, 97921, 1307]",1
425,"[140110, 97921, 69406, 109374, 134130, 88810, 86882, 116797, 318, 164909]",1
480,"[1197, 1307, 1265, 69406, 97921, 88163, 109374, 86882, 46578, 1732]",1
521,"[94070, 8533, 109374, 2028, 1784, 318, 5995, 113275, 81845, 105]",1
559,"[109374, 97921, 46578, 86882, 318, 7361, 1197, 1682, 4973, 96821]",1
573,"[1197, 2005, 356, 1270, 27619, 318, 1198, 78499, 1035, 58559]",1
133,"[94070, 72737, 49286, 47099, 184997, 7826, 88810, 8961, 97921, 27619]",1
177,"[1197, 7361, 109374, 97921, 318, 4973, 1682, 96821, 46578, 86882]",1
286,"[830, 86295, 1784, 94, 1485, 50, 527, 2324, 1183]",1
332,"[3554, 69, 2571, 296, 1197, 318, 8533, 58559, 356, 27619]",1
381,"[8533, 48516, 97921, 112556, 109374, 164909, 180031, 79132, 88810, 111921]",1
387,"[8533, 318, 58559, 164909, 109374, 7361, 111921, 47099, 97921, 7178]",1
402,"[4069, 4246, 4447, 39, 69406, 2572, 6155, 88163, 45720, 6942]",1
