userId,itemIds,runNumber
78,"[8360, 1197, 8961, 79702, 108932, 112852, 152081, 367, 2, 2153]",1
82,"[6377, 110, 54648, 141, 7147, 454, 1639, 296, 3254, 1258]",1
121,"[6377, 8360, 8961, 4886, 1707, 27619, 500, 837, 5103, 2]",1
144,"[6377, 2005, 1259, 1197, 1682, 457, 1089, 539, 2421]",1
186,"[6377, 17, 2396, 1197, 2571, 2671, 1246, 3671, 296, 1682]",1
232,"[3114, 7579, 296, 318, 593, 1682, 109374, 7361, 48516, 79132]",1
234,"[8360, 500, 1707, 457, 344, 8961, 4954, 376, 367]",1
239,"[6377, 539, 80463, 7579, 5418, 110, 1569, 70, 69406, 54648]",1
283,"[6377, 8360, 1197, 4886, 8533, 2291, 8961, 7147, 27619, 2716]",1
322,"[8360, 4246, 5103, 296, 4973, 46578, 54648, 1197, 837, 367]",1
323,"[6377, 318, 1307, 2803, 527, 110, 27619, 539, 3578]",1
372,"[6377, 27619, 1197, 8360, 8961, 109374, 112852, 69122, 45720, 164909]",1
378,"[6377, 8360, 4886, 8961, 50872, 103335, 1197, 1265, 367]",1
451,"[6377, 4886, 27619, 8360, 1197, 135436, 134853, 50872, 8961]",1
462,"[6377, 7579, 2671, 2571, 48516, 46578, 1682, 318, 3494, 2791]",1
476,"[6377, 531, 457, 368, 805, 1197, 2761, 2803, 2006, 2268]",1
492,"[6377, 318, 2324, 46578, 1197, 1246, 3897, 4973, 2571, 164909]",1
525,"[8360, 69122, 4954, 3578, 2502, 2762, 296, 1197, 48516, 318]",1
533,"[6377, 4886, 8360, 8961, 50872, 134853, 152081]",1
51,"[1198, 58559, 2571, 1197, 296, 69122, 3578, 8533, 5378, 1258]",1
116,"[3006, 17, 581, 367, 1183, 457, 515, 318, 1682]",1
288,"[2, 20, 53, 76, 82, 83, 87, 94, 95, 100]",1
24,"[56587, 86882, 4954, 2617, 1197, 2005, 2124, 2762, 1270, 2716]",1
150,"[56587, 1784, 69406, 7149, 94070, 73015, 140110, 49286, 97921, 155743]",1
425,"[56587, 69406, 81845, 88810, 109374, 134130, 164909, 166643, 180031]",1
480,"[155743, 69406, 500, 140110, 49286, 7293, 4700, 6155, 45720]",1
521,"[56587, 1784, 94070, 109374, 8533, 64957, 1183, 5995, 318]",1
559,"[1784, 1183, 318, 356, 3147, 8533, 109374, 47099, 88810, 1035]",1
573,"[3450, 5103, 1682, 231, 837, 500, 2, 410, 1707, 367]",1
133,"[2156, 2154, 3554, 72737, 62553, 2739, 88810, 47099, 8533, 1678]",1
177,"[1197, 7361, 46578, 94959, 97921, 86882, 6711, 109374, 96821]",1
286,"[94070, 6942, 4720, 46578, 3897, 4973, 3176, 30749, 7361, 1732]",1
332,"[4, 63, 66, 108, 166, 189, 205, 224, 445, 464]",1
381,"[1678, 2289, 2739, 2908, 5992, 88810, 8533, 2858, 318, 7361]",1
387,"[17, 28, 351, 1046, 1095, 1103, 3296, 3499, 3550]",1
402,"[830, 367, 122, 1777, 39, 1569, 3247, 1393, 500, 597]",1
404,"[3257, 998, 2803, 1449, 292, 185, 531, 1353, 457, 1479]",1
453,"[1678, 4069, 4700, 1013, 3554, 39, 8533, 4447, 4246, 6155]",1
464,"[2156, 5076, 261, 2337, 7147, 4509, 4184, 4614, 3844]",1
534,"[2739, 1197, 7361, 46578, 6711, 97921, 96821, 94959]",1
588,"[830, 1393, 11, 16, 203, 141, 1183, 1060]",1
6,"[11, 292, 176371, 552, 595, 596, 599, 661, 674, 694]",1
28,"[4954, 69122, 296, 109374, 4011, 1732, 79132, 48516, 8641, 2959]",1
46,"[1013, 155743, 3948, 1777, 500, 69406, 2694, 69122, 86833, 4700]",1
64,"[539, 318, 356, 858, 8533, 296, 593, 1197, 3147, 27619]",1
103,"[1013, 1918, 3844, 41573, 3177, 1197, 198, 266, 322, 1475]",1
160,"[69122, 4954, 48516, 97921, 5989, 109374, 106782, 1732, 106916, 69406]",1
215,"[1013, 81591, 7361, 1197, 2858, 45720, 97921, 1258, 6711, 1682]",1
220,"[141, 3006, 1213, 80906, 2502, 2072, 3499, 78499, 3897, 1597]",1
391,"[1777, 7826, 4954, 1246, 46578, 109374, 1197, 47099, 6863]",1
418,"[1197, 899, 45720, 109374, 164909, 141, 86882, 4973, 46578, 89904]",1
435,"[1013, 837, 56152, 4700, 595, 1035, 27619, 8360, 1028, 2081]",1
437,"[1013, 7579, 46578, 7361, 2396, 3897, 86882, 6711, 4973, 4979]",1
555,"[141, 457, 1183, 1732, 318, 296, 1682, 50, 1265, 593]",1
562,"[357, 1305, 4299, 7361, 6711, 3176, 4973, 109374, 468, 89904]",1
587,"[500, 5460, 6378, 2124, 1663, 161, 54648, 38061, 53956]",1
313,"[48516, 318, 296, 858, 2959, 58559, 79132, 593, 1213, 50]",1
361,"[48516, 296, 555, 3176, 7361, 50, 79132, 8533, 318, 2571]",1
362,"[48516, 7147, 6942, 7247, 46578, 7361, 112556, 2346, 52458, 8533]",1
438,"[48516, 4954, 6378, 5989, 50, 80489, 44199, 48780, 112556, 2268]",1
469,"[48516, 55765, 318, 858, 296, 58559, 79132, 2959, 50, 1213]",1
45,"[5103, 1197, 2005, 1259, 2918, 2420, 1270, 1707, 2082, 500]",1
202,"[5103, 837, 318, 1265, 1197, 1682, 457, 356, 2005, 3147]",1
235,"[5103, 3104, 7007, 2395, 1262, 1732, 457, 555, 318, 296]",1
279,"[5523, 7579, 1873, 2803, 6709, 4016, 1225, 1707, 904, 2858]",1
368,"[5103, 2005, 1197, 1707, 2, 837, 500, 2082, 1013]",1
395,"[5103, 6787, 457, 1197, 500, 1321, 2006, 5076, 3006]",1
494,"[2005, 4135, 5103, 2052, 4128, 2, 7045, 2161, 2550, 531]",1
498,"[5103, 367, 1246, 2, 837, 1682, 531, 500, 2268]",1
536,"[5103, 2005, 457, 2082, 1197, 318, 1259, 367, 2803, 2114]",1
586,[],1
603,"[2005, 1213, 48394, 1681, 367, 1682, 1527, 1197, 1732, 318]",1
608,"[2005, 110, 2396, 318, 2571, 457, 1197, 1682, 58559, 79132]",1
140,"[1370, 457, 2268, 2571, 318, 4014, 89470, 1704, 86882, 1197]",1
264,"[1370, 1608, 380, 457, 1918, 4085, 3868, 500, 1682]",1
1,"[648, 593, 318, 296, 457, 2762, 50, 2959]",1
294,"[648, 1183, 457, 2803, 733, 1266, 783, 3494, 2006]",1
606,"[648, 2671, 372, 527, 457, 1183, 318, 296, 109374]",1
42,"[11, 18, 32, 195, 270, 292, 474, 1500, 1733]",1
256,"[380, 39, 898, 609, 8772, 1201, 2700, 44759, 1010]",1
590,"[11, 21, 266, 315, 1061, 1198, 1438, 5066]",1
217,"[1278, 3249, 1246, 69, 3481, 3578, 1639, 1060, 1231, 441]",1
353,"[1278, 6787, 457, 555, 46578, 2571, 3917, 5902, 110, 296]",1
365,"[1278, 1213, 457, 2791, 3996, 1189, 908, 1597, 1188, 176371]",1
373,"[1278, 48394, 1013, 2770, 2, 1682, 2716, 94777, 1265, 3033]",1
380,"[1278, 1235, 1213, 2412, 3418, 2657, 1226, 1544, 1197, 1262]",1
199,"[27619, 858, 1721, 296, 318, 58559, 8533, 79132, 48516, 2571]",1
58,"[3006, 318, 2329, 3147, 48516, 2268, 6870, 858, 1213, 50]",1
68,"[1246, 1252, 912, 1235, 3095, 1944, 372, 492, 725, 1641]",1
107,"[3006, 2268, 457, 2803, 48516, 349, 454, 318]",1
134,"[6787, 41997, 3006, 1267, 51540, 40583, 7792, 2268, 36517]",1
176,"[2268, 3006, 300, 1366, 1747, 2289, 1883, 1719, 3160]",1
240,"[2268, 2803, 454, 318, 457, 50, 628]",1
284,"[6787, 2137, 1663, 296, 4641, 1673, 1088, 2858, 3897, 1213]",1
349,"[6787, 3006, 1997, 1590, 1350, 2268, 7792, 2456, 593]",1
414,"[454, 1179, 1089, 1199, 2313, 1682, 318, 7361, 2959, 50]",1
419,"[3006, 69, 2858, 176371, 3176, 296, 457, 2762, 367]",1
428,[],1
468,"[81845, 64620, 1246, 91890, 318, 4995, 7826, 64957, 47099]",1
18,"[1198, 380, 2406, 1197, 457, 2006, 2617, 6378, 2763, 8972]",1
136,"[6539, 215, 1197, 7826, 4973, 6158, 110, 4014, 4308]",1
191,"[6539, 1197, 1183, 539, 55820, 4720, 8533, 3494, 593, 7361]",1
75,"[1213, 48516, 296, 5418, 6378, 2858, 7361, 1682, 176371]",1
77,"[1213, 858, 48516, 428, 8533, 555, 1466, 431, 318]",1
96,"[1213, 6711, 86882, 1197, 1265, 7178, 6158, 1784, 412, 2147]",1
124,"[858, 296, 48516, 4262, 55820, 318, 1206, 58559, 1089]",1
171,"[1213, 7579, 141, 265, 1515, 1334, 858, 357, 1258]",1
266,"[110, 86295, 457, 155743, 5445, 1339, 17, 2571, 1095]",1
308,"[1213, 2289, 78039, 27619, 4361, 1611, 555, 2291, 6711, 2858]",1
364,"[1213, 48516, 858, 55765, 428, 2194, 1466, 431, 86628]",1
400,"[858, 48516, 55820, 318, 296, 50, 2268, 55765, 106782]",1
416,"[1213, 48516, 858, 318, 428, 8533, 105, 1912, 3176]",1
422,"[1213, 2502, 61132, 3911, 858, 1206, 296, 69122, 1247]",1
441,"[1213, 48516, 858, 6870, 80489, 2268, 67255, 55765, 628]",1
475,"[1213, 8533, 67255, 899, 135436, 7451, 1997, 8981, 4718, 3671]",1
514,"[1213, 318, 1682, 296, 109374, 58559, 858, 2959, 48516, 79132]",1
551,"[1213, 7579, 500, 1307, 78499, 7361, 2762, 2858, 46578, 6711]",1
570,"[1213, 296, 1732, 1060, 555, 48516, 1089, 4011, 2542]",1
4,"[7579, 8873, 4246, 8464, 1246, 1089, 46578, 2571, 231, 539]",1
17,"[7579, 261, 39, 5103, 493, 4014, 1015, 231, 2174, 2291]",1
37,"[7579, 2572, 4246, 80549, 8533, 184997, 97921, 88163, 111921]",1
119,"[7579, 4720, 7361, 39, 902, 899, 288, 1961, 1393]",1
152,"[7579, 515, 5772, 2973, 910, 4873, 6773, 86295, 93840, 4720]",1
227,"[7579, 1747, 159858, 86295, 1729, 380, 318, 2599, 2762]",1
262,"[7579, 1183, 55052, 8533, 39183, 515, 7361, 5812, 78039, 412]",1
309,"[7579, 112556, 1259, 1258, 33493, 593, 2144, 1707, 8533, 2762]",1
339,"[7579, 135436, 1246, 45720, 8533, 109374, 88810, 86882, 1197, 318]",1
357,"[7579, 357, 1544, 1291, 1183, 2671, 4954, 86882, 109374, 46578]",1
413,"[7579, 4246, 69406, 2424, 2763, 2671, 8533, 4823, 539, 6378]",1
477,"[7579, 6796, 778, 80463, 4954, 7361, 46578, 67255, 3897, 109374]",1
513,"[7579, 6870, 176371, 55052, 48516, 2456, 613, 2288]",1
542,"[7579, 7147, 1197, 1198, 1271, 4973, 261, 54259, 2406]",1
558,"[7579, 515, 55052, 1183, 928, 4308, 5991, 3176, 5812]",1
568,"[7579, 55052, 515, 613, 51834, 1959, 1183, 71327]",1
583,"[7579, 2424, 1013, 261, 7826, 1197, 8533, 8970, 1035]",1
599,"[7579, 231, 7361, 67255, 77455, 3755, 106782, 216, 112556, 4499]",1
602,"[7579, 7361, 46578, 1197, 6711, 109374, 551, 2762, 8874, 1682]",1
609,"[7579, 595, 109374, 261, 1197, 3176, 27619, 67255, 4973]",1
81,"[109374, 837, 50601, 46578, 41566, 94959, 262, 4979, 48394]",1
130,"[296, 3535, 1732, 1089, 2959, 555, 288, 50, 44759]",1
198,"[296, 555, 1089, 288, 163, 7438, 32587, 4011, 2542, 1732]",1
248,"[296, 1732, 4011, 2542, 38061, 57669, 61323, 555, 158238]",1
486,"[1197, 46578, 109374, 94959, 4979, 1682, 7826, 1732]",1
507,"[296, 109374, 4011, 1732, 79702, 38061, 57669, 51255, 4979, 46578]",1
561,"[1175, 293, 198, 1199, 171, 86, 66, 193, 40]",1
56,"[231, 69, 54503, 61024, 69122, 145, 1753, 54648, 60756, 8807]",1
274,"[19, 170401, 150, 169, 172, 180, 193, 356, 266]",1
484,"[367, 457, 109374, 2761, 2291, 17, 2124, 2174, 1197]",1
99,"[1918, 1732, 296, 4011, 555, 38061, 57669, 2542, 18]",1
304,"[296, 7361, 318, 109374, 97921, 79132, 8533, 48516, 6711, 58559]",1
340,"[6378, 4954, 103372, 44199, 80489, 48516, 48780, 3176, 50]",1
376,"[296, 380, 457, 94777, 1732, 733, 367, 780]",1
386,"[380, 457, 165, 733, 1552, 1918, 2058, 2353, 54648]",1
446,"[1370, 1197, 380, 457, 39, 367, 2803, 2124, 318]",1
524,"[1918, 555, 2763, 6378, 1912, 457, 3257, 2803, 318]",1
8,"[296, 1732, 555, 318, 50, 1206, 5445]",1
34,"[296, 1732, 38061, 57669, 4011, 61323, 2542, 158238, 77800]",1
41,"[296, 1732, 318, 4954, 380, 1197, 48516, 858, 58559, 79132]",1
70,"[296, 2571, 110, 2268, 318, 2858, 48516, 2959, 1837]",1
84,"[296, 7361, 555, 1732, 318, 2959, 50, 2858]",1
105,"[296, 1732, 4954, 380, 48516, 4011, 2542, 38061, 57669, 158238]",1
187,"[296, 555, 1912, 1732, 4011, 2542, 4954, 38061, 57669]",1
224,"[296, 2542, 1732, 4011, 50, 57669, 5445, 176371, 48516]",1
251,"[296, 2542, 4011, 48516, 55820, 57669, 1732, 555, 38061]",1
300,"[296, 1732, 4954, 86882, 899, 1234, 951, 109374, 910, 89904]",1
301,"[296, 46578, 1197, 78499, 109374, 8961, 86882, 1732, 318]",1
347,"[296, 1732, 4011, 2542, 38061, 57669, 555, 158238, 97306]",1
423,"[296, 4011, 48516, 2542, 1527, 38061, 555, 158238, 57669, 50]",1
463,"[296, 1732, 2542, 1199, 4979, 38061, 109374, 79132, 1682]",1
470,"[296, 17, 531, 36, 2, 555, 367, 457, 1197, 1527]",1
474,"[296, 293, 356, 300, 318, 50, 2542, 4011, 5989]",1
495,"[296, 86295, 39, 551, 3535, 1732, 593, 1258, 2959]",1
567,"[296, 1732, 4954, 79132, 48516, 2959, 318, 58559, 593]",1
93,"[1748, 3176, 1625, 2762, 4226, 4720, 48780, 74458, 112556]",1
19,"[457, 7361, 46578, 318, 1682, 48516, 109374, 79132, 48780, 80463]",1
316,"[380, 1912, 1732, 1500, 2542, 3301, 4011, 38061, 57669, 158238]",1
330,"[318, 296, 50, 2959, 1089, 48516, 79132, 58559]",1
379,"[457, 2803, 44759, 349, 454, 2268, 185, 161, 3257]",1
432,"[1370, 1013, 231, 2571, 1015, 1090, 3175, 3996, 2762, 910]",1
100,"[6711, 7361, 2858, 5902, 1682, 46578, 2997, 4979, 97921]",1
165,"[6711, 318, 7361, 1682, 858, 2858, 8533, 48516, 97921, 2959]",1
26,"[61246, 497, 1456, 2622, 2289, 6440, 1682, 5902, 48780, 71033]",1
54,"[61246, 497, 2268, 2858, 3176, 1246, 1682, 7361, 318, 1704]",1
79,"[61246, 261, 2268, 4246, 17, 1641, 3176, 141, 1183]",1
156,"[272, 296, 1500, 2076, 3067, 3138, 5059, 5063, 5096]",1
170,"[2268, 2329, 48516, 4776, 318, 1213, 50, 296, 1089]",1
577,"[858, 296, 1089, 48516, 2959, 318, 2329, 50, 1206]",1
592,"[61246, 531, 110, 44788, 27619, 5418, 55052, 2324, 77455, 78499]",1
21,"[1259, 261, 1197, 2291, 318, 1682, 7361, 109374, 96821, 4973]",1
126,"[261, 26528, 7579, 3255, 17, 531, 1271, 1013, 8643]",1
141,"[261, 1197, 3844, 5103, 531, 11, 3255, 1013, 318, 1035]",1
159,"[837, 50601, 1197, 2161, 531, 2005, 54259, 41566, 7147]",1
193,"[1259, 261, 1968, 1246, 5103, 3255, 1682, 7361, 318, 64957]",1
307,"[27, 41, 85, 237, 538, 837, 1498, 2316, 2501]",1
359,"[1259, 48394, 1625, 4128, 5103, 4720, 2762, 2005, 2710, 112515]",1
489,"[1197, 2005, 2124, 2, 551, 2174, 5103, 2161, 2052]",1
503,"[837, 2005, 5103, 1197, 1259, 2161, 2052, 2420, 531]",1
580,"[5103, 39, 1968, 7451, 2572, 4447, 2918, 1088, 1197, 6942]",1
94,"[17, 7579, 89470, 6303, 148626, 80463, 86833, 46578, 7361, 8533]",1
109,"[17, 531, 5782, 357, 3254, 1094, 39, 86295, 54648, 1183]",1
132,"[17, 1207, 2571, 81845, 2762, 81591, 1197, 7361, 88810]",1
179,"[17, 293, 515, 318, 527, 1183, 858, 110, 5995, 3147]",1
318,"[7579, 913, 457, 6711, 7147, 1441, 94959, 2124, 2762]",1
411,"[17, 1285, 1611, 39, 928, 3175, 2081, 3408, 4144, 1197]",1
426,"[17, 86295, 4246, 54648, 1049, 288, 2762, 555, 357]",1
448,"[28, 83, 178, 45728, 342, 1175, 1088, 1270, 4002, 5563]",1
566,"[17, 1013, 1784, 368, 595, 380, 1197, 367, 539, 457]",1
593,"[17, 493, 2803, 3249, 4014, 2268, 31, 3020, 1183, 454]",1
16,"[48394, 122882, 4848, 1208, 2571, 595, 44759, 6663, 1258, 176371]",1
38,"[1199, 4226, 7361, 109374, 4878, 2858, 2997, 48394, 46578, 1682]",1
173,"[48394, 1175, 1199, 69951, 1748, 59387, 5015, 48082, 29, 3863]",1
222,"[48394, 69, 2395, 628, 7179, 2337, 3499, 841, 3159, 1191]",1
230,"[1199, 1748, 4848, 48394, 4878, 3863, 1206, 1682, 3535, 7361]",1
367,"[48394, 1183, 51255, 80906, 6591, 105355, 176371, 77455, 3285, 3584]",1
527,"[48394, 1183, 4973, 7361, 109374, 7826, 6711, 7147, 86882, 180031]",1
539,"[48394, 69951, 1748, 59387, 4720, 1175, 56339, 48082, 3863, 5015]",1
