userId,itemIds,runNumber
78,"[7361, 4973, 27773, 48394, 109374, 44555, 61240, 71033, 59387]",1
82,"[7361, 27773, 4973, 48394, 44555, 61240, 59387, 6016, 71033, 89759]",1
121,"[7361, 48394, 27773, 4973, 109374, 44555, 61240, 71033, 59387]",1
144,"[7361, 4973, 27773, 48394, 109374, 44555, 61240, 71033, 59387]",1
186,"[7361, 4973, 48394, 27773, 109374, 44555, 61240, 71033, 59387]",1
232,"[7361, 4973, 48394, 27773, 109374, 94959, 44555, 59387, 71033, 92259]",1
234,"[7361, 4973, 27773, 48394, 109374, 44555, 59387, 61240, 71033]",1
239,"[7361, 4973, 48394, 27773, 109374, 44555, 59387, 61240, 71033]",1
283,"[7361, 48394, 27773, 4973, 109374, 59387, 61240, 7826, 133771]",1
322,"[7361, 4973, 109374, 48394, 94959, 7826, 59387, 92259, 180031, 46578]",1
323,"[7361, 4973, 27773, 48394, 109374, 44555, 59387, 71033, 92259]",1
372,"[7361, 4973, 48394, 27773, 109374, 94959, 7826, 59387, 133771, 180031]",1
378,"[7361, 27773, 48394, 4973, 109374, 44555, 61240, 59387, 71033]",1
451,"[7361, 48394, 4973, 27773, 109374, 44555, 4144, 71033, 61240, 96829]",1
462,"[7361, 4973, 109374, 48394, 27773, 44555, 61240, 59387, 71033, 92259]",1
476,"[7361, 4973, 48394, 109374, 94959, 59387, 7826, 7147, 1197, 5618]",1
492,"[7361, 4973, 48394, 27773, 109374, 5618, 44555, 59387, 6016, 71033]",1
525,"[7361, 109374, 48394, 27773, 4973, 44555, 79132, 71033, 61240, 92259]",1
533,"[7361, 109374, 4973, 27773, 48394, 44555, 59387, 61240, 71033]",1
51,"[7361, 4973, 48394, 27773, 109374, 44555, 59387, 71033, 92259]",1
116,"[7361, 4973, 27773, 48394, 109374, 44555, 61240, 59387, 89759]",1
288,"[7361, 109374, 94959, 4973, 7826, 59387, 133771, 79357, 180031]",1
24,"[7361, 27773, 4973, 48394, 109374, 44555, 59387, 71033, 61240]",1
150,"[7361, 4973, 109374, 94959, 133771, 4144, 59387, 46976, 104374]",1
425,"[7361, 4973, 27773, 48394, 109374, 44555, 61240, 71033, 59387]",1
480,"[7361, 4973, 109374, 94959, 133771, 59387, 7826, 79357, 48082]",1
521,"[7361, 4973, 27773, 48394, 109374, 44555, 6016, 71033, 61240, 89759]",1
559,"[4973, 7361, 48394, 27773, 59387, 61240, 44555, 6773, 89759, 71033]",1
573,"[7361, 27773, 48394, 109374, 4973, 44555, 59387, 71033, 92259]",1
133,"[7361, 27773, 4973, 48394, 109374, 162414, 44555, 5618, 71033, 79132]",1
177,"[7361, 48394, 109374, 6016, 5618, 44555, 96829, 89759]",1
286,"[7361, 4973, 27773, 48394, 109374, 162414, 44555, 4144, 96829, 89759]",1
332,"[7361, 4973, 27773, 48394, 109374, 44555, 59387, 71033, 61240]",1
381,"[7361, 27773, 4973, 48394, 109374, 44555, 59387, 71033, 92259]",1
387,"[7361, 4973, 109374, 94959, 48394, 27773, 44555, 61240, 92259, 6016]",1
402,"[7361, 27773, 4973, 109374, 48394, 162414, 133771, 44555, 61240, 59387]",1
404,"[7361, 4973, 27773, 48394, 109374, 44555, 59387, 133771, 71033]",1
453,"[7361, 4973, 109374, 94959, 180031, 133771, 59387, 7826, 6711]",1
464,"[7361, 4973, 27773, 109374, 48394, 59387, 44555, 61240, 71033]",1
534,"[7361, 109374, 94959, 180031, 4973, 48394, 133771, 59387, 4878]",1
588,"[7361, 27773, 4973, 48394, 109374, 44555, 59387, 6016, 71033, 61240]",1
6,"[7361, 4973, 109374, 48394, 27773, 318, 79132, 48780, 1682, 2959]",1
28,"[7361, 27773, 4973, 48394, 109374, 44555, 71033, 61240, 6016, 89759]",1
46,"[7361, 27773, 4973, 48394, 109374, 44555, 79132, 92259, 61240, 71033]",1
64,"[7361, 4973, 27773, 48394, 109374, 94959, 44555, 59387, 71033, 92259]",1
103,"[7361, 4973, 27773, 109374, 48394, 44555, 61240, 71033, 92259]",1
160,"[7361, 4973, 109374, 94959, 48780, 79132, 7826, 1682, 6711, 318]",1
215,"[7361, 4973, 27773, 109374, 162414, 133771, 48394, 59387, 89759, 4144]",1
220,"[7361, 4973, 27773, 48394, 109374, 44555, 61240, 71033, 59387]",1
391,"[7361, 4973, 109374, 94959, 7826, 59387, 133771, 180031, 79132]",1
418,"[4973, 7361, 27773, 48394, 44555, 109374, 71033, 61240, 59387, 89759]",1
435,"[7361, 48394, 4973, 109374, 5618, 180031, 79132, 7826, 59387, 7147]",1
437,"[7361, 4973, 27773, 109374, 48394, 44555, 61240, 59387, 89759, 6016]",1
555,"[7361, 109374, 94959, 4973, 133771, 27773, 59387, 7826, 180031]",1
562,"[4973, 7361, 27773, 109374, 48394, 44555, 61240, 71033, 59387]",1
587,"[7361, 4973, 27773, 48394, 109374, 44555, 61240, 71033, 59387]",1
313,"[27773, 4973, 48394, 7361, 44555, 6016, 61240, 71033, 96829, 92259]",1
361,"[7361, 27773, 4973, 109374, 48394, 44555, 59387, 71033, 92259]",1
362,"[7361, 4973, 27773, 109374, 48394, 44555, 59387, 4144, 71033]",1
438,"[7361, 4973, 27773, 48394, 109374, 44555, 61240, 71033, 6016]",1
469,"[7361, 4973, 27773, 48394, 109374, 44555, 59387, 71033, 92259]",1
45,"[7361, 4973, 109374, 48394, 27773, 44555, 59387, 71033, 61240]",1
202,"[7361, 4973, 109374, 48394, 1682, 48780, 94959, 7826, 79132, 180031]",1
235,"[7361, 4973, 27773, 48394, 109374, 44555, 61240, 71033, 59387]",1
279,"[7361, 4973, 109374, 48394, 44555, 71033, 27773, 92259, 61240, 96829]",1
368,"[7361, 4973, 27773, 48394, 109374, 94959, 44555, 71033, 61240, 96829]",1
395,"[7361, 4973, 27773, 109374, 48394, 59387, 44555, 61240, 71033]",1
494,"[7361, 109374, 94959, 48394, 4973, 7826, 59387, 133771, 180031, 48082]",1
498,"[7361, 27773, 4973, 48394, 109374, 44555, 59387, 61240, 71033, 92259]",1
