userId,itemIds,runNumber
78,"[27619, 4973, 2005, 1370, 77455, 5618, 7361, 1197, 457, 93721]",1
82,"[78499, 41, 69, 71, 171, 201, 482, 775, 3669]",1
121,"[27619, 6378, 135436, 1246, 8961, 4954, 262, 1704, 6377, 318]",1
144,"[78499, 474, 492, 27, 471, 482, 8, 779, 1476, 2420]",1
186,"[78499, 28, 43, 108, 172, 195, 334, 487]",1
232,"[78499, 17, 36, 116, 121, 235, 452, 759]",1
234,"[78499, 95, 38038, 2939, 710, 1770, 5999]",1
239,"[78499, 3, 17, 41, 293, 516, 1171]",1
283,"[3114, 7361, 1197, 4973, 318, 5618, 215, 109374, 1682, 94959]",1
322,"[78499, 21, 437, 464, 4, 8, 828]",1
323,"[78499, 26, 94, 350, 492, 979, 1027, 27619, 1183]",1
372,"[78499, 41, 63, 88, 329, 461, 581, 726]",1
378,"[27619, 7361, 1197, 46578, 109374, 94959, 4973, 1682, 7826, 59387]",1
451,"[78499, 318, 296, 109374, 7361, 44555, 4973, 48780, 162414, 71033]",1
462,"[78499, 28, 356, 300, 82, 1202, 1347, 1028, 2529]",1
476,"[3114, 531, 457, 111743, 4326, 6377, 6385, 3671, 36]",1
492,"[78499, 40, 523, 653, 706, 1449, 3679, 6184, 8580]",1
525,"[78499, 110, 45728, 233, 337, 432, 741, 1252, 1060, 2333]",1
533,"[27619, 318, 5618, 296, 7361, 1197, 27773, 4973, 109374, 162414]",1
51,"[2, 904, 2395, 176371, 1870, 1177, 742, 2183]",1
116,"[318, 296, 1682, 109374, 44555, 7826, 59387, 96829, 92259]",1
288,"[2, 53, 76, 82, 94, 159, 38038, 1095, 1175, 1641]",1
24,"[318, 296, 7361, 1197, 109374, 1682, 94959, 44555, 4973, 48780]",1
150,"[1307, 109374, 3072, 46578, 4973, 1197, 6711, 97921, 55280, 6867]",1
425,"[356, 3, 235, 4, 349, 27, 741, 1147, 1126]",1
480,"[3, 11, 21, 94, 101, 195, 431, 2395, 2313]",1
521,"[318, 296, 7361, 858, 4973, 27773, 109374, 44555, 48516, 162414]",1
559,"[3, 43, 493, 508, 531, 535, 600, 613, 1031]",1
573,"[3, 8, 170401, 238, 759, 1816, 1840]",1
133,"[2739, 62553, 2761, 162414, 2394, 3554, 2139, 166643, 117444, 88810]",1
177,"[4, 85, 101, 233, 904, 910, 1209, 2599]",1
286,"[318, 296, 7361, 112515, 46578, 6711, 4973, 2324, 94959]",1
332,"[4, 63, 108, 205, 38038, 1043, 1283, 3174, 3615]",1
381,"[4, 16, 23, 27, 39, 100, 155, 322]",1
387,"[45728, 17, 170, 334, 1095, 1103, 3296, 4144]",1
402,"[318, 296, 7361, 1197, 109374, 1682, 4973, 162414, 1732, 46578]",1
404,"[318, 296, 7361, 109374, 162414, 44555, 4973, 27773, 71033, 59387]",1
453,"[4, 17, 27, 60, 63, 100, 101, 104, 111, 122]",1
464,"[318, 296, 7361, 1197, 109374, 162414, 1732, 4973, 27773, 1682]",1
534,"[5378, 4, 36, 170401, 538, 1945, 1288, 1914]",1
588,"[318, 296, 7361, 109374, 162414, 1732, 4973, 44555, 4979, 71033]",1
6,"[5, 11, 28, 292, 312, 176371, 552, 595, 661, 674]",1
28,"[16, 18, 233, 904, 94777, 1227, 2313, 2321, 2351, 2372]",1
46,"[318, 296, 7361, 1197, 4973, 1732, 1682, 109374, 46578]",1
64,"[27619, 36, 1203, 837, 28, 1209, 5, 1111, 1104, 2194]",1
103,"[5, 46, 69, 198, 266, 322, 931, 951, 1187, 4194]",1
160,"[16, 36, 39, 198, 635, 731, 837, 1616, 1870]",1
215,"[356, 7361, 318, 46578, 1682, 4973, 48780, 109374, 44555]",1
220,"[16, 1042, 5, 99, 742, 1910, 3442, 5767]",1
391,"[5, 62, 85, 316, 341, 2395, 2420, 4912, 5613]",1
418,"[858, 7361, 318, 4973, 27773, 109374, 44555, 162414, 96829, 71033]",1
435,"[1197, 7826, 94959, 4973, 109374, 46578, 59387, 74553, 152970, 6773]",1
437,"[318, 7361, 1197, 4973, 1682, 109374, 44555, 94959, 59387, 71033]",1
555,"[215, 1544, 1875, 1626, 5121, 2996, 6603]",1
562,"[1183, 1244, 233, 5, 77, 168, 322, 720, 1180]",1
587,"[318, 296, 109374, 1197, 44555, 1732, 4973, 27773, 59387]",1
313,"[40, 85, 103, 118, 155, 164, 178, 475]",1
361,"[58559, 1912, 7361, 5445, 1013, 48394, 46578, 6711, 4973]",1
362,"[357, 1028, 1163, 1286, 2346, 4885, 318, 7361]",1
438,"[38, 40, 60, 94, 458, 605, 783]",1
469,"[1682, 126, 42, 314, 191, 2921]",1
45,"[588, 1207, 1199, 1179, 18, 41, 183, 201, 2583]",1
202,"[170401, 36, 43, 1732, 531, 3502, 4916]",1
235,"[356, 296, 318, 50, 1682, 2761, 1732, 2762, 3147, 2329]",1
279,"[356, 7361, 318, 4973, 48780, 109374, 44555, 1197, 48394, 1682]",1
368,"[356, 170401, 417, 1094, 724, 23, 94, 122, 4220, 2615]",1
395,"[356, 318, 1197, 1682, 48780, 109374, 44555, 59387, 7826]",1
494,"[2005, 112515, 94959, 140267, 7826, 121231, 50601, 159858, 1197, 56339]",1
498,"[356, 1682, 1197, 318, 7361, 109374, 4973, 48780, 46578]",1
536,"[356, 1197, 318, 7826, 1682, 109374, 48780, 96821, 59387]",1
586,"[318, 7361, 1197, 109374, 48780, 4973, 1682, 94959, 44555, 59387]",1
603,"[16, 29, 316, 1095, 1103, 1441, 2076, 2401, 61246, 5294]",1
608,"[76, 539, 2692, 94777, 41, 2966, 432, 736]",1
140,"[261, 292, 337, 348, 458, 837, 1103, 1244]",1
264,"[1370, 1608, 1682, 2243, 457, 2997, 141, 2058, 46578]",1
1,"[296, 318, 7361, 109374, 27773, 162414, 44555, 4973, 96829, 71033]",1
294,"[10, 55, 74, 292, 482, 594, 991, 1028, 1746, 5121]",1
606,"[10, 22, 64, 293, 266, 1175, 1246, 5690]",1
42,"[11, 292, 346, 741, 1500, 1184, 2613]",1
256,"[11, 1209, 927, 1015, 71, 278, 1405, 1805, 3662]",1
590,"[11, 170401, 266, 653, 1028, 5066]",1
217,"[110, 150, 215, 986, 991, 1613, 1594, 2917, 2931, 3295]",1
353,"[296, 318, 50, 1682, 1732, 2762, 2858, 4226, 4878]",1
365,"[12, 16, 446, 933, 1188, 2048, 3117, 3993, 4552]",1
373,"[480, 12, 496, 637, 38, 472, 1197, 1682, 7361]",1
380,"[12, 27, 40, 45, 74, 76, 92, 199, 292, 458]",1
199,"[110, 16, 46, 238, 1653, 2474, 1147, 1215]",1
58,"[318, 296, 1682, 27619, 50, 1732, 2761, 2329, 1197]",1
68,"[912, 1246, 1252, 1235, 1641, 1914, 2710, 3095, 3295, 3421]",1
107,"[318, 296, 858, 48516, 27773, 48780, 44555, 109374, 71033]",1
134,"[318, 296, 50, 2858, 4226, 1682, 48516, 7361, 27773, 48780]",1
176,"[318, 296, 7361, 109374, 162414, 44555, 1732, 4973, 27773, 59387]",1
240,"[318, 296, 7361, 858, 162414, 27773, 109374, 48516, 4973, 44555]",1
284,"[318, 296, 7361, 109374, 1682, 1197, 44555, 1732, 4973]",1
349,"[318, 296, 858, 7361, 27773, 109374, 44555, 48780, 133771]",1
414,"[69, 70, 116, 147]",1
419,"[296, 7361, 318, 109374, 1682, 48780, 1197, 48516, 4973, 1732]",1
428,"[21, 43, 171, 228, 516, 759, 1014]",1
468,"[527, 318, 1225, 1197, 1682, 7826, 109374, 59387, 44555, 94959]",1
18,"[589, 170401, 1201, 1086, 1202, 251, 229, 238]",1
136,"[296, 7361, 1197, 4973, 318, 162414, 109374, 44555, 59387, 71033]",1
191,"[318, 296, 7361, 109374, 162414, 44555, 59387, 133771, 71033, 4973]",1
75,"[858, 2289, 1912, 7361, 457, 1234, 4979, 44555]",1
77,"[858, 296, 48516, 78039, 73344, 96728, 2726, 4144, 71033, 133771]",1
96,"[858, 4973, 7361, 48394, 97921, 55052, 1197, 109374, 44555, 94959]",1
124,"[858, 296, 318, 27773, 48516, 48780, 109374, 31364, 44555, 162414]",1
171,"[858, 7579, 4973, 265, 736, 2699, 48516, 55052, 4014, 4720]",1
266,"[16, 168, 183, 294, 379, 1095, 1585]",1
308,"[858, 46578, 7361, 296, 109374, 318, 162414, 1197, 4973, 27773]",1
364,"[858, 1213, 296, 48516, 428, 80489, 55118, 2726, 3006]",1
400,"[858, 296, 318, 48516, 48780, 109374, 44555, 162414, 71033, 133771]",1
416,"[858, 296, 318, 7361, 27773, 48516, 4973, 44555, 31364, 162414]",1
422,"[858, 296, 1089, 2502, 8376, 57669, 109374, 162414]",1
441,"[858, 48516, 4226, 27773, 318, 50, 31364, 73344, 71033, 44555]",1
475,"[858, 7361, 318, 4973, 48780, 296, 162414, 1197, 44555, 46578]",1
514,"[16, 170401, 141, 728, 1035, 1953, 1967, 2058, 2644, 2691]",1
551,"[296, 7361, 318, 4973, 109374, 27773, 44555, 1197, 1682, 162414]",1
570,"[296, 318, 7361, 109374, 27773, 1197, 162414, 4973, 44555, 59387]",1
4,"[17, 296, 53, 211, 304, 380, 368, 409, 99]",1
17,"[318, 7361, 296, 4973, 1197, 162414, 109374, 1682, 7826, 59387]",1
37,"[7579, 2572, 4973, 7361, 6711, 94959, 215, 1197, 4144]",1
119,"[17, 220, 534, 945, 1393, 1916, 410, 4701]",1
152,"[7579, 5772, 910, 6773, 4720, 7361, 109374, 94959, 4973, 48780]",1
227,"[7579, 2599, 112515, 48516, 38061, 318, 7361, 109374, 48780]",1
262,"[7579, 265, 318, 109374, 44555, 7361, 48780, 4973, 48516, 162414]",1
309,"[17, 45, 388, 775, 2628, 2145, 6166, 109374]",1
339,"[17, 170401, 356, 898, 1186, 1262, 4387, 5279, 6966]",1
357,"[480, 17, 6942, 1198, 1202, 1111, 491, 178, 1454, 1829]",1
413,"[7579, 97921, 4973, 94959, 44555, 6711, 109374, 71033, 7361]",1
477,"[17, 42, 170, 171, 238, 352, 434, 461, 3175]",1
513,"[7579, 48516, 176371, 7361, 109374, 318, 4973, 27773, 1197]",1
542,"[17, 480, 201, 848, 278, 7361, 4973, 94959]",1
558,"[7579, 2762, 164909, 7361, 112515, 4973, 162414, 109374, 215, 44555]",1
568,"[7579, 7361, 55052, 127108, 91079, 162414, 215, 515]",1
583,"[7579, 4016, 167380, 261, 7826, 1197, 73290, 94959, 69406, 531]",1
599,"[17, 24, 61, 86, 144, 224, 225, 506, 1611]",1
602,"[17, 32, 472, 612, 639, 1027, 1405, 1099, 2554]",1
609,"[7579, 595, 4973, 109374, 71033, 94959, 7361, 1197, 44555, 215]",1
81,"[296, 1197, 4973, 7826, 94959, 109374, 46578, 59387, 314, 48082]",1
130,"[296, 1625, 109374, 27773, 158238, 8950, 94959, 4720, 38061, 59387]",1
198,"[296, 7361, 318, 4973, 2571, 109374, 80463, 1197, 1682]",1
248,"[296, 109374, 318, 1732, 7361, 27773, 4973, 1682, 59387]",1
486,"[296, 7361, 1197, 109374, 318, 4973, 1682, 94959, 7826, 1732]",1
507,"[296, 109374, 133771, 46578, 7361, 1732, 4973, 94959, 57669, 59387]",1
561,"[18, 1175, 1183, 1199, 1256, 1372, 3479]",1
56,"[1682, 296, 7361, 27773, 109374, 1732, 44555, 4973, 59387]",1
274,"[356, 150, 170401, 266, 783, 1303, 2427, 3152, 6218]",1
484,"[19, 741, 1269, 1611, 2122, 4194, 4476, 4836]",1
99,"[296, 1732, 46578, 4011, 4979, 57669, 94959, 38061, 55280, 59387]",1
304,"[356, 1527, 261, 20, 85, 232, 482, 28, 489]",1
340,"[296, 318, 50, 7361, 109374, 27773, 48780, 162414, 71033, 59387]",1
376,"[296, 50, 1748, 2761, 1682, 4979, 457, 2291]",1
386,"[296, 318, 50, 778, 1732, 2329, 1682, 4878, 4226]",1
446,"[296, 318, 7826, 1682, 7361, 109374, 1197, 44555, 4973]",1
524,"[296, 4973, 7361, 1246, 215, 6796, 318, 899]",1
8,"[296, 318, 1682, 27773, 7361, 109374, 44555, 59387, 71033]",1
34,"[296, 4979, 46578, 1732, 57669, 94959, 38061, 109374, 61323]",1
41,"[110, 21, 314, 1209, 1022, 1171, 1183, 1485, 2477]",1
70,"[296, 2571, 110, 36, 318, 1682, 2858, 1732, 7361]",1
84,"[21, 49, 95, 267, 314, 347, 558, 590, 3499]",1
105,"[21, 77, 104, 122, 204, 795, 848, 1015]",1
187,"[296, 7361, 318, 4973, 2571, 6711, 109374, 44555, 1197, 48780]",1
224,"[296, 46578, 1732, 1682, 7361, 48780, 4979, 115713]",1
251,"[296, 318, 109374, 27773, 44555, 1732, 4973, 71033]",1
300,"[296, 951, 899, 38061, 898, 5991, 57669, 909, 7132, 1912]",1
301,"[296, 4973, 46578, 78499, 109374, 1197, 2761, 94959, 1732, 7826]",1
347,"[296, 318, 7361, 1732, 27773, 109374, 44555, 59387, 71033]",1
423,"[296, 158238, 70286, 38061, 57669, 318, 2289, 113741, 1912]",1
463,"[296, 4973, 1197, 7826, 8961, 38061, 7361, 2761, 1262, 57669]",1
470,"[296, 7361, 318, 4973, 109374, 162414, 1197, 44555, 1732, 71033]",1
474,"[296, 356, 293, 1653, 2395, 1183, 199, 21, 26, 27619]",1
495,"[21, 247, 913, 922, 1015, 1043, 1061, 1262, 2743, 2772]",1
567,"[21, 1086, 1373, 1926, 7062, 519, 8010]",1
93,"[593, 1175, 7361, 141, 1265, 48394, 1573, 176371, 59387]",1
19,"[356, 24, 156, 1017, 832, 1423, 1542, 1678]",1
316,"[296, 46578, 27773, 6711, 109374, 57669, 6867, 59387]",1
330,"[1641, 198, 23, 322, 671, 1171, 1650]",1
379,"[58559, 7361, 27773, 48780, 215, 4226, 44555, 71033, 158783]",1
432,"[33493, 1199, 671, 238, 23, 38, 66, 1897, 2518]",1
100,"[296, 7361, 318, 4973, 2959, 46578, 1682, 6711, 109374]",1
165,"[318, 296, 7361, 109374, 44555, 162414, 71033, 59387, 96829, 44555]",1
26,"[318, 296, 7361, 109374, 48780, 162414, 1682, 4973, 27773, 59387]",1
54,"[318, 296, 7361, 58559, 109374, 27773, 1682, 80463, 162414, 1197]",1
79,"[318, 7361, 109374, 162414, 1197, 44555, 1732, 4973, 96829, 46578]",1
156,"[296, 26, 28, 85, 292, 314, 1500, 2076, 3067, 5059]",1
170,"[318, 296, 7361, 48516, 4973, 48780, 162414, 27773, 109374, 44555]",1
577,"[318, 296, 7361, 858, 4973, 27773, 109374, 44555, 1197]",1
592,"[318, 7361, 296, 109374, 858, 162414, 58559, 4973, 2959, 1197]",1
21,"[27, 38038, 918, 1179, 1243, 1250, 1285, 1297, 2010]",1
126,"[1197, 46578, 17, 94959, 531, 7361, 6385, 215, 2761]",1
141,"[27, 218, 235, 74, 433, 1187, 471, 1031, 1068, 250]",1
159,"[27619, 1197, 2762, 318, 2005, 7361, 4973, 109374, 94959, 48780]",1
193,"[318, 7361, 1197, 109374, 1682, 4973, 48780, 46578, 44555]",1
307,"[27, 41, 85, 538, 837, 1202, 1227, 6620]",1
359,"[318, 7361, 1197, 27773, 109374, 48780, 1682, 59387, 7826]",1
489,"[27, 41, 171, 181, 471, 38038, 1484, 1487, 61246, 8360]",1
503,"[318, 7361, 1197, 109374, 1682, 4973, 48780, 46578, 48394]",1
580,"[27, 69, 388, 361, 903, 1020, 1230, 2108, 2599]",1
94,"[7579, 89470, 46578, 7361, 515, 1912, 109374, 6867, 59387]",1
109,"[318, 7361, 1197, 4973, 1682, 109374, 96821, 44555, 59387]",1
132,"[28, 40, 66, 99, 128, 147, 183, 201, 218, 331]",1
179,"[318, 7361, 858, 4973, 27773, 109374, 44555, 1197, 71033]",1
318,"[28, 164, 185, 201, 224, 351, 352, 532, 742]",1
411,"[7579, 1285, 4973, 39, 7179, 2762, 3175, 2139, 3408, 4144]",1
426,"[7579, 4720, 46578, 54648, 45668, 2391, 7361, 59387, 4973]",1
448,"[28, 45728, 246, 199, 1090, 1175, 1270, 2023, 5563]",1
566,"[7579, 46578, 380, 1197, 7826, 86882, 2006, 94959, 4973, 109374]",1
593,"[7579, 6796, 3249, 457, 4973, 628, 3160, 37733, 7361]",1
16,"[71, 233, 336, 589, 1022, 1125]",1
38,"[29, 233, 305, 466, 470, 562, 7361, 59387, 133771]",1
173,"[48394, 1199, 59387, 1175, 74553, 2968, 5015, 48082, 4467]",1
222,"[63, 613, 766, 1024, 1297, 4687]",1
230,"[66, 272, 773, 795, 1030, 1270, 1597, 193]",1
367,"[29, 741, 1419, 1572, 58, 1735, 1794, 46, 121, 88]",1
527,"[318, 296, 29, 215, 232, 858, 41, 58559, 109374]",1
539,"[48394, 7361, 59387, 4720, 4973, 48780, 133771, 71033, 56339]",1
565,"[48394, 4973, 7361, 59387, 71033, 6773, 44555, 133771, 48082]",1
572,"[29, 38, 1873, 492, 605, 1683, 3283, 4911, 7258]",1
182,"[150, 1204, 372, 1188, 5291, 2193, 5312, 5357]",1
226,"[39, 45, 1212, 2943]",1
147,"[318, 1246, 2329, 47099, 44555, 46578, 89759, 92259, 162414]",1
102,"[318, 296, 7361, 109374, 4973, 1682, 1197, 4878, 46578]",1
394,"[79132, 7361, 48780, 6711, 4226, 4973, 8914, 215, 44555]",1
447,"[296, 7361, 318, 27773, 109374, 44555, 2959, 4973, 48780, 1682]",1
32,"[318, 7361, 296, 4973, 2571, 109374, 593, 162414, 1197, 27773]",1
115,"[318, 1197, 7361, 109374, 7826, 4973, 46578, 44555, 59387]",1
201,"[356, 170401, 3508, 1003, 996, 386, 1431, 99, 318, 7361]",1
254,"[170401, 238, 473, 38038, 775, 783, 1051, 1230, 1252]",1
282,"[170401, 86, 446, 471, 741, 2041, 75]",1
292,"[170401, 86, 88, 108, 466, 531, 748, 1273, 1304]",1
371,"[356, 1197, 7361, 318, 4973, 1682, 48394, 46578, 48780, 109374]",1
385,"[170401, 61, 77, 351, 521, 628, 1475, 2071, 2146, 2897]",1
600,"[170401, 36, 75, 85, 89, 121, 342, 1176, 2076, 7040]",1
20,"[36, 121, 171, 454, 458, 828, 1493, 1829]",1
488,"[318, 36, 233, 62, 178, 492, 4699]",1
27,"[38, 215, 40, 43, 482, 2141, 71, 189, 332, 1496]",1
43,"[78499, 46578, 1197, 109374, 318, 94959, 1682, 4973, 48780, 7361]",1
302,"[1197, 94959, 27773, 109374, 69481, 4973, 59387, 44555, 7826, 59387]",1
529,"[7451, 515, 2572, 1225, 7361, 412, 4447, 1183, 6711, 17]",1
135,"[40, 1653, 233, 43, 155, 3060]",1
219,"[150, 235, 1245, 1268, 1273, 1897, 2073, 5752, 3152]",1
517,"[40, 85, 206, 324, 492, 918, 1283, 2446, 4701]",1
59,[],1
249,"[41, 76, 163, 219, 220, 324, 352, 648]",1
531,"[318, 7361, 1197, 27773, 109374, 162414, 1732, 4973, 44555, 59387]",1
553,"[318, 7361, 296, 27773, 858, 4973, 48516, 44555, 109374, 71033]",1
589,"[318, 7361, 1197, 4973, 1682, 44555, 162414, 109374, 71033, 59387]",1
178,"[296, 42, 82, 318, 193, 314, 324, 445, 50]",1
244,"[296, 2502, 2329, 1285, 3435, 2028, 6796, 2395, 2268]",1
7,"[318, 7361, 296, 109374, 48780, 1682, 1197, 1732, 4973]",1
31,"[318, 7361, 1197, 109374, 27619, 48780, 4973, 1682, 7826]",1
153,"[904, 910, 949, 1086, 2524, 43, 482, 943, 1290, 3385]",1
265,"[318, 7361, 296, 4973, 109374, 44555, 1197, 162414, 1732, 71033]",1
270,"[318, 7361, 109374, 44555, 58559, 4973, 27773, 1197, 1732]",1
305,"[357, 1296, 2997, 43, 728, 82, 479, 238]",1
552,"[318, 4226, 4973, 1197, 44555, 109374, 71033, 59387, 92259]",1
579,"[318, 7361, 109374, 162414, 1197, 44555, 59387, 71033, 48780, 4973]",1
36,"[296, 109374, 133771, 46578, 59387, 1682, 7826, 6867, 7361]",1
280,"[904, 913, 1227, 45, 206, 458, 485, 1060, 2320]",1
290,"[318, 45, 151, 1464, 2143, 320, 1144, 2494, 2447]",1
597,"[45, 1103, 70, 475, 367, 6380, 61, 168]",1
50,"[46, 253, 6158, 795, 1073, 1256, 2819]",1
560,"[46, 799, 78, 148, 1076, 1916, 1939, 1286, 6528]",1
483,"[78, 144, 331, 471, 38038, 1246]",1
57,"[55, 85, 198, 126, 173, 272, 346, 488, 1120]",1
275,"[126, 357, 372, 433, 1126, 1475, 1797]",1
276,"[318, 4973, 48780, 7361, 27773, 109374, 44555, 71033, 59387]",1
456,"[7826, 1197, 7361, 109374, 4973, 48780, 46578, 59387]",1
120,"[318, 296, 27773, 48516, 7361, 44555, 80463, 31364, 46578, 48780]",1
167,"[318, 296, 109374, 7361, 27773, 162414, 133771, 44555, 59387, 96829]",1
328,"[589, 1246, 45728, 61, 238, 352, 903, 324]",1
61,"[1246, 1206, 318, 115713, 27773, 1704, 48774, 293, 112552]",1
66,"[356, 293, 62, 220, 352, 1683, 3238, 3223, 3224]",1
76,"[356, 46578, 2571, 4973, 1197, 1732, 96488, 7361, 318, 109374]",1
128,"[318, 7361, 1246, 44555, 47099, 4973, 4995, 7826, 3147, 55814]",1
310,"[356, 7361, 318, 4973, 1682, 46578, 48780, 6711, 109374]",1
405,"[318, 46578, 2571, 7361, 1197, 50, 2761, 48780, 1682]",1
509,"[480, 62, 2710, 147, 110781, 432, 1794, 2517, 239]",1
610,"[62, 45728, 736, 916, 1199, 1212, 1327, 2243, 5480]",1
122,"[912, 588, 45728, 70, 85, 3104, 229, 2056, 2064, 3075]",1
261,"[296, 1477, 1201, 69, 162414, 99114, 470, 3554, 4327, 493]",1
369,"[296, 318, 109374, 27773, 44555, 71033, 4973, 96829, 59387]",1
370,"[296, 4973, 7361, 1258, 2571, 1197, 1089, 7147, 1682, 2761]",1
393,"[296, 109374, 318, 94959, 27773, 1682, 133771, 593, 7361, 59387]",1
424,"[296, 555, 2997, 4016, 170401, 4144, 39183, 46578, 94959, 4973]",1
83,"[356, 7361, 1197, 318, 4973, 1682, 109374, 162414, 7826, 44555]",1
384,"[356, 7361, 318, 46578, 109374, 162414, 4973, 1682, 1197]",1
434,"[70, 235, 904, 27619, 147, 64, 2194, 1022, 1916]",1
452,"[318, 296, 7361, 109374, 162414, 1197, 27773, 4973, 44555, 59387]",1
39,"[296, 4973, 2762, 7361, 1197, 44555, 109374, 71033, 59387]",1
114,"[4973, 899, 44555, 7361, 109374, 71033, 1197, 44555, 59387]",1
263,"[1035, 349, 4292, 4465, 5146, 1658, 1180]",1
348,"[296, 4973, 318, 109374, 27773, 46578, 44555, 1197, 71033]",1
52,"[296, 1197, 904, 5103, 2762, 1682, 86295, 2502, 457, 4973]",1
72,"[296, 318, 1732, 27773, 45728, 48516, 4011, 44555, 4979]",1
164,"[296, 318, 1732, 27773, 7361, 44555, 162414, 133771, 59387, 71033]",1
334,"[296, 318, 7361, 109374, 44555, 162414, 71033, 4973, 27773, 59387]",1
540,"[69, 122, 1477, 2316, 162414, 7361, 4973, 215, 46578]",1
582,"[296, 318, 7361, 109374, 1197, 44555, 162414, 1732, 71033, 59387]",1
596,"[69, 1204, 8970, 451, 903, 1279, 996, 1014]",1
287,"[296, 46578, 7361, 109374, 44555, 1197, 4973, 7826, 59387]",1
409,"[296, 50, 46578, 4973, 2542, 3481, 1258, 55276, 7361, 59387]",1
605,"[480, 70, 905, 4174, 482, 900, 183, 119, 1659]",1
9,"[296, 318, 109374, 58559, 7361, 27773, 1197, 44555, 59387]",1
