userId,itemIds,runNumber
78,"[59387, 71033, 44555, 4973, 27773, 61240, 96829, 6773, 92259]",1
82,"[59387, 71033, 44555, 96829, 27773, 86781, 89759, 92259, 4973]",1
121,"[314, 6385, 59387, 4973, 94959, 6773, 6867, 46578, 7826, 109374]",1
144,"[59387, 7826, 109374, 7361, 4973, 48780, 133771, 180031]",1
186,"[59387, 71033, 44555, 4973, 27773, 96829, 86781, 89759, 92259]",1
232,"[121, 452, 759, 1051, 1257, 1645, 1891, 5258]",1
234,"[59387, 7826, 158238, 6773, 55908, 38061, 59387, 109374, 71033]",1
239,"[773, 516, 1897, 479, 41, 64, 3]",1
283,"[4973, 7361, 94959, 59387, 46578, 48394, 109374, 7826, 7147]",1
322,"[59387, 71033, 44555, 4973, 27773, 61240, 96829, 92259, 109374]",1
323,"[59387, 71033, 44555, 4973, 6773, 73808, 61240, 55814, 74553]",1
372,"[74553, 117444, 59387, 152970, 6773, 900, 47610, 314, 160848]",1
378,"[59387, 4973, 94959, 109374, 46578, 7361, 7826, 46976, 86882, 1682]",1
451,"[74553, 4973, 59387, 6773, 48394, 44555, 89759, 92259, 96829, 71033]",1
462,"[28, 82, 300, 346, 78, 803, 813, 1173, 1202, 3183]",1
476,"[59387, 7826, 6867, 4973, 109374, 6773, 74553, 2966]",1
492,"[59387, 4973, 7361, 27773, 71033, 44555, 61240, 96829, 92259]",1
525,"[233, 726, 1060, 1475, 2286, 2333, 2829]",1
533,"[59387, 4973, 7361, 48394, 109374, 7826, 133771, 180031]",1
51,"[773, 904, 1177, 1670, 1870, 2183, 2395, 2924, 2976, 76]",1
116,"[59387, 71033, 44555, 96829, 86781, 89759, 92259, 55814, 4973]",1
288,"[53, 82, 83, 148, 159, 612, 5075, 6376]",1
24,"[4973, 94959, 59387, 7361, 109374, 46578, 7826, 87304, 95088]",1
150,"[6867, 104339, 95088, 55280, 87304, 95873, 113275, 104374, 4973]",1
425,"[795, 1126, 1147, 1430, 1601, 2147, 3, 4]",1
480,"[1046, 1126, 1476, 1514, 2236, 2303, 2313, 2511]",1
521,"[59387, 71033, 4973, 27773, 44555, 61240, 6016, 89759, 31364, 96829]",1
559,"[6867, 4144, 4973, 7361, 59387, 87234, 87304, 48082]",1
573,"[238, 759, 1204, 1816, 1840, 1920, 3661, 3153]",1
133,"[162414, 59387, 6385, 47202, 95558, 6773, 4144, 44555]",1
177,"[178, 233, 1180, 1910, 3094, 4500, 4313]",1
286,"[4144, 4973, 7361, 59387, 87234, 71033, 91079, 87304]",1
332,"[4, 63, 66, 108, 166, 189, 205, 224, 445, 1043]",1
