userId,itemIds,runNumber
78,"[8961, 7361, 1197, 2761, 7826, 94959, 1527, 109374, 1682, 59387]",1
82,"[78499, 41, 69, 71, 171, 201, 482, 775, 3655]",1
121,"[8961, 109374, 7826, 94959, 2761, 1682, 46578, 4973, 135436, 59387]",1
144,"[27619, 1197, 5103, 1682, 318, 7361, 46578, 109374, 94959, 2420]",1
186,"[3114, 7361, 4973, 109374, 215, 59387, 7826, 133771, 6867]",1
232,"[78499, 17, 21, 36, 235, 741, 1206, 1262, 3176]",1
234,"[3114, 8961, 141, 376, 38038, 1732, 7826, 59387, 6867, 6773]",1
239,"[78499, 3, 17, 23, 41, 64, 70]",1
283,"[27619, 7361, 1197, 134853, 4973, 5618, 86882, 551, 215, 7147]",1
322,"[3114, 72737, 7826, 86882, 94959, 109374, 4973, 46578, 89904, 59387]",1
323,"[27619, 296, 7361, 318, 109374, 1682, 48780, 4973, 48516, 94959]",1
372,"[3114, 2761, 1197, 4973, 46578, 7361, 94959, 109374, 7826, 59387]",1
378,"[8961, 1197, 134853, 86882, 109374, 7826, 94959, 4973, 46578, 1682]",1
451,"[27619, 318, 1197, 858, 109374, 7361, 1682, 4973, 7826, 94959]",1
462,"[78499, 28, 300, 356, 1028, 1202, 1347, 6638, 7394]",1
476,"[8961, 7826, 1197, 2761, 457, 109374, 531, 2006, 1682, 3147]",1
492,"[3114, 318, 858, 296, 58559, 7361, 109374, 48780, 162414, 4973]",1
525,"[78499, 110, 16, 45728, 233, 337, 1252, 3072, 2333]",1
533,"[27619, 8961, 5618, 318, 6377, 109374, 1197, 58559, 4973, 7361]",1
51,"[2, 44, 76, 168, 176371, 904, 2395, 2924, 2976]",1
116,"[318, 58559, 79132, 48780, 109374, 162414, 133771, 7826, 59387, 44555]",1
288,"[2, 53, 82, 159, 94, 100, 661, 1095, 1175, 1641]",1
24,"[1197, 109374, 94959, 46578, 7826, 86882, 59387, 55280, 95088, 6867]",1
150,"[1307, 69406, 97921, 3072, 104374, 49286, 4973, 88163, 1197, 7361]",1
425,"[3, 4, 235, 356, 349, 741, 1147, 33493, 1430, 2147]",1
480,"[2395, 1046, 3, 11, 21, 72, 1179, 2313, 2511]",1
521,"[356, 318, 296, 7361, 109374, 48516, 1197, 69481, 6711, 44555]",1
559,"[318, 296, 7361, 109374, 48780, 94959, 7826, 4973, 59387]",1
573,"[3, 8, 170401, 238, 759, 1816, 1840]",1
133,"[1197, 4973, 7826, 94959, 109374, 7361, 7147, 2761, 104374, 59387]",1
177,"[4, 85, 101, 178, 233, 904, 910, 933, 1209]",1
286,"[318, 296, 7361, 4973, 109374, 46578, 6711, 94959, 97921]",1
332,"[4, 63, 189, 205, 224, 38038, 1043, 3060, 4061, 6064]",1
381,"[4, 16, 23, 39, 322, 1129, 2066]",1
387,"[17, 45728, 334, 1095, 1103, 1244, 3296, 3499, 4144]",1
402,"[47099, 46578, 7361, 6711, 97921, 109374, 94959, 133771, 6867]",1
404,"[47099, 7826, 88810, 109374, 92259, 96821, 116797, 133771, 59387, 44555]",1
453,"[4, 17, 27, 60, 100, 101, 201, 372, 418]",1
464,"[47099, 1197, 7361, 46578, 94959, 109374, 7826, 4973, 180031, 59387]",1
534,"[36, 180, 538, 1914, 1945, 3872, 4174]",1
588,"[318, 296, 858, 7361, 109374, 48780, 162414, 133771, 48516]",1
6,"[292, 176371, 11, 28, 536, 599, 595, 552, 661, 694]",1
28,"[357, 904, 2321, 2313, 16, 21, 233, 1245, 2194]",1
46,"[109374, 46578, 6711, 4979, 1682, 7361, 1732, 94959, 57669]",1
64,"[28, 36, 261, 346, 736, 780, 1104, 1203, 1209]",1
103,"[46, 322, 931, 951, 1187, 2184, 92192, 3506, 4194]",1
160,"[36, 39, 198, 635, 731, 837, 1187, 1870]",1
215,"[1197, 7361, 46578, 1682, 4973, 109374, 94959, 133771, 59387, 95088]",1
220,"[16, 742, 1042, 2429, 3442, 5, 1910, 5767]",1
391,"[2395, 62, 43, 316, 1031, 20, 85, 341, 206]",1
418,"[1197, 4973, 7361, 46578, 109374, 94959, 44555, 89904, 59387, 71033]",1
435,"[1197, 7826, 2761, 56152, 109374, 551, 54259, 899, 72737, 94959]",1
437,"[109374, 7361, 46578, 94959, 4979, 4973, 6711, 1682, 133771]",1
555,"[215, 195, 1454, 1613, 1875, 5121, 6603, 7085]",1
562,"[7361, 109374, 94959, 4973, 1682, 46578, 133771, 59387, 87234]",1
587,"[1197, 7826, 94959, 109374, 46578, 4979, 4973, 1682, 6867, 46976]",1
313,"[40, 85, 103, 118, 155, 164, 178]",1
361,"[58559, 296, 7361, 109374, 27773, 94959, 48780, 4973, 44555, 133771]",1
362,"[58559, 7361, 109374, 48780, 94959, 1682, 7826, 44555, 59387, 6867]",1
438,"[38, 40, 60, 86, 94, 172, 220, 1200]",1
469,"[42, 126, 155, 191, 275, 277, 314, 335, 343]",1
45,"[18, 41, 201, 848, 1179, 1199, 1777]",1
202,"[170401, 36, 43, 346, 349, 357, 531, 1732, 5602]",1
235,"[5103, 1912, 725, 5893, 6668, 144, 627, 848, 708]",1
279,"[318, 296, 109374, 7361, 48780, 94959, 7826, 44555, 59387, 6867]",1
368,"[356, 1094, 417, 724, 1641, 4903, 6400, 7084, 8, 4083]",1
395,"[1197, 318, 940, 46578, 1321, 457, 7826, 4720, 2761]",1
494,"[2005, 4135, 5103, 7045, 531, 4128, 2161, 4720, 1197, 56339]",1
498,"[1197, 5103, 1246, 7826, 1682, 2161, 46578, 318, 109374, 162414]",1
536,"[2005, 457, 555, 1259, 1197, 2194, 5103, 318, 4128, 3006]",1
586,"[1197, 7826, 94959, 109374, 46578, 59387, 6867, 4979, 4973, 7361]",1
603,"[316, 1095, 2076, 61246, 5294, 6020, 4092, 7248, 7258]",1
