userId,itemIds,runNumber
78,"[318, 7361, 1197, 5418, 96488, 4973, 2761, 109374, 94959, 7826]",1
82,"[78499, 41, 69, 71, 171, 201, 482, 775, 3669]",1
121,"[318, 1197, 7361, 109374, 4973, 48780, 7826, 59387, 46578]",1
144,"[78499, 474, 492, 471, 482, 27, 8, 779, 1476, 2420]",1
186,"[78499, 28, 43, 108, 172, 195, 334, 487, 600]",1
232,"[78499, 17, 36, 235, 519, 741, 1645, 1262, 3176]",1
234,"[78499, 95, 38038, 2939, 710, 1770, 5999]",1
239,"[78499, 3, 17, 41, 64, 293, 516, 1897]",1
283,"[318, 1197, 7361, 27619, 4973, 1682, 215, 7147, 46578, 94959]",1
322,"[78499, 21, 4, 8, 437, 464, 828, 531]",1
323,"[318, 7361, 1197, 4973, 1682, 109374, 1732, 44555, 59387]",1
372,"[78499, 41, 461, 581, 726, 984, 3711]",1
378,"[318, 7361, 109374, 48394, 46578, 4973, 1682, 94959, 1197, 86882]",1
451,"[318, 27619, 7361, 109374, 44555, 1197, 4973, 162414, 71033, 59387]",1
462,"[78499, 28, 76, 82, 300, 356, 1028, 1202, 1347]",1
476,"[27619, 531, 380, 111743, 2268, 2761, 6385, 368, 805]",1
492,"[78499, 40, 523, 653, 706, 1449, 3679, 6184, 8580]",1
525,"[78499, 110, 45728, 233, 337, 1252, 1035, 1370, 3072]",1
533,"[27619, 1197, 5618, 318, 8961, 7361, 109374, 48394, 46578]",1
51,"[2, 904, 2395, 1177, 1870, 534, 76, 773]",1
116,"[318, 7361, 1197, 1225, 1682, 59387, 44555, 2761, 48780]",1
288,"[2, 53, 82, 159, 94, 100, 148, 1175, 1095, 1641]",1
24,"[3, 21, 171, 912, 2046, 1031, 146, 2134, 70]",1
150,"[1307, 94070, 3072, 113275, 69406, 5945, 140110, 129428, 1784]",1
425,"[3, 235, 1126, 1147, 1430, 2147, 1601]",1
480,"[3, 94, 101, 195, 11, 72, 1046, 237, 708, 2395]",1
521,"[318, 7361, 4973, 44555, 109374, 71033, 59387, 162414, 6867, 89759]",1
559,"[296, 7361, 318, 4973, 27773, 109374, 162414, 44555, 59387, 71033]",1
573,"[3, 8, 170401, 220, 238, 759, 1816]",1
133,"[2739, 162414, 46578, 4973, 62553, 72226, 3554, 6385, 72737, 88810]",1
177,"[4, 85, 101, 178, 233, 238, 766, 1180]",1
286,"[296, 7361, 2762, 46578, 4973, 318, 4878, 162414, 109374, 44555]",1
332,"[4, 108, 189, 205, 38038, 1043, 1068, 6064, 3615]",1
381,"[4, 16, 23, 27, 39, 100, 155, 322]",1
387,"[4, 334, 45728, 1046, 1095, 1103, 3296, 4144]",1
402,"[356, 7361, 1682, 46578, 6711, 4973, 97921, 94959, 109374, 215]",1
404,"[356, 1370, 1183, 7826, 2803, 318, 4973, 1682, 2762, 261]",1
453,"[4, 17, 27, 60, 101, 201, 372, 438]",1
464,"[318, 7361, 1197, 162414, 109374, 96821, 4973, 27773, 46578, 44555]",1
534,"[4, 170401, 36, 180, 538, 1914, 4174]",1
588,"[356, 318, 215, 17, 50, 36, 39, 97, 16]",1
6,"[5, 28, 292, 312, 176371, 552, 595, 661, 674]",1
28,"[233, 904, 1279, 2313, 2321, 2351, 1245, 2187, 1103, 2239]",1
46,"[318, 296, 7361, 1682, 4973, 109374, 46578, 6711, 4979]",1
